street address,neighbourhood,latitude,longitude,price,bedrooms,bathrooms,geometry,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,hospital_best_buffer_area_0.5_values,railway station_best_buffer_area_0.5_values,school_best_buffer_area_1.5_values,supermarket_best_buffer_area_0.5_values,bus stop_best_buffer_area_1.5_values,pub_best_buffer_area_0.5_values,restaurant_best_buffer_area_1.5_values,cafe_best_buffer_area_1.5_values,dentist_best_buffer_area_0.5_values,fast food_best_buffer_area_0.5_values,kindergartens_best_buffer_area_0.5_values,malls_best_buffer_area_0.5_values,play ground_best_buffer_area_0.5_values,post office_best_buffer_area_0.5_values
160 howland ave,annex,43.670989,-79.411014,2999999,4,4.0,point (-79.411014 43.670989),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,0,0,46,0,102,0,129,43,0,1,0,0,0,0
483 dupont st #103,annex,43.672797,-79.415295,849900,0,2.0,point (-79.415295 43.672797),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,0,0,18,0,106,0,126,45,0,1,0,0,0,0
200 cumberland st #3802,annex,43.669867,-79.394244,17800000,3,4.0,point (-79.394244 43.669867),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,0,2,155,1,126,2,173,104,0,9,0,0,0,0
225 christie st,annex,43.669398,-79.420453,1988000,4,4.0,point (-79.420453 43.669398),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,0,0,16,1,119,0,131,48,0,1,0,0,0,0
50 yorkville ave #5202,annex,43.671667,-79.389667,18800000,4,4.0,point (-79.389667 43.671667),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,0,2,127,5,131,1,164,97,0,28,0,0,0,0
12 madison ave,annex,43.667759,-79.403321,5450000,11,3.0,point (-79.403321 43.667759),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,0,1,141,1,103,4,226,86,0,9,0,0,0,0
91 bedford rd,annex,43.671488,-79.398264,7888000,5,5.0,point (-79.398264 43.671488),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,0,1,152,1,117,2,166,80,0,5,0,0,0,0
68 yorkville ave #304,annex,43.671482,-79.390514,3750000,2,3.0,point (-79.390514 43.671482),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,0,1,138,4,126,1,164,97,0,26,0,0,0,0
77 mcmurrich st #308,annex,43.674812,-79.39012,1295000,3,2.0,point (-79.39012 43.674812),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,0,0,82,0,125,2,144,73,0,13,0,0,0,0
128 hazelton ave #801,annex,43.674903,-79.39488,8325000,3,4.0,point (-79.39488 43.674903),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,0,0,103,1,130,0,135,76,0,1,0,0,0,0
