Address,Price,N,City,Bedrooms,Bathrooms,Home Type
303 3220 W 4th Avenue,"$1,099,000 ",Kitsilano,Vancouver,2 bd,2,Apt/Condo
204 2275 W 40th Avenue,"$949,000 ",Kerrisdale,Vancouver,2 bd,2,Apt/Condo
809 1333 W Georgia Street,"$989,900 ",Coal Harbour,Vancouver,2 bd,2,Apt/Condo
204 975 E Broadway,"$499,000 ",Mount Pleasant East,Vancouver,1 bd,1,Apt/Condo
206 5788 Vine Street,"$718,000 ",Kerrisdale,Vancouver,2 bd,1,Apt/Condo
304 7428 Alberta Street,"$1,498,000 ",South Cambie,Vancouver,2 bd,2,Apt/Condo
702 1534 Harwood Street,"$327,000 ",West End,Vancouver,1 bd,1,Apt/Condo
103 7638 Cambie Street,"$1,249,000 ",Marpole,Vancouver,3 bd,2,Apt/Condo
2502 8131 Nunavut Lane,"$868,000 ",Marpole,Vancouver,2 bd,2,Apt/Condo
207 1210 W 8th Avenue,"$638,000 ",Fairview,Vancouver,1 bd,1,Apt/Condo
1718 W 61st Avenue,"$5,998,000 ",South Granville,Vancouver,6 bd,7,House
14 Sennok Crescent,"$1,499,000 ",University (Ubc),Vancouver,4 bd,4,House
612 7228 Adera Street,"$1,268,000 ",South Granville,Vancouver,2 bd,2,Apt/Condo
3405 1283 Howe Street,"$689,000 ",Downtown West,Vancouver,1 bd,1,Apt/Condo
2355 E 54th Avenue,"$3,499,000 ",Killarney,Vancouver,8 bd,6,House
2109 1111 Alberni Street,"$1,949,000 ",West End,Vancouver,2 bd,2,Apt/Condo
411 2020 SE Kent Avenue,"$925,000 ",South Marine,Vancouver,2 bd,2,Apt/Condo
2688 West Mall Road 1003,"$1,188,000 ",Hastings Sunrise,Vancouver,2 bd,2,Apt/Condo
1735 W 16 Avenue,"$2,388,000 ",Fairview,Vancouver,2 bd,3,Duplex
156 W 62nd Avenue,"$1,999,999 ",Marpole,Vancouver,5 bd,3,House
2850 Mackenzie Street,"$2,298,000 ",Kitsilano,Vancouver,3 bd,4,Duplex
