Address,Price,N,City,Bedrooms,Bathrooms,Home Type
2510 1111 Richards Street,"$1,675,000 ",Downtown West,Vancouver,3 bd,3,Apt/Condo
1 3830 W 23rd Avenue,"$2,578,000 ",Dunbar,Vancouver,3 bd,4,Duplex
216 2545 W Broadway,"$999,000 ",Kitsilano,Vancouver,2 bd,2,Townhouse
7137 Camano Street,"$1,150,000 ",Champlain Heights,Vancouver,3 bd,3,Townhouse
123 1010 W 47th Avenue,"$769,900 ",South Granville,Vancouver,1 bd,1,Townhouse
141 1014 W 47th Avenue,"$1,839,900 ",South Granville,Vancouver,3 bd,3,Townhouse
360 E 24th Avenue,"$2,098,000 ",Main,Vancouver,1 bd,1,House
802 123 W 1st Avenue,"$1,395,000 ",False Creek,Vancouver,2 bd,2,Apt/Condo
1405 5410 Shortcut Road,"$1,190,000 ",University (Ubc),Vancouver,2 bd,2,Apt/Condo
2770 W 5th Avenue,"$3,998,000 ",Kitsilano,Vancouver,7 bd,3,Multifamily
402 1568 Alberni Street,"$998,000 ",West End,Vancouver,1 bd,1,Apt/Condo
2636 Ward Street,"$1,075,000 ",Collingwood,Vancouver,2 bd,2,Multifamily
2634 Ward Street,"$1,165,000 ",Collingwood,Vancouver,3 bd,3,Multifamily
2632 Ward Street,"$1,260,000 ",Collingwood,Vancouver,3 bd,3,Multifamily
3111 1289 Hornby Street,"$1,580,000 ",Downtown West,Vancouver,2 bd,2,Apt/Condo
2302 1325 Rolston Street,"$888,000 ",Downtown West,Vancouver,2 bd,2,Apt/Condo
407 370 Carrall Street,"$529,800 ",Downtown East,Vancouver,1 bd,1,Apt/Condo
1837 Matthews Avenue,"$6,298,000 ",Shaughnessy,Vancouver,6 bd,7,House
2068 E 49th Avenue,"$2,688,000 ",Killarney,Vancouver,8 bd,6,House
1102 909 Mainland Street,"$731,000 ",Yaletown,Vancouver,1 bd,1,Apt/Condo
3002 33 Smithe Street,"$1,550,000 ",Yaletown,Vancouver,2 bd,2,Apt/Condo
