Address,Price,N,City,Bedrooms,Bathrooms,Home Type
1136 E 26th Avenue,"$1,548,000 ",Knight,Vancouver,2 bd,3,Duplex
205 3161 W 4th Avenue,"$849,900 ",Kitsilano,Vancouver,2 bd,2,Apt/Condo
1309 3430 E Kent Avenue South,"$998,000 ",South Marine,Vancouver,2 bd,2,Apt/Condo
631 Victoria Drive,"$1,499,999 ",Hastings,Vancouver,3 bd,3,Townhouse
1906 888 Hamilton Street,"$1,199,000 ",Downtown West,Vancouver,2 bd,2,Apt/Condo
1116 610 Granville Street,"$668,500 ",Downtown West,Vancouver,1 bd,1,Apt/Condo
2038 E 1st Avenue,"$1,699,000 ",Grandview East,Vancouver,4 bd,4,Duplex
3728 Heather Street,"$3,728,000 ",Cambie,Vancouver,6 bd,4,House
4951 Rupert Street,"$3,499,900 ",Collingwood,Vancouver,5 bd,2,House
4939 Rupert Street,"$1,995,900 ",Collingwood,Vancouver,4 bd,2,House
198 E 44th Avenue,"$1,250,000 ",Main,Vancouver,3 bd,3,Duplex
205 5683 Hampton Place,"$699,999 ",University (Ubc),Vancouver,1 bd,1,Apt/Condo
2171 Maple Street,"$3,098,000 ",Kitsilano,Vancouver,5 bd,4,Townhouse
310 5681 Birney Avenue,"$898,000 ",University (Ubc),Vancouver,1 bd,1,Apt/Condo
103 2256 W 7th Avenue,"$729,000 ",Kitsilano,Vancouver,1 bd,1,Apt/Condo
4509 1289 Hornby Street,"$1,089,000 ",Downtown West,Vancouver,1 bd,1,Apt/Condo
7789 Birch Street,"$3,299,800 ",Marpole,Vancouver,7 bd,7,House
3186 Grant Street,"$1,828,000 ",Renfrew,Vancouver,4 bd,4,Duplex
505 833 Homer Street,"$1,498,000 ",Downtown West,Vancouver,2 bd,2,Apt/Condo
2798 Yale Street,"$3,450,000 ",Hastings Sunrise,Vancouver,6 bd,4,House
2528 Napier Street,"$1,749,000 ",Renfrew,Vancouver,5 bd,2,House
