Address,Price,N,City,Bedrooms,Bathrooms,Home Type
1 1826 E 2nd Avenue,"$1,849,999 ",Grandview East,Vancouver,4 bd,4,Duplex
1701 1708 Ontario Street,"$1,788,000 ",False Creek,Vancouver,2 bd,2,Apt/Condo
403 2055 Yukon Street,"$629,000 ",False Creek,Vancouver,1 bd,1,Apt/Condo
504 36 Water Street,"$889,900 ",Downtown West,Vancouver,1 bd,1,Apt/Condo
2002 928 Richards Street,"$549,000 ",Yaletown,Vancouver,1 bd,1,Apt/Condo
225 5555 Victoria Drive,"$699,000 ",Victoria East,Vancouver,2 bd,2,Apt/Condo
105 2250 SE Marine Drive,"$685,500 ",South Marine,Vancouver,3 bd,2,Apt/Condo
319 3438 Sawmill Crescent,"$599,800 ",South Marine,Vancouver,1 bd,1,Apt/Condo
408 480 16th Avenue,"$963,900 ",Fraser East,Vancouver,1 bd,1,Apt/Condo
950 W 17th Avenue,"$2,898,000 ",Cambie,Vancouver,0 bd,,Land/Lot
2903 583 Beach Crescent,"$2,098,000 ",Yaletown,Vancouver,2 bd,2,Apt/Condo
1101 1777 Bayshore Drive,"$2,899,900 ",Coal Harbour,Vancouver,3 bd,3,Apt/Condo
1986 E 8th Avenue,"$1,998,800 ",Grandview East,Vancouver,3 bd,2,House
103 1040 E Broadway Avenue,"$499,900 ",Mount Pleasant East,Vancouver,1 bd,1,Apt/Condo
688 W 29th Avenue,"$4,990,000 ",Cambie,Vancouver,5 bd,4,House
106 3731 W 6th Avenue,"$585,800 ",Point Grey,Vancouver,1 bd,1,Apt/Condo
209 231 E Pender Street,"$478,000 ",Strathcona,Vancouver,1 bd,1,Apt/Condo
503 1495 Richards Street,"$1,299,000 ",Yaletown,Vancouver,2 bd,2,Apt/Condo
202 477 W 59th Avenue,"$1,350,000 ",South Cambie,Vancouver,3 bd,2,Apt/Condo
3132 Maple Street,"$1,995,000 ",Kitsilano,Vancouver,2 bd,3,Townhouse
3188 Grant Street,"$1,868,000 ",Renfrew,Vancouver,4 bd,4,Duplex
