Address,Price,N,City,Bedrooms,Bathrooms,Home Type
1202 1788 Ontario Street,"$2,798,000 ",False Creek,Vancouver,2 bd,2,Apt/Condo
1 526 E 30th Avenue,"$2,890,000 ",Fraser East,Vancouver,4 bd,4,Duplex
213 1330 Burrard Street,"$465,000 ",West End,Vancouver,0 bd,1,Apt/Condo
903 1678 Pullman Porter Street,"$2,349,000 ",Mount Pleasant East,Vancouver,2 bd,2,Apt/Condo
407 590 Nicola Street,"$1,749,000 ",Coal Harbour,Vancouver,2 bd,2,Apt/Condo
1010 38 W 1st Avenue,"$1,090,000 ",False Creek,Vancouver,2 bd,2,Apt/Condo
308 1478 W Hastings Street,"$668,000 ",Coal Harbour,Vancouver,1 bd,1,Apt/Condo
806 928 Beatty Street,"$529,000 ",Yaletown,Vancouver,0 bd,1,Apt/Condo
131 W 41st Avenue,"$1,549,000 ",Cambie,Vancouver,2 bd,2,Townhouse
2 128 W Woodstock Avenue,"$2,090,000 ",Cambie,Vancouver,3 bd,2,Townhouse
1809 1283 Howe Street,"$650,000 ",Downtown West,Vancouver,1 bd,1,Apt/Condo
604 555 Jervis Street,"$738,000 ",Coal Harbour,Vancouver,1 bd,1,Apt/Condo
2301 501 Pacific Street,"$590,000 ",Downtown West,Vancouver,0 bd,1,Apt/Condo
1802 1200 W Georgia Street,"$725,000 ",West End,Vancouver,1 bd,1,Apt/Condo
204 2001 Wall Street,"$899,000 ",Hastings,Vancouver,1 bd,1,Apt/Condo
288 E 59th Avenue,"$3,288,000 ",South Vancouver,Vancouver,8 bd,8,House
2 351 E 38th Avenue,"$2,299,000 ",Main,Vancouver,3 bd,4,Duplex
303 4101 Yew Street,"$1,468,800 ",Quilchena,Vancouver,2 bd,3,Apt/Condo
204 2275 W 40th Avenue,"$949,000 ",Kerrisdale,Vancouver,2 bd,2,Apt/Condo
1806 1128 Quebec Street,"$1,748,888 ",Downtown East,Vancouver,3 bd,2,Apt/Condo
502 63 Keefer Place,"$970,000 ",Downtown West,Vancouver,3 bd,2,Apt/Condo
