Address,Price,N,City,Bedrooms,Bathrooms,Home Type
1101 433 SW Marine Drive,"$890,000 ",Marpole,Vancouver,2 bd,2,Apt/Condo
1136 E 26th Avenue,"$1,548,000 ",Knight,Vancouver,2 bd,3,Duplex
108 7520 Columbia Street,"$818,000 ",Marpole,Vancouver,2 bd,2,Apt/Condo
2 2444 Napier Street,"$1,649,000 ",Renfrew,Vancouver,3 bd,3,Duplex
455 1483 E King Edward Avenue,"$618,000 ",Knight,Vancouver,1 bd,1,Apt/Condo
305 222 E 30th Avenue,"$699,000 ",Main,Vancouver,1 bd,1,Apt/Condo
3504 1288 West Georgia,"$1,699,000 ",West End,Vancouver,2 bd,2,Apt/Condo
420 3563 Ross Drive,"$1,120,000 ",University (Ubc),Vancouver,2 bd,2,Apt/Condo
3529 W 34th Avenue,"$4,950,000 ",Dunbar,Vancouver,5 bd,5,House
3707 Hudson Street,"$7,980,000 ",Shaughnessy,Vancouver,5 bd,4,House
202 8680 Fremlin Street,"$455,000 ",Marpole,Vancouver,1 bd,1,Apt/Condo
502 1616 W 13th Avenue,"$888,800 ",Fairview,Vancouver,2 bd,2,Apt/Condo
1000 499 Pacific Street,"$7,498,000 ",Yaletown,Vancouver,3 bd,5,Apt/Condo
5470 Clarendon Street,"$1,788,800 ",Collingwood,Vancouver,5 bd,4,Duplex
3902 1033 Marinaside Crescent,"$2,375,000 ",Yaletown,Vancouver,2 bd,2,Apt/Condo
1332 W 47th Avenue,"$5,990,000 ",South Granville,Vancouver,5 bd,7,House
604 1315 Cardero Street,"$1,198,000 ",West End,Vancouver,1 bd,2,Apt/Condo
2001 198 Aquarius Mews,"$839,000 ",Yaletown,Vancouver,1 bd,1,Apt/Condo
108 8622 Selkirk Street,"$429,000 ",Marpole,Vancouver,1 bd,1,Apt/Condo
301 4375 W 10th Avenue,"$799,000 ",Point Grey,Vancouver,1 bd,1,Apt/Condo
1603 939 Expo Boulevard,"$650,000 ",Yaletown,Vancouver,1 bd,1,Apt/Condo
