Address,Price,N,City,Bedrooms,Bathrooms,Home Type
2689 Brightwood Place,"$2,650,000 ",Fraserview East,Vancouver,3 bd,2,House
920 W 49th Avenue,"$1,699,900 ",South Cambie,Vancouver,3 bd,3,Townhouse
408 3451 Sawmill Crescent,"$768,800 ",South Marine,Vancouver,2 bd,2,Apt/Condo
405 288 E 8th Avenue,"$879,000 ",Mount Pleasant East,Vancouver,2 bd,1,Apt/Condo
101 830 E 7th Avenue,"$499,900 ",Mount Pleasant East,Vancouver,1 bd,1,Apt/Condo
602 5629 Birney Avenue,"$869,000 ",University (Ubc),Vancouver,1 bd,1,Apt/Condo
303 2450 Cornwall Avenue,"$619,000 ",Kitsilano,Vancouver,1 bd,1,Apt/Condo
309 285 E 10th Avenue,"$649,800 ",Mount Pleasant East,Vancouver,1 bd,1,Apt/Condo
201 1147 Nelson Street,"$899,800 ",West End,Vancouver,2 bd,2,Apt/Condo
3007 W 32nd Avenue,"$3,738,000 ",Mackenzie Heights,Vancouver,5 bd,5,House
1479 E King Edward Avenue,"$1,199,000 ",Knight,Vancouver,2 bd,3,Townhouse
101 710 E 6th Avenue,"$649,000 ",Mount Pleasant East,Vancouver,1 bd,1,Apt/Condo
2901 1483 Homer Street,"$1,699,000 ",Yaletown,Vancouver,2 bd,2,Apt/Condo
2043 W 45th Avenue,"$2,088,000 ",Kerrisdale,Vancouver,3 bd,2,House
1107 822 Homer Street,"$825,000 ",Downtown West,Vancouver,2 bd,2,Apt/Condo
3256 E Georgia Street,"$1,425,000 ",Renfrew,Vancouver,2 bd,2,House
3205 Carolina Street,"$1,699,000 ",Fraser East,Vancouver,3 bd,3,Duplex
1 1456 W 45th Avenue,"$2,195,000 ",South Granville,Vancouver,4 bd,4,Townhouse
2703 667 Howe Street,"$999,990 ",Downtown West,Vancouver,1 bd,1,Apt/Condo
801 1236 Bidwell Street,"$2,475,000 ",West End,Vancouver,2 bd,2,Apt/Condo
B 3538 W 14th Avenue,"$2,498,000 ",Kitsilano,Vancouver,3 bd,4,Duplex
