Address,Price,N,City,Bedrooms,Bathrooms,Home Type
2 3260 Graveley Street,"$1,625,000 ",Renfrew,Vancouver,4 bd,4,Duplex
563 W 26th Avenue,"$2,133,900 ",Cambie,Vancouver,3 bd,3,Townhouse
3003 8131 Nunavut Lane,"$598,800 ",Marpole,Vancouver,1 bd,1,Apt/Condo
908 189 Keefer Street,"$869,900 ",Downtown East,Vancouver,2 bd,2,Apt/Condo
102 1450 E 7 Avenue,"$699,900 ",Grandview East,Vancouver,2 bd,1,Apt/Condo
2353 Kingsway,"$2,999,999 ",Collingwood,Vancouver,4 bd,2,House
2375 Kingsway,"$2,999,999 ",Collingwood,Vancouver,6 bd,4,House
2335 Kingsway,"$2,999,999 ",Collingwood,Vancouver,4 bd,2,House
2361 Kingsway,"$2,999,999 ",Collingwood,Vancouver,6 bd,4,House
104 2333 Eton Street,"$734,900 ",Hastings,Vancouver,2 bd,1,Apt/Condo
3601 1438 Richards Street,"$3,888,000 ",Yaletown,Vancouver,3 bd,3,Apt/Condo
210 2408 Grant Street,"$599,000 ",Renfrew,Vancouver,1 bd,1,Apt/Condo
3303 Venables Street,"$2,098,000 ",Renfrew,Vancouver,5 bd,3,House
202 983 E Hastings Street,"$669,000 ",Strathcona,Vancouver,2 bd,1,Apt/Condo
2304 183 Keefer Place,"$1,295,000 ",Downtown West,Vancouver,3 bd,2,Apt/Condo
756 W 26th Avenue,"$1,698,000 ",Cambie,Vancouver,2 bd,4,Townhouse
2 2138 W 48th Avenue,"$2,498,000 ",Kerrisdale,Vancouver,3 bd,2,Duplex
409 210 E 5th Avenue,"$1,399,000 ",Mount Pleasant East,Vancouver,2 bd,2,Apt/Condo
301 1771 Nelson Street,"$824,900 ",West End,Vancouver,2 bd,2,Apt/Condo
202 1771 Nelson Street,"$834,900 ",West End,Vancouver,2 bd,2,Apt/Condo
501 1255 Main Street,"$1,098,000 ",Downtown East,Vancouver,2 bd,2,Apt/Condo
