Address,Price,N,City,Bedrooms,Bathrooms,Home Type
805 5728 Berton Avenue,"$1,198,000 ",University (Ubc),Vancouver,2 bd,2,Apt/Condo
1837 Matthews Avenue,"$6,298,000 ",Shaughnessy,Vancouver,6 bd,7,House
1804 1239 W Georgia Street,"$948,000 ",Coal Harbour,Vancouver,2 bd,2,Apt/Condo
101 5189 Gaston Street,"$699,900 ",Collingwood,Vancouver,2 bd,2,Apt/Condo
200 2033 W 7th Avenue,"$599,000 ",Kitsilano,Vancouver,1 bd,1,Apt/Condo
973 Mainland Street,"$2,198,000 ",Yaletown,Vancouver,3 bd,3,Townhouse
1233 933 Hornby Street,"$679,000 ",Downtown West,Vancouver,1 bd,1,Apt/Condo
1508 W 61st Avenue,"$1,250,000 ",South Granville,Vancouver,3 bd,3,Townhouse
1516 W 61st Avenue,"$1,250,000 ",South Granville,Vancouver,3 bd,3,Townhouse
6210 Larch Street,"$4,199,000 ",Kerrisdale,Vancouver,6 bd,7,House
46 W King Edward Avenue,"$1,699,900 ",Cambie,Vancouver,3 bd,3,Townhouse
33 1425 Lamey's Mill Road,"$599,900 ",False Creek,Vancouver,1 bd,1,Apt/Condo
704 1000 Beach Avenue,"$1,498,000 ",Yaletown,Vancouver,2 bd,2,Apt/Condo
4907 Walden Street,"$1,899,000 ",Main,Vancouver,3 bd,2,House
201 874 W 6th Avenue,"$950,000 ",Fairview,Vancouver,2 bd,2,Apt/Condo
1128 E Pender Street,"$1,175,000 ",Strathcona,Vancouver,2 bd,2,Duplex
205 1330 Hornby Street,"$599,999 ",Downtown West,Vancouver,1 bd,1,Apt/Condo
104 1933 W 5th Avenue,"$699,000 ",Kitsilano,Vancouver,1 bd,1,Apt/Condo
2501 7433 Cambie Street,"$768,900 ",South Cambie,Vancouver,1 bd,1,Apt/Condo
18 6788 Oak Street,"$1,979,000 ",South Cambie,Vancouver,3 bd,3,Townhouse
1371 E 63rd Avenue,"$1,888,000 ",South Vancouver,Vancouver,5 bd,4,Duplex
