Address,Price,N,City,Bedrooms,Bathrooms,Home Type
204 1205 W 14th Avenue,"$819,900 ",Fairview,Vancouver,2 bd,2,Townhouse
1837 Matthews Avenue,"$6,298,000 ",Shaughnessy,Vancouver,6 bd,5,House
4390 Kaslo Street,"$3,651,763 ",Renfrew Heights,Vancouver,0 bd,1,House
2 1328 E 35th Avenue,"$1,698,000 ",Knight,Vancouver,3 bd,4,Duplex
1 2260 E 25th Avenue,"$1,499,000 ",Victoria East,Vancouver,3 bd,4,Duplex
210 5989 Iona Drive,"$1,550,000 ",University (Ubc),Vancouver,2 bd,2,Apt/Condo
2309 1009 Expo Boulevard,"$629,000 ",Yaletown,Vancouver,1 bd,1,Apt/Condo
2 6273 Windsor Street,"$1,628,800 ",Fraser East,Vancouver,3 bd,3,Duplex
485 W 35th Avenue,"$7,380,000 ",Cambie,Vancouver,0 bd,,Land/Lot
5584 Mackenzie Street,"$2,698,000 ",Kerrisdale,Vancouver,5 bd,3,House
202 2973 Kingsway,"$650,000 ",Collingwood,Vancouver,2 bd,2,Apt/Condo
1 6273 Windsor Street,"$1,588,800 ",Fraser East,Vancouver,3 bd,3,Duplex
2262 Newport Avenue,"$1,599,000 ",Fraserview East,Vancouver,4 bd,4,Duplex
1 1328 E 35th Avenue,"$1,648,000 ",Knight,Vancouver,3 bd,4,Duplex
4517 W 4th Avenue,"$6,999,000 ",Point Grey,Vancouver,4 bd,4,House
103 1266 W 13th Avenue,"$679,000 ",Fairview,Vancouver,1 bd,1,Apt/Condo
5630 Lincoln Street,"$1,649,000 ",Collingwood,Vancouver,5 bd,2,House
Ph 2805 1323 Homer Street,"$2,988,888 ",Yaletown,Vancouver,2 bd,2,Apt/Condo
36 4900 Cartier Street,"$2,350,000 ",Shaughnessy,Vancouver,2 bd,3,Townhouse
1112 E 21st Avenue,"$1,899,900 ",Knight,Vancouver,3 bd,2,House
1150 E 41st Avenue,"$1,938,000 ",Knight,Vancouver,6 bd,4,House
