Address,Price,Bedrooms,Bathrooms,Square Footage,Home Type
"1926 Lake Shore Blvd W #1805, Toronto, ON M6S 1A1","C$766,900",2 bds,2 ba,N/A,2 ba
"60 Town Centre Ct #306, Toronto, ON M1P 0B1","C$448,800",1 bd,1 ba,N/A,1 ba
"190 Borough Dr #302, Toronto, ON M1P 0B6","C$759,900",3 bds,2 ba,N/A,2 ba
"1400 Kingston Rd #501, Toronto, ON M1N 0C2","C$679,000",2 bds,2 ba,N/A,2 ba
"102 George Henry Blvd #15, Toronto, ON M2J 1E7","C$499,999",3 bds,2 ba,N/A,2 ba
"9 Valhalla Inn Rd #501, Toronto, ON M9B 0B2","C$549,000",2 bds,1 ba,N/A,1 ba
"31 Twyford Rd, Toronto, ON M9A 1W3","C$6,285,000",5 bds,7 ba,N/A,7 ba
"861 Sheppard Ave W #15, Toronto, ON M3H 2T5","C$888,000",2 bds,2 ba,N/A,2 ba
"125 Western Battery Rd #2207, Toronto, ON M6K 3R8","C$895,000",3 bds,2 ba,N/A,2 ba
"3220 Sheppard Ave E #318, Toronto, ON M1T 0B7","C$897,880",2 bds,2 ba,N/A,2 ba
"1 Oregon Trl, Toronto, ON M9B 1P4","C$3,489,000",6 bds,6 ba,N/A,6 ba
"111 Newton Dr, Toronto, ON M2M 2N2","C$2,268,000",7 bds,4 ba,N/A,4 ba
"278 Bloor St E #905, Toronto, ON M4W 3M4","C$1,525,000",3 bds,2 ba,N/A,2 ba
"30 Anglesey Blvd #G2, Toronto, ON M9A 3B5","C$1,075,000",2 bds,2 ba,N/A,2 ba
"55 Stewart St UNIT 625, Toronto, ON M5V 2V1","C$625,000",1 bd,1 ba,N/A,1 ba
"2191 Yonge St #1708, Toronto, ON M4S 3H8","C$888,000",3 bds,2 ba,N/A,2 ba
"271 Park Home Ave, Toronto, ON M2R 1A1","C$1,499,000",4 bds,3 ba,N/A,3 ba
"1 King St W #2402, Toronto, ON M5H 1A1","C$339,900",1 bd,1 ba,N/A,1 ba
"34 Greengate Rd, Toronto, ON M3B 1E8","C$7,785,000",7 bds,7 ba,N/A,7 ba
"10 Wilby Cres #1603, Toronto, ON M9N 0B6","C$859,000",3 bds,2 ba,N/A,2 ba
"85 Drewry Ave, Toronto, ON M2M 1C9","C$2,745,000",2 bds,1 ba,N/A,1 ba
"5 Whitehall Rd, Toronto, ON M4W 2C5","C$9,488,000",5 bds,8 ba,N/A,8 ba
"66 Fontainbleau Dr, Toronto, ON M2M 1N9","C$999,800",6 bds,4 ba,N/A,4 ba
"57 Saint Joseph St #523, Toronto, ON M5S 0C5","C$989,000",3 bds,2 ba,N/A,2 ba
"365 Beech Ave #219, Toronto, ON M4E 0C2","C$999,900",2 bds,2 ba,N/A,2 ba
"80 Palace Pier Ct #101, Toronto, ON M8V 4C1","C$999,000",2 bds,2 ba,N/A,2 ba
"100 Harrison Garden Blvd #L02, Toronto, ON M2N 0C2","C$599,900",1 bd,1 ba,N/A,1 ba
"70 Forest Manor Rd #3410, Toronto, ON M2J 0A9","C$885,000",2 bds,2 ba,N/A,2 ba
"284 Ellis Ave, Toronto, ON M6S 2X2","C$4,250,000",6 bds,7 ba,N/A,7 ba
"86 17th St, Toronto, ON M8V 3K4","C$999,999",4 bds,4 ba,N/A,4 ba
"3 Dailing Gate, Toronto, ON M1B 1Z3","C$699,000",4 bds,3 ba,N/A,3 ba
"120 Parliament St PENTHOUSE 2404, Toronto, ON M5A 0N6","C$1,069,000",3 bds,2 ba,N/A,2 ba
"218 Pleasant Ave, Toronto, ON M2M 1M5","C$3,490,000",5 bds,7 ba,N/A,7 ba
"210 Westmount Ave, Toronto, ON M6E 3M8","C$899,000",4 bds,3 ba,N/A,3 ba
"11 Carisbrooke Sq, Toronto, ON M1B 4M2","C$1,325,000",6 bds,5 ba,N/A,5 ba
"2335 1/2 Gerrard St E, Toronto, ON M4E 2E6","C$699,900",3 bds,2 ba,N/A,2 ba
"160 Flemington Rd #512, Toronto, ON M6A 0A9","C$574,900",2 bds,2 ba,N/A,2 ba
"39 Bushell Ave, Toronto, ON M4M 3B8","C$1,189,000",4 bds,2 ba,N/A,2 ba
"133 Westminster Ave, Toronto, ON M6R 1N6","C$3,129,999",5 bds,5 ba,N/A,5 ba
"11B Crawford St #11B, Toronto, ON M6K 3M3","C$999,900",3 bds,3 ba,N/A,3 ba
"86 Sloping Sky Mews #TOWNHOUSE 6, Toronto, ON M5V 0B3","C$1,550,000",4 bds,3 ba,N/A,3 ba
