Address,Price,Bedrooms,Bathrooms,Square Footage,Home Type
"Walnut with Open Gable Plan, Midland Downs","$374,500+",4 bds,2 ba,"2,149 sqft",N/A
"101 Clearbrooke Cir, Toronto, ON M9W 2E9","C$998,800",4 bds,3 ba,N/A,N/A
"85 The Bridle Path, Toronto, ON M3C 2P1","C$28,900,000",9 bds,11 ba,N/A,N/A
"85 Emmett Ave #1012, Toronto, ON M6M 5A2","C$499,999",4 bds,2 ba,N/A,N/A
"212 Saint Clair Ave W, Toronto, ON M4V 1R2",C$1,6 bds,6 ba,N/A,N/A
"11 Thornwood Rd, Toronto, ON M4W 2R8","C$20,000,000",5 bds,8 ba,N/A,N/A
"472 Crawford St, Toronto, ON M6G 3J8",C$1,5 bds,3 ba,N/A,N/A
"10 Blakley Ave, Toronto, ON M6N 3Y5","C$548,000",3 bds,2 ba,N/A,N/A
"17 Strath Humber Ct, Toronto, ON M9A 4C8","C$2,289,000",6 bds,5 ba,N/A,N/A
"7 Appleby Ct, Toronto, ON M9B 5A1","C$16,900,000",7 bds,9 ba,N/A,N/A
"18 Munro Park Ave, Toronto, ON M4E 3M3","C$6,999,000",5 bds,5 ba,N/A,N/A
"7 Brimley Rd S #D78, Toronto, ON M1M 3W3","C$490,000",1 bd,2 ba,N/A,N/A
"20/22 Park Lane Cir, Toronto, ON M3B 1Z7","C$29,990,000",8bds,9ba,N/A,N/A
"19 Country Ln, Toronto, ON M2L 1E1","C$19,388,000",7bds,11ba,N/A,N/A
"88 Forest Heights Blvd, Toronto, ON M2L 2K8","C$29,800,000",8bds,11ba,N/A,N/A
"45 Park Lane Cir, Toronto, ON M3C 2N3","C$29,800,000",6bds,9ba,N/A,N/A
"27 South Dr, Toronto, ON M4W 1R2","C$20,800,000",6bds,9ba,N/A,N/A
"17 Ardwold Gate, Toronto, ON M5R 2W1","C$34,500,000",8bds,11ba,N/A,N/A
"1150 Briar Hill Ave #306, Toronto, ON M6B 0A9","C$599,000",3bds,2ba,N/A,N/A
"36 Old Colony Rd, Toronto, ON M2L 2J8","C$6,380,000",4bds,4ba,N/A,N/A
"253 Dunvegan Rd, Toronto, ON M5P 2P5","C$9,885,000",7bds,9ba,N/A,N/A
"45 Bayview Rdg, Toronto, ON M2L 1E3","C$22,500,000",8bds,10ba,N/A,N/A
"112 Mason Blvd, Toronto, ON M5M 3E3","C$4,249,990",4bds,4ba,N/A,N/A
"220 Victoria St #806, Toronto, ON M5B 2R6","C$599,000",3bds,2ba,N/A,N/A
"27 Devondale Ave, Toronto, ON M2R 2C9","C$2,388,000",4bds,4ba,N/A,N/A
"45 Pegasus Trl, Toronto, ON M1G 3N6","C$1,188,000",7bds,4ba,N/A,N/A
"2335 1/2 Gerrard St E, Toronto, ON M4E 2E6","C$699,900",3bds,2ba,N/A,N/A
"73 Fishleigh Dr, Toronto, ON M1N 1H3","C$2,580,000",5bds,2ba,N/A,N/A
"1 Lake Shore Dr, Toronto, ON M8V 1Y9","C$4,250,000",4bds,4ba,N/A,N/A
"12 Gradwell Dr, Toronto, ON M1M 2M9","C$2,750,000",5bds,4ba,N/A,N/A
"79 John St, Toronto, ON M9N 1J6","C$799,000",5bds,2ba,N/A,N/A
"20 Moccasin Trl, Toronto, ON M3C 1Y7","C$1,498,800",4bds,3ba,N/A,N/A
"55 Lynnhaven Rd, Toronto, ON M6A 2K7","C$3,269,999",6bds,7ba,N/A,N/A
"129 Clansman Blvd, Toronto, ON M2H 1Y3","C$1,399,900",4bds,4ba,N/A,N/A
"62 Portico Dr, Toronto, ON M1G 3R6","C$999,900",5bds,2ba,N/A,N/A
"579 Indian Rd, Toronto, ON M6P 2C3","C$2,999,999",9bds,5ba,N/A,N/A
"6 Elward Blvd, Toronto, ON M1L 3L2","C$569,900",3bds,2ba,N/A,N/A
"483 Dupont St #103, Toronto, ON M6G 1Y6","C$849,900",0bds,1ba,N/A,N/A
"55 Regency Sq, Toronto, ON M1E 1N4","C$1,299,000",5bds,2ba,N/A,N/A
"30 High Point Rd, Toronto, ON M3C 2R3","C$28,000,000",8bds,13ba,N/A,N/A
"200 Murison Blvd UNIT 67, Toronto, ON M1B 3R9","C$499,900",3bds,2ba,N/A,N/A
"10 Greenyards Dr, Toronto, ON M2M 2R6","C$1,799,000",5bds,3ba,N/A,N/A
"23 Elba Ave, Toronto, ON M1L 4E9","C$499,999",3bds,2ba,N/A,N/A
