,street address,latitude,longitude,neighbourhood,Income_Class,Crime_Class
72,1550 coal harbour cay #l302,49.291479,-123.128047,downtown,Moderate Class,Severe Crime
73,33 smithe st #802,49.274436,-123.11196,downtown,Moderate Class,Severe Crime
74,1283 howe st #2009,49.277218,-123.128625,downtown,Moderate Class,Severe Crime
75,1492 hornby st,49.275736,-123.131665,downtown,Moderate Class,Severe Crime
76,788 richards st #1108,49.280305,-123.117196,downtown,Moderate Class,Severe Crime
77,128 cordova st w #706,49.282525,-123.107958,downtown,Moderate Class,Severe Crime
78,161 georgia st w #110,49.278805,-123.111556,downtown,Moderate Class,Severe Crime
79,939 homer st #3401,49.278115,-123.119485,downtown,Moderate Class,Severe Crime
80,55 cordova st e #315,49.282595,-123.102962,downtown,Moderate Class,Severe Crime
81,1189 melville st #2104,49.287784,-123.123458,downtown,Moderate Class,Severe Crime
82,277 thurlow st #2601,49.288884,-123.11914,downtown,Moderate Class,Severe Crime
83,128 cordova st w #4004,49.282525,-123.107958,downtown,Moderate Class,Severe Crime
84,33 w pender st #504,49.281126,-123.106294,downtown,Moderate Class,Severe Crime
85,885 cambie st #2104,49.277518,-123.116547,downtown,Moderate Class,Severe Crime
86,1777 bayshore dr #1101,49.292959,-123.132023,downtown,Moderate Class,Severe Crime
87,49 cordova st e,49.282152,-123.103059,downtown,Moderate Class,Severe Crime
88,1188 richards st #402,49.27599,-123.123515,downtown,Moderate Class,Severe Crime
89,1188 howe st #607,49.278315,-123.12697,downtown,Moderate Class,Severe Crime
90,1111 richards st #2705,49.277007,-123.123204,downtown,Moderate Class,Severe Crime
91,1239 georgia st w #2803,49.287732,-123.125626,downtown,Moderate Class,Severe Crime
92,1000 beach ave #704,49.275624,-123.134213,downtown,Moderate Class,Severe Crime
93,1283 howe st #3208,49.277218,-123.128625,downtown,Moderate Class,Severe Crime
94,1499 w pender st #1303,49.289964,-123.128049,downtown,Moderate Class,Severe Crime
95,499 broughton st #1703,49.29059,-123.127174,downtown,Moderate Class,Severe Crime
96,910 beach ave #503,49.275321,-123.133399,downtown,Moderate Class,Severe Crime
97,1616 bayshore dr #202,49.291509,-123.13015,downtown,Moderate Class,Severe Crime
98,1283 howe st #3405,49.277218,-123.128625,downtown,Moderate Class,Severe Crime
99,168 powell st #302,49.282968,-123.100636,downtown,Moderate Class,Severe Crime
100,289 drake st #1405,49.273825,-123.123708,downtown,Moderate Class,Severe Crime
101,1189 howe st #2703,49.278315,-123.12697,downtown,Moderate Class,Severe Crime
102,1289 hornby st #3610,49.277771,-123.129738,downtown,Moderate Class,Severe Crime
103,1199 marinaside cres #3203,49.273129,-123.120638,downtown,Moderate Class,Severe Crime
104,1487 homer st,49.272027,-123.126813,downtown,Moderate Class,Severe Crime
105,689 abbott st #3703,49.278704,-123.106873,downtown,Moderate Class,Severe Crime
106,1600 hornby st #203,49.273984,-123.134119,downtown,Moderate Class,Severe Crime
107,168 powell st #501,49.282968,-123.100636,downtown,Moderate Class,Severe Crime
108,1330 burrard st #217,49.277302,-123.13129,downtown,Moderate Class,Severe Crime
109,1182 quebec st #11,49.27411,-123.101233,downtown,Moderate Class,Severe Crime
110,601 jervis st,49.288547,-123.125844,downtown,Moderate Class,Severe Crime
111,833 seymour st #607,49.280497,-123.119756,downtown,Moderate Class,Severe Crime
112,1480 howe st #5601,49.274891,-123.131173,downtown,Moderate Class,Severe Crime
113,1372 seymour st #4102,49.27459,-123.127563,downtown,Moderate Class,Severe Crime
114,1288 georgia st w penthouse 5,49.288097,-123.126151,downtown,Moderate Class,Severe Crime
115,1283 howe st #2504,49.277218,-123.128625,downtown,Moderate Class,Severe Crime
116,1500 hornby st #1805,49.275736,-123.131665,downtown,Moderate Class,Severe Crime
117,1211 melville st #2404,49.288385,-123.124397,downtown,Moderate Class,Severe Crime
118,1199 marinaside cres unit 3002,49.273129,-123.120638,downtown,Moderate Class,Severe Crime
119,667 howe st #4601,49.283705,-123.119032,downtown,Moderate Class,Severe Crime
120,1177 hornby st #203,49.278837,-123.128065,downtown,Moderate Class,Severe Crime
121,822 homer st #1303,49.279045,-123.116954,downtown,Moderate Class,Severe Crime
122,583 beach cres #1003,49.273589,-123.129221,downtown,Moderate Class,Severe Crime
123,455 beach cres #1102,49.272668,-123.127769,downtown,Moderate Class,Severe Crime
124,1131 homer st,49.276189,-123.12245,downtown,Moderate Class,Severe Crime
125,928 richards st #2002,49.278357,-123.119901,downtown,Moderate Class,Severe Crime
126,550 taylor st unit 1610,49.279776,-123.10558,downtown,Moderate Class,Severe Crime
127,1159 main st #805,49.274261,-123.100494,downtown,Moderate Class,Severe Crime
128,1255 seymour st penthouse 3401,49.276039,-123.126471,downtown,Moderate Class,Severe Crime
129,1238 seymour st #1401,49.275778,-123.125761,downtown,Moderate Class,Severe Crime
130,1335 howe st #1504,49.276569,-123.129609,downtown,Moderate Class,Severe Crime
131,889 pacific st #1606,49.27632,-123.13079,downtown,Moderate Class,Severe Crime
132,939 homer st #1907,49.278115,-123.119485,downtown,Moderate Class,Severe Crime
133,938 beatty st,49.276389,-123.116312,downtown,Moderate Class,Severe Crime
134,1333 hornby st #601,49.277062,-123.130919,downtown,Moderate Class,Severe Crime
135,667 howe st #4801,49.283705,-123.119032,downtown,Moderate Class,Severe Crime
136,811 helmcken st #1702,49.279247,-123.125531,downtown,Moderate Class,Severe Crime
137,233 abbott st #306,49.283322,-123.106927,downtown,Moderate Class,Severe Crime
138,501 pacific st #203,49.274344,-123.12714,downtown,Moderate Class,Severe Crime
139,308 jervis mews,49.289549,-123.123764,downtown,Moderate Class,Severe Crime
140,930 cambie st #1205,49.276672,-123.116591,downtown,Moderate Class,Severe Crime
141,907 beach ave #505,49.275321,-123.133399,downtown,Moderate Class,Severe Crime
142,1275 hamilton st #213,49.274135,-123.123556,downtown,Moderate Class,Severe Crime
143,1159 main st #502,49.274261,-123.100494,downtown,Moderate Class,Severe Crime
144,1625 hornby st #1202,49.27511,-123.133774,downtown,Moderate Class,Severe Crime
145,1238 melville st #2601,49.288222,-123.125361,downtown,Moderate Class,Severe Crime
146,1199 marinaside cres,49.273129,-123.120638,downtown,Moderate Class,Severe Crime
147,1790 bayshore dr penthouse 3,49.292365,-123.132616,downtown,Moderate Class,Severe Crime
148,950 cambie st #2104,49.27625,-123.117257,downtown,Moderate Class,Severe Crime
149,233 robson st #603,49.278324,-123.114214,downtown,Moderate Class,Severe Crime
150,138 hastings st e #605,49.281058,-123.101197,downtown,Moderate Class,Severe Crime
151,150 cordova st e #903,49.282046,-123.100519,downtown,Moderate Class,Severe Crime
152,1077 cordova st w penthouse 4201,49.288396,-123.117833,downtown,Moderate Class,Severe Crime
153,885 cambie st #2500,49.277518,-123.116547,downtown,Moderate Class,Severe Crime
154,1066 hamilton st #205,49.276179,-123.120217,downtown,Moderate Class,Severe Crime
155,1777 bayshore dr penthouse 2,49.292959,-123.132023,downtown,Moderate Class,Severe Crime
156,183 keefer pl #904,49.280356,-123.10826,downtown,Moderate Class,Severe Crime
157,1128 quebec st #1806,49.274651,-123.101142,downtown,Moderate Class,Severe Crime
158,1188 howe st #2303,49.278315,-123.12697,downtown,Moderate Class,Severe Crime
159,1328 w pender st #2807,49.289067,-123.126664,downtown,Moderate Class,Severe Crime
160,1500 howe st #2304,49.274171,-123.132003,downtown,Moderate Class,Severe Crime
161,thk 1111 marinaside crescent,49.273637,-123.116652,downtown,Moderate Class,Severe Crime
162,2302 1499 w pender street,49.289964,-123.128049,downtown,Moderate Class,Severe Crime
163,1310 819 hamilton street,49.278803,-123.116521,downtown,Moderate Class,Severe Crime
164,2610 89 nelson street,49.274967,-123.115376,downtown,Moderate Class,Severe Crime
165,160 1 e cordova street,49.282576,-123.103734,downtown,Moderate Class,Severe Crime
166,4004 128 w cordova street,49.282525,-123.107958,downtown,Moderate Class,Severe Crime
167,503 53 w hastings street,49.282116,-123.106307,downtown,Moderate Class,Severe Crime
168,301 345 water street,49.284779,-123.109806,downtown,Moderate Class,Severe Crime
169,503 910 beach avenue,49.275321,-123.133399,downtown,Moderate Class,Severe Crime
170,1802 1351 continental street,49.276267,-123.128981,downtown,Moderate Class,Severe Crime
171,2402 939 homer street,49.278115,-123.119485,downtown,Moderate Class,Severe Crime
172,203 1177 hornby street,49.278837,-123.128065,downtown,Moderate Class,Severe Crime
173,1903 811 helmcken street,49.279247,-123.125531,downtown,Moderate Class,Severe Crime
174,1102 455 beach crescent,49.272668,-123.127769,downtown,Moderate Class,Severe Crime
175,609 1288 marinaside crescent,49.272079,-123.120377,downtown,Moderate Class,Severe Crime
176,2505 777 richards street,49.280448,-123.118037,downtown,Moderate Class,Severe Crime
177,402 1012 beach avenue,49.271591,-123.12802,downtown,Moderate Class,Severe Crime
178,404 1790 bayshore drive,49.292046,-123.13078,downtown,Moderate Class,Severe Crime
179,607 833 seymour street,49.280497,-123.119756,downtown,Moderate Class,Severe Crime
180,1107 1068 hornby street,49.279642,-123.125742,downtown,Moderate Class,Severe Crime
181,300 1055 homer street,49.276978,-123.121219,downtown,Moderate Class,Severe Crime
182,3404 1335 howe street,49.276569,-123.129609,downtown,Moderate Class,Severe Crime
183,1501 1483 homer street,49.272027,-123.126813,downtown,Moderate Class,Severe Crime
184,1801 1155 seymour street,49.280507,-123.119571,downtown,Moderate Class,Severe Crime
185,811 1325 rolston street,49.275617,-123.127925,downtown,Moderate Class,Severe Crime
186,1204 1188 howe street,49.277764,-123.12779,downtown,Moderate Class,Severe Crime
187,4102 777 richards street,49.280448,-123.118037,downtown,Moderate Class,Severe Crime
188,ph 3401 1255 seymour street,49.276039,-123.126471,downtown,Moderate Class,Severe Crime
189,2301 89 nelson street,49.274967,-123.115376,downtown,Moderate Class,Severe Crime
190,506 55 e cordova street,49.282595,-123.102962,downtown,Moderate Class,Severe Crime
191,402 1188 richards street,49.27599,-123.123515,downtown,Moderate Class,Severe Crime
192,3702 833 seymour street,49.280497,-123.119756,downtown,Moderate Class,Severe Crime
193,1801 183 keefer place,49.279559,-123.106509,downtown,Moderate Class,Severe Crime
194,5203 1480 howe street,49.274891,-123.131173,downtown,Moderate Class,Severe Crime
195,2611 610 granville street,49.28312,-123.116554,downtown,Moderate Class,Severe Crime
196,1506 1188 howe street,49.274171,-123.132003,downtown,Moderate Class,Severe Crime
197,902 1325 rolston street,49.275617,-123.127925,downtown,Moderate Class,Severe Crime
198,2407 1155 seymour street,49.280507,-123.119571,downtown,Moderate Class,Severe Crime
199,1701 1499 w pender street,49.289964,-123.128049,downtown,Moderate Class,Severe Crime
200,3402 1335 howe street,49.276569,-123.129609,downtown,Moderate Class,Severe Crime
201,502 1188 w pender street,49.288054,-123.123095,downtown,Moderate Class,Severe Crime
202,2309 1009 expo boulevard,49.277722,-123.110809,downtown,Moderate Class,Severe Crime
203,ph 2805 1323 homer street,49.273879,-123.126066,downtown,Moderate Class,Severe Crime
204,213 1330 burrard street,49.277302,-123.13129,downtown,Moderate Class,Severe Crime
205,407 590 nicola street,49.29105,-123.128192,downtown,Moderate Class,Severe Crime
206,308 1478 w hastings street,49.290132,-123.127923,downtown,Moderate Class,Severe Crime
207,806 928 beatty street,49.275828,-123.11563,downtown,Moderate Class,Severe Crime
208,1809 1283 howe street,49.277218,-123.128625,downtown,Moderate Class,Severe Crime
209,604 555 jervis street,49.288547,-123.125844,downtown,Moderate Class,Severe Crime
210,2301 501 pacific street,49.274344,-123.12714,downtown,Moderate Class,Severe Crime
211,1806 1128 quebec street,49.274651,-123.101142,downtown,Moderate Class,Severe Crime
212,502 63 keefer place,49.279933,-123.10662,downtown,Moderate Class,Severe Crime
213,584 87 nelson street,49.278959,-123.122848,downtown,Moderate Class,Severe Crime
214,2301 667 howe street,49.283705,-123.119032,downtown,Moderate Class,Severe Crime
215,614 933 seymour street,49.279249,-123.121626,downtown,Moderate Class,Severe Crime
216,1608 788 hamilton street,49.278743,-123.115035,downtown,Moderate Class,Severe Crime
217,906 833 seymour street,49.280497,-123.119756,downtown,Moderate Class,Severe Crime
218,312 5077 cambie street,49.283044,-123.109049,downtown,Moderate Class,Severe Crime
219,ph7 1082 seymour street,49.277631,-123.122958,downtown,Moderate Class,Severe Crime
220,1107 1199 marinaside crescent,49.273637,-123.116652,downtown,Moderate Class,Severe Crime
221,2510 1111 richards street,49.277007,-123.123204,downtown,Moderate Class,Severe Crime
222,3111 1289 hornby street,49.277708,-123.129641,downtown,Moderate Class,Severe Crime
223,2302 1325 rolston street,49.275617,-123.127925,downtown,Moderate Class,Severe Crime
224,407 370 carrall street,49.281793,-123.104127,downtown,Moderate Class,Severe Crime
225,1102 909 mainland street,49.275148,-123.120702,downtown,Moderate Class,Severe Crime
226,3002 33 smithe street,49.274436,-123.11196,downtown,Moderate Class,Severe Crime
227,1804 1239 w georgia street,49.287732,-123.125626,downtown,Moderate Class,Severe Crime
228,973 mainland street,49.277571,-123.118543,downtown,Moderate Class,Severe Crime
229,1233 933 hornby street,49.281533,-123.12422,downtown,Moderate Class,Severe Crime
230,704 1000 beach avenue,49.275624,-123.134213,downtown,Moderate Class,Severe Crime
231,205 1330 hornby street,49.276772,-123.130194,downtown,Moderate Class,Severe Crime
232,1000 499 pacific street,49.273876,-123.126998,downtown,Moderate Class,Severe Crime
233,3902 1033 marinaside crescent,49.273637,-123.116652,downtown,Moderate Class,Severe Crime
234,2001 198 aquarius mews,49.273824,-123.119616,downtown,Moderate Class,Severe Crime
235,1603 939 expo boulevard,49.277722,-123.110809,downtown,Moderate Class,Severe Crime
236,908 189 keefer street,49.279725,-123.100172,downtown,Moderate Class,Severe Crime
237,3601 1438 richards street,49.273201,-123.12775,downtown,Moderate Class,Severe Crime
238,202 983 e hastings street,49.282178,-123.110244,downtown,Moderate Class,Severe Crime
239,501 1255 main street,49.273589,-123.100527,downtown,Moderate Class,Severe Crime
240,87 e cordova street,49.282073,-123.102643,downtown,Moderate Class,Severe Crime
241,2801 535 smithe street,49.279553,-123.119352,downtown,Moderate Class,Severe Crime
242,604 55 alexander street,49.283791,-123.102967,downtown,Moderate Class,Severe Crime
243,2901 1483 homer street,49.272027,-123.126813,downtown,Moderate Class,Severe Crime
244,1107 822 homer street,49.279045,-123.116954,downtown,Moderate Class,Severe Crime
245,2703 667 howe street,49.283705,-123.119032,downtown,Moderate Class,Severe Crime
246,1906 888 hamilton street,49.278011,-123.116673,downtown,Moderate Class,Severe Crime
247,1116 610 granville street,49.283215,-123.116534,downtown,Moderate Class,Severe Crime
248,4509 1289 hornby street,49.277708,-123.129641,downtown,Moderate Class,Severe Crime
249,505 833 homer street,49.279404,-123.117734,downtown,Moderate Class,Severe Crime
250,809 1333 w georgia street,49.28899,-123.127532,downtown,Moderate Class,Severe Crime
251,3405 1283 howe street,49.277218,-123.128625,downtown,Moderate Class,Severe Crime
252,504 36 water street,49.283372,-123.10525,downtown,Moderate Class,Severe Crime
253,2002 928 richards street,49.278357,-123.119901,downtown,Moderate Class,Severe Crime
254,2903 583 beach crescent,49.273589,-123.129221,downtown,Moderate Class,Severe Crime
255,1101 1777 bayshore drive,49.292046,-123.13078,downtown,Moderate Class,Severe Crime
256,503 1495 richards street,49.283281,-123.113486,downtown,Moderate Class,Severe Crime
257,2701 1372 seymour street,49.27459,-123.127563,downtown,Moderate Class,Severe Crime
258,1108 66 w cordova street,49.282561,-123.106278,downtown,Moderate Class,Severe Crime
259,2303 1188 howe street,49.281089,-123.122333,downtown,Moderate Class,Severe Crime
260,ph3 1790 bayshore drive,49.292365,-123.132616,downtown,Moderate Class,Severe Crime
261,tha 1199 marinaside crescent,49.273129,-123.120638,downtown,Moderate Class,Severe Crime
262,3688 w 49th ave,49.227055,-123.186489,dunbar southlands,High Class,Minor Crime
263,4053 w 32nd ave,49.243624,-123.195417,dunbar southlands,High Class,Minor Crime
264,3542 w 16th ave,49.257558,-123.183274,dunbar southlands,High Class,Minor Crime
265,3363 w 19th ave,49.25581,-123.179967,dunbar southlands,High Class,Minor Crime
266,4930 dunbar st,49.241926,-123.184888,dunbar southlands,High Class,Minor Crime
267,3803 w 26th ave,49.249287,-123.18835,dunbar southlands,High Class,Minor Crime
268,3908 w 17th ave,49.257166,-123.191147,dunbar southlands,High Class,Minor Crime
269,3538 w 30th ave,49.244942,-123.183169,dunbar southlands,High Class,Minor Crime
270,3668 w 28th ave,49.246845,-123.186095,dunbar southlands,High Class,Minor Crime
271,3256 w 21st ave,49.253472,-123.177205,dunbar southlands,High Class,Minor Crime
272,3982 w 35th ave,49.240226,-123.193184,dunbar southlands,High Class,Minor Crime
273,4007 w 19th ave,49.255859,-123.193925,dunbar southlands,High Class,Minor Crime
274,3838 w 50th ave,49.226212,-123.189398,dunbar southlands,High Class,Minor Crime
275,4085 puget dr,49.250233,-123.171175,dunbar southlands,High Class,Minor Crime
276,3108 w 31st ave,49.243946,-123.174462,dunbar southlands,High Class,Minor Crime
277,3589 w 35th ave,49.240627,-123.184898,dunbar southlands,High Class,Minor Crime
278,4006 w 34th ave,49.241167,-123.193962,dunbar southlands,High Class,Minor Crime
279,3885 w 35th ave,49.240751,-123.190514,dunbar southlands,High Class,Minor Crime
280,3852 w 50th ave,49.226214,-123.189675,dunbar southlands,High Class,Minor Crime
281,3429 w 42nd ave,49.234078,-123.18096,dunbar southlands,High Class,Minor Crime
282,3579 w 50th ave,49.226887,-123.184548,dunbar southlands,High Class,Minor Crime
283,3522 sw marine dr,49.229891,-123.182894,dunbar southlands,High Class,Minor Crime
284,3853 king edward ave w,49.250415,-123.18972,dunbar southlands,High Class,Minor Crime
285,3518 king edward ave w,49.249672,-123.182512,dunbar southlands,High Class,Minor Crime
286,5808 crown st,49.233799,-123.193358,dunbar southlands,High Class,Minor Crime
287,3641 w 29th ave #201,49.24639,-123.185903,dunbar southlands,High Class,Minor Crime
288,3941 w 33rd ave,49.242655,-123.19211,dunbar southlands,High Class,Minor Crime
289,3337 quesnel dr,49.256448,-123.179346,dunbar southlands,High Class,Minor Crime
290,3839 w 35th ave,49.240746,-123.189258,dunbar southlands,High Class,Minor Crime
291,3123 w 27th ave,49.248277,-123.174557,dunbar southlands,High Class,Minor Crime
292,4042 w 34th avenue,49.241176,-123.195008,dunbar southlands,High Class,Minor Crime
293,1 3830 w 23rd avenue,49.25172,-123.188969,dunbar southlands,High Class,Minor Crime
294,2 3772 w 20th avenue,49.254414,-123.187582,dunbar southlands,High Class,Minor Crime
295,1 3772 w 20th avenue,49.254414,-123.187582,dunbar southlands,High Class,Minor Crime
296,3868 w 23rd avenue,49.251723,-123.189695,dunbar southlands,High Class,Minor Crime
297,3108 w 31st avenue,49.243946,-123.174462,dunbar southlands,High Class,Minor Crime
298,3529 w 34th avenue,49.24167,-123.183031,dunbar southlands,High Class,Minor Crime
299,3007 w 32nd avenue,49.243534,-123.173232,dunbar southlands,High Class,Minor Crime
300,14 sennok crescent,49.235706,-123.204562,dunbar southlands,High Class,Minor Crime
301,2984 w 31st avenue,49.243942,-123.172383,dunbar southlands,High Class,Minor Crime
302,1201 lameys mill rd #22,49.267408,-123.134371,fairview,Moderate Class,Minor Crime
303,1042 ironwork pass,49.268132,-123.128577,fairview,Moderate Class,Minor Crime
304,1425 lameys mill rd #10,49.268443,-123.135844,fairview,Moderate Class,Minor Crime
305,1101 w 8th ave #11,49.264598,-123.129408,fairview,Moderate Class,Minor Crime
306,1350 w 6th ave #17,49.265879,-123.135055,fairview,Moderate Class,Minor Crime
307,1205 w 7th ave,49.265,-123.131574,fairview,Moderate Class,Minor Crime
308,1869 spyglass pl #213,49.268648,-123.115807,fairview,Moderate Class,Minor Crime
309,874 w 6th ave #201,49.265695,-123.123456,fairview,Moderate Class,Minor Crime
310,1596 w 14th ave #1b,49.258663,-123.140522,fairview,Moderate Class,Minor Crime
311,2229 oak st,49.265755,-123.127872,fairview,Moderate Class,Minor Crime
312,1210 w 8th ave #207,49.264145,-123.132201,fairview,Moderate Class,Minor Crime
313,1717 w 13th ave #115,49.260182,-123.144071,fairview,Moderate Class,Minor Crime
314,1468 w 14th ave #703,49.258615,-123.137357,fairview,Moderate Class,Minor Crime
315,1633 w 8th ave #506,49.264789,-123.141695,fairview,Moderate Class,Minor Crime
316,1502 island park walk #301,49.270581,-123.139126,fairview,Moderate Class,Minor Crime
317,1068 w 15th ave,49.257605,-123.128894,fairview,Moderate Class,Minor Crime
318,1450 w 6th ave #307,49.265704,-123.137742,fairview,Moderate Class,Minor Crime
319,1735 w 16th ave,49.25741,-123.144543,fairview,Moderate Class,Minor Crime
320,1616 w 13th ave #502,49.259605,-123.141727,fairview,Moderate Class,Minor Crime
321,693 moberly rd,49.267062,-123.120499,fairview,Moderate Class,Minor Crime
322,750 w 6th ave,49.265658,-123.121194,fairview,Moderate Class,Minor Crime
323,1502 island park walk #107,49.270581,-123.139126,fairview,Moderate Class,Minor Crime
324,964 w 15th ave,49.25762,-123.126543,fairview,Moderate Class,Minor Crime
325,2838 birch st #3,49.260004,-123.133506,fairview,Moderate Class,Minor Crime
326,939 w 7th ave #26,49.265369,-123.125488,fairview,Moderate Class,Minor Crime
327,2209 alder st,49.265802,-123.131605,fairview,Moderate Class,Minor Crime
328,2411 heather st #1801,49.264583,-123.120097,fairview,Moderate Class,Minor Crime
329,2243 oak st,49.265755,-123.127872,fairview,Moderate Class,Minor Crime
330,2851 heather st #604,49.260073,-123.120956,fairview,Moderate Class,Minor Crime
331,3088 laurel st,49.258406,-123.124134,fairview,Moderate Class,Minor Crime
332,1130 ironwork pass,49.268132,-123.128577,fairview,Moderate Class,Minor Crime
333,1557 mariner walk,49.27023,-123.139812,fairview,Moderate Class,Minor Crime
334,1425 lameys mill rd #33,49.268443,-123.135844,fairview,Moderate Class,Minor Crime
335,690 w 6th ave,49.265627,-123.120135,fairview,Moderate Class,Minor Crime
336,1445 marpole ave #508,49.257539,-123.138386,fairview,Moderate Class,Minor Crime
337,688 w 6th ave,49.265627,-123.120135,fairview,Moderate Class,Minor Crime
338,1296 w 6th ave,49.265875,-123.133367,fairview,Moderate Class,Minor Crime
339,1075 w 13th ave #203,49.25993,-123.128457,fairview,Moderate Class,Minor Crime
340,1450 pennyfarthing dr #1003,49.272062,-123.141305,fairview,Moderate Class,Minor Crime
341,1530 w 8th ave #805,49.264277,-123.139811,fairview,Moderate Class,Minor Crime
342,1318 w 6th ave #201,49.26586,-123.134113,fairview,Moderate Class,Minor Crime
343,ph610 1540 w 2nd avenue,49.269418,-123.139838,fairview,Moderate Class,Minor Crime
344,115 1717 w 13th avenue,49.260182,-123.144071,fairview,Moderate Class,Minor Crime
345,688 w 6th avenue,49.265627,-123.120135,fairview,Moderate Class,Minor Crime
346,213 1869 spyglass place,49.268942,-123.115296,fairview,Moderate Class,Minor Crime
347,703 1468 w 14th avenue,49.258615,-123.137357,fairview,Moderate Class,Minor Crime
348,208 788 w 8th avenue,49.263975,-123.12148,fairview,Moderate Class,Minor Crime
349,204 788 w 8th avenue,49.263975,-123.12148,fairview,Moderate Class,Minor Crime
350,205 788 w 8th avenue,49.263975,-123.12148,fairview,Moderate Class,Minor Crime
351,202 788 w 8th avenue,49.263975,-123.12148,fairview,Moderate Class,Minor Crime
352,201 788 w 8th avenue,49.263975,-123.12148,fairview,Moderate Class,Minor Crime
353,105 788 w 8th avenue,49.263975,-123.12148,fairview,Moderate Class,Minor Crime
354,l02 788 w 8th avenue,49.263975,-123.12148,fairview,Moderate Class,Minor Crime
355,101 788 w 8th avenue,49.263975,-123.12148,fairview,Moderate Class,Minor Crime
356,l01 788 w 8th avenue,49.263975,-123.12148,fairview,Moderate Class,Minor Crime
357,208 633 w 16th avenue,49.257235,-123.119081,fairview,Moderate Class,Minor Crime
358,1110 w 15th avenue,49.257618,-123.129723,fairview,Moderate Class,Minor Crime
359,802 1565 w 6th avenue,49.266491,-123.140068,fairview,Moderate Class,Minor Crime
360,17 1350 w 6th avenue,49.265879,-123.135055,fairview,Moderate Class,Minor Crime
361,301 1502 island park walk,49.270581,-123.139126,fairview,Moderate Class,Minor Crime
362,201 1318 w 6th avenue,49.26586,-123.134113,fairview,Moderate Class,Minor Crime
363,103 788 w 8th avenue,49.263975,-123.12148,fairview,Moderate Class,Minor Crime
364,203 788 w 8th avenue,49.263975,-123.12148,fairview,Moderate Class,Minor Crime
365,206 788 w 8th avenue,49.263975,-123.12148,fairview,Moderate Class,Minor Crime
366,102 788 w 8th avenue,49.263975,-123.12148,fairview,Moderate Class,Minor Crime
