Neighbourhood,Unnamed: 0,Street address,Zip/Postal Code,Latitude,Longitude,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area_0.5,Railway Station in area_0.5,School in area_0.5,Supermarket in area_0.5,Bus Stop in area_0.5,Pub in area_0.5,Restaurant in area_0.5,Cafe in area_0.5,Dentist in area_0.5,Fast Food in area_0.5,Kindergartens in area_0.5,Malls in area_0.5,Play Ground in area_0.5,Parks in area_0.5,Post Office in area_0.5,Hospital in area_1.0,Railway Station in area_1.0,School in area_1.0,Supermarket in area_1.0,Bus Stop in area_1.0,Pub in area_1.0,Restaurant in area_1.0,Cafe in area_1.0,Dentist in area_1.0,Fast Food in area_1.0,Kindergartens in area_1.0,Malls in area_1.0,Play Ground in area_1.0,Parks in area_1.0,Post Office in area_1.0,Hospital in area_1.5,Railway Station in area_1.5,School in area_1.5,Supermarket in area_1.5,Bus Stop in area_1.5,Pub in area_1.5,Restaurant in area_1.5,Cafe in area_1.5,Dentist in area_1.5,Fast Food in area_1.5,Kindergartens in area_1.5,Malls in area_1.5,Play Ground in area_1.5,Parks in area_1.5,Post Office in area_1.5,geometry,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year),Class 6G,Class 5G,Class 4G,Class 3G,Class 2G,Class 1G,Class 6G_T,Class 5G_T,Class 4G_T,Class 3G_T,Class 2G_T,Class 1G_T
church-wellesley,556,85 Bloor St E #1709,M4W3Y1,43.670479,-79.384571,Downtown Toronto,485000,2 bds,1 ba,,0,1,0,8,15,6,47,29,0,33,0,0,0,0,1,1,4,48,10,70,12,117,60,0,87,0,0,0,0,2,3,8,89,23,136,20,191,105,0,141,0,0,0,0,3,POINT (-79.384571 43.670479),2861,572,1669,334,779,156,413,83,4575,7150,3045,3160,1805,785,4675,8275,3690,2615,650,600
church-wellesley,908,1510 - 35 Hayden St E,,43.66955,-79.384654,,655000,1,1,,0,2,0,8,15,9,51,32,0,34,0,0,0,0,2,2,4,50,14,69,14,129,66,0,104,0,0,0,0,3,5,8,104,24,143,21,199,114,0,159,0,0,0,0,4,POINT (-79.384654 43.66955),2861,572,1669,334,779,156,413,83,4575,7150,3045,3160,1805,785,4675,8275,3690,2615,650,600
church-wellesley,961,1401 - 55 Charles St E,,43.668965,-79.383546,,799000,1,1,,1,2,0,8,19,6,48,25,0,31,0,0,0,0,1,2,5,48,16,68,16,132,70,0,106,0,0,0,0,3,5,8,104,26,144,19,209,123,0,175,0,0,0,0,4,POINT (-79.383546 43.668965),2861,572,1669,334,779,156,413,83,4575,7150,3045,3160,1805,785,4675,8275,3690,2615,650,600
church-wellesley,1000,1101 - 100 Hayden St,,43.670504,-79.381661,,685000,1,1,,0,1,5,4,5,3,20,14,0,22,0,0,0,0,0,1,4,25,13,71,13,105,52,0,83,0,0,0,0,3,2,7,85,26,137,19,195,95,0,133,0,0,0,0,3,POINT (-79.381661 43.670504),2861,572,1669,334,779,156,413,83,4575,7150,3045,3160,1805,785,4675,8275,3690,2615,650,600
church-wellesley,1006,301 - 30 Hayden St,,43.66987,-79.385006,,499900,1,1,,0,1,0,8,15,8,50,33,0,38,0,0,0,0,2,2,5,48,11,70,13,125,62,0,89,0,0,0,0,2,4,8,99,23,144,20,197,109,0,143,0,0,0,0,3,POINT (-79.385006 43.66987),2861,572,1669,334,779,156,413,83,4575,7150,3045,3160,1805,785,4675,8275,3690,2615,650,600
church-wellesley,1028,#1008 - 1 Bloor St E,,43.670123,-79.38623,,919900,2,2,,0,2,3,8,20,8,55,34,0,44,0,0,0,0,2,2,4,46,10,71,12,121,62,0,91,0,0,0,0,2,6,9,110,21,145,20,192,113,0,141,0,0,0,0,3,POINT (-79.38623 43.670123),2861,572,1669,334,779,156,413,83,4575,7150,3045,3160,1805,785,4675,8275,3690,2615,650,600
church-wellesley,1127,408 - 17 Dundonald St,,43.665904,-79.383493,,599900,2,1,,1,1,0,4,21,6,63,20,0,38,0,0,0,0,1,3,4,61,19,67,17,144,77,0,123,0,0,0,0,3,7,9,123,27,143,22,256,151,0,237,0,0,0,0,5,POINT (-79.383493 43.665904),2861,572,1669,334,779,156,413,83,4575,7150,3045,3160,1805,785,4675,8275,3690,2615,650,600
church-wellesley,1129,103 Gloucester St,,43.667537,-79.379921,,2250000,6,3,,1,1,6,2,9,5,20,11,0,13,0,0,0,0,0,1,4,29,20,63,15,115,56,0,94,0,0,0,0,3,3,9,94,30,143,21,243,129,0,210,0,0,0,0,4,POINT (-79.379921 43.667537),2861,572,1669,334,779,156,413,83,4575,7150,3045,3160,1805,785,4675,8275,3690,2615,650,600
clairlea-birchmount,412,564 Pharmacy Ave,M1L3G9,43.707103,-79.289985,Scarborough,850000,4 bds,2 ba,,0,0,1,0,14,0,1,1,0,3,0,0,0,0,0,0,0,1,0,51,0,3,1,0,4,0,0,0,0,1,0,2,4,0,114,0,4,1,0,4,0,0,0,0,1,POINT (-79.289985 43.707103),2772,554,1362,272,819,164,591,118,4695,8980,3175,2590,1265,380,4855,10165,3315,2115,385,270
clairlea-birchmount,682,21 Fusilier Dr,M1L0C2,43.717232,-79.279496,Scarborough,899900,3 bds,3 ba,,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,40,0,1,0,0,0,0,0,0,0,0,0,1,3,2,73,0,12,2,0,16,0,0,0,0,0,POINT (-79.279496 43.717232),2772,554,1362,272,819,164,591,118,4695,8980,3175,2590,1265,380,4855,10165,3315,2115,385,270
clairlea-birchmount,756,3632a St Clair Avenue E,,43.709125,-79.293489,,699900,4,4,,0,0,0,0,23,0,3,1,0,3,0,0,0,0,1,0,0,3,0,59,0,4,1,0,4,0,0,0,0,1,0,0,7,0,100,0,8,1,0,4,0,0,0,0,1,POINT (-79.293489 43.709125),2772,554,1362,272,819,164,591,118,4695,8980,3175,2590,1265,380,4855,10165,3315,2115,385,270
clairlea-birchmount,992,5 - 40 Mendelssohn Street W,,43.71555,-79.281694,,759000,2,2,,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,1,4,2,77,0,13,2,0,15,0,0,0,0,0,POINT (-79.281694 43.71555),2772,554,1362,272,819,164,591,118,4695,8980,3175,2590,1265,380,4855,10165,3315,2115,385,270
clairlea-birchmount,1014,30 Fusilier Dr,,43.717641,-79.279203,,939999,3,2,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,40,0,1,0,0,0,0,0,0,0,0,0,1,3,2,69,0,12,1,0,14,0,0,0,0,0,POINT (-79.279203 43.717641),2772,554,1362,272,819,164,591,118,4695,8980,3175,2590,1265,380,4855,10165,3315,2115,385,270
clanton park,75,861 Sheppard Ave W #15,M3H2T5,43.752102,-79.453675,North York,888000,2 bds,2 ba,,0,0,1,0,15,0,5,2,0,4,0,0,0,0,0,0,0,4,0,39,0,5,2,0,4,0,0,0,0,0,0,1,6,0,72,0,7,2,0,8,0,0,0,0,0,POINT (-79.453675 43.752102),1698,340,509,102,828,166,361,72,2950,5410,2025,1905,1075,840,3040,6180,2185,1630,455,710
clanton park,168,897 Sheppard Ave W #202,M3H2T4,43.751649,-79.455201,North York,489000,1 bd,1 ba,713 sqft,0,0,0,0,15,0,4,2,0,3,0,0,0,0,0,0,1,3,0,50,0,5,2,0,4,0,0,0,0,0,0,1,6,0,76,0,8,3,0,10,0,0,0,0,0,POINT (-79.455201 43.751649),1698,340,509,102,828,166,361,72,2950,5410,2025,1905,1075,840,3040,6180,2185,1630,455,710
clanton park,552,2 Josephine Rd,M3H3G4,43.743761,-79.447819,North York,1879000,5 bds,4 ba,,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,1,6,0,64,0,17,4,0,13,0,0,0,0,0,POINT (-79.447819 43.743761),1698,340,509,102,828,166,361,72,2950,5410,2025,1905,1075,840,3040,6180,2185,1630,455,710
clanton park,666,8 Tippett Rd #801,M3H0E7,43.732384,-79.446637,North York,509000,1 bd,1 ba,,0,1,1,0,4,0,1,1,0,0,0,0,0,0,0,0,2,4,0,55,0,6,6,0,26,0,0,0,0,0,0,2,6,1,101,0,21,11,0,35,0,0,0,0,0,POINT (-79.446637 43.732384),1698,340,509,102,828,166,361,72,2950,5410,2025,1905,1075,840,3040,6180,2185,1630,455,710
clanton park,705,608 - 801 Sheppard Ave W,,43.752922,-79.449493,,589900,2,2,,0,0,2,0,10,0,3,0,0,2,0,0,0,0,0,0,0,4,0,28,0,7,2,0,8,0,0,0,0,0,0,1,8,1,72,0,10,3,0,10,0,0,0,0,1,POINT (-79.449493 43.752922),1698,340,509,102,828,166,361,72,2950,5410,2025,1905,1075,840,3040,6180,2185,1630,455,710
clanton park,746,96 King High Ave,,43.740725,-79.446355,,1599900,7,5,,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1,4,0,28,0,5,1,0,1,0,0,0,0,0,0,1,7,0,69,0,18,4,0,9,0,0,0,0,0,POINT (-79.446355 43.740725),1698,340,509,102,828,166,361,72,2950,5410,2025,1905,1075,840,3040,6180,2185,1630,455,710
clanton park,821,801 - 8 Tippett Road,,43.732384,-79.446637,,459000,1,1,,0,1,1,0,4,0,1,1,0,0,0,0,0,0,0,0,2,4,0,55,0,6,6,0,26,0,0,0,0,0,0,2,6,1,101,0,21,11,0,35,0,0,0,0,0,POINT (-79.446637 43.732384),1698,340,509,102,828,166,361,72,2950,5410,2025,1905,1075,840,3040,6180,2185,1630,455,710
clanton park,860,28 Joel Swirsky Blvd,,43.746583,-79.45106,,2599900,5,6,,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,25,0,5,2,0,3,0,0,0,0,0,0,2,6,0,72,0,8,3,0,9,0,0,0,0,0,POINT (-79.45106 43.746583),1698,340,509,102,828,166,361,72,2950,5410,2025,1905,1075,840,3040,6180,2185,1630,455,710
clanton park,1005,326 - 38 Monte Kwinter Crt,,43.733592,-79.448826,,519999,2,1,,0,1,0,0,17,0,3,1,0,3,0,0,0,0,0,0,1,4,0,41,0,6,6,0,27,0,0,0,0,0,0,2,5,1,85,0,18,12,0,34,0,0,0,0,0,POINT (-79.448826 43.733592),1698,340,509,102,828,166,361,72,2950,5410,2025,1905,1075,840,3040,6180,2185,1630,455,710
cliffcrest,48,32 Lyme Regis Cres,M1M1E4,43.718741,-79.228161,Scarborough,3350000,5 bds,5 ba,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,16,1,10,0,0,5,0,0,0,0,1,0,0,8,2,39,1,10,0,0,7,0,0,0,0,1,POINT (-79.228161 43.718741),1416,283,635,127,426,85,355,71,2745,5325,1765,1555,1020,525,2875,5850,1950,1420,485,345
cliffcrest,226,7 Brimley Rd S #D78,M1M3W3,43.706276,-79.231863,Scarborough,490000,1 bd,2 ba,,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,9,0,1,0,0,1,0,0,0,0,0,POINT (-79.231863 43.706276),1416,283,635,127,426,85,355,71,2745,5325,1765,1555,1020,525,2875,5850,1950,1420,485,345
cliffcrest,242,12 Gradwell Dr,M1M2M9,43.71325,-79.235129,Scarborough,2750000,5bds,4ba,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,20,0,5,0,0,3,0,0,0,0,0,0,0,9,2,46,0,8,0,0,6,0,0,0,0,1,POINT (-79.235129 43.71325),1416,283,635,127,426,85,355,71,2745,5325,1765,1555,1020,525,2875,5850,1950,1420,485,345
cliffcrest,532,186 Phyllis Ave,M1M1Y8,43.730854,-79.230523,Scarborough,2750000,6 bds,7 ba,,0,0,1,0,10,0,2,0,0,1,0,0,0,0,0,0,1,7,0,24,1,4,0,0,2,0,0,0,0,1,0,1,13,3,54,1,11,2,0,8,0,0,0,0,1,POINT (-79.230523 43.730854),1416,283,635,127,426,85,355,71,2745,5325,1765,1555,1020,525,2875,5850,1950,1420,485,345
cliffcrest,723,89 Cree Ave,,43.731936,-79.228243,,999900,4,2,,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,1,8,0,26,1,4,0,0,2,0,0,0,0,1,0,1,12,3,58,1,10,2,0,14,0,0,0,0,1,POINT (-79.228243 43.731936),1416,283,635,127,426,85,355,71,2745,5325,1765,1555,1020,525,2875,5850,1950,1420,485,345
cliffcrest,724,101 Harewood Ave,,43.722271,-79.234402,,899000,2,1,,0,0,4,2,13,0,6,0,0,4,0,0,0,0,0,0,0,9,2,40,1,9,0,0,6,0,0,0,0,1,0,0,13,2,60,1,10,0,0,6,0,0,0,0,1,POINT (-79.234402 43.722271),1416,283,635,127,426,85,355,71,2745,5325,1765,1555,1020,525,2875,5850,1950,1420,485,345
corso italia-davenport,265,1778 Dufferin St,M6E3P4,43.680272,-79.444278,York,997000,5 bds,4 ba,,0,0,3,0,7,0,19,5,0,7,0,0,0,0,0,0,0,5,1,56,1,43,18,0,15,0,0,0,0,0,0,0,10,2,108,3,53,25,0,20,0,0,0,0,1,POINT (-79.444278 43.680272),1083,217,541,108,379,76,163,33,2115,4340,1475,1575,850,550,2205,4910,1710,1405,295,405
corso italia-davenport,519,237 McRoberts Ave,M6E4P3,43.681676,-79.455673,York,699000,4 bds,2 ba,,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,2,1,31,0,18,9,0,2,0,0,0,0,0,0,0,4,2,91,1,43,13,0,13,0,0,0,0,1,POINT (-79.455673 43.681676),1083,217,541,108,379,76,163,33,2115,4340,1475,1575,850,550,2205,4910,1710,1405,295,405
corso italia-davenport,886,181 Earlscourt Ave,,43.682609,-79.449359,,799900,3,2,,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,4,1,41,0,26,11,0,6,0,0,0,0,0,0,0,9,1,97,1,58,23,0,25,0,0,0,0,1,POINT (-79.449359 43.682609),1083,217,541,108,379,76,163,33,2115,4340,1475,1575,850,550,2205,4910,1710,1405,295,405
danforth,287,717 Greenwood Ave,M4J4B6,43.683375,-79.332915,East York,1029000,3 bds,2 ba,,0,1,0,0,10,2,1,2,0,1,0,0,0,0,0,0,2,3,1,51,2,4,6,0,7,0,0,0,0,0,1,4,10,3,126,3,16,12,0,18,0,0,0,0,0,POINT (-79.332915 43.683375),752,150,325,65,220,44,207,41,1410,2550,905,1020,895,725,1450,2890,1055,1120,395,600
danforth,848,7 Woodycrest Ave,,43.680213,-79.34178,,1388000,5,3,,0,2,2,3,18,1,7,6,0,9,0,0,0,0,0,0,2,7,3,52,2,31,11,0,12,0,0,0,0,0,0,4,21,6,107,6,61,29,0,30,0,0,0,0,0,POINT (-79.34178 43.680213),752,150,325,65,220,44,207,41,1410,2550,905,1020,895,725,1450,2890,1055,1120,395,600
don valley village,210,6 Esterbrooke Ave #82,M2J2C2,43.779624,-79.352763,North York,579000,2 bds,1 ba,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,3,2,43,2,1,3,0,5,0,0,0,0,0,0,1,9,2,74,2,3,5,0,21,0,0,0,0,3,POINT (-79.352763 43.779624),1944,389,723,145,758,152,463,93,5595,8880,3030,2425,1495,480,5785,9935,3155,2135,540,360
don valley village,900,100 Rusty Crestway,,43.788441,-79.355423,,859000,3,2,,0,0,3,0,19,2,0,1,0,5,0,0,0,0,0,0,0,7,2,42,2,5,2,0,6,0,0,0,0,1,0,0,12,4,79,2,17,4,0,7,0,0,0,0,4,POINT (-79.355423 43.788441),1944,389,723,145,758,152,463,93,5595,8880,3030,2425,1495,480,5785,9935,3155,2135,540,360
dorset park,393,301 Prudential Dr #1701,M1P4V3,43.749918,-79.268628,Scarborough,325000,2 bds,1 ba,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,0,5,3,0,11,0,0,0,0,0,0,0,7,3,56,0,10,3,0,12,0,0,0,0,1,POINT (-79.268628 43.749918),2362,472,1023,205,817,163,522,104,4695,9315,2880,1785,705,120,4815,10335,2840,1255,200,75
dorset park,407,1950 Kennedy Rd #706,M1P4S9,43.767632,-79.282853,Scarborough,539000,3 bds,1 ba,,0,0,0,1,15,0,6,1,0,1,0,0,0,0,0,0,0,0,1,22,0,10,6,0,4,0,0,0,0,0,0,0,0,1,60,1,13,7,0,7,0,0,0,0,0,POINT (-79.282853 43.767632),2362,472,1023,205,817,163,522,104,4695,9315,2880,1785,705,120,4815,10335,2840,1255,200,75
dorset park,687,128 Shropshire Dr,,43.758979,-79.281764,,1149000,4,2,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,10,3,0,2,0,0,0,0,0,0,0,3,2,74,1,16,8,0,13,0,0,0,0,1,POINT (-79.281764 43.758979),2362,472,1023,205,817,163,522,104,4695,9315,2880,1785,705,120,4815,10335,2840,1255,200,75
dorset park,862,939 - 18 Mondeo Dr,,43.76543,-79.288231,,499975,1,1,,0,0,0,0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,30,1,6,3,0,2,0,0,0,0,0,0,0,0,2,53,1,10,6,0,5,0,0,0,0,0,POINT (-79.288231 43.76543),2362,472,1023,205,817,163,522,104,4695,9315,2880,1785,705,120,4815,10335,2840,1255,200,75
dorset park,939,54 Flintridge Rd,,43.744651,-79.279067,,988000,7,4,,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,2,35,0,6,3,0,9,0,0,0,0,1,0,0,5,2,58,0,13,3,0,12,0,0,0,0,1,POINT (-79.279067 43.744651),2362,472,1023,205,817,163,522,104,4695,9315,2880,1785,705,120,4815,10335,2840,1255,200,75
dorset park,978,105 Gilroy Dr,,43.763739,-79.281836,,999999,5,2,,0,0,0,0,11,0,6,2,0,1,0,0,0,0,0,0,0,0,1,26,0,6,5,0,1,0,0,0,0,0,0,0,0,1,61,1,16,8,0,8,0,0,0,0,0,POINT (-79.281836 43.763739),2362,472,1023,205,817,163,522,104,4695,9315,2880,1785,705,120,4815,10335,2840,1255,200,75
dovercourt village,124,321 Concord Ave,M6H2P7,43.662575,-79.426988,West Toronto,1199000,4 bds,2 ba,,0,1,0,1,21,6,26,8,0,6,0,0,0,0,2,0,3,3,1,45,8,51,19,0,23,0,0,0,0,2,0,3,13,7,98,15,109,57,0,76,0,0,0,0,3,POINT (-79.426988 43.662575),754,151,284,57,293,59,177,35,2060,4475,1330,1270,910,560,2145,4920,1505,1160,415,450
dovercourt village,368,990 Dovercourt Rd,M6H2X5,43.666907,-79.431852,West Toronto,699000,3 bds,2 ba,,0,0,1,0,16,0,1,1,0,2,0,0,0,0,0,0,2,5,3,66,7,34,13,0,22,0,0,0,0,2,0,3,7,5,117,12,63,29,0,55,0,0,0,0,3,POINT (-79.431852 43.666907),754,151,284,57,293,59,177,35,2060,4475,1330,1270,910,560,2145,4920,1505,1160,415,450
dovercourt village,460,73 Pendrith St,M6G1R8,43.666638,-79.422778,Downtown Toronto,1288000,3 bds,2 ba,,0,0,1,0,2,3,10,3,0,0,0,0,0,0,0,0,2,5,4,58,7,59,29,0,13,0,0,0,0,1,0,3,16,6,105,11,124,48,0,43,0,0,0,0,3,POINT (-79.422778 43.666638),754,151,284,57,293,59,177,35,2060,4475,1330,1270,910,560,2145,4920,1505,1160,415,450
dovercourt village,710,254 Salem Ave,,43.667018,-79.434545,,1099000,3,3,,0,0,1,1,15,1,0,0,0,4,0,0,0,0,0,0,1,3,4,60,7,26,12,0,23,0,0,0,0,2,0,3,8,6,122,15,73,33,0,63,0,0,0,0,3,POINT (-79.434545 43.667018),754,151,284,57,293,59,177,35,2060,4475,1330,1270,910,560,2145,4920,1505,1160,415,450
dovercourt village,1015,57 Shanly St,,43.663806,-79.43205,,1800000,6,3,,0,0,0,1,7,1,16,5,0,9,0,0,0,0,1,0,2,3,3,60,12,40,16,0,30,0,0,0,0,2,0,3,10,5,116,15,74,33,0,65,0,0,0,0,3,POINT (-79.43205 43.663806),754,151,284,57,293,59,177,35,2060,4475,1330,1270,910,560,2145,4920,1505,1160,415,450
downsview,39,295 Downsview Park Blvd,M3K0B6,43.73797,-79.476415,North York,995000,5 bds,4 ba,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,0,44,0,11,5,0,14,0,0,0,0,1,POINT (-79.476415 43.73797),1835,367,737,147,708,142,390,78,3120,6590,2420,1680,725,250,3230,7580,2295,1300,225,160
downsview,112,88 Anthony Rd,M3K1B4,43.729155,-79.466301,North York,1198800,3 bds,3 ba,,0,0,3,0,9,0,10,3,0,5,0,0,0,0,0,0,0,7,0,34,0,11,5,0,6,0,0,0,0,0,0,0,10,2,52,0,24,10,0,16,0,0,0,0,0,POINT (-79.466301 43.729155),1835,367,737,147,708,142,390,78,3120,6590,2420,1680,725,250,3230,7580,2295,1300,225,160
downsview,128,83 Anthony Rd,M3K1B5,43.72897,-79.465612,North York,2400000,4 bds,5 ba,,0,0,3,0,8,0,10,3,0,5,0,0,0,0,0,0,0,7,0,34,0,11,5,0,6,0,0,0,0,0,0,0,10,2,55,0,27,10,0,16,0,0,0,0,0,POINT (-79.465612 43.72897),1835,367,737,147,708,142,390,78,3120,6590,2420,1680,725,250,3230,7580,2295,1300,225,160
downsview,335,2737 Keele St #821,M3M2E9,43.725799,-79.480604,North York,299990,Studio,1 ba,,0,0,0,1,11,0,3,2,0,8,0,0,0,0,1,1,0,4,1,27,0,3,2,0,8,0,0,0,0,1,1,0,9,1,50,0,8,3,0,10,0,0,0,0,1,POINT (-79.480604 43.725799),1835,367,737,147,708,142,390,78,3120,6590,2420,1680,725,250,3230,7580,2295,1300,225,160
downsview,399,2737 Keele St #402,M3M2E9,43.725799,-79.480604,North York,418888,3 bds,2 ba,,0,0,0,1,11,0,3,2,0,8,0,0,0,0,1,1,0,4,1,27,0,3,2,0,8,0,0,0,0,1,1,0,9,1,50,0,8,3,0,10,0,0,0,0,1,POINT (-79.480604 43.725799),1835,367,737,147,708,142,390,78,3120,6590,2420,1680,725,250,3230,7580,2295,1300,225,160
downsview,656,70 Thomas Mulholland Dr #8,M3K0A5,43.73587,-79.478063,North York,1387888,5 bds,4 ba,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,2,0,0,2,0,0,0,0,0,0,0,9,1,47,0,10,4,0,14,0,0,0,0,1,POINT (-79.478063 43.73587),1835,367,737,147,708,142,390,78,3120,6590,2420,1680,725,250,3230,7580,2295,1300,225,160
downsview,722,1004 - 125 George Appleton Way,,43.725725,-79.479422,,649999,3,2,,0,0,1,1,11,0,3,2,0,8,0,0,0,0,1,0,0,4,1,27,0,3,2,0,8,0,0,0,0,1,1,0,9,1,51,0,8,4,0,9,0,0,0,0,1,POINT (-79.479422 43.725725),1835,367,737,147,708,142,390,78,3120,6590,2420,1680,725,250,3230,7580,2295,1300,225,160
downsview,836,48 Dubray Ave,,43.729476,-79.479441,,1298000,3,3,,0,0,3,0,11,0,2,1,0,7,0,0,0,0,0,0,0,3,1,26,0,3,2,0,8,0,0,0,0,1,1,0,10,1,50,0,8,4,0,11,0,0,0,0,1,POINT (-79.479441 43.729476),1835,367,737,147,708,142,390,78,3120,6590,2420,1680,725,250,3230,7580,2295,1300,225,160
downsview,896,314 - 60 George Butchart Dr,,43.736561,-79.483201,,505000,1,1,,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0,3,0,0,4,0,0,0,0,0,0,0,10,2,48,0,7,2,0,13,0,0,0,0,2,POINT (-79.483201 43.736561),1835,367,737,147,708,142,390,78,3120,6590,2420,1680,725,250,3230,7580,2295,1300,225,160
downsview,1004,3408 - 50 Town Centre Crt,,43.740833,-79.489167,,568000,2,1,,0,0,0,0,10,0,2,0,0,3,0,0,0,0,0,0,0,4,1,30,0,4,0,0,5,0,0,0,0,1,0,0,9,2,65,0,6,0,0,5,0,0,0,0,1,POINT (-79.489167 43.740833),1835,367,737,147,708,142,390,78,3120,6590,2420,1680,725,250,3230,7580,2295,1300,225,160
downsview,1077,279 Reiner Rd,,43.747795,-79.458169,,1498000,3,2,,0,1,0,0,14,0,2,2,0,1,0,0,0,0,0,0,1,2,0,40,0,4,2,0,3,0,0,0,0,0,0,1,4,1,69,0,6,2,0,6,0,0,0,0,0,POINT (-79.458169 43.747795),1835,367,737,147,708,142,390,78,3120,6590,2420,1680,725,250,3230,7580,2295,1300,225,160
downsview,1088,3305 - 25 Town Centre Crt,,43.74069,-79.486601,,690000,2,2,,0,0,0,0,11,0,2,0,0,3,0,0,0,0,0,0,0,4,1,28,0,4,0,0,5,0,0,0,0,1,0,0,10,1,54,0,6,0,0,5,0,0,0,0,1,POINT (-79.486601 43.74069),1835,367,737,147,708,142,390,78,3120,6590,2420,1680,725,250,3230,7580,2295,1300,225,160
downtown yonge east,15,7 Carlton St #704,M5B2M3,43.661094,-79.38259,Downtown Toronto,628888,1 bd,1 ba,670 sqft,1,1,9,8,21,8,64,30,0,57,0,0,0,0,1,6,6,61,18,67,18,175,97,0,172,0,0,0,0,5,7,12,127,29,130,32,337,205,0,329,0,0,0,0,13,POINT (-79.38259 43.661094),5634,1127,3414,683,1389,278,831,166,3355,5175,2035,2435,1760,1200,3500,5845,2580,2415,710,935
downtown yonge east,19,60 Colborne St #1608,M5E0B7,43.649288,-79.374406,Downtown Toronto,475000,1 bd,1 ba,,0,1,0,4,20,17,67,28,0,35,0,0,0,0,6,0,4,14,12,83,28,142,95,0,163,0,0,0,0,10,0,7,39,24,131,37,264,165,0,307,0,0,0,0,13,POINT (-79.374406 43.649288),5634,1127,3414,683,1389,278,831,166,3355,5175,2035,2435,1760,1200,3500,5845,2580,2415,710,935
downtown yonge east,60,50 Lombard St #1903,M5C2X4,43.651856,-79.376003,Downtown Toronto,549000,1 bd,1 ba,,0,2,2,3,11,11,57,32,0,46,0,0,0,0,5,0,5,39,13,74,27,160,106,0,194,0,0,0,0,11,0,9,46,33,142,45,327,190,0,355,0,0,0,0,14,POINT (-79.376003 43.651856),5634,1127,3414,683,1389,278,831,166,3355,5175,2035,2435,1760,1200,3500,5845,2580,2415,710,935
downtown yonge east,237,220 Victoria St #806,M5B2R6,43.654877,-79.379218,Downtown Toronto,599000,3bds,2ba,,0,2,26,4,18,6,48,39,0,90,0,0,0,0,4,0,5,38,18,59,22,207,126,0,218,0,0,0,0,12,7,11,59,31,139,58,362,216,0,391,0,0,0,0,13,POINT (-79.379218 43.654877),5634,1127,3414,683,1389,278,831,166,3355,5175,2035,2435,1760,1200,3500,5845,2580,2415,710,935
downtown yonge east,331,8 Colborne St #PENTHOUSE 2701,M5E1E1,43.648745,-79.377021,Downtown Toronto,3495000,5 bds,4 ba,,0,2,0,5,30,15,67,37,0,49,0,0,0,0,7,0,6,18,12,69,31,176,120,0,213,0,0,0,0,10,0,9,41,26,120,50,315,189,0,349,0,0,0,0,14,POINT (-79.377021 43.648745),5634,1127,3414,683,1389,278,831,166,3355,5175,2035,2435,1760,1200,3500,5845,2580,2415,710,935
downtown yonge east,379,65 Mutual St #3004,M5H2A9,43.655802,-79.374984,Downtown Toronto,899000,3 bds,2 ba,,0,0,17,2,4,3,22,13,0,17,0,0,0,0,0,0,3,44,13,61,27,166,88,0,155,0,0,0,0,9,1,10,50,34,162,39,321,176,0,305,0,0,0,0,13,POINT (-79.374984 43.655802),5634,1127,3414,683,1389,278,831,166,3355,5175,2035,2435,1760,1200,3500,5845,2580,2415,710,935
