Neighbourhood,Unnamed: 0,Street address,Zip/Postal Code,Latitude,Longitude,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area_0.5,Railway Station in area_0.5,School in area_0.5,Supermarket in area_0.5,Bus Stop in area_0.5,Pub in area_0.5,Restaurant in area_0.5,Cafe in area_0.5,Dentist in area_0.5,Fast Food in area_0.5,Kindergartens in area_0.5,Malls in area_0.5,Play Ground in area_0.5,Parks in area_0.5,Post Office in area_0.5,Hospital in area_1.0,Railway Station in area_1.0,School in area_1.0,Supermarket in area_1.0,Bus Stop in area_1.0,Pub in area_1.0,Restaurant in area_1.0,Cafe in area_1.0,Dentist in area_1.0,Fast Food in area_1.0,Kindergartens in area_1.0,Malls in area_1.0,Play Ground in area_1.0,Parks in area_1.0,Post Office in area_1.0,Hospital in area_1.5,Railway Station in area_1.5,School in area_1.5,Supermarket in area_1.5,Bus Stop in area_1.5,Pub in area_1.5,Restaurant in area_1.5,Cafe in area_1.5,Dentist in area_1.5,Fast Food in area_1.5,Kindergartens in area_1.5,Malls in area_1.5,Play Ground in area_1.5,Parks in area_1.5,Post Office in area_1.5,geometry,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year),Class 6G,Class 5G,Class 4G,Class 3G,Class 2G,Class 1G,Class 6G_T,Class 5G_T,Class 4G_T,Class 3G_T,Class 2G_T,Class 1G_T
alderwood,63,408 Browns Line E #308,M8W0C3,43.601488,-79.54545,Etobicoke,508000,1 bd,1 ba,,0,0,0,0,9,2,6,2,0,5,0,0,0,0,0,0,0,2,2,19,2,8,5,0,6,0,0,0,0,0,0,0,4,2,53,3,12,11,0,16,0,0,0,0,2,POINT (-79.54545 43.601488),767,153,187,37,394,79,186,37,1735,3910,1635,1345,1110,530,1810,4510,1760,1385,430,365
alderwood,273,408 Browns Line S #312,M5W3T9,43.601697,-79.545232,Downtown Toronto,689900,2 bds,2 ba,,0,0,0,0,10,2,6,2,0,5,0,0,0,0,0,0,0,2,2,19,2,8,5,0,6,0,0,0,0,0,0,0,4,2,53,3,13,11,0,17,0,0,0,0,2,POINT (-79.545232 43.601697),767,153,187,37,394,79,186,37,1735,3910,1635,1345,1110,530,1810,4510,1760,1385,430,365
alderwood,530,17 Edilou Dr,M8W4B1,43.605996,-79.531532,Etobicoke,1248000,4 bds,2 ba,,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,2,0,26,0,2,1,0,0,0,0,0,0,0,0,0,9,0,55,3,12,9,0,23,0,0,0,0,0,POINT (-79.531532 43.605996),767,153,187,37,394,79,186,37,1735,3910,1635,1345,1110,530,1810,4510,1760,1385,430,365
alderwood,764,671a - 671 Browns Line,,43.59841,-79.543717,,1298000,4,2,,0,0,0,0,9,2,7,2,0,3,0,0,0,0,0,0,0,2,0,27,3,9,6,0,9,0,0,0,0,1,0,0,4,2,48,4,13,9,0,14,0,0,0,0,2,POINT (-79.543717 43.59841),767,153,187,37,394,79,186,37,1735,3910,1635,1345,1110,530,1810,4510,1760,1385,430,365
alderwood,822,404 Horner Ave,,43.604414,-79.534016,,1499900,3,4,,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,2,0,22,0,2,1,0,0,0,0,0,0,0,0,0,6,0,61,6,18,8,0,25,0,0,0,0,1,POINT (-79.534016 43.604414),767,153,187,37,394,79,186,37,1735,3910,1635,1345,1110,530,1810,4510,1760,1385,430,365
alderwood,1124,17 Bisset Ave,,43.608746,-79.553126,,1122000,3,2,,0,0,1,2,7,0,3,2,0,4,0,0,0,0,1,0,0,2,3,34,0,12,10,0,27,0,0,0,0,2,1,0,2,4,67,4,23,13,0,40,0,0,0,0,2,POINT (-79.553126 43.608746),767,153,187,37,394,79,186,37,1735,3910,1635,1345,1110,530,1810,4510,1760,1385,430,365
annex,3,186 Macpherson Ave,M5R1W8,43.677945,-79.396728,Central Toronto,2218000,3 bds,3 ba,,0,0,1,0,11,0,7,2,0,0,0,0,0,0,0,0,1,7,2,50,4,47,11,0,8,0,0,0,0,0,0,8,55,12,126,9,103,55,1,58,0,0,0,0,3,POINT (-79.396728 43.677945),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
annex,13,53 Hazelton Ave,M5R2E3,43.672448,-79.393529,Central Toronto,6880000,3 bds,4 ba,,0,1,1,1,17,0,32,10,0,8,0,0,0,0,0,0,4,61,7,72,9,85,46,0,48,0,0,0,0,2,1,8,145,12,128,17,145,83,0,96,0,0,0,0,2,POINT (-79.393529 43.672448),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
annex,111,535 Brunswick Ave,M5R2Z6,43.673818,-79.410137,Central Toronto,1729000,6 bds,3 ba,,0,1,3,1,15,0,11,5,0,6,0,0,0,0,0,0,3,11,3,47,4,60,13,0,21,0,0,0,0,1,0,6,39,7,122,9,127,41,0,49,0,0,0,0,1,POINT (-79.410137 43.673818),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
annex,140,50 Yorkville Ave #4403,M4W0A3,43.671667,-79.389667,Downtown Toronto,9975000,2 bds,3 ba,,0,2,5,5,21,1,52,26,0,28,0,0,0,0,0,0,4,43,10,71,12,109,59,0,63,0,0,0,0,2,3,9,127,15,131,20,164,97,0,129,0,0,0,0,2,POINT (-79.389667 43.671667),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
annex,164,104 Albany Ave,M5R3C4,43.668716,-79.411569,Central Toronto,2790000,5 bds,4 ba,,0,1,6,1,9,1,32,6,0,12,0,0,0,0,1,0,4,12,5,54,5,101,32,0,35,0,0,0,0,1,0,5,52,8,99,12,162,53,0,45,0,0,0,0,2,POINT (-79.411569 43.668716),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
annex,211,160 Howland Ave,M5R3B6,43.670989,-79.411014,Central Toronto,2999999,4 bds,4 ba,,0,0,3,0,12,0,14,2,0,1,0,0,0,0,0,0,3,12,5,49,5,81,25,0,29,0,0,0,0,1,0,5,46,8,102,8,129,43,0,44,0,0,0,0,1,POINT (-79.411014 43.670989),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
annex,250,483 Dupont St #103,M6G1Y6,43.672797,-79.415295,Downtown Toronto,849900,0bds,1ba,,0,0,0,0,17,0,13,2,0,1,0,0,0,0,0,0,2,8,5,52,0,48,22,0,18,0,0,0,0,0,0,5,18,7,106,9,126,45,0,47,0,0,0,0,2,POINT (-79.415295 43.672797),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
annex,371,200 Cumberland St #3802,M5R0B7,43.669867,-79.394244,Central Toronto,17800000,3 bds,4 ba,,0,2,14,1,18,2,29,15,0,9,0,0,0,0,0,0,4,90,7,72,9,85,49,0,46,0,0,0,0,2,8,8,155,12,126,19,173,104,0,116,0,0,0,0,3,POINT (-79.394244 43.669867),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
annex,435,225 Christie St,M6G3B5,43.669398,-79.420453,Downtown Toronto,1988000,4 bds,4 ba,,0,0,1,1,8,0,3,1,0,1,0,0,0,0,0,0,1,5,3,49,5,66,25,0,12,0,0,0,0,1,0,3,16,6,119,9,131,48,0,36,0,0,0,0,4,POINT (-79.420453 43.669398),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
annex,482,50 Yorkville Ave #5202,M4W0A3,43.671667,-79.389667,Downtown Toronto,18800000,4 bds,4 ba,,0,2,5,5,21,1,52,26,0,28,0,0,0,0,0,0,4,43,10,71,12,109,59,0,63,0,0,0,0,2,3,9,127,15,131,20,164,97,0,129,0,0,0,0,2,POINT (-79.389667 43.671667),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
annex,485,12 Madison Ave,M5R2S1,43.667759,-79.403321,Central Toronto,5450000,11 bds,3 ba,,0,1,19,1,10,4,17,4,0,9,0,0,0,0,0,0,4,77,4,61,10,79,25,0,37,0,0,0,0,1,2,6,141,9,103,16,226,86,0,76,0,0,0,0,4,POINT (-79.403321 43.667759),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
annex,517,91 Bedford Rd,M5R2K4,43.671488,-79.398264,Central Toronto,7888000,5 bds,5 ba,,0,1,7,1,25,2,15,5,0,5,0,0,0,0,0,0,4,63,3,62,7,47,29,0,23,0,0,0,0,0,2,7,152,11,117,17,166,80,0,84,0,0,0,0,4,POINT (-79.398264 43.671488),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
annex,595,68 Yorkville Ave #304,M5R3V7,43.671482,-79.390514,Central Toronto,3750000,2 bds,3 ba,"2,490 sqft",0,1,8,4,23,1,43,26,0,26,0,0,0,0,0,0,5,47,9,76,11,111,58,0,63,0,0,0,0,2,4,8,138,16,126,21,164,97,0,129,0,0,0,0,2,POINT (-79.390514 43.671482),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
annex,620,77 McMurrich St #308,M5R3V3,43.674812,-79.39012,Central Toronto,1295000,3 bds,2 ba,,0,0,1,0,18,2,30,11,0,13,0,0,0,0,0,0,4,24,9,52,9,99,44,0,50,0,0,0,0,2,2,6,82,12,125,15,144,73,0,93,0,0,0,0,4,POINT (-79.39012 43.674812),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
annex,677,128 Hazelton Ave #801,M5R2E5,43.674903,-79.39488,Central Toronto,8325000,3 bds,4 ba,,0,0,1,1,14,0,7,2,0,1,0,0,0,0,0,0,4,25,3,59,5,69,33,0,30,0,0,0,0,0,0,8,103,13,130,15,135,76,1,84,0,0,0,0,4,POINT (-79.39488 43.674903),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
annex,800,411 - 188 Cumberland St,,43.669828,-79.394109,,689000,1,1,,0,2,14,1,20,2,28,15,0,9,0,0,0,0,0,0,4,90,7,72,9,89,50,0,47,0,0,0,0,2,8,8,155,12,125,21,175,104,0,115,0,0,0,0,3,POINT (-79.394109 43.669828),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
annex,805,604 - 188 Cumberland St,,43.669828,-79.394109,,1200000,3,2,,0,2,14,1,20,2,28,15,0,9,0,0,0,0,0,0,4,90,7,72,9,89,50,0,47,0,0,0,0,2,8,8,155,12,125,21,175,104,0,115,0,0,0,0,3,POINT (-79.394109 43.669828),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
annex,955,818 - 1 Bedford Rd,,43.668551,-79.397124,,878000,2,1,,0,2,31,2,22,4,14,9,0,7,0,0,0,0,0,0,4,120,2,65,7,57,41,0,39,0,0,0,0,0,7,7,158,15,122,22,237,111,0,114,0,0,0,0,6,POINT (-79.397124 43.668551),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
annex,1055,1918 - 155 Yorkville Ave,,43.670312,-79.394299,,959000,2,2,,0,2,13,1,18,2,29,14,0,8,0,0,0,0,0,0,4,86,7,72,8,82,47,0,44,0,0,0,0,2,8,9,154,13,125,19,170,101,0,112,0,0,0,0,3,POINT (-79.394299 43.670312),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245
