,Unnamed: 0,street address,neighbourhood_left,latitude,longitude,price,bedrooms,bathrooms,geometry,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,area,house_density,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
19,19,50 yorkville ave #4403,annex,43.671667,-79.389667,9975000,2,3,POINT (629817.7470338298 4836666.658156096),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,62,annex,2.79029464,7.167701831,140,373,697,23,107,5,5
20,20,104 albany ave,annex,43.668716,-79.411569,2790000,5,4,POINT (628058.3657156181 4836304.863358355),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,62,annex,2.79029464,7.167701831,69,249,438,10,51,6,2
21,21,160 howland ave,annex,43.670989,-79.411014,2999999,4,4,POINT (628098.2740906873 4836558.16753436),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,62,annex,2.79029464,7.167701831,32,210,386,12,17,3,0
22,22,483 dupont st #103,annex,43.672797,-79.415295,849900,0,2,POINT (627749.3157502182 4836752.367672838),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,62,annex,2.79029464,7.167701831,33,155,365,17,16,0,0
23,23,200 cumberland st #3802,annex,43.669867,-79.394244,17800000,3,4,POINT (629452.6363280019 4836459.590385003),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,62,annex,2.79029464,7.167701831,90,364,724,20,55,14,1
24,24,225 christie st,annex,43.669398,-79.420453,1988000,4,4,POINT (627340.6936326938 4836366.931486889),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,62,annex,2.79029464,7.167701831,15,167,372,8,5,1,1
25,25,50 yorkville ave #5202,annex,43.671667,-79.389667,18800000,4,4,POINT (629817.7470338298 4836666.658156096),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,62,annex,2.79029464,7.167701831,140,373,697,23,107,5,5
26,26,12 madison ave,annex,43.667759,-79.403321,5450000,11,3,POINT (628725.3669983321 4836211.342334229),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,62,annex,2.79029464,7.167701831,65,298,669,11,34,19,1
27,27,91 bedford rd,annex,43.671488,-79.398264,7888000,5,5,POINT (629125.0727837436 4836633.35817326),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,62,annex,2.79029464,7.167701831,61,238,640,26,27,7,1
28,28,68 yorkville ave #304,annex,43.671482,-79.390514,3750000,2,3,POINT (629749.863721926 4836644.7860766),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,62,annex,2.79029464,7.167701831,132,382,705,24,96,8,4
29,29,77 mcmurrich st #308,annex,43.674812,-79.39012,1295000,3,2,POINT (629774.4483959491 4837015.24410254),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,62,annex,2.79029464,7.167701831,75,293,556,18,56,1,0
30,30,128 hazelton ave #801,annex,43.674903,-79.39488,8325000,3,4,POINT (629390.5393624066 4837017.913875157),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,62,annex,2.79029464,7.167701831,26,228,569,14,10,1,1
31,31,411 - 188 cumberland st,annex,43.669828,-79.394109,689000,1,1,POINT (629463.6037069715 4836455.469611403),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,62,annex,2.79029464,7.167701831,91,370,726,22,54,14,1
32,32,604 - 188 cumberland st,annex,43.669828,-79.394109,1200000,3,2,POINT (629463.6037069715 4836455.469611403),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,62,annex,2.79029464,7.167701831,91,370,726,22,54,14,1
33,33,818 - 1 bedford rd,annex,43.668551,-79.397124,878000,2,1,POINT (629223.2787674569 4836308.940118676),3265,653,1417,283,1116,223,732,146,4535,8165,3210,3660,2690,3840,4905,9295,3880,3375,1405,3245,62,annex,2.79029464,7.167701831,91,335,799,24,34,31,2
