,Unnamed: 0,street address,neighbourhood_left,latitude,longitude,price,bedrooms,bathrooms,geometry,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,area,house_counts,house_density,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
304,304,2243 oak st,fairview,49.265755,-123.127872,2149000,3,2,POINT (-2498618.034172744 6368008.215372143),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,32,109,429,9,20,2,1
305,305,2851 heather st #604,fairview,49.260073,-123.120956,1250000,3,2,POINT (-2498553.770259218 6367112.197863253),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,45,188,260,13,29,2,1
306,306,3088 laurel st,fairview,49.258406,-123.124134,979000,2,1,POINT (-2498882.483866364 6367087.628677079),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,24,116,258,12,10,1,1
307,307,1130 ironwork pass,fairview,49.268132,-123.128577,1248800,2,2,POINT (-2498498.833443196 6368282.889792422),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,7,159,496,6,1,0,0
308,308,1557 mariner walk,fairview,49.27023,-123.139812,869000,1,1,POINT (-2499101.775851389 6369011.127534712),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,32,153,316,11,18,1,2
309,309,1425 lameys mill rd #33,fairview,49.268443,-123.135844,599900,1,1,POINT (-2498962.021524967 6368647.246306573),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,46,135,358,11,33,1,1
310,310,690 w 6th ave,fairview,49.265627,-123.120135,988000,2,2,POINT (-2498110.610785136 6367641.074541238),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,60,178,386,13,44,2,1
311,311,1445 marpole ave #508,fairview,49.257539,-123.138386,1149000,3,2,POINT (-2499894.489938369 6367651.664140762),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,25,92,212,11,12,0,2
312,312,688 w 6th ave,fairview,49.265627,-123.120135,1015000,2,2,POINT (-2498110.610785136 6367641.074541238),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,60,178,386,13,44,2,1
313,313,1296 w 6th ave,fairview,49.265875,-123.133367,1199000,2,2,POINT (-2498976.364704661 6368271.980638924),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,31,148,318,10,21,0,0
314,314,1075 w 13th ave #203,fairview,49.25993,-123.128457,799000,2,1,POINT (-2499064.476879519 6367440.935511711),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,34,105,250,11,20,1,2
315,315,1450 pennyfarthing dr #1003,fairview,49.272062,-123.141305,1148000,2,2,POINT (-2499073.212827766 6369266.286569006),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,19,137,316,7,11,1,0
316,316,1530 w 8th ave #805,fairview,49.264277,-123.139811,1885000,2,3,POINT (-2499518.206522711 6368404.043277211),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,61,149,251,21,38,1,1
317,317,1318 w 6th ave #201,fairview,49.26586,-123.134113,888000,2,2,POINT (-2499027.199234288 6368304.601333441),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,30,147,286,13,17,0,0
318,318,ph610 1540 w 2nd avenue,fairview,49.269418,-123.139838,2799000,2,3,POINT (-2499160.322549708 6368929.518764963),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,34,157,267,12,19,1,2
319,319,115 1717 w 13th avenue,fairview,49.260182,-123.144071,788800,2,1,POINT (-2500089.031465487 6368181.524771111),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,17,118,251,8,7,0,2
320,320,688 w 6th avenue,fairview,49.265627,-123.120135,1015000,2,2,POINT (-2498110.610785136 6367641.074541238),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,60,178,386,13,44,2,1
321,321,213 1869 spyglass place,fairview,49.268942,-123.115296,1222000,2,2,POINT (-2497555.867257681 6367757.747046777),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,17,187,518,7,9,0,1
322,322,703 1468 w 14th avenue,fairview,49.258615,-123.137357,1188000,2,2,POINT (-2499750.530660438 6367714.280281554),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,23,94,219,9,12,0,2
323,323,208 788 w 8th avenue,fairview,49.263975,-123.12148,2260000,3,2,POINT (-2498315.898614108 6367534.141467595),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,59,158,331,14,41,3,1
324,324,204 788 w 8th avenue,fairview,49.263975,-123.12148,2440000,3,2,POINT (-2498315.898614108 6367534.141467595),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,59,158,331,14,41,3,1
325,325,205 788 w 8th avenue,fairview,49.263975,-123.12148,2320000,3,2,POINT (-2498315.898614108 6367534.141467595),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,59,158,331,14,41,3,1
326,326,202 788 w 8th avenue,fairview,49.263975,-123.12148,2316000,3,2,POINT (-2498315.898614108 6367534.141467595),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,59,158,331,14,41,3,1
327,327,201 788 w 8th avenue,fairview,49.263975,-123.12148,2296000,3,2,POINT (-2498315.898614108 6367534.141467595),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,59,158,331,14,41,3,1
328,328,105 788 w 8th avenue,fairview,49.263975,-123.12148,2720000,3,3,POINT (-2498315.898614108 6367534.141467595),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,59,158,331,14,41,3,1
329,329,l02 788 w 8th avenue,fairview,49.263975,-123.12148,3128000,3,4,POINT (-2498315.898614108 6367534.141467595),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,59,158,331,14,41,3,1
330,330,101 788 w 8th avenue,fairview,49.263975,-123.12148,1736000,2,2,POINT (-2498315.898614108 6367534.141467595),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,59,158,331,14,41,3,1
331,331,l01 788 w 8th avenue,fairview,49.263975,-123.12148,3184000,3,4,POINT (-2498315.898614108 6367534.141467595),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,59,158,331,14,41,3,1
332,332,208 633 w 16th avenue,fairview,49.257235,-123.119081,875000,2,1,POINT (-2498627.03882123 6366736.930728858),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,30,179,258,9,18,1,2
333,333,1110 w 15th avenue,fairview,49.257618,-123.129723,2225000,3,2,POINT (-2499310.685995828 6367263.094186398),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,12,87,219,7,4,0,1
334,334,802 1565 w 6th avenue,fairview,49.266491,-123.140068,699000,1,1,POINT (-2499380.457386732 6368641.579856384),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,61,168,258,20,38,2,1
335,335,17 1350 w 6th avenue,fairview,49.265879,-123.135055,749000,1,1,POINT (-2499088.735325974 6368349.662759181),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,39,147,274,16,21,1,1
336,336,301 1502 island park walk,fairview,49.270581,-123.139126,1249000,2,2,POINT (-2499031.445063064 6369015.511995967),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,39,149,338,10,27,1,1
337,337,201 1318 w 6th avenue,fairview,49.26586,-123.134113,888000,2,2,POINT (-2499027.199234288 6368304.601333441),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,30,147,286,13,17,0,0
338,338,103 788 w 8th avenue,fairview,49.263975,-123.12148,1448000,2,1,POINT (-2498315.898614108 6367534.141467595),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,59,158,331,14,41,3,1
339,339,203 788 w 8th avenue,fairview,49.263975,-123.12148,2264000,3,2,POINT (-2498315.898614108 6367534.141467595),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,59,158,331,14,41,3,1
340,340,206 788 w 8th avenue,fairview,49.263975,-123.12148,2292000,3,2,POINT (-2498315.898614108 6367534.141467595),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,59,158,331,14,41,3,1
341,341,102 788 w 8th avenue,fairview,49.263975,-123.12148,1736000,2,2,POINT (-2498315.898614108 6367534.141467595),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,59,158,331,14,41,3,1
342,342,106 788 w 8th avenue,fairview,49.263975,-123.12148,1320000,1,1,POINT (-2498315.898614108 6367534.141467595),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,59,158,331,14,41,3,1
343,343,104 788 w 8th avenue,fairview,49.263975,-123.12148,1228000,1,1,POINT (-2498315.898614108 6367534.141467595),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,59,158,331,14,41,3,1
344,344,l03 788 w 8th avenue,fairview,49.263975,-123.12148,2460000,2,2,POINT (-2498315.898614108 6367534.141467595),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,59,158,331,14,41,3,1
345,345,207 788 w 8th avenue,fairview,49.263975,-123.12148,2284000,3,2,POINT (-2498315.898614108 6367534.141467595),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,59,158,331,14,41,3,1
346,346,807 518 moberly road,fairview,49.267868,-123.116872,1599000,2,2,POINT (-2497736.13944441 6367720.320246886),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,29,192,494,9,16,0,4
347,347,204 1205 w 14th avenue,fairview,49.259071,-123.131812,819900,2,2,POINT (-2499348.505145079 6367506.913427266),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,5,114,231,2,3,0,0
348,348,103 1266 w 13th avenue,fairview,49.259468,-123.133006,679000,1,1,POINT (-2499400.435884653 6367602.063465858),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,8,118,245,3,5,0,0
349,349,103 835 w 7th avenue,fairview,49.265292,-123.122807,979000,2,2,POINT (-2498312.372414244 6367729.185959689),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,48,159,388,10,34,3,1
350,350,901 1650 w 7th avenue,fairview,49.265153,-123.142063,819000,1,1,POINT (-2499607.204729908 6368596.486922135),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,61,159,264,19,37,1,4
351,351,108 788 w 8th avenue,fairview,49.263975,-123.12148,1272000,1,1,POINT (-2498315.898614108 6367534.141467595),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,59,158,331,14,41,3,1
352,352,33 1425 lamey's mill road,fairview,49.268443,-123.135844,599900,1,1,POINT (-2498962.021524967 6368647.246306573),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,46,135,358,11,33,1,1
353,353,201 874 w 6th avenue,fairview,49.265695,-123.123456,950000,2,2,POINT (-2498327.505839247 6367799.986962058),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,51,157,410,11,35,3,2
354,354,502 1616 w 13th avenue,fairview,49.259605,-123.141727,888800,2,2,POINT (-2499972.954638203 6368015.343123592),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,33,108,233,10,20,0,3
355,355,207 1210 w 8th avenue,fairview,49.264145,-123.132201,638000,1,1,POINT (-2499019.560253863 6368042.180999418),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,33,143,279,12,21,0,0
356,356,1735 w 16 avenue,fairview,49.25741,-123.144543,2388000,2,3,POINT (-2500314.492140868 6367920.460646012),7292,1458,456,91,1226,245,5610,1122,6680,9095,5000,4770,2590,1520,7035,11130,5520,7170,2340,7035,10,fairview,4.498264551,80,17.78463652,4,97,222,4,0,0,0
357,357,1611 e 3rd ave #107,grandview-woodland,49.268053,-123.071359,579000,2,1,POINT (-2494685.233363644 6365658.111357679),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,66,163,205,8,52,0,6
358,358,2305 turner st,grandview-woodland,49.279356,-123.057661,2500000,5,2,POINT (-2492981.731055846 6366185.447773808),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,40,71,146,10,30,0,0
359,359,1422 parker st,grandview-woodland,49.275574,-123.075255,1849000,5,3,POINT (-2494420.076729905 6366603.376971262),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,11,118,198,6,5,0,0
360,360,1618 grant st,grandview-woodland,49.271659,-123.071011,1499000,3,2,POINT (-2494410.199703127 6366010.079389272),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,76,134,217,10,58,0,8
361,361,2272 dundas st #105,grandview-woodland,49.284558,-123.058355,639900,2,1,POINT (-2492664.90977694 6366747.814659515),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,39,77,105,15,24,0,0
362,362,2172 wall st,grandview-woodland,49.287898,-123.060013,939000,2,2,POINT (-2492542.376651756 6367164.238661313),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,10,69,90,8,2,0,0
363,363,2282 e 8th ave #3,grandview-woodland,49.262927,-123.05849,1799900,3,3,POINT (-2494183.871260822 6364547.167611092),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,22,35,138,12,10,0,0
364,364,1375 graveley st,grandview-woodland,49.270826,-123.075628,1899900,6,3,POINT (-2494776.566917307 6366136.079234466),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,9,139,223,8,1,0,0
365,365,2275 e pender st,grandview-woodland,49.280518,-123.058328,1599000,4,2,POINT (-2492945.132815081 6366334.451210039),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,42,80,145,14,28,0,0
366,366,2210 willow st,grandview-woodland,49.288756,-123.060169,1848000,4,3,POINT (-2492492.88533746 6367258.883615944),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,8,61,88,6,2,0,0
367,367,1919 e 3rd ave,grandview-woodland,49.268014,-123.065301,1399000,3,3,POINT (-2494283.518288312 6365377.334521582),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,18,134,205,1,15,0,2
368,368,1330 graveley st #302,grandview-woodland,49.270304,-123.076584,930000,2,1,POINT (-2494876.838195071 6366126.517955609),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,8,131,223,8,0,0,0
369,369,1430 e 8th ave,grandview-woodland,49.263092,-123.074519,1388000,5,3,POINT (-2495242.636709275 6365296.404604964),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,17,112,221,11,6,0,0
370,370,16 lakewood dr #305,grandview-woodland,49.284536,-123.061412,570000,2,1,POINT (-2492870.445080921 6366885.181050238),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,31,75,130,11,20,0,0
371,371,1615 frances st #201,grandview-woodland,49.27965,-123.071845,878000,2,2,POINT (-2493907.841068573 6366863.348607445),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,32,108,184,12,20,0,0
372,372,2248 e 3rd ave,grandview-woodland,49.267491,-123.058959,1625000,3,3,POINT (-2493896.609647762 6365034.251480876),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,8,33,175,6,1,0,1
373,373,1625 e 8th ave,grandview-woodland,49.263461,-123.07134,1545000,3,2,POINT (-2495004.612735552 6365188.768372504),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,59,127,193,16,41,0,2
374,374,2238 eton st penthouse 6,grandview-woodland,49.287252,-123.05848,543000,1,1,POINT (-2492485.183924999 6367028.335722796),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,11,70,90,9,2,0,0
375,375,1735 victoria dr,grandview-woodland,49.268977,-123.066178,1750000,7,4,POINT (-2494274.833723277 6365515.648744567),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,51,140,224,5,41,0,5
376,376,1222 victoria dr,grandview-woodland,49.273427,-123.065333,2375000,5,4,POINT (-2493907.732749863 6365931.025765291),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,28,118,248,3,22,0,3
377,377,328 semlin dr,grandview-woodland,49.281704,-123.063998,1199000,3,4,POINT (-2493240.739787722 6366714.404093892),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,29,101,174,9,19,0,1
378,378,2018 e 6th ave,grandview-woodland,49.264772,-123.06343,1349000,3,2,POINT (-2494384.935594951 6364961.092199367),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,3,118,196,3,0,0,0
379,379,1 2320 grant street,grandview-woodland,49.270954,-123.057629,1879000,3,4,POINT (-2493566.087358053 6365326.813987931),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,9,24,199,6,2,0,1
380,380,102 1860 w 6th avenue,grandview-woodland,49.264776,-123.066519,1089900,2,2,POINT (-2494590.905689165 6365102.63414187),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,49,122,211,15,31,0,3
381,381,2248 e 3rd avenue,grandview-woodland,49.267491,-123.058959,1625000,3,3,POINT (-2493896.609647762 6365034.251480876),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,8,33,175,6,1,0,1
382,382,1071 semlin drive,grandview-woodland,49.274492,-123.063966,1699000,3,3,POINT (-2493742.128849573 6365977.225249966),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,1,124,232,0,1,0,0
383,383,105 2272 dundas street,grandview-woodland,49.284558,-123.058355,639900,2,1,POINT (-2492664.90977694 6366747.814659515),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,39,77,105,15,24,0,0
384,384,313 2250 e 1st avenue,grandview-woodland,49.269251,-123.059164,985900,2,2,POINT (-2493787.441177087 6365223.180693664),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,8,32,221,5,2,0,1
385,385,411 2366 wall street,grandview-woodland,49.290158,-123.057169,545000,1,1,POINT (-2492194.841584004 6367264.902757228),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,3,26,87,3,0,0,0
386,386,2069 e 1st avenue,grandview-woodland,49.26981,-123.062398,1489000,3,3,POINT (-2493964.324802463 6365427.942424949),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,1,108,226,0,1,0,0
387,387,1802 1200 w georgia street,grandview-woodland,49.278181,-123.067795,725000,1,1,POINT (-2493740.128970314 6366528.470727869),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,40,121,210,12,25,0,3
388,388,204 2001 wall street,grandview-woodland,49.285409,-123.063369,899000,1,1,POINT (-2492940.085224357 6367063.613857193),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,22,68,129,7,15,0,0
389,389,102 1450 e 7 avenue,grandview-woodland,49.263943,-123.07432,699900,2,1,POINT (-2495169.922358759 6365374.12872153),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,19,119,213,11,8,0,0
390,390,104 2333 eton street,grandview-woodland,49.287763,-123.057246,734900,2,1,POINT (-2492367.170445974 6367024.111812493),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,9,64,94,8,1,0,0
391,391,631 victoria drive,grandview-woodland,49.278882,-123.065141,1499999,3,3,POINT (-2493514.052739055 6366478.740824651),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,9,119,213,4,4,0,1
392,392,2038 e 1st avenue,grandview-woodland,49.26929,-123.062928,1699000,4,4,POINT (-2494036.009949845 6365399.102933789),8009,1602,1172,234,1294,259,5543,1109,8605,8955,3500,2630,1260,485,8985,10445,3315,3330,755,8985,15,grandview-woodland,5.878591407,39,6.634242338,1,121,218,0,1,0,0
