,Unnamed: 0,street address,neighbourhood_left,latitude,longitude,price,bedrooms,bathrooms,geometry,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,area,house_counts,house_density,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
18,18,277 thurlow st #3001,downtown,49.288884,-123.11914,13800000,3,4,POINT (-2496417.908658137 6369967.206212183),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,83,419,702,15,64,1,3
19,19,168 powell st #515,downtown,49.282968,-123.100636,399888,1,1,POINT (-2495597.162215331 6368517.678133937),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,95,249,421,23,68,0,4
20,20,1288 marinaside cres #609,downtown,49.272079,-123.120377,1198000,2,2,POINT (-2497675.598467083 6368310.146333172),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,72,291,709,12,58,0,2
21,21,428 beach cres #2802,downtown,49.27233,-123.127311,7598000,3,4,POINT (-2498120.737281865 6368653.04792028),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,30,291,627,10,17,0,3
22,22,183 keefer pl #1004,downtown,49.280356,-123.10826,1100000,3,2,POINT (-2496288.396732258 6368599.939623599),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,163,415,719,34,121,4,4
23,23,1372 seymour st #2701,downtown,49.27459,-123.127563,1688000,2,2,POINT (-2497979.482654098 6368895.042516883),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,92,334,692,20,64,1,7
24,24,53 hastings st w #306,downtown,49.282116,-123.106307,499900,1,1,POINT (-2496035.064781174 6368690.108660465),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,164,358,662,31,126,4,3
25,25,583 beach cres #3006,downtown,49.273589,-123.129221,1599000,2,2,POINT (-2498160.122355049 6368868.846532755),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,45,296,612,11,28,1,5
26,26,885 cambie st #2103,downtown,49.277518,-123.116547,1838000,2,2,POINT (-2497039.720019916 6368689.580607315),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,117,522,912,18,87,7,5
27,27,128 cordova st w #303,downtown,49.282525,-123.107958,785000,2,2,POINT (-2496116.620660059 6368807.322065393),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,downtown,5.782059821,237,40.988853,178,402,674,33,137,4,4
