Address,Price,Bedrooms,Bathrooms,Square Footage,Home Type
"1557 Mariner Walk, Vancouver, BC V6J 4X9","C$869,000",1 bd,1 ba,965 sqft,N/A
"6188 Adera St, Vancouver, BC V6M 3J6","C$16,880,000",6 bds,8 ba,"7,103 sqft",N/A
"4755 Belmont Ave, Vancouver, BC V6T 1A8","C$30,000,000",3 bds,2 ba,"2,000 sqft",N/A
"428 E 24th Ave, Vancouver, BC V5V 2A1","C$2,399,000",5 bds,3 ba,"2,301 sqft",N/A
"308 Jervis Mews, Vancouver, BC V6C 3S6","C$4,999,900",3 bds,3 ba,"2,483 sqft",N/A
"2537 Trinity St, Vancouver, BC V5K 1E3","C$1,999,000",5 bds,3 ba,"2,418 sqft",N/A
"1332 W 47th Ave, Vancouver, BC V6M 2L8","C$5,990,000",5 bds,7 ba,"4,732 sqft",N/A
"1615 Frances St #201, Vancouver, BC V5L 1Z3","C$878,000",2 bds,2 ba,927 sqft,N/A
"1425 Lameys Mill Rd #33, Vancouver, BC V6H 3W2","C$599,900",1 bd,1 ba,949 sqft,N/A
"2641 Charles St, Vancouver, BC V5K 3A4","C$1,968,000",6 bds,5 ba,"1,988 sqft",N/A
"4078 Columbia St #6, Vancouver, BC V5Y 0B6","C$2,509,900",3 bds,3 ba,"1,583 sqft",N/A
"812 E 51st Ave, Vancouver, BC V5X 1E5","C$1,249,000",4 bds,3 ba,"1,300 sqft",N/A
"930 Cambie St #1205, Vancouver, BC V6B 5X6","C$749,000",2 bds,2 ba,830 sqft,N/A
"2293 E 37th Ave, Vancouver, BC V5P 1G4","C$1,199,900",3 bds,3 ba,"1,144 sqft",N/A
"528 E 12th Ave, Vancouver, BC V5T 2H5","C$1,200,000",3 bds,3 ba,"1,278 sqft",N/A
"4570 W 4th Ave, Vancouver, BC V6R 1R3","C$3,388,000",4 bds,3 ba,"3,623 sqft",N/A
"5266 Fraser St, Vancouver, BC V5W 2Y9","C$1,498,800",3 bds,2 ba,"1,464 sqft",N/A
"4341 Elgin St, Vancouver, BC V5V 4R5","C$2,088,000",5 bds,2 ba,"2,116 sqft",N/A
"3853 King Edward Ave W, Vancouver, BC V6S 1M9","C$4,168,000",5 bds,6 ba,"3,284 sqft",N/A
"907 Beach Ave #505, Vancouver, BC V6Z 2R3","C$699,000",2 bds,2 ba,751 sqft,N/A
"250 E 54th Ave, Vancouver, BC V5X 1K9","C$1,498,000",4 bds,4 ba,"1,381 sqft",N/A
"1152 Georgia St E, Vancouver, BC V6A 2A8","C$2,550,000",5 bds,4 ba,"2,971 sqft",N/A
"1735 Victoria Dr, Vancouver, BC V5N 4J9","C$1,750,000",7 bds,4 ba,"2,080 sqft",N/A
"548 E 16th Ave, Vancouver, BC V5T 2V2","C$1,799,000",6 bds,3 ba,"2,106 sqft",N/A
"1275 Hamilton St #213, Vancouver, BC V6B 1E2","C$848,000",2 bds,2 ba,834 sqft,N/A
"2403 Cambridge St, Vancouver, BC V5K 1L1","C$1,998,000",6 bds,4 ba,"2,887 sqft",N/A
"3649 Prince Albert St, Vancouver, BC V5V 4H9","C$1,998,000",6 bds,3 ba,"2,053 sqft",N/A
"5555 Victoria Dr #225, Vancouver, BC V5P 4Y3","C$699,000",2 bds,2 ba,"1,127 sqft",N/A
"1159 Main St #502, Vancouver, BC V6A 4B6","C$756,000",2 bds,2 ba,"1,053 sqft",N/A
"4560 Belmont Ave, Vancouver, BC V6R 1C4","C$4,288,000",5 bds,4 ba,"2,314 sqft",N/A
"110 Prior St, Vancouver, BC V6A 0A6","C$1,299,000",3 bds,3 ba,"1,673 sqft",N/A
"4190 W 11th Ave, Vancouver, BC V6R 2L6","C$3,088,000",4 bds,3 ba,"3,006 sqft",N/A
"1620 E 47th Ave, Vancouver, BC V5P 1P5","C$1,399,000",3 bds,4 ba,"1,390 sqft",N/A
"3689 Borham Cres, Vancouver, BC V5S 3X2","C$918,000",2 bds,3 ba,"1,826 sqft",N/A
"850 E 38th Ave, Vancouver, BC V5W 1J3","C$1,628,000",3 bds,4 ba,"1,495 sqft",N/A
"1919 Beach Ave #1600, Vancouver, BC V6G 1Z2","C$5,500,000",4 bds,4 ba,"2,899 sqft",N/A
"1718 W 61st Ave, Vancouver, BC V6P 2C3","C$5,998,000",6 bds,7 ba,"4,343 sqft",N/A
"3518 King Edward Ave W, Vancouver, BC V6S 1M5","C$2,780,000",6 bds,4 ba,"2,990 sqft",N/A
"4938 Arbutus St, Vancouver, BC V6M 3W1","C$5,880,000",5 bds,3 ba,"2,374 sqft",N/A
"3232 Columbia St, Vancouver, BC V5Y 0B6","C$1,399,900",2 bds,3 ba,"1,157 sqft",N/A
"3628 W 5th Ave, Vancouver, BC V6R 1S2","C$2,598,000",5 bds,3 ba,"1,890 sqft",N/A
