Address,Price,Bedrooms,Bathrooms,Square Footage,Home Type
"1325 Rolston St #1513, Vancouver, BC V6B 0M2","C$633,000",Studio,1 ba,461 sqft,N/A
"63 Keefer Pl #502, Vancouver, BC V6B 6N6","C$970,000",3 bds,2 ba,962 sqft,N/A
"1189 Melville St #3404, Vancouver, BC V6E 4T8","C$1,650,000",2 bds,3 ba,"1,414 sqft",N/A
"86 Creelman Ave #2078, Vancouver, BC V6J 1C3","C$4,999,999",8 bds,4 ba,"5,840 sqft",N/A
"3635 W 14th Ave, Vancouver, BC V6R 2W6","C$4,880,000",5 bds,6 ba,"3,604 sqft",N/A
"2023 W 36th Ave, Vancouver, BC V6M 1L1","C$7,500,000",6 bds,8 ba,"4,810 sqft",N/A
"1925 SW Marine Dr, Vancouver, BC V6P 6B3","C$7,880,000",5 bds,8 ba,"8,514 sqft",N/A
"8588 Cornish St #1105, Vancouver, BC V6P 0C1","C$918,888",2 bds,2 ba,"1,634 sqft",N/A
"1499 W Pender St #1802, Vancouver, BC V6G 2S3","C$2,798,000",2 bds,3 ba,"1,578 sqft",N/A
"1527 Angus Dr, Vancouver, BC V6J 4H2","C$8,890,000",5 bds,6 ba,"6,422 sqft",N/A
"788 W 19th Ave, Vancouver, BC V5Z 1X2","C$3,879,000",4 bds,4 ba,"2,448 sqft",N/A
"2305 Turner St, Vancouver, BC V5L 2A6","C$2,500,000",5 bds,2 ba,"2,051 sqft",N/A
"53 Hastings St W #503, Vancouver, BC V6B 1G4","C$499,900",1 bd,1 ba,718 sqft,N/A
"250 E 6th Ave #809, Vancouver, BC V5T 0B7","C$1,099,000",2 bds,2 ba,834 sqft,N/A
"7021 Prescott St, Vancouver, BC V6N 1N2","C$4,999,000",3 bds,3 ba,"2,614 sqft",N/A
"8083 Angus Dr, Vancouver, BC V6P 5K9","C$10,888,000",4 bds,7 ba,"5,900 sqft",N/A
"4869 Lanark St, Vancouver, BC V5N 3S1","C$1,598,000",3 bds,3 ba,"1,513 sqft",N/A
"1483 King Edward Ave E #1056, Vancouver, BC V5N 5Z3","C$899,900",2 bds,2 ba,916 sqft,N/A
"1270 Robson St #507, Vancouver, BC V6E 3Z6","C$499,000",1 bd,1 ba,589 sqft,N/A
"3625 Monmouth Ave, Vancouver, BC V5R 5S4","C$1,698,000",4 bds,2 ba,"1,480 sqft",N/A
"560 Cardero St #603, Vancouver, BC V6G 3E9","C$1,050,000",1 bd,1ba,710 sqft,N/A
"939 Homer St #2402, Vancouver, BC V6B 2W6","C$698,000",2 bds,1 ba,770 sqft,N/A
"488 Helmcken St UNIT 605, Vancouver, BC V6B 6E4","C$775,000",2 bds,2 ba,875 sqft,N/A
"2612 Balaclava St, Vancouver, BC V6K 4E2","C$3,298,000",3 bds,3 ba,"1,682 sqft",N/A
"1425 Lameys Mill Rd #10, Vancouver, BC V6H 3W2","C$999,999",2 bds,2 ba,"1,340 sqft",N/A
"453 E 47th Ave, Vancouver, BC V5W 2B3","C$1,828,000",2 bds,2 ba,"1,876 sqft",N/A
"583 Beach Cres #2903, Vancouver, BC V6Z 3E6","C$2,098,000",2 bds,2 ba,"1,245 sqft",N/A
"610 Granville St #811, Vancouver, BC V6C 3T3","C$499,000",Studio,1 ba,420 sqft,N/A
"540 E 11th Ave, Vancouver, BC V5T 2C4","C$1,198,000",2 bds,1 ba,871 sqft,N/A
"1201 Marinaside Cres #1602, Vancouver, BC V6Z 2V2","C$1,398,000",2 bds,2 ba,"1,018 sqft",N/A
"2850 Mackenzie St, Vancouver, BC V6K 4A2","C$2,298,000",3 bds,4 ba,"1,555 sqft",N/A
"1332 W 51st Ave, Vancouver, BC V6P 1C7","C$6,480,000",5 bds,7 ba,"4,883 sqft",N/A
"8988 Hudson St #116, Vancouver, BC V6P 6Z1","C$465,000",1 bd,1 ba,465 sqft,N/A
"445 E 57th Ave #2, Vancouver, BC V5X 1S8","C$1,478,000",5 bds,4 ba,"1,599 sqft",N/A
"8555 Granville St #2108, Vancouver, BC V6P 0C3","C$1,068,000",2 bds,2 ba,911 sqft,N/A
"555 Abbott St #312, Vancouver, BC V6B 6B8","C$999,000",3 bds,1 ba,986 sqft,N/A
"1465 Walnut St, Vancouver, BC V6J 3R2","C$1,580,000",2 bds,2 ba,"1,217 sqft",N/A
"4422 Quesnel Dr, Vancouver, BC V6L 2X6","C$8,680,000",5 bds,6 ba,"4,409 sqft",N/A
"7450 Balaclava St, Vancouver, BC V6N 1M8","C$3,875,000",3 bds,3 ba,"2,053 sqft",N/A
"277 Thurlow St #3001, Vancouver, BC V6C 0C1","C$13,800,000",3 bds,4 ba,"3,327 sqft",N/A
"4053 W 32nd Ave, Vancouver, BC V6S 1Z5","C$2,769,000",6 bds,4 ba,"2,408 sqft",N/A
