Address,Price,Bedrooms,Bathrooms,Square Footage,Home Type
"1510 W 1st Ave #305, Vancouver, BC V6J 4S3","C$749,900",2 bds,2 ba,"1,006 sqft",N/A
"477 W 59th Ave #202, Vancouver, BC V5X 1X4","C$1,350,000",3 bds,2 ba,"1,090 sqft",N/A
"2711 Point Grey Rd, Vancouver, BC V6K 1A4","C$14,900,000",4 bds,6 ba,"4,870 sqft",N/A
"E 35th Ave #1391, Vancouver, BC V5W 1A6","C$1,988,000",6 bds,3 ba,"2,420 sqft",N/A
"1784 Drummond Dr, Vancouver, BC V6T 1B6","C$20,800,000",7 bds,2 ba,N/A,N/A
"1226 W 26th Ave, Vancouver, BC V6H 2A9","C$2,049,900",3 bds,4 ba,"1,802 sqft",N/A
"1568 Alberni St #PENTHOUSE 1, Vancouver, BC V6G 1A5","C$18,900,000",3 bds,5 ba,"4,346 sqft",N/A
"2731 Sophia St, Vancouver, BC V5T 3L1","C$949,000",2 bds,1 ba,928 sqft,N/A
"55 Cordova St E #315, Vancouver, BC V6A 0A5","C$738,000",1 bd,1 ba,933 sqft,N/A
"1718 W 61st Ave, Vancouver, BC V6P 2C3","C$5,998,000",6 bds,7 ba,"4,343 sqft",N/A
"667 Howe St #4801, Vancouver, BC V6C 0B5","C$18,880,000",4 bds,7 ba,"7,214 sqft",N/A
"1667 W 40th Ave, Vancouver, BC V6M 1W1","C$8,280,000",4 bds,5 ba,"4,596 sqft",N/A
"1564 W 26th Ave, Vancouver, BC V6J 2W9","C$5,280,000",5 bds,4 ba,"3,877 sqft",N/A
"1615 Frances St #201, Vancouver, BC V5L 1Z3","C$878,000",2 bds,2 ba,927 sqft,N/A
"4677 Simpson Ave, Vancouver, BC V6R 1C2","C$11,580,000",5 bds,5 ba,"4,190 sqft",N/A
"5961 Churchill St, Vancouver, BC V6M 3H4","C$14,588,000",5 bds,8 ba,"6,402 sqft",N/A
"1219 Harwood St #201, Vancouver, BC V6E 1S5","C$550,000",2 bds,2 ba,744 sqft,N/A
"3945 Alice St #2, Vancouver, BC V5N 4J6","C$1,399,000",3 bds,3 ba,"1,111 sqft",N/A
"6615 Balsam St, Vancouver, BC V6P 5W8","C$15,700,000",7 bds,8 ba,"6,912 sqft",N/A
"4513 Nanaimo St, Vancouver, BC V5N 5J2","C$748,800",1 bd,1 ba,678 sqft,N/A
"6188 Adera St, Vancouver, BC V6M 3J6","C$16,880,000",6 bds,8 ba,"7,103 sqft",N/A
"2795 W 37th Ave, Vancouver, BC V6N 2T5","C$5,750,000",5 bds,7 ba,"4,059 sqft",N/A
"3462 Dartmoor Pl, Vancouver, BC V5S 4G2","C$790,000",3 bds,2 ba,"1,268 sqft",N/A
"2537 Trinity St, Vancouver, BC V5K 1E3","C$1,999,000",5 bds,3 ba,"2,418 sqft",N/A
"3592 Turner St, Vancouver, BC V5K 2H9","C$1,099,000",3 bds,4 ba,"1,315 sqft",N/A
"950 W 17th Ave, Vancouver, BC V5Z 1V4","C$2,898,000",Studio,1ba,"2,315 sqft",N/A
"1611 E 3rd Ave #107, Vancouver, BC V5N 1H1","C$579,000",2 bds,1 ba,690 sqft,N/A
"3449 W 7th Ave, Vancouver, BC V6R 1W2","C$2,898,000",5 bds,4 ba,"2,489 sqft",N/A
"3337 Flagstaff Pl, Vancouver, BC V5S 4K9","C$985,000",4 bds,3 ba,"1,672 sqft",N/A
"4938 Arbutus St, Vancouver, BC V6M 3W1","C$5,880,000",5 bds,3 ba,"2,374 sqft",N/A
"3199 Saint George St, Vancouver, BC V5T 3R9","C$1,499,000",3 bds,2 ba,"1,294 sqft",N/A
"811 Helmcken St #1702, Vancouver, BC V6Z 1B1","C$828,000",2 bds,2 ba,806 sqft,N/A
"3438 Sawmill Cres #319, Vancouver, BC V5S 0E3","C$599,800",1 bd,1 ba,601 sqft,N/A
"1012 Beach Ave #402, Vancouver, BC V6E 1T7","C$1,999,000",2 bds,2 ba,"1,606 sqft",N/A
"3731 W 6th Ave #106, Vancouver, BC V6R 1T8","C$585,800",1 bd,1 ba,735 sqft,N/A
"3746 Inverness St, Vancouver, BC V5V 4V9","C$1,449,900",6 bds,4 ba,"2,050 sqft",N/A
"5189 Connaught Dr, Vancouver, BC V6M 3G2","C$8,800,000",6 bds,6 ba,"6,129 sqft",N/A
"2248 E 3rd Ave, Vancouver, BC V5N 1J1","C$1,625,000",3 bds,3 ba,"2,352 sqft",N/A
"5266 Fraser St, Vancouver, BC V5W 2Y9","C$1,498,800",3 bds,2 ba,"1,464 sqft",N/A
"5555 Victoria Dr #225, Vancouver, BC V5P 4Y3","C$699,000",2 bds,2 ba,"1,127 sqft",N/A
"1201 Marinaside Cres #1602, Vancouver, BC V6Z 2V2","C$1,398,000",2 bds,2 ba,"1,018 sqft",N/A
