Address,Price,Bedrooms,Bathrooms,Square Footage,Home Type
"2959 W 16th Ave, Vancouver, BC V6K 3C7","C$3,998,000",5 bds,5 ba,"2,886 sqft",N/A
"1133 Cypress St, Vancouver, BC V6J 3K8","C$5,678,000",4 bds,6 ba,"4,857 sqft",N/A
"1603 Matthews Ave, Vancouver, BC V6J 2T1","C$19,000,000",7 bds,8 ba,"8,170 sqft",N/A
"1349 E 14th Ave, Vancouver, BC V5N 2C7","C$1,898,000",6 bds,2 ba,"1,917 sqft",N/A
"4390 Kaslo St, Vancouver, BC V5R 2B7","C$3,651,763",Studio,1 ba,"2,288 sqft",N/A
"3941 W 33rd Ave, Vancouver, BC V6N 2H7","C$2,790,000",5 bds,3 ba,"1,996 sqft",N/A
"4655 Rupert St, Vancouver, BC V5R 2J4","C$1,399,000",4 bds,2 ba,"2,200 sqft",N/A
"1790 Bayshore Dr PENTHOUSE 3, Vancouver, BC V6G 3G5","C$5,499,800",3 bds,4 ba,"2,528 sqft",N/A
"830 E 14th Ave, Vancouver, BC V5T 2N6","C$2,498,000",4 bds,4 ba,"3,299 sqft",N/A
"2232 Renfrew St #1, Vancouver, BC V5M 3J7","C$1,491,000",4 bds,3 ba,"1,710 sqft",N/A
"1350 W 32nd Ave, Vancouver, BC V6H 2J3","C$11,888,000",8 bds,9 ba,"9,087 sqft",N/A
"2783 W 8th Ave, Vancouver, BC V6K 2B7","C$1,899,000",4 bds,3 ba,"1,380 sqft",N/A
"827 E 16th Ave, Vancouver, BC V5T 2V7","C$2,248,000",3 bds,2 ba,"2,688 sqft",N/A
"4938 Arbutus St, Vancouver, BC V6M 3W1","C$5,880,000",5 bds,3 ba,"2,374 sqft",N/A
"2408 W 22nd Ave, Vancouver, BC V6L 1L9","C$2,938,000",3 bds,2 ba,"2,279 sqft",N/A
"3428 Adanac St #13, Vancouver, BC V5K 5H5","C$989,000",3 bds,3 ba,"1,404 sqft",N/A
"3557 Marshall St, Vancouver, BC V5N 4S2","C$1,550,000",4 bds,2 ba,"1,666 sqft",N/A
"1296 W 6th Ave, Vancouver, BC V6H 1A5","C$1,199,000",2 bds,2 ba,"1,105 sqft",N/A
"3337 Quesnel Dr, Vancouver, BC V6S 1Z7","C$4,299,000",6 bds,4 ba,"2,555 sqft",N/A
"5189 Cambie St #501, Vancouver, BC V5Z 0J4","C$2,088,000",3 bds,3 ba,"1,686 sqft",N/A
"1712 E 34th Ave, Vancouver, BC V5P 1A3","C$1,998,000",7 bds,6 ba,"2,421 sqft",N/A
"950 Cambie St #2104, Vancouver, BC V6B 5X5","C$1,048,000",2 bds,2 ba,"1,108 sqft",N/A
"2658 Waterloo St, Vancouver, BC V6R 3H7","C$2,999,900",5 bds,5 ba,"1,925 sqft",N/A
"4955 Somerville St, Vancouver, BC V5W 3H1","C$2,099,000",5 bds,3 ba,"2,381 sqft",N/A
"233 Robson St #603, Vancouver, BC V6B 0E8","C$858,000",3 bds,1 ba,977 sqft,N/A
"5350 Balsam St #503, Vancouver, BC V6M 4B4","C$798,000",2 bds,2 ba,880 sqft,N/A
"950 Bidwell St PENTHOUSE 2, Vancouver, BC V6G 2J9","C$1,249,000",2 bds,2 ba,"1,068 sqft",N/A
"2817 Clark Dr #201, Vancouver, BC V5N 3H7","C$588,000",2 bds,2 ba,696 sqft,N/A
"3204 Coleridge Ave, Vancouver, BC V5S 3A5","C$1,998,888",3 bds,2 ba,"1,726 sqft",N/A
"138 Hastings St E #605, Vancouver, BC V6A 0E6","C$385,000",1 bd,1 ba,443 sqft,N/A
"3379 Heather St, Vancouver, BC V5Z 3K6","C$2,650,000",6 bds,3 ba,"2,386 sqft",N/A
"4347 W 9th Ave, Vancouver, BC V6R 2C8","C$4,999,000",5 bds,6 ba,"3,709 sqft",N/A
"845 Chilco St #1501, Vancouver, BC V6G 2R2","C$3,850,000",4 bds,3 ba,"2,041 sqft",N/A
"3839 W 35th Ave, Vancouver, BC V6N 2N8","C$6,388,000",8 bds,6 ba,"4,545 sqft",N/A
"2545 Broadway W #216, Vancouver, BC V6K 2E9","C$999,000",2 bds,2 ba,858 sqft,N/A
"4586 W 8th Ave, Vancouver, BC V6R 2A5","C$2,880,000",5 bds,3 ba,"2,361 sqft",N/A
"150 Cordova St E #903, Vancouver, BC V6A 0E7","C$469,900",Studio,1 ba,519 sqft,N/A
"3315 Knight St, Vancouver, BC V5N 3K7","C$1,388,000",3 bds,2 ba,"1,638 sqft",N/A
"1077 Cordova St W PENTHOUSE 4201, Vancouver, BC V6C 2C6","C$18,880,000",3 bds,5 ba,"6,041 sqft",N/A
"885 Cambie St #2500, Vancouver, BC V6B 0R6","C$9,898,000",5 bds,6 ba,"4,591 sqft",N/A
"1050 Chilco St #606, Vancouver, BC V6G 2R8","C$479,000",1 bd,1 ba,752 sqft,N/A
