Address,Price,Bedrooms,Bathrooms,Square Footage,Home Type
"1222 Victoria Dr, Vancouver, BC V5L 4H3","C$2,375,000",5 bds,4 ba,"2,069 sqft",N/A
"1066 Hamilton St #205, Vancouver, BC V6B 2R9","C$949,000",1 bd,1 ba,"1,002 sqft",N/A
"3644 E 28th Ave #3, Vancouver, BC V5R 1T7","C$1,299,000",3 bds,3 ba,"1,609 sqft",N/A
"2549 E Kent Ave N, Vancouver, BC V5S 2H7","C$2,750,000",3 bds,4 ba,"3,004 sqft",N/A
"1777 Bayshore Dr PENTHOUSE 2, Vancouver, BC V6G 3H2","C$7,000,000",4 bds,4 ba,"3,046 sqft",N/A
"1895 E 39th Ave, Vancouver, BC V5P 1H5","C$2,588,000",6 bds,6 ba,"2,776 sqft",N/A
"3123 W 27th Ave, Vancouver, BC V6L 1W6","C$3,490,000",4 bds,4 ba,"2,564 sqft",N/A
"1981 W 19th Ave, Vancouver, BC V6J 2P2","C$7,990,000",7 bds,6 ba,"6,639 sqft",N/A
"183 Keefer Pl #904, Vancouver, BC V6B 6B9","C$999,999",2 bds,2 ba,"1,186 sqft",N/A
"1226 W 26th Ave, Vancouver, BC V6H 2A9","C$2,049,900",3 bds,4 ba,"1,802 sqft",N/A
"2811 W 12th Ave, Vancouver, BC V6K 2R1","C$3,658,000",6 bds,6 ba,"2,887 sqft",N/A
"3364 Marquette Cres #439, Vancouver, BC V5S 4K4","C$699,900",2 bds,2 ba,"1,217 sqft",N/A
"6262 Angus Dr, Vancouver, BC V6M 3P3","C$10,388,000",6 bds,7 ba,"5,406 sqft",N/A
"625 E 44th Ave, Vancouver, BC V5W 1W4","C$1,750,000",7 bds,6 ba,"3,661 sqft",N/A
"3588 Sawmill Cres #101, Vancouver, BC V5S 0E3","C$980,000",3 bds,3 ba,"1,213 sqft",N/A
"1128 Quebec St #1806, Vancouver, BC V6A 4E1","C$1,748,888",3 bds,2 ba,"1,462 sqft",N/A
"1386 W 73rd Ave #102, Vancouver, BC V6P 3E8","C$599,000",2 bds,2 ba,873 sqft,N/A
"5058 Joyce St #1208, Vancouver, BC V5R 0J9","C$538,000",1 bd,1 ba,439 sqft,N/A
"6926 Blenheim St, Vancouver, BC V6N 1R9","C$5,998,000",4 bds,5 ba,"3,610 sqft",N/A
"1188 Howe St #2303, Vancouver, BC V6Z 2S8","C$798,000",2 bds,2 ba,805 sqft,N/A
"1230 Comox St #303, Vancouver, BC V6E 1K7","C$849,900",2 bds,2 ba,924 sqft,N/A
"983 Hastings St E #202, Vancouver, BC V6A 1P2","C$669,000",2 bds,1 ba,732 sqft,N/A
"1850 Comox St #1206, Vancouver, BC V6G 1R3","C$489,000",1 bd,1 ba,612 sqft,N/A
"1649 W 69th Ave, Vancouver, BC V6P 2W7","C$2,588,000",10 bds,5 ba,"3,478 sqft",N/A
"2365 W 3rd Ave #301, Vancouver, BC V6K 1L6","C$998,000",2 bds,2 ba,"1,047 sqft",N/A
"1328 W Pender St #2807, Vancouver, BC V6E 4S9","C$1,398,000",2 bds,2 ba,"1,193 sqft",N/A
"1075 W 13th Ave #203, Vancouver, BC V6H 1N1","C$799,000",2 bds,1 ba,922 sqft,N/A
"328 Semlin Dr, Vancouver, BC V5L 0A6","C$1,199,000",3 bds,4 ba,"1,580 sqft",N/A
"4535 W 1st Ave, Vancouver, BC V6R 1H7","C$6,998,000",5 bds,5 ba,"4,277 sqft",N/A
"2018 E 6th Ave, Vancouver, BC V5N 1P1","C$1,349,000",3 bds,2 ba,"1,115 sqft",N/A
"3576 Georgia St E, Vancouver, BC V5K 2L8","C$2,198,000",6 bds,4 ba,"2,232 sqft",N/A
"155 E 23rd Ave, Vancouver, BC V5V 1X1","C$2,989,000",4 bds,3 ba,"2,520 sqft",N/A
"1450 Pennyfarthing Dr #1003, Vancouver, BC V6J 4X8","C$1,148,000",2 bds,2 ba,"1,300 sqft",N/A
"1530 W 8th Ave #805, Vancouver, BC V6J 5M6","C$1,885,000",2 bds,3 ba,"1,462 sqft",N/A
"4502 Nanaimo St, Vancouver, BC V5N 5J4","C$1,749,000",6 bds,3 ba,"1,678 sqft",N/A
"1318 W 6th Ave #201, Vancouver, BC V6H 1A7","C$888,000",2 bds,2 ba,945 sqft,N/A
"2767 W 21st Ave, Vancouver, BC V6L 1K4","C$3,699,000",4 bds,4 ba,"2,424 sqft",N/A
"3132 Maple St, Vancouver, BC V6J 4X3","C$1,995,000",2 bds,3 ba,"1,890 sqft",N/A
"1500 Howe St #2304, Vancouver, BC V6Z 2N1","C$1,990,000",3 bds,2 ba,"1,708 sqft",N/A
"1344 Laburnum St, Vancouver, BC V6J 3W3","C$1,960,000",3 bds,2 ba,"1,367 sqft",N/A
"3513 Triumph St, Vancouver, BC V5K 1S5","C$1,099,000",3 bds,3 ba,"1,442 sqft",N/A
