Address,Price,Bedrooms,Bathrooms,Square Footage,Home Type
"4990 McGeer St #315, Vancouver, BC V5R 6C1","C$515,000",1 bd,1 ba,627 sqft,N/A
"1345 Comox St #204, Vancouver, BC V6E 4E4","C$799,900",2 bds,2 ba,862 sqft,N/A
"937 W 18th Ave, Vancouver, BC V5Z 1W4","C$2,850,000",5 bds,3 ba,"2,469 sqft",N/A
"616 E 10th Ave, Vancouver, BC V5T 2A5","C$1,950,000",5 bds,3 ba,"2,823 sqft",N/A
"2699 Duke St, Vancouver, BC V5R 4S8","C$999,999",3 bds,2 ba,"1,199 sqft",N/A
"3457 Oxford St, Vancouver, BC V5K 1N8","C$2,799,000",6 bds,5 ba,"3,196 sqft",N/A
"110 Switchmen St #1707, Vancouver, BC V6A 0C6","C$1,098,000",2 bds,2 ba,865 sqft,N/A
"2057 W 3rd Ave #PENTHOUSE 3, Vancouver, BC V6J 1L4","C$848,000",2 bds,1 ba,711 sqft,N/A
"1869 Spyglass Pl #213, Vancouver, BC V5Z 4K7","C$1,222,000",2 bds,2 ba,"1,106 sqft",N/A
"474 E 43rd Ave #204, Vancouver, BC V5W 1T4","C$429,000",1 bd,1 ba,603 sqft,N/A
"438 Seymour St #1708, Vancouver, BC V6B 6H4","C$739,900",2 bds,2 ba,710 sqft,N/A
"2556 W 20th Ave, Vancouver, BC V6L 1G8","C$4,290,000",6 bds,5 ba,"3,634 sqft",N/A
"66 Cordova St W #1108, Vancouver, BC V6B 0L2","C$539,000",1 bd,1 ba,543 sqft,N/A
"874 W 6th Ave #201, Vancouver, BC V5Z 1A6","C$950,000",2 bds,2 ba,"1,025 sqft",N/A
"3126 E 17th Ave, Vancouver, BC V5M 2N7","C$2,690,000",8 bds,6 ba,"2,627 sqft",N/A
"1596 W 14th Ave #1B, Vancouver, BC V6J 2H9","C$12,875,000",3 bds,6 ba,"4,175 sqft",N/A
"4166 Crown Cres, Vancouver, BC V6R 2A9","C$6,298,000",6 bds,6 ba,"5,048 sqft",N/A
"1155 Seymour St PENTHOUSE 2703, Vancouver, BC V6B 1K2","C$2,099,000",2 bds,2 ba,"1,144 sqft",N/A
"3538 W 30th Ave, Vancouver, BC V6S 1W5","C$5,498,000",5 bds,7 ba,"4,396 sqft",N/A
"2229 Oak St, Vancouver, BC V6H 3W6","C$1,499,900",2 bds,2 ba,"1,419 sqft",N/A
"2638 W 22nd Ave, Vancouver, BC V6L 1M2","C$5,780,000",4 bds,5 ba,"4,183 sqft",N/A
"1550 Coal Harbour Cay #L302, Vancouver, BC V6G 3G1","C$3,599,000",4 bds,3 ba,"1,954 sqft",N/A
"3516 Georgia St E, Vancouver, BC V5K 2L8","C$1,868,000",7 bds,4 ba,"2,580 sqft",N/A
"2693 Duke St, Vancouver, BC V5R 4S8","C$1,028,000",3 bds,2 ba,"1,316 sqft",N/A
"1987 W 35th Ave, Vancouver, BC V6M 1H8","C$6,888,000",6 bds,6 ba,"4,410 sqft",N/A
"1219 E 29th Ave, Vancouver, BC V5V 2T1","C$2,598,000",6 bds,3 ba,"3,156 sqft",N/A
"717 Jervis St #3101, Vancouver, BC V6E 4L5","C$14,999,900",5 bds,9 ba,"9,186 sqft",N/A
"33 Smithe St #802, Vancouver, BC V6B 0B5","C$1,449,000",2 bds,2 ba,"1,109 sqft",N/A
"2636 McGill St, Vancouver, BC V5K 1H3","C$1,658,888",3 bds,1 ba,"2,174 sqft",N/A
"1283 Howe St #2009, Vancouver, BC V6Z 0E3","C$555,000",1 bd,1 ba,482 sqft,N/A
"1196 W 48th Ave, Vancouver, BC V6M 2N7","C$6,990,000",6 bds,7 ba,"4,726 sqft",N/A
"1492 Hornby St, Vancouver, BC V6Z 1X3","C$1,659,000",3 bds,3 ba,"1,718 sqft",N/A
"788 Richards St #1108, Vancouver, BC V6B 0C7","C$1,190,000",3 bds,2 ba,"1,095 sqft",N/A
"3221 Grant St, Vancouver, BC V5K 3J1","C$1,698,000",4 bds,4 ba,"1,495 sqft",N/A
"1180 Broughton St #1302, Vancouver, BC V6G 2B1","C$2,598,000",2 bds,3 ba,"1,330 sqft",N/A
"1210 W 8th Ave #207, Vancouver, BC V6H 3Y9","C$638,000",1 bd,1 ba,690 sqft,N/A
"1165 Burnaby St #402, Vancouver, BC V6E 1P3","C$919,000",2 bds,2 ba,"1,001 sqft",N/A
"7638 Cambie St #103, Vancouver, BC V6P 3H7","C$1,249,000",3 bds,2 ba,"1,075 sqft",N/A
"250 E 6th Ave #451, Vancouver, BC V5T 0B7","C$607,000",1 bd,1 ba,507 sqft,N/A
"1408 Robson St #2901, Vancouver, BC V6G 1B9","C$9,680,000",4 bds,4 ba,"2,769 sqft",N/A
"128 Cordova St W #706, Vancouver, BC V6B 0E6","C$899,900",2 bds,2 ba,"1,161 sqft",N/A
