Address,Price,Bedrooms,Bathrooms
509 - 1328 Birchmount Rd,"$560,000",Wexford Maryvale,Toronto
1 Versailles Crt,"$4,288,888",Banbury Don Mills,Toronto
3142 Dundas St W,"$1,598,000",Junction Area,Toronto
227 Glendora Ave,"$1,499,000",Willowdale East,Toronto
1918 - 155 Yorkville Ave,"$959,000",Yorkville,Toronto
279 St. Helen's Ave S,"$1,100,000",Dufferin Grove,Toronto
136 Regina Ave,"$1,649,900",Englemount Lawrence,Toronto
1102 - 100 Mornelle Crt,"$649,000",Morningside,Toronto
405 - 36 Forest Manor Rd,"$899,000",Henry Farm,Toronto
405 - 2221 Yonge St,"$559,000",Mount Pleasant West,Toronto
27 Alma Dr,"$999,000",Humber Heights,Toronto
34 Plymbridge Cres W,"$3,980,000",Bridle Path Sunnybrook York Mills,Toronto
817 - 210 Victoria St,"$399,000",Church Yonge Corridor,Toronto
Ph 3 - 850 Steeles Ave W,"$1,198,900",Westminister Branson,Toronto
159 Cortleigh Blvd,"$5,990,000",Lawrence Park South,Toronto
702 - 20 Forest Manor Rd,"$499,900",Henry Farm,Toronto
1607 - 40 Richview Road,"$725,000",Humber Heights,Toronto
1019 Greenwood Avenue,"$600,000",Danforth Village East York,Toronto
17 Wintergreen Rd,"$1,129,000",Downsview Roding Cfb,Toronto
1 & 3 Blithfield Ave,"$4,600,000",Bayview Village,Toronto
14 - 43 Wild Ginger Way,"$899,000",Bathurst Manor,Toronto
25 - 12 Dervock Cres,"$949,900",Bayview Village,Toronto
2709 - 210 Victoria St,"$532,000",Church Yonge Corridor,Toronto
1a Alder Rd,"$2,988,888",O'connor Parkview,Toronto
212 Alton Avenue,"$849,999",South Riverdale,Toronto
2006 - 238 Simcoe Street,"$598,000",Kensington Chinatown,Toronto
2006 - 238 Simcoe Street,"$598,000",Kensington Chinatown,Toronto
759 Wilson Heights Blvd,"$949,990",Bathurst Manor,Toronto
Ph206 - 138 Downes Street,"$2,199,999",Waterfront Communities East,Toronto
279 Reiner Rd,"$1,498,000",Downsview Roding Cfb,Toronto
406 - 3303 Don Mills Rd,"$1,130,000",Don Valley Village,Toronto
202 - 32 Forest Manor Rd,"$509,999",Henry Farm,Toronto
1008 - 327 King St W,"$587,900",Waterfront Communities West,Toronto
317 - 1 Michael Power Pl,"$479,000",Islington City Centre West,Toronto
119 - 5235 Finch Ave E,"$560,000",Agincourt North,Toronto
604 - 1888 Bayview Ave,"$1,275,000",Bridle Path Sunnybrook York Mills,Toronto
812 - 10 Dean Park Rd,"$609,000",Rouge,Toronto
10 Lloyd Manor Rd,"$1,174,800",Princess Rosethorn,Toronto
741 - 38 Iannuzzi St,"$715,000",Niagara,Toronto
606 - 219 Fort York Blvd,"$639,000",Niagara,Toronto
3305 - 25 Town Centre Crt,"$690,000",Bendale,Toronto
307 - 1100 Briar Hill Ave,"$999,900",Briar Hill Belgravia,Toronto
36 Boniface Avenue,"$879,900",Elms Old Rexdale,Toronto
824 - 10 Guildwood Pkwy S,"$1,200,000",Guildwood,Toronto
200 Snowdon Ave,"$3,950,000",Lawrence Park North,Toronto
3 Blithfield Ave,"$1,588,000",Bayview Village,Toronto
112 Stapleton Dr,"$1,150,000",Kingsview Village The Westway,Toronto
209 - 17 Zorra St,"$629,000",Islington City Centre West,Toronto
136 Regina Ave,"$1,649,900",Englemount Lawrence,Toronto
Ph63 - 60 Ann O'reilly Rd,"$1,249,900",Henry Farm,Toronto
1116 - 88 Blue Jays Way,"$399,000",Waterfront Communities West,Toronto
1404 - 25 Sunrise Ave,"$529,999",Victoria Village,Toronto
527 - 7 Smith Cres,"$545,000",Stonegate Queensway,Toronto
323 Douglas Ave,"$3,399,000",Bedford Park Nortown,Toronto
2117 - 5 Sheppard Ave E,"$919,000",Willowdale East,Toronto
32 Sabrina Dr,"$999,888",Willowridge Martingrove Richview,Toronto
4108 - 5 St. Joseph St S,"$900,000",Bay Street Corridor,Toronto
511 - 10 Old York Mills Rd,"$979,900",Bridle Path Sunnybrook York Mills,Toronto
49 Orpington Cres,"$849,000",Mount Olive Silverstone Jamestown,Toronto
2206 - 90 Park Lawn Road,"$860,000",Mimico,Toronto
2402 - 10 Bellair St,"$9,888,000",Yorkville,Toronto
130 Broadlands Blvd,"$1,458,000",Parkwoods Donalda,Toronto
228 Donlands Avenue,"$1,899,000",Danforth Village East York,Toronto
308 - 625 Queen Street E,"$715,000",South Riverdale,Toronto
2208 - 1900 Sheppard Ave E,"$549,000",Pleasant View,Toronto
Ph704 - 399 Spring Garden Ave,"$1,188,000",Willowdale East,Toronto
8 Chipper Cres,"$998,800",Eglinton East,Toronto
878 - 1 Greystone Walk Drive,"$609,900",Kennedy Park,Toronto
42 Wilmont Dr,"$1,298,000",Black Creek,Toronto
Ph14 - 1060 Sheppard Ave W,"$799,900",York University Heights,Toronto
14 Franklin Ave,"$1,199,900",Lansing Westgate,Toronto
4106 - 28 Freeland St,"$699,900",Waterfront Communities East,Toronto
10 Rowallan Dr,"$970,000",West Hill,Toronto
102 Seaton St,"$1,899,900",Moss Park,Toronto
512w - 36 Lisgar St,"$545,000",Little Portugal,Toronto
Ph2606 - 225 Sackville St,"$679,900",Regent Park,Toronto
850 Danforth Rd,"$899,000",Kennedy Park,Toronto
18 Haig Ave,"$1,899,900",Birchcliffe Cliffside,Toronto
17 Bisset Ave,"$1,122,000",Alderwood,Toronto
637 - 3 Everson Dr,"$649,900",Willowdale East,Toronto
1711 - 330 Richmond Street W,"$689,000",Waterfront Communities West,Toronto
408 - 17 Dundonald St,"$599,900",Church Yonge Corridor,Toronto
5301 - 100 Harbour St W,"$649,900",Waterfront Communities West,Toronto
103 Gloucester St,"$2,250,000",Church Yonge Corridor,Toronto
47 Terrace Ave,"$2,988,000",Willowdale West,Toronto
1510 - 19 Western Battery Rd,"$655,000",Niagara,Toronto
623 - 120 Dallimore Circ,"$489,000",Banbury Don Mills,Toronto
115 - 16 Litchfield Crt,"$669,000",West Humber Clairville,Toronto
129 Clansman Blvd,"$1,475,000",Hillcrest Village,Toronto
Ph 16 - 2020 Bathurst St,"$750,000",Forest Hill South,Toronto
759 Wilson Heights Blvd,"$949,990",Bathurst Manor,Toronto
1009 - 5 Soudan Ave,"$849,000",Mount Pleasant West,Toronto
809 - 77 Harbour Square W,"$795,500",Waterfront Communities West,Toronto
3408 - 16 Brookers Lane,"$799,000",Mimico,Toronto
8 Grackle Tr,"$1,099,900",Rouge,Toronto
32 Highgate Rd,"$2,695,000",Kingsway South,Toronto
59 Edinborough Crt,"$1,150,000",Rockcliffe Smythe,Toronto
2508 - 88 Sheppard Ave E,"$768,000",Willowdale East,Toronto
79 Weir Cres,"$1,099,000",West Hill,Toronto
16 - 150 Pinery Tr,"$699,900",Malvern,Toronto
79 Forest Grove Dr,"$4,788,000",Bayview Village,Toronto
411 Main St,"$1,549,000",Crescent Town,Toronto
4 Lloyd Manor Rd,"$1,098,000",Princess Rosethorn,Toronto
9 Wellesley Ave,"$1,575,000",Cabbagetown South St. Jamestown,Toronto
1414 - 197 Yonge St,"$569,000",Church Yonge Corridor,Toronto
804 - 3 Marine Parade Dr,"$675,000",Mimico,Toronto
1811 - 501 St Clair Ave W,"$848,888",Casa Loma,Toronto
215 Searle Ave,"$1,789,000",Bathurst Manor,Toronto
603 - 430 Roncesvalles Ave,"$799,000",High Park Swansea,Toronto
5 Terrington Crt,"$1,858,000",Banbury Don Mills,Toronto
