Address,Price,Neighbourhood,City,Bedrooms,Bathrooms,Home Type
3306 - 14 York St,"$699,000",Waterfront Communities West,Toronto,2,1,Apt/Condo
681 Scarlett Rd,"$1,650,000",Humber Heights,Toronto,6,4,House
208 Holmes Ave,"$3,350,000",Willowdale East,Toronto,7,7,House
718 - 30 Meadowglen Pl,"$599,000",Woburn,Toronto,2,2,Apt/Condo
Th5 - 118 Finch Avenue,"$899,000",Newtonbrook West,Toronto,3,3,Townhouse
824 - 231 Fort York Blvd,"$619,000",Niagara,Toronto,2,1,Apt/Condo
195 Brookdale Ave,"$1,995,000",Lawrence Park North,Toronto,3,4,House
671a - 671 Browns Line,"$1,298,000",Alderwood,Toronto,4,2,House
1517 - 87 Peter St,"$635,000",Waterfront Communities West,Toronto,2,1,Apt/Condo
301 - 200 Manitoba Street,"$879,999",Mimico,Toronto,2,2,Apt/Condo
608 - 801 Sheppard Ave W,"$589,900",Clanton Park,Toronto,2,2,Apt/Condo
1220 - 460 Adelaide Street E,"$499,900",Moss Park,Toronto,1,1,Apt/Condo
301 - 1350 York Mills Rd,"$549,900",Parkwoods Donalda,Toronto,2,1,Apt/Condo
501 Palmerston Boulevard,"$3,199,000",Palmerston Little Italy,Toronto,7,3,House
3905 - 117 Mcmahon Drive,"$650,000",Bayview Village,Toronto,1,1,House
Ph120 - 460 Adelaide St E,"$1,038,888",Moss Park,Toronto,3,2,Apt/Condo
2107 - 1 Palace Pier Crt,"$665,000",Mimico,Toronto,2,1,Apt/Condo
2014 - 1001 Bay St,"$1,050,000",Bay Street Corridor,Toronto,2,2,Apt/Condo
Th05 - 101 Erskine Ave,"$2,100,000",Mount Pleasant West,Toronto,4,4,Townhouse
428 - 12 Douro Street,"$899,000",Niagara,Toronto,3,2,Townhouse
2201 - 70 Forest Manor Rd,"$599,000",Henry Farm,Toronto,2,2,Apt/Condo
121 - 7 Kenaston Gardens,"$598,999",Bayview Village,Toronto,2,2,Apt/Condo
205 - 2550 Lawrence Ave E,"$589,000",Dorset Park,Toronto,3,2,Apt/Condo
1604 - 20 Edward St,"$568,800",Bay Street Corridor,Toronto,1,1,Apt/Condo
229 Craven Rd,"$989,000",Greenwood Coxwell,Toronto,4,3,House
11 Ashton Manr,"$2,190,000",Stonegate Queensway,Toronto,4,2,House
703 - 55 De Boers Dr,"$539,000",York University Heights,Toronto,1,1,Apt/Condo
137 Benleigh Drive,"$1,299,975",Woburn,Toronto,7,3,House
1304 - 330 Mccowan Rd,"$559,000",Eglinton East,Toronto,3,2,Apt/Condo
129 Brookhaven Dr,"$999,000",Brookhaven Amesbury,Toronto,5,2,House
321 - 451 The West Mall,"$585,000",Etobicoke West Mall,Toronto,2,1,Apt/Condo
53 Codsell Ave,"$1,199,900",Bathurst Manor,Toronto,4,3,House
511 - 3 Everson Dr,"$729,000",Willowdale East,Toronto,3,2,Townhouse
1202 Islington Ave,"$1,199,000",Islington City Centre West,Toronto,3,2,House
4 Muskox Drive,"$1,410,000",Rouge,Toronto,4,3,House
1233 - 15 Merchants' Wharf Road,"$999,000",Waterfront Communities East,Toronto,2,2,Apt/Condo
703 - 355 Bedford Park Avenue,"$5,495,000",Bedford Park Nortown,Toronto,3,4,Apt/Condo
8 Blakley Ave,"$949,800",Rockcliffe Smythe,Toronto,3,2,House
414 - 15 Lower Jarvis St,"$525,000",Waterfront Communities East,Toronto,1,1,Apt/Condo
4906 - 2191 Yonge St,"$1,290,000",Mount Pleasant West,Toronto,3,3,Apt/Condo
203 - 195 Poplar Plains Rd,"$1,499,000",Casa Loma,Toronto,1,2,Apt/Condo
708 - 168 King St E,"$695,000",Moss Park,Toronto,2,2,Apt/Condo
810 - 38 Widmer St,"$588,000",Waterfront Communities West,Toronto,2,1,Apt/Condo
2604 - 500 Sherbourne St,"$649,000",North St. Jamestown,Toronto,2,1,Apt/Condo
411 - 188 Cumberland St,"$689,000",Yorkville,Toronto,1,1,Apt/Condo
2107 - 1 Palace Pier Crt,"$665,000",Mimico,Toronto,2,1,Apt/Condo
