,street address,Zip/Postal Code,Latitude,Longitude,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area
0,1787 Saint Clair Ave W #414,M6N1H9,43.673553,-79.461868,The Junction North,York,525000,2 bds,1 ba,,0,0,2,2,42,3,28,11,0,15,0,0,0,0,1
1,509 Beecroft Rd #1209,M2N0A3,43.778652,-79.417947,Willowdale South,North York,848000,3 bds,2 ba,,0,1,6,1,64,1,68,18,0,14,0,0,0,0,1
3,186 Macpherson Ave,M5R1W8,43.677945,-79.396728,The Annex,Central Toronto,2218000,3 bds,3 ba,,0,1,7,2,50,4,47,11,0,8,0,0,0,0,0
4,195 McCaul St #909,M5T0E5,43.6567,-79.392206,Chinatown,Downtown Toronto,449900,Studio,1 ba,,8,3,83,9,37,17,190,102,0,109,0,0,0,0,4
5,30 Roehampton Ave UNIT 1902,M4P0B9,43.708432,-79.397532,Davisville North,Central Toronto,630000,2 bds,2 ba,,0,1,5,10,60,7,70,32,3,56,0,0,0,0,4
6,84 Old Forest Hill Rd,M5P2R5,43.698984,-79.418189,Forest Hill North,Central Toronto,16950000,7 bds,8 ba,,0,0,2,1,50,1,10,4,0,3,0,0,0,0,0
7,625 Queen St E #607,M4M1G7,43.658001,-79.352987,Studio District,East Toronto,769900,2 bds,1 ba,,2,0,3,3,14,5,32,12,0,12,0,0,0,0,0
8,320 Dixon Rd #506,M9R1S8,43.696822,-79.552528,Kingsview Village,Etobicoke,399900,2 bds,1 ba,,0,0,5,0,30,0,1,2,0,5,0,0,0,0,0
9,45 Manning Ave,M6J2K3,43.647598,-79.408882,Little Portugal,West Toronto,999999,3 bds,1 ba,,1,0,4,5,20,10,100,47,0,57,0,0,0,0,3
10,41 Pinto Dr,M2J3T9,43.791871,-79.339242,Fairview,North York,1149000,6 bds,3 ba,"1,855 sqft",0,0,4,0,19,0,0,1,0,0,0,0,0,0,0
11,3 Chilcot Ave,M9W1T9,43.713267,-79.551602,Northwest,Etobicoke,798000,4 bds,2 ba,,0,0,2,1,15,0,8,1,0,15,0,0,0,0,0
12,2 Sonic Way #1708,M3C0P2,43.719497,-79.336408,Flemingdon Park,North York,499000,1 bd,1 ba,,0,0,0,1,35,0,7,0,0,4,0,0,0,0,1
13,53 Hazelton Ave,M5R2E3,43.672448,-79.393529,The Annex,Central Toronto,6880000,3 bds,4 ba,,0,4,61,7,72,9,85,46,0,48,0,0,0,0,2
14,80 John St #3201,M5V3X4,43.646874,-79.390188,CN Tower,Downtown Toronto,1550000,2 bds,2 ba,,0,3,10,11,11,32,183,96,0,181,0,0,0,0,7
15,7 Carlton St #704,M5B2M3,43.661094,-79.38259,Ryerson,Downtown Toronto,628888,1 bd,1 ba,670 sqft,6,6,61,18,67,18,175,97,0,172,0,0,0,0,5
16,37 Pringdale Gardens Cir,M1J0B1,43.742145,-79.24373,Scarborough Village,Scarborough,899900,5 bds,4 ba,,0,0,3,0,43,1,7,1,0,5,0,0,0,0,1
17,10 Ed Clark Gdns #14,M6N3A9,43.674272,-79.46257,The Junction North,York,949900,3 bds,2 ba,"1,231 sqft",0,0,1,2,44,1,24,8,0,14,0,0,0,0,1
18,12 Waring Ct,M2N4G7,43.776906,-79.401025,Willowdale South,North York,3998800,5 bds,7 ba,,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
19,60 Colborne St #1608,M5E0B7,43.649288,-79.374406,Berczy Park,Downtown Toronto,475000,1 bd,1 ba,,0,4,14,12,83,28,142,95,0,163,0,0,0,0,10
20,185 Roehampton Ave #2907,M4P0C6,43.708956,-79.392982,Davisville North,Central Toronto,550000,1 bd,1 ba,,0,1,6,10,62,7,78,29,3,55,0,0,0,0,4
21,1 Sudbury St #101,M6J3W6,43.641055,-79.417998,Little Portugal,West Toronto,679000,2 bds,1 ba,,0,1,2,5,28,7,71,30,0,34,0,0,0,0,1
22,51 Harrison Garden Blvd #707,M2N7G4,43.756666,-79.407784,Willowdale South,North York,498800,2 bds,2 ba,,0,1,0,5,37,0,18,9,0,27,0,0,0,0,0
23,36 Lisgar St #1010,M6J0C7,43.641739,-79.423316,Little Portugal,West Toronto,499900,2 bds,2 ba,,0,1,3,7,40,8,82,33,0,36,0,0,0,0,2
24,5765 Yonge St #1204,M2M4H9,43.783102,-79.415166,Newtonbrook,North York,598800,3 bds,2 ba,,0,1,5,1,81,1,65,19,0,14,0,0,0,0,2
25,41 Dearham Wood,M1E1S2,43.752788,-79.189511,Guildwood,Scarborough,1106600,4 bds,2 ba,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,17 Bathurst St #4205,M5V0N1,43.637435,-79.398908,CN Tower,Downtown Toronto,619995,1 bd,1 ba,,0,0,2,6,11,8,56,24,0,17,0,0,0,0,4
27,25 Finchley Rd,M9A2X4,43.657715,-79.526342,Islington Avenue,Etobicoke,3450000,4 bds,4 ba,,0,0,1,2,36,0,3,4,0,5,0,0,0,0,2
28,665 Queen St E #412,M4M1G6,43.658361,-79.351159,Studio District,East Toronto,849900,2 bds,2 ba,,2,0,2,3,10,6,36,13,0,12,0,0,0,0,0
29,3865 Lake Shore Blvd W #217,M8W0A2,43.589859,-79.545165,Alderwood,Etobicoke,650000,2 bds,2 ba,,0,0,2,0,18,1,7,4,0,5,0,0,0,0,1
30,270 Queens Quay W #805,M5V3J2,43.639173,-79.386389,CN Tower,Downtown Toronto,685900,3 bds,1 ba,,0,3,0,8,5,11,83,54,0,121,0,0,0,0,3
31,20 Amesbury Dr,M6M4H4,43.701261,-79.481426,Del Ray,York,1099000,3 bds,2 ba,,0,0,2,1,40,0,7,5,0,4,0,0,0,0,1
32,160 The Donway W #403,M3C2G1,43.73383,-79.34844,Flemingdon Park,North York,424900,2 bds,1 ba,,0,0,4,2,52,1,11,7,0,8,0,0,0,0,1
33,30 Western Battery Rd #316,M6K3N9,43.639688,-79.412489,Brockton,West Toronto,549900,1 bd,1 ba,,0,1,1,3,31,7,52,34,0,24,0,0,0,0,1
34,56 Grierson Rd,M9W3R3,43.715143,-79.545919,Northwest,Etobicoke,799000,3 bds,2 ba,,0,0,1,1,14,0,0,0,0,4,0,0,0,0,0
35,41 Markbrook Ln #614,M9V5E6,43.75828,-79.58639,Albion Gardens,Etobicoke,554999,1 bd,2 ba,776 sqft,0,0,2,1,17,0,3,0,0,2,0,0,0,0,1
36,600 Fleet St #717,M5V1B7,43.636698,-79.400078,CN Tower,Downtown Toronto,748800,2 bds,2 ba,,0,0,1,6,12,8,44,22,0,17,0,0,0,0,3
37,170 Bayview Ave #711,M5A0M4,43.655305,-79.35375,Harbourfront,Downtown Toronto,625000,1 bd,1 ba,,0,0,4,1,14,6,25,17,0,10,0,0,0,0,0
38,11 Wellesley St W #612,M4Y0G4,43.664526,-79.385583,Church and Wellesley,Downtown Toronto,699000,2 bds,1 ba,,5,6,64,17,73,17,162,96,0,137,0,0,0,0,4
39,295 Downsview Park Blvd,M3K0B6,43.73797,-79.476415,CFB Toronto,North York,995000,5 bds,4 ba,,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0
40,333 Adelaide St E #410,M5A4T4,43.651843,-79.369052,Harbourfront,Downtown Toronto,599000,1 bd,1 ba,,0,0,6,10,68,16,96,49,0,58,0,0,0,0,5
41,62 Schell Ave,M6E2S9,43.698338,-79.45509,Caledonia-Fairbanks,York,1299900,4 bds,3 ba,,0,0,1,1,40,0,19,4,0,15,0,0,0,0,1
42,64 Glengowan Rd,M4N1G4,43.721159,-79.392357,Lawrence Park,Central Toronto,9950000,6 bds,6 ba,,0,0,2,0,30,0,4,0,0,0,0,0,0,0,0
43,501 Adelaide St W #1108,M5V0R3,43.645422,-79.401295,CN Tower,Downtown Toronto,629000,1 bd,1 ba,,1,0,5,12,13,15,150,60,0,70,0,0,0,0,7
44,260 Queens Quay W #1304,M5J2N3,43.63928,-79.385715,Harbourfront East,Downtown Toronto,629000,1 bd,1 ba,,0,3,0,8,7,13,80,59,0,123,0,0,0,0,3
45,70 Annie Craig Dr #4802,M8V0G2,43.624739,-79.478962,Humber Bay Shores,Etobicoke,769800,2 bds,2 ba,,0,0,1,1,23,0,12,8,0,9,0,0,0,0,0
46,801 King St W #325,M5V3C9,43.642734,-79.40707,CN Tower,Downtown Toronto,499000,2 bds,1 ba,,0,0,2,6,25,11,77,36,0,31,0,0,0,0,4
47,43 Millburn Dr,M9B2W8,43.663271,-79.56261,Cloverdale,Etobicoke,2699000,7 bds,5 ba,,0,0,3,0,19,0,0,0,0,0,0,0,0,0,1
48,32 Lyme Regis Cres,M1M1E4,43.718741,-79.228161,Cliffcrest,Scarborough,3350000,5 bds,5 ba,,0,0,4,2,16,1,10,0,0,5,0,0,0,0,1
49,278 Dawlish Ave,M4N1J5,43.724134,-79.383185,Lawrence Park,Central Toronto,4395000,5 bds,5 ba,,12,0,17,0,22,0,1,2,0,3,0,0,0,0,0
50,52 Amiens Rd,M1E3S8,43.776204,-79.188186,Guildwood,Scarborough,1299000,4 bds,2 ba,,0,0,0,0,0,0,0,6,0,12,0,0,0,0,1
