osm_id,code,fclass,name,type,geometry,Latitude,Longitude
43804629,1500,building,,hospital,"POLYGON ((-79.3913282 43.658314, -79.3912796 43.6583234, -79.3912865 43.6583436, -79.3912303 43.658355, -79.3912377 43.6583741, -79.3911087 43.6584024, -79.3907872 43.6584728, -79.3906762 43.6584971, -79.3903148 43.658577, -79.3902713 43.6585409, -79.3902448 43.6584936, -79.3902181 43.6584201, -79.3902114 43.6584214, -79.3901905 43.6583705, -79.3901969 43.6583692, -79.3901687 43.6583033, -79.3901485 43.6582527, -79.3901376 43.658255, -79.3900981 43.6581631, -79.3900787 43.6581672, -79.3900647 43.6581701, -79.3900622 43.6581645, -79.3900595 43.6581584, -79.3900479 43.658161, -79.3900331 43.6581268, -79.3900445 43.6581241, -79.3900416 43.6581175, -79.3900391 43.6581118, -79.3900532 43.6581089, -79.3900728 43.6581046, -79.39004 43.6580263, -79.3901323 43.6580062, -79.3901266 43.6579931, -79.3902779 43.6579594, -79.3903043 43.6579538, -79.3903438 43.6579442, -79.3904 43.6579322, -79.3907725 43.6578526, -79.3910017 43.6578036, -79.3910131 43.6578318, -79.3910734 43.6578194, -79.3910835 43.6578458, -79.3911288 43.6578367, -79.3913282 43.658314))",43.65818257,-79.39068532
43805321,1500,building,,hospital,"POLYGON ((-79.3909552 43.6577415, -79.3906961 43.657801, -79.3904084 43.6578671, -79.3903188 43.6578877, -79.3903438 43.6579442, -79.3903043 43.6579538, -79.3902787 43.657897, -79.3900563 43.6579481, -79.3899637 43.6577333, -79.3898953 43.6577479, -79.3897484 43.657402, -79.3898208 43.6573859, -79.3897333 43.6571752, -79.3898153 43.6571564, -79.3900765 43.6570964, -79.3901211 43.6570861, -79.3903766 43.6570303, -79.3906188 43.6569773, -79.3907913 43.65736, -79.3909552 43.6577415))",43.65746624,-79.39032448
43805957,1500,building,,hospital,"POLYGON ((-79.3906058 43.6568867, -79.3903197 43.6569493, -79.390315 43.6569386, -79.390085 43.656989, -79.3899547 43.6570175, -79.3897752 43.6570567, -79.3897042 43.6568867, -79.3896116 43.6569076, -79.3895392 43.6567368, -79.3896324 43.6567159, -79.3895402 43.6564986, -79.3895022 43.6564081, -79.389686 43.6563692, -79.3897181 43.6564482, -79.3897237 43.6564624, -79.3897455 43.6564583, -79.3897377 43.6564372, -79.3897756 43.6564292, -79.3897645 43.6564039, -79.3903279 43.6562786, -79.390374 43.6563846, -79.3903945 43.6563807, -79.3904153 43.6564273, -79.3903948 43.6564317, -79.3904381 43.6565309, -79.3904518 43.6565283, -79.3906058 43.6568867))",43.65667042,-79.39004173
43806455,1500,building,Bellwood Health Sciences,hospital,"POLYGON ((-79.3664778 43.7195099, -79.366383 43.7195955, -79.3663751 43.7196659, -79.3663909 43.7197401, -79.3664646 43.7197496, -79.3664462 43.7197953, -79.3663172 43.7197782, -79.366104 43.7198314, -79.3661596 43.7198762, -79.3658507 43.7200828, -79.3654278 43.7197521, -79.3656013 43.7196477, -79.3658187 43.7198141, -79.3659628 43.7197225, -79.3660195 43.7197207, -79.3660261 43.7196896, -79.3661593 43.7197039, -79.3661672 43.719624, -79.3661882 43.7195631, -79.3662488 43.7194642, -79.3662224 43.7194452, -79.3662698 43.7193253, -79.3663462 43.7193957, -79.3663725 43.7193748, -79.3664699 43.7194585, -79.3664489 43.7194775, -79.3664778 43.7195099))",43.71975216,-79.366008
43807731,1500,building,,hospital,"POLYGON ((-79.4336499 43.6353299, -79.4331813 43.6354229, -79.4330673 43.6351458, -79.4329904 43.6351615, -79.4329166 43.6349752, -79.4325402 43.6350495, -79.432408 43.6347114, -79.4328827 43.6346047, -79.4329801 43.6348669, -79.4332304 43.63482, -79.433281 43.6347598, -79.4333981 43.634733, -79.4334327 43.6348116, -79.4333816 43.6348792, -79.4334297 43.6350005, -79.4335205 43.6349833, -79.4336499 43.6353299))",43.63499771,-79.43306802
43807850,1500,building,,hospital,"POLYGON ((-79.3710093 43.719252, -79.3707813 43.7194271, -79.3707052 43.7193753, -79.370651 43.7194169, -79.3705337 43.7193371, -79.3704604 43.7193934, -79.3703719 43.7193332, -79.3702708 43.7194108, -79.3700663 43.7192717, -79.3696447 43.7195955, -79.3695501 43.7195641, -79.3695259 43.7195825, -79.3694407 43.7195347, -79.3694409 43.7194871, -79.3693944 43.719487, -79.3693947 43.7194235, -79.3694413 43.7194236, -79.3694416 43.7193635, -79.3693924 43.7193633, -79.3693927 43.7193013, -79.3694339 43.7193014, -79.3694342 43.7192447, -79.3693897 43.7192446, -79.36939 43.7191805, -79.3694286 43.7191805, -79.3694288 43.7191246, -79.3693875 43.7191245, -79.3693877 43.7190754, -79.369579 43.7189564, -79.3699279 43.7191936, -79.370413 43.7188211, -79.3704625 43.7188548, -79.3705284 43.7188042, -79.3705928 43.718848, -79.3705095 43.718912, -79.3710093 43.719252))",43.71921489,-79.37012168
43809864,1500,building,Mount Sinai Hospital,hospital,"POLYGON ((-79.3922783 43.6581167, -79.3921664 43.6581393, -79.3921604 43.6581223, -79.3918855 43.6581803, -79.3918141 43.6581949, -79.3918198 43.6582099, -79.3915584 43.6582648, -79.3915496 43.6582468, -79.3914749 43.6582623, -79.3914336 43.6581618, -79.3912833 43.657796, -79.3912425 43.6576966, -79.3913191 43.6576806, -79.3913119 43.6576631, -79.3915801 43.6576055, -79.3915856 43.6576191, -79.391654 43.6576042, -79.3916649 43.6576291, -79.3920451 43.6575483, -79.3922783 43.6581167))",43.65790351,-79.39175351
43809965,1500,building,Michael Garron Hospital,hospital,"POLYGON ((-79.3261938 43.6901821, -79.3260503 43.6902572, -79.3257514 43.6899372, -79.3257187 43.6899445, -79.3257 43.6899042, -79.3254985 43.6899438, -79.3255565 43.6901011, -79.3255704 43.6900982, -79.3257026 43.690071, -79.3258327 43.6903976, -79.3256763 43.6904296, -79.3256162 43.6902827, -79.3253964 43.6903293, -79.3253519 43.6902131, -79.3254056 43.6902014, -79.3253694 43.6901137, -79.3253788 43.6901117, -79.3253251 43.6899812, -79.3252869 43.6899891, -79.3252959 43.6900126, -79.3252016 43.6900315, -79.325249 43.6901488, -79.325344 43.6903912, -79.3254435 43.6906438, -79.325067 43.6907267, -79.3246371 43.6908213, -79.3246189 43.6907762, -79.3246627 43.6907662, -79.3244775 43.6903178, -79.3243747 43.69034, -79.3241168 43.689707, -79.3240781 43.6897154, -79.323724 43.6897925, -79.3235711 43.6894134, -79.3239069 43.6893447, -79.3240216 43.689624, -79.3240415 43.6896199, -79.3241724 43.6895929, -79.3242257 43.6895812, -79.3242157 43.689556, -79.3241966 43.6895601, -79.3240638 43.6895886, -79.3239632 43.6893321, -79.3243078 43.6892591, -79.324411 43.6895073, -79.3244682 43.689494, -79.324488 43.6895432, -79.3245067 43.6895389, -79.3246647 43.6899258, -79.3246686 43.6899348, -79.3245835 43.6899529, -79.3246146 43.690024, -79.3252396 43.6898893, -79.3252312 43.6898681, -79.325246 43.6898649, -79.3252788 43.6898579, -79.3252668 43.6898293, -79.3251345 43.6895132, -79.3252938 43.6894764, -79.3254252 43.6897945, -79.3256632 43.6897418, -79.3256749 43.6893371, -79.3258496 43.6893381, -79.3258432 43.6897171, -79.3258507 43.6897417, -79.3258665 43.6897935, -79.3258771 43.6898285, -79.3258958 43.6898898, -79.3261938 43.6901821))",43.69001722,-79.32487435
43810889,1500,building,,hospital,"POLYGON ((-79.3823211 43.6652599, -79.3822912 43.6653027, -79.382052 43.6653507, -79.3819085 43.6650083, -79.3821884 43.6649461, -79.3821998 43.6649723, -79.3823144 43.6652425, -79.3823211 43.6652599))",43.66514869,-79.3821202
55947533,1500,building,,hospital,"POLYGON ((-79.3097545 43.8021142, -79.3095074 43.8021689, -79.3095806 43.8023409, -79.3090188 43.8024653, -79.3089453 43.8022926, -79.3086547 43.8023569, -79.3085115 43.8020199, -79.3087403 43.8019693, -79.3086636 43.8017887, -79.3084067 43.8018455, -79.3082562 43.8014915, -79.3086218 43.8014105, -79.3087296 43.8016642, -79.3091132 43.8015792, -79.3090141 43.8013462, -79.3093878 43.8012635, -79.3095236 43.801583, -79.3092813 43.8016366, -79.3093618 43.801826, -79.3096088 43.8017713, -79.3097545 43.8021142))",43.80189491,-79.30905104
