,street address,Zip/Postal Code,Latitude,Longitude,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area
266,33 Shore Breeze Dr E #1208,M8V0G1,43.623886,-79.479223,Humber Bay Shores,Etobicoke,685000,2 bds,1 ba,,0,0,2,1,35,0,19,11,0,15,0,0,0,0,1
267,24 Coventry St,M1L0H1,43.692746,-79.276677,Clairlea,Scarborough,929900,3 bds,3 ba,,0,1,3,2,110,4,9,5,0,8,0,0,0,0,0
268,21 Groverdale Rd,M9C3M7,43.650171,-79.575026,Bloordale Gardens,Etobicoke,1275000,3 bds,2 ba,,0,0,15,0,77,2,3,4,0,10,0,0,0,0,2
269,80 Curzon St,M4M3B4,43.665284,-79.332659,Studio District,East Toronto,988000,3 bds,2 ba,,0,0,10,4,71,6,41,21,0,26,0,0,0,0,0
270,8 Trent Ave #1205,M4C0A6,43.688207,-79.295862,Woodbine Heights,East York,749900,3 bds,2 ba,,0,3,12,4,117,2,24,14,0,16,0,0,0,0,2
271,65 Huntingdale Blvd UNIT 1507,M1W2P1,43.795184,-79.324378,L'Amoreaux West,Scarborough,685000,3 bds,2 ba,,0,0,14,0,69,0,6,2,0,8,0,0,0,0,2
272,198 Lawlor Ave,M4E3M1,43.685388,-79.290756,The Beaches,East Toronto,1324900,4 bds,2 ba,,0,3,16,4,114,3,35,18,0,20,0,0,0,0,2
273,408 Browns Line S #312,M5W3T9,43.601697,-79.545232,Stn A PO Boxes 25 The Esplanade,Downtown Toronto,689900,2 bds,2 ba,,0,0,4,2,53,3,13,11,0,17,0,0,0,0,2
274,1 King St W #1501,M5H1A1,43.648987,-79.37807,Adelaide,Downtown Toronto,399900,2 bds,1 ba,,0,9,43,31,116,52,331,203,0,377,0,0,0,0,14
275,25 Clark St,M4M1M5,43.660183,-79.347772,Studio District,East Toronto,1475000,3 bds,3 ba,,2,0,7,4,43,6,55,31,0,29,0,0,0,0,0
276,64 Chandler Dr,M1G1Z3,43.765412,-79.220644,Woburn,Scarborough,899000,5 bds,2 ba,,0,0,13,2,49,0,10,2,0,33,0,0,0,0,3
277,10 Capreol Ct #902,M5V4B3,43.640268,-79.396014,CN Tower,Downtown Toronto,599000,2 bds,1 ba,,0,1,8,19,22,32,228,95,0,137,0,0,0,0,10
278,215 Mill Rd,M9C1Y1,43.633835,-79.57625,Bloordale Gardens,Etobicoke,1479000,4 bds,3 ba,,0,0,5,0,54,1,3,4,1,4,0,0,0,0,2
279,100 Rosethorn Ave,M6N3L1,43.679352,-79.463314,The Junction North,York,1250000,3 bds,2 ba,,0,0,3,4,91,2,35,8,0,21,0,0,0,0,2
280,98 Spruce Hill Rd,M4E3G4,43.675156,-79.290203,The Beaches,East Toronto,2899999,4 bds,4 ba,,0,0,11,4,52,5,42,17,0,20,0,0,0,0,2
281,63 Bannatyne Dr,M2L2P2,43.761125,-79.370406,Silver Hills,North York,5598000,5 bds,7 ba,,0,3,5,0,62,1,5,5,0,5,0,0,0,0,2
282,533 Richmond St W PENTHOUSE 2,M5V3Y1,43.646874,-79.400841,CN Tower,Downtown Toronto,3800000,3 bds,3 ba,,3,0,30,20,26,40,363,142,0,176,0,0,0,0,12
283,8 Lee Centre Dr #702,M1H3H8,43.780823,-79.247602,Cedarbrae,Scarborough,375888,1 bd,1 ba,,0,0,5,0,90,0,14,14,0,48,0,0,0,0,4
284,30 Nelson St #PENTHOUSE 101,M5V0H5,43.649062,-79.388476,CN Tower,Downtown Toronto,3950000,3 bds,3 ba,,6,10,61,29,76,53,443,246,0,407,0,0,0,0,19
285,9 Overton Pl,M3B1H1,43.741095,-79.345984,Don Mills North,North York,1850000,4 bds,4 ba,,0,0,11,3,66,1,16,7,0,13,0,0,0,0,1
286,1328 Birchmount Rd #PENTHOUSE 9,M1R0B6,43.748506,-79.286068,Maryvale,Scarborough,698000,3 bds,2 ba,"1,115 sqft",0,0,6,2,70,1,18,8,0,28,0,0,0,0,2
287,717 Greenwood Ave,M4J4B6,43.683375,-79.332915,East Toronto,East York,1029000,3 bds,2 ba,,1,4,10,3,126,3,16,12,0,18,0,0,0,0,0
288,200 Woodbine Ave #601,M4L3P2,43.668935,-79.306142,The Beaches West,East Toronto,4899000,4 bds,5 ba,,0,0,2,5,46,3,30,6,0,22,0,0,0,0,2
289,8 Attila Ct,M9V4E5,43.736459,-79.597189,Albion Gardens,Etobicoke,949900,4 bds,3 ba,,1,0,9,1,59,0,3,4,0,26,0,0,0,0,0
290,62 Kent Rd,M4L2X6,43.667307,-79.321014,The Beaches West,East Toronto,995000,3 bds,2 ba,,0,0,5,3,53,4,25,7,0,18,0,0,0,0,0
291,200 Russell Hill Rd #502,M4V0B6,43.681737,-79.406631,Deer Park,Central Toronto,16995000,6 bds,7 ba,,0,3,15,4,100,2,34,19,1,23,0,0,0,0,0
292,45 Oldham Rd,M9A2B9,43.677488,-79.542254,Islington Avenue,Etobicoke,1629000,4 bds,3 ba,,0,0,7,0,54,0,0,2,0,5,0,0,0,0,1
293,29 Portico Dr,M1G3R5,43.779069,-79.22196,Woburn,Scarborough,1249999,7 bds,4 ba,,0,0,12,0,42,0,7,5,0,18,0,0,0,0,0
294,11 Brunel Ct #5005,M5V3Y3,43.639441,-79.393173,CN Tower,Downtown Toronto,570000,1 bd,1 ba,,0,2,7,19,18,33,221,108,0,178,0,0,0,0,8
295,103 Old Colony Rd,M2L2K3,43.758834,-79.374583,Silver Hills,North York,19995000,6 bds,11 ba,,0,2,5,0,48,0,3,4,0,4,0,0,0,0,0
296,175 Teddington Park Ave,M4N2C7,43.734233,-79.396869,Lawrence Park,Central Toronto,14680000,6 bds,9 ba,,0,1,1,1,81,1,10,9,0,8,0,0,0,0,2
297,6 Wyndcliff Cres,M4A2K1,43.735574,-79.318059,Victoria Village,North York,1429900,4 bds,2 ba,,0,0,5,2,72,0,5,4,0,11,0,0,0,0,1
298,40 Sylvan Valleyway #523,M5M4M3,43.724203,-79.415282,Bedford Park,North York,889000,2 bds,2 ba,,0,1,3,3,63,1,35,11,0,12,0,0,0,0,2
299,167 Wineva Ave,M4E2T5,43.672156,-79.295951,The Beaches,East Toronto,1649900,4 bds,4 ba,,0,0,9,5,43,5,44,14,0,17,0,0,0,0,2
300,10 Gateway Blvd #402,M3C3A1,43.709781,-79.332708,Flemingdon Park,North York,499000,2 bds,2 ba,,0,0,4,2,77,0,12,2,0,12,0,0,0,0,1
301,2200 Lake Shore Blvd W #818,M8V1A4,43.622743,-79.481934,Humber Bay Shores,Etobicoke,530000,1 bd,1 ba,,0,0,2,1,41,0,25,11,0,19,0,0,0,0,1
302,8 Rosebank Dr #7H,M1B5Z3,43.791844,-79.237284,Rouge,Scarborough,528000,2 bds,1 ba,,0,0,11,2,91,0,10,6,0,17,0,0,0,0,0
303,31 Antler St,M6P3R2,43.663867,-79.44993,High Park,West Toronto,1099900,5 bds,2 ba,,0,4,11,8,113,13,54,32,0,40,0,0,0,0,2
305,130 Neptune Dr #607,M6A1X5,43.730295,-79.441115,Lawrence Heights,North York,539333,3 bds,2 ba,,0,2,6,2,119,0,25,9,0,34,0,0,0,0,0
306,557 Logan Ave,M4K3B6,43.669004,-79.345758,The Danforth West,East Toronto,799000,3 bds,2 ba,,2,2,20,9,56,9,101,44,0,48,0,0,0,0,1
307,302 Richview Ave,M5P3G5,43.695952,-79.422548,Forest Hill North,Central Toronto,2799000,4 bds,5 ba,,0,1,7,3,89,2,32,14,0,14,0,0,0,0,2
308,1 Monarchdale Ave,M6M2S6,43.698966,-79.493874,Del Ray,York,849900,4 bds,3 ba,,0,0,7,2,89,0,24,4,0,21,0,0,0,0,1
309,5 Wray Ct,M9V4K4,43.755083,-79.593103,Albion Gardens,Etobicoke,799990,4 bds,3 ba,,0,0,10,1,43,0,5,1,0,9,0,0,0,0,1
310,56 Branstone Rd,M6E4E4,43.692013,-79.453838,Caledonia-Fairbanks,York,1150000,3 bds,2 ba,,0,0,4,3,87,1,22,4,0,22,0,0,0,0,2
311,5 Mabelle Ave #2328,M9A0C8,43.646719,-79.525449,Islington Avenue,Etobicoke,749000,3 bds,2 ba,,0,1,11,2,102,6,25,9,1,24,0,0,0,0,0
312,437 Westmount Ave,M6E3N4,43.686951,-79.445233,Caledonia-Fairbanks,York,799000,4 bds,2 ba,,0,0,12,1,94,1,67,24,0,36,0,0,0,0,1
313,35 Kirkdene Dr,M1C3A5,43.793789,-79.141364,Highland Creek,Scarborough,1246000,4 bds,4 ba,,0,0,0,0,0,0,0,2,0,4,0,0,0,0,3
314,136 Collier St,M4W1M3,43.67275,-79.384146,Rosedale,Downtown Toronto,1850000,5 bds,3 ba,,2,7,61,20,126,18,168,84,0,118,0,0,0,0,3
315,130 Morningview Trl,M1B5L2,43.815394,-79.199609,Rouge,Scarborough,1349000,6 bds,4 ba,,0,0,4,2,38,0,0,0,0,0,0,0,0,0,0
316,2800 Warden Ave #1004,M1W3Z6,43.795721,-79.315724,L'Amoreaux West,Scarborough,399900,2 bds,2 ba,,1,0,9,0,71,0,3,2,0,4,0,0,0,0,2
317,4737 Jane St,M3N2K8,43.771431,-79.519798,Downsview Northwest,North York,499000,4 bds,2 ba,,0,2,17,1,94,0,7,2,0,10,0,0,0,0,0
318,28 Fishleigh Dr,M1N1G9,43.700665,-79.250643,Birch Cliff,Scarborough,1299000,6 bds,4 ba,,0,0,4,3,39,1,4,0,0,4,0,0,0,0,1
319,4673 Jane St #318,M3N2L1,43.770357,-79.520128,Downsview Northwest,North York,330000,2 bds,1 ba,,0,2,15,1,89,0,7,3,0,10,0,0,0,0,0
320,850 Danforth Rd,M1K1H5,43.726901,-79.253184,East Birchmount Park,Scarborough,799900,5 bds,2 ba,,0,3,7,2,111,1,15,0,0,10,0,0,0,0,1
321,303 Maria St,M6P1W6,43.666219,-79.482138,High Park,West Toronto,799000,2 bds,2 ba,,1,0,9,1,113,2,46,12,0,21,0,0,0,0,0
322,631 Richmond St W,M6J1C2,43.646133,-79.404423,Little Portugal,West Toronto,799000,3 bds,1 ba,,1,0,14,21,34,27,315,117,0,124,0,0,0,0,11
323,90 Broadview Ave #526,M4M0A7,43.65794,-79.349786,Studio District,East Toronto,689000,2 bds,1 ba,,2,0,7,4,46,7,55,32,0,20,0,0,0,0,0
324,18 Burnt Log Cres,M9C2J8,43.633137,-79.58094,Bloordale Gardens,Etobicoke,1999999,4 bds,3 ba,"3,180 sqft",0,0,6,1,45,1,0,3,2,5,0,0,0,0,2
325,10 De Boers Dr #905,M3J0L6,43.752055,-79.464264,Northwood Park,North York,499000,2 bds,1 ba,,0,1,3,2,72,0,8,4,0,8,0,0,0,0,0
326,825 Adelaide St W,M6J1B5,43.643556,-79.410684,Little Portugal,West Toronto,1599000,3 bds,2 ba,,1,1,9,12,50,22,198,72,0,94,0,0,0,0,5
327,15 Edenbrook Hl,M9A3Z7,43.671624,-79.524004,Islington Avenue,Etobicoke,7750000,5 bds,7 ba,,0,0,2,1,49,0,0,2,0,2,0,0,0,0,2
328,10 Deerlick Ct #518,M3A0A7,43.759433,-79.332085,Parkwoods,North York,599990,2 bds,2 ba,,0,0,12,0,71,0,8,3,0,7,0,0,0,0,1
329,11 Wellesley St W #4711,M4Y0G4,43.664526,-79.385583,Church and Wellesley,Downtown Toronto,714900,1 bd,1 ba,,7,10,165,26,142,28,277,170,0,271,0,0,0,0,6
330,37 Saint Andrews Gdns,M4W2C9,43.685552,-79.374772,Rosedale,Downtown Toronto,6495000,6 bds,5 ba,,0,2,12,0,60,0,1,3,0,0,0,0,0,0,0
331,8 Colborne St #PENTHOUSE 2701,M5E1E1,43.648745,-79.377021,Berczy Park,Downtown Toronto,3495000,5 bds,4 ba,,0,9,41,26,120,50,315,189,0,349,0,0,0,0,14
332,102 Pennyhill Dr,M1B4K7,43.813775,-79.216708,Rouge,Scarborough,749900,3 bds,3 ba,"1,280 sqft",0,0,18,2,89,0,0,0,0,0,0,0,0,0,0
333,333 Brighton Ave,M3H4G4,43.756128,-79.462889,Bathurst Manor,North York,3438000,6 bds,7 ba,,0,1,5,2,83,0,11,5,0,8,0,0,0,0,0
334,20 Blue Jays Way #319,M5V3W6,43.643797,-79.391668,CN Tower,Downtown Toronto,639000,1 bd,1 ba,,1,5,15,26,35,39,330,158,0,252,0,0,0,0,14
335,2737 Keele St #821,M3M2E9,43.725799,-79.480604,Downsview Central,North York,299990,Studio,1 ba,,1,0,9,1,50,0,8,3,0,10,0,0,0,0,1
336,24 Masseygrove Cres,M9V3C9,43.736326,-79.584228,Albion Gardens,Etobicoke,899999,6 bds,3 ba,,0,0,14,1,89,0,4,3,0,21,0,0,0,0,1
337,1 De Vere Gdns,M5M3E4,43.736381,-79.407697,Bedford Park,North York,4995000,5 bds,6 ba,,0,2,2,2,88,2,38,17,0,19,0,0,0,0,2
338,36 Astley Ave,M4W3B4,43.688906,-79.369921,Rosedale,Downtown Toronto,3499000,5 bds,6 ba,,0,0,4,0,39,0,2,3,0,0,0,0,0,0,0
339,222 The Esplanade #713,M5A4M8,43.649611,-79.365545,Harbourfront,Downtown Toronto,449900,2 bds,1 ba,,0,1,10,12,108,21,122,67,0,82,0,0,0,0,6
340,629 King St W #1307,M5V0G9,43.643972,-79.401585,CN Tower,Downtown Toronto,399880,1 bd,1 ba,,1,0,8,20,29,30,287,113,0,133,0,0,0,0,9
341,228 Westview Blvd,M4B3J5,43.71338,-79.305617,Woodbine Gardens,East York,998000,3 bds,2 ba,,0,0,5,0,104,1,12,2,0,14,0,0,0,0,2
342,357 King St W #1601,M5V0S7,43.645835,-79.392529,CN Tower,Downtown Toronto,399000,1 bd,1 ba,,5,5,23,25,42,39,389,177,0,267,0,0,0,0,13
343,55 Hambly Ave,M4E2R5,43.673307,-79.297707,The Beaches,East Toronto,3299900,4 bds,4 ba,,0,1,9,5,46,5,41,14,0,15,0,0,0,0,2
344,74 Connolly St,M6N5G3,43.671959,-79.455369,The Junction North,York,498800,2 bds,1 ba,,0,0,8,3,108,4,56,24,0,16,0,0,0,0,1
345,17A S Woodrow Blvd,M1N3L5,43.699423,-79.260028,Birch Cliff,Scarborough,1269000,4 bds,2 ba,,0,0,5,2,73,3,7,1,0,7,0,0,0,0,1
346,23 Dewbourne Ave,M5P1Z5,43.699157,-79.423254,Forest Hill North,Central Toronto,5995000,8 bds,8 ba,,0,1,7,2,87,2,26,6,0,7,0,0,0,0,1
347,271 Victoria Park Ave,M4E3S6,43.683316,-79.284726,The Beaches,East Toronto,600000,1 bd,1 ba,,0,1,11,3,76,3,29,14,0,17,0,0,0,0,1
348,2A Battenberg Ave,M4L1J8,43.667336,-79.316773,The Beaches West,East Toronto,695000,2 bds,1 ba,,0,0,4,3,48,2,25,6,0,18,0,0,0,0,0
349,235 Sherway Gardens Rd #2010,M9C0A2,43.609301,-79.559016,Bloordale Gardens,Etobicoke,650000,2 bds,2 ba,,1,0,2,4,42,0,16,10,0,33,0,0,0,0,3
350,14 Pinegrove Ave,M1N2G4,43.698491,-79.263913,Birch Cliff,Scarborough,799000,4 bds,2 ba,,0,0,5,1,92,2,9,1,0,5,0,0,0,0,0
351,180 Patricia Ave,M2M1J5,43.788611,-79.426393,Newtonbrook,North York,1088000,4 bds,3 ba,,0,1,6,5,130,1,38,21,0,31,0,0,0,0,1
352,1815 Yonge St #1801,M4T2A4,43.695918,-79.395842,Moore Park,Central Toronto,849000,2 bds,1 ba,,0,3,11,10,126,11,93,37,3,67,0,0,0,0,8
353,740 Eglinton Ave W #301,M5N1C4,43.702079,-79.421814,Roselawn,Central Toronto,499000,2 bds,1 ba,,0,0,6,2,82,2,30,8,0,8,0,0,0,0,1
354,114 Saskatoon Dr,M9P2G4,43.69309,-79.544397,Westmount,Etobicoke,1549900,6 bds,4 ba,,0,0,11,0,67,0,2,3,0,12,0,0,0,0,1
355,353 Driftwood Ave #2,M3N2P2,43.768082,-79.512841,Downsview Northwest,North York,535000,5 bds,3 ba,,0,1,39,1,95,0,7,15,0,53,0,0,0,0,0
356,181 Dundas St E UNIT 3811,M5A0N5,43.656969,-79.374122,Harbourfront,Downtown Toronto,699000,2 bds,1 ba,,1,6,54,35,152,36,305,157,0,270,0,0,0,0,13
357,59 Annie Craig Dr #3604,M8V0C4,43.624949,-79.478244,Humber Bay Shores,Etobicoke,1336000,3 bds,3 ba,,0,0,2,1,36,0,16,11,0,13,0,0,0,0,0
358,391 Beechgrove Dr #79,M1E2R1,43.776785,-79.172058,Guildwood,Scarborough,599000,3 bds,3 ba,"1,100 sqft",0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
359,77 Magellan Dr,M3L1T3,43.736555,-79.508517,Downsview West,North York,855900,3 bds,1 ba,,0,0,20,2,64,0,5,0,0,3,0,0,0,0,0
360,70 Byng Ave #6,M2N7L9,43.777634,-79.411524,Willowdale South,North York,799000,3 bds,3 ba,,0,2,9,3,106,1,82,28,1,23,0,0,0,0,3
361,585 Bloor St E #4218,M4W0B3,43.671653,-79.371638,Rosedale,Downtown Toronto,1550000,3 bds,2 ba,,1,2,29,16,78,9,81,31,0,42,0,0,0,0,1
362,97 Lawton Blvd #704,M4V1Z6,43.693514,-79.396234,Deer Park,Central Toronto,549000,2 bds,1 ba,,0,4,11,5,116,6,71,23,2,31,0,0,0,0,6
363,44 Waverley Rd,M4L3T1,43.667585,-79.300136,The Beaches West,East Toronto,2978000,5 bds,5 ba,,0,0,3,5,38,3,33,7,0,16,0,0,0,0,2
364,812 Duplex Ave,M4R1W7,43.718239,-79.403956,North Toronto West,Central Toronto,1895000,4 bds,2 ba,,0,2,7,7,102,4,47,26,0,41,0,0,0,0,5
365,127 Boardwalk Dr,M4L3X9,43.666435,-79.305807,The Beaches West,East Toronto,2595000,4 bds,4 ba,,0,0,2,4,39,3,26,5,0,22,0,0,0,0,2
366,215 Strathallan Wood,M5N1T5,43.712754,-79.421209,Roselawn,Central Toronto,10900000,4 bds,6 ba,,0,0,5,5,98,1,18,8,0,8,0,0,0,0,2
367,63 Hammersmith Ave,M4E2W3,43.670396,-79.293932,The Beaches,East Toronto,2989000,5 bds,6 ba,,0,0,8,5,30,5,44,10,0,17,0,0,0,0,2
368,990 Dovercourt Rd,M6H2X5,43.666907,-79.431852,Dovercourt Village,West Toronto,699000,3 bds,2 ba,,0,3,7,5,117,12,63,29,0,55,0,0,0,0,3
369,47 Stephen Dr,M8Y3M8,43.632836,-79.485005,Humber Bay,Etobicoke,849000,3 bds,1 ba,,0,0,3,1,64,0,12,11,0,11,0,0,0,0,0
370,415 Wellesley St E,M4X1H5,43.668911,-79.364947,Cabbagetown,Downtown Toronto,1195000,4 bds,3 ba,,2,2,17,15,77,3,72,25,0,28,0,0,0,0,1
371,200 Cumberland St #3802,M5R0B7,43.669867,-79.394244,The Annex,Central Toronto,17800000,3 bds,4 ba,,8,8,155,12,126,19,173,104,0,116,0,0,0,0,3
372,30 Forge Dr,M3N2R3,43.759536,-79.513985,Downsview Northwest,North York,849999,5 bds,2 ba,,0,0,18,1,66,0,6,4,0,25,0,0,0,0,0
373,4 Tredvalley Grve,M1C3J4,43.776477,-79.148234,Highland Creek,Scarborough,2388000,5 bds,5 ba,,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
374,83 Lillian St #15,M4S2H7,43.706583,-79.393516,Davisville,Central Toronto,899000,2 bds,2 ba,,0,2,8,11,112,12,95,40,3,67,0,0,0,0,7
375,168 Pinewood Ave,M6C2V5,43.688172,-79.427079,Humewood-Cedarvale,York,1529000,3 bds,2 ba,,0,1,9,2,83,4,63,25,0,29,0,0,0,0,2
376,101 Charles St E #4202,M4Y0A9,43.669643,-79.380555,Church and Wellesley,Downtown Toronto,875000,2 bds,1 ba,,2,8,90,27,135,21,209,109,0,151,0,0,0,0,4
377,127 Bellwoods Ave,M6J2P6,43.64966,-79.41204,Little Portugal,West Toronto,1799900,4 bds,2 ba,,1,0,16,12,47,24,259,94,0,108,0,0,0,0,7
378,9 Bogert Ave #2801,M2N0H3,43.760385,-79.411435,Willowdale South,North York,728000,2 bds,2 ba,,0,2,5,8,64,0,43,19,1,36,0,0,0,0,1
379,65 Mutual St #3004,M5H2A9,43.655802,-79.374984,Adelaide,Downtown Toronto,899000,3 bds,2 ba,,1,10,50,34,162,39,321,176,0,305,0,0,0,0,13
380,195 Redpath Ave #3307,M4P0E4,43.7101,-79.393425,Davisville North,Central Toronto,399000,Studio,1 ba,,0,2,10,11,103,11,93,40,3,66,0,0,0,0,7
381,28 Rosebank Dr #1009,M1B5Z1,43.792518,-79.235348,Rouge,Scarborough,799000,5 bds,3 ba,,0,0,11,2,90,0,10,5,0,17,0,0,0,0,0
382,36 Lisgar St #708W,M6J0C7,43.641739,-79.423316,Little Portugal,West Toronto,399900,2 bds,1 ba,,1,1,10,10,56,12,118,54,0,61,0,0,0,0,3
383,5444 Yonge St #108,M2N6J4,43.776373,-79.415758,Willowdale South,North York,1898000,3 bds,3 ba,,0,2,13,3,103,1,84,28,1,23,0,0,0,0,3
384,2053 Gerrard St E,M4E2B4,43.68208,-79.307469,The Beaches,East Toronto,999900,4 bds,2 ba,,0,3,9,3,95,3,22,13,0,12,0,0,0,0,2
385,64 Marion St,M6R1E7,43.642017,-79.443304,Parkdale,West Toronto,1599000,6 bds,2 ba,,1,0,14,6,34,11,73,33,0,37,0,0,0,0,3
386,248 Garden Ave,M6R1J3,43.6432,-79.450769,Parkdale,West Toronto,1149000,6 bds,4 ba,,0,0,7,5,34,10,54,27,0,32,0,0,0,0,2
387,6 Croft St,M5S2N8,43.657306,-79.406124,Harbord,Downtown Toronto,1949000,4 bds,3 ba,,3,3,120,15,51,27,353,130,0,133,0,0,0,0,7
388,236 Browning Ave,M4K1X2,43.683222,-79.34711,The Danforth West,East Toronto,1649000,4 bds,2 ba,,0,3,17,6,130,6,62,27,1,26,0,0,0,0,1
389,6 Creekwood Dr,M1E4L7,43.785981,-79.215279,Guildwood,Scarborough,1375000,4 bds,5 ba,,1,0,9,1,43,0,1,5,0,6,0,0,0,0,0
390,830 Lawrence Ave W #2207,M6A0B6,43.71445,-79.454208,Lawrence Heights,North York,499900,2 bds,1 ba,,0,2,8,3,112,0,30,17,1,45,0,0,0,0,1
391,48 Coe Hill Dr,M6S3C8,43.639264,-79.469882,Runnymede,West Toronto,1198000,5 bds,2 ba,,0,0,1,0,46,2,7,3,0,9,0,0,0,0,1
392,68 Abell St UNIT 1001,M6J0B1,43.642434,-79.424538,Little Portugal,West Toronto,698000,2 bds,2 ba,,1,1,12,12,63,12,122,56,0,69,0,0,0,0,3
393,301 Prudential Dr #1701,M1P4V3,43.749918,-79.268628,Dorset Park,Scarborough,325000,2 bds,1 ba,,0,0,7,3,56,0,10,3,0,12,0,0,0,0,1
394,2901 Kipling Ave #907,M9V5E5,43.758185,-79.588513,Albion Gardens,Etobicoke,549000,2 bds,2 ba,,0,0,10,1,35,0,4,0,0,4,0,0,0,0,1
395,341 Military Trl #20,M1E4E4,43.786061,-79.212348,Guildwood,Scarborough,549900,3 bds,2 ba,,1,0,5,1,39,0,1,3,0,3,0,0,0,0,0
396,29 Glen Stewart Ave,M4E1P6,43.678355,-79.295885,The Beaches,East Toronto,1849000,3 bds,2 ba,,0,2,12,4,71,6,53,19,0,28,0,0,0,0,4
397,364 The East Mall #243,M9B6C5,43.642465,-79.559589,Cloverdale,Etobicoke,625000,3 bds,3 ba,,0,0,6,0,73,2,6,6,0,14,0,0,0,0,2
398,309 Ranee Ave,M6A1N9,43.722361,-79.451974,Lawrence Heights,North York,3220000,6 bds,7 ba,,0,3,8,3,120,0,26,16,0,45,0,0,0,0,1
399,2737 Keele St #402,M3M2E9,43.725799,-79.480604,Downsview Central,North York,418888,3 bds,2 ba,,1,0,9,1,50,0,8,3,0,10,0,0,0,0,1
400,403 Church St #2413,M4Y0C9,43.662103,-79.379236,Church and Wellesley,Downtown Toronto,698000,2 bds,1 ba,,7,10,90,32,147,28,303,173,0,276,0,0,0,0,12
401,76 Arjay Cres,M2L1C7,43.739075,-79.384916,Silver Hills,North York,13995000,6 bds,10 ba,,0,0,12,1,46,0,1,2,0,3,0,0,0,0,0
402,147 Cameron Ave,M6M1R5,43.689775,-79.471368,Del Ray,York,799000,3 bds,2 ba,,0,0,8,3,97,2,17,2,0,18,0,0,0,0,1
403,78 Cameron Ave,M2N1E2,43.75622,-79.415729,Willowdale South,North York,2835000,3 bds,5 ba,,0,2,2,7,48,0,27,17,0,33,0,0,0,0,1
404,28 Freeland St #4404,M5E1L7,43.643622,-79.373959,Berczy Park,Downtown Toronto,10428000,2 bds,1 ba,,0,5,7,18,97,34,196,131,0,223,0,0,0,0,12
405,663 Windermere Ave,M6S3M2,43.656998,-79.48273,Runnymede,West Toronto,1695000,3 bds,2 ba,,1,2,8,1,96,6,57,20,1,34,0,0,0,0,2
406,27 Shaftesbury Ave,M4T3B3,43.68211,-79.390162,Moore Park,Central Toronto,1899000,2 bds,3 ba,,0,4,18,9,100,4,95,44,1,51,0,0,0,0,3
407,1950 Kennedy Rd #706,M1P4S9,43.767632,-79.282853,Dorset Park,Scarborough,539000,3 bds,1 ba,,0,0,0,1,60,1,13,7,0,7,0,0,0,0,0
408,32 Ava Rd,M5P1Y4,43.697906,-79.421226,Forest Hill North,Central Toronto,5995000,6 bds,6 ba,,0,0,7,3,84,2,35,10,0,13,0,0,0,0,1
409,5418 Yonge St #901,M2N6X4,43.775522,-79.415248,Willowdale South,North York,729000,3 bds,2 ba,,0,2,11,4,103,1,86,27,1,30,0,0,0,0,2
410,125 Peter St #1301,M5V0M2,43.648321,-79.392887,CN Tower,Downtown Toronto,928900,3 bds,2 ba,,7,6,58,26,49,43,429,210,0,320,0,0,0,0,15
411,7 Merredin Pl,M3B1S7,43.748513,-79.35726,Don Mills North,North York,3880000,6 bds,6 ba,,0,0,7,2,58,2,27,6,0,20,0,0,0,0,2
412,564 Pharmacy Ave,M1L3G9,43.707103,-79.289985,Clairlea,Scarborough,850000,4 bds,2 ba,,0,2,4,0,114,0,4,1,0,4,0,0,0,0,1
413,14 Kildonan Dr,M1N3B5,43.687027,-79.266351,Birch Cliff,Scarborough,2690000,5 bds,4 ba,,0,0,2,0,51,4,8,2,0,1,0,0,0,0,0
414,180 Markham Rd SUITE 707,M1M2Z9,43.652934,-79.407872,Cliffcrest,Scarborough,389900,1 bd,1 ba,,3,1,55,13,45,31,374,123,0,135,0,0,0,0,10
415,27 Glen Elm Ave,M4T1T9,43.691389,-79.393694,Moore Park,Central Toronto,4999999,8 bds,7 ba,,0,3,14,5,97,7,71,20,2,26,0,0,0,0,6
416,20 Cedar Ave E,M4E1K2,43.674795,-79.287507,The Beaches,East Toronto,1699000,3 bds,4 ba,,0,0,10,5,42,3,38,13,0,18,0,0,0,0,2
417,4 Daysland Rd,M9W4A9,43.718979,-79.56295,Northwest,Etobicoke,998000,5 bds,3 ba,,0,1,13,1,62,0,17,1,0,22,0,0,0,0,2
418,59 Arundel Ave,M4K3A3,43.679799,-79.351218,The Danforth West,East Toronto,1589000,2 bds,3 ba,,0,3,21,5,97,4,54,27,1,25,0,0,0,0,1
419,390 Hopewell Ave #130,M6E2S2,43.700641,-79.444449,Caledonia-Fairbanks,York,529900,2 bds,2 ba,,0,2,8,2,91,0,36,10,0,27,0,0,0,0,2
420,21 Mayberry Rd,M3N2A5,43.741518,-79.518308,Downsview Northwest,North York,650000,3 bds,2 ba,,0,0,15,2,44,0,7,1,0,7,0,0,0,0,0
