,street address,Zip/Postal Code,Latitude,Longitude,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area
155,42 Charles St E #2810,M4Y0B7,43.669355,-79.384182,Church and Wellesley,Downtown Toronto,649000,1 bd,1 ba,,5,8,105,26,140,21,208,118,0,168,0,0,0,0,4
157,29 Tarsus Cres,M1C3W6,43.79372,-79.183513,Highland Creek,Scarborough,1250000,5 bds,4 ba,,0,0,0,0,0,0,0,7,0,12,0,0,0,0,1
158,101 Dunloe Rd,M5P2T7,43.696392,-79.413647,Forest Hill North,Central Toronto,13990000,5 bds,7 ba,,0,1,8,2,107,2,24,11,0,10,0,0,0,0,0
159,2 Bellefair Ave UNIT 306,M4L3T8,43.670263,-79.300053,The Beaches West,East Toronto,707000,1 bd,1 ba,,0,0,7,5,42,3,34,10,0,16,0,0,0,0,2
160,225 Sumach St #2511,M5A0P8,43.661007,-79.360355,Harbourfront,Downtown Toronto,749900,2 bds,2 ba,,2,0,18,12,70,8,97,40,0,37,0,0,0,0,0
161,20 Edward St #1719,M5G0C5,43.657059,-79.382187,Central Bay Street,Downtown Toronto,579000,1 bd,1 ba,,7,11,105,29,128,61,390,225,0,387,0,0,0,0,14
162,117 Omni Dr #15,M1P5A5,43.771256,-79.261225,Dorset Park,Scarborough,599900,3 bds,3 ba,,0,0,2,2,90,1,9,11,0,41,0,0,0,0,3
163,8 Telegram Mews #622,M5V3Z5,43.640493,-79.394916,CN Tower,Downtown Toronto,499000,2 bds,2 ba,,0,2,10,19,23,33,230,104,0,151,0,0,0,0,10
164,104 Albany Ave,M5R3C4,43.668716,-79.411569,The Annex,Central Toronto,2790000,5 bds,4 ba,,0,5,52,8,99,12,162,53,0,45,0,0,0,0,2
165,4060 Lawrence Ave E #108,M1E4V4,43.766351,-79.197594,Guildwood,Scarborough,483900,3 bds,3 ba,,0,0,3,0,11,0,1,3,0,10,0,0,0,0,3
166,20 Blue Jays Way #1106,M5V3W6,43.643797,-79.391668,CN Tower,Downtown Toronto,850000,3 bds,2 ba,,1,5,15,26,35,39,330,158,0,252,0,0,0,0,14
167,17 Zorra St #701,M8Z0C8,43.621292,-79.52083,Kingsway Park South West,Etobicoke,469900,1 bd,1 ba,,0,0,1,2,68,4,12,12,1,20,0,0,0,0,1
168,897 Sheppard Ave W #202,M3H2T4,43.751649,-79.455201,Bathurst Manor,North York,489000,1 bd,1 ba,713 sqft,0,1,6,0,76,0,8,3,0,10,0,0,0,0,0
169,77 Charles St W #906,M5S0B2,43.667717,-79.390434,Harbord,Downtown Toronto,2999000,2 bds,2 ba,,9,8,166,18,135,28,247,134,0,177,0,0,0,0,4
170,125 Alicewood Ct,M9V3Y1,43.730833,-79.596435,Albion Gardens,Etobicoke,899999,4 bds,2 ba,940 sqft,1,0,6,1,68,0,5,7,0,35,0,0,0,0,0
171,300 Mill Rd #A31,M9C4W7,43.638084,-79.583984,Bloordale Gardens,Etobicoke,649000,2 bds,2 ba,,0,0,7,0,51,2,0,3,1,6,0,0,0,0,2
172,40 Fern Ave,M6R1K1,43.646039,-79.441856,Parkdale,West Toronto,1799000,4 bds,3 ba,,0,1,15,11,53,14,88,48,0,81,0,0,0,0,4
