Address,Price,N,City,Bedrooms,Bathrooms,Home Type
42 Wilmont Dr,"$1,298,000",Black Creek,Toronto,8,3,House
Ph14 - 1060 Sheppard Ave W,"$799,900",York University Heights,Toronto,2,1,Apt/Condo
14 Franklin Ave,"$1,199,900",Lansing Westgate,Toronto,6,2,House
4106 - 28 Freeland St,"$699,900",Waterfront Communities East,Toronto,2,1,Apt/Condo
10 Rowallan Dr,"$970,000",West Hill,Toronto,4,1,House
102 Seaton St,"$1,899,900",Moss Park,Toronto,4,4,House
512w - 36 Lisgar St,"$545,000",Little Portugal,Toronto,2,1,Apt/Condo
Ph2606 - 225 Sackville St,"$679,900",Regent Park,Toronto,2,2,Apt/Condo
850 Danforth Rd,"$899,000",Kennedy Park,Toronto,5,2,House
18 Haig Ave,"$1,899,900",Birchcliffe Cliffside,Toronto,4,4,House
17 Bisset Ave,"$1,122,000",Alderwood,Toronto,3,2,House
637 - 3 Everson Dr,"$649,900",Willowdale East,Toronto,3,2,Townhouse
1711 - 330 Richmond Street W,"$689,000",Waterfront Communities West,Toronto,2,1,Apt/Condo
408 - 17 Dundonald St,"$599,900",Church Yonge Corridor,Toronto,2,1,Apt/Condo
5301 - 100 Harbour St W,"$649,900",Waterfront Communities West,Toronto,1,1,Apt/Condo
103 Gloucester St,"$2,250,000",Church Yonge Corridor,Toronto,6,3,Duplex
47 Terrace Ave,"$2,988,000",Willowdale West,Toronto,7,6,House
1510 - 19 Western Battery Rd,"$655,000",Niagara,Toronto,3,2,Apt/Condo
623 - 120 Dallimore Circ,"$489,000",Banbury Don Mills,Toronto,1,1,Apt/Condo
115 - 16 Litchfield Crt,"$669,000",West Humber Clairville,Toronto,4,3,Townhouse
129 Clansman Blvd,"$1,475,000",Hillcrest Village,Toronto,4,4,House
