Address,Price,N,City,Bedrooms,Bathrooms,Home Type
Ph 16 - 2020 Bathurst St,"$750,000",Forest Hill South,Toronto,2,1,Apt/Condo
759 Wilson Heights Blvd,"$949,990",Bathurst Manor,Toronto,3,1,House
1009 - 5 Soudan Ave,"$849,000",Mount Pleasant West,Toronto,2,2,Apt/Condo
809 - 77 Harbour Square W,"$795,500",Waterfront Communities West,Toronto,1,1,Apt/Condo
3408 - 16 Brookers Lane,"$799,000",Mimico,Toronto,2,2,Apt/Condo
8 Grackle Tr,"$1,099,900",Rouge,Toronto,3,3,House
32 Highgate Rd,"$2,695,000",Kingsway South,Toronto,5,5,House
59 Edinborough Crt,"$1,150,000",Rockcliffe Smythe,Toronto,6,4,House
2508 - 88 Sheppard Ave E,"$768,000",Willowdale East,Toronto,2,1,Apt/Condo
79 Weir Cres,"$1,099,000",West Hill,Toronto,4,2,House
16 - 150 Pinery Tr,"$699,900",Malvern,Toronto,3,2,Townhouse
79 Forest Grove Dr,"$4,788,000",Bayview Village,Toronto,4,3,House
411 Main St,"$1,549,000",Crescent Town,Toronto,4,4,House
4 Lloyd Manor Rd,"$1,098,000",Princess Rosethorn,Toronto,3,2,House
9 Wellesley Ave,"$1,575,000",Cabbagetown South St. Jamestown,Toronto,4,2,House
1414 - 197 Yonge St,"$569,000",Church Yonge Corridor,Toronto,2,1,Apt/Condo
804 - 3 Marine Parade Dr,"$675,000",Mimico,Toronto,2,2,Apt/Condo
1811 - 501 St Clair Ave W,"$848,888",Casa Loma,Toronto,2,2,Apt/Condo
215 Searle Ave,"$1,789,000",Bathurst Manor,Toronto,5,2,House
603 - 430 Roncesvalles Ave,"$799,000",High Park Swansea,Toronto,2,2,Apt/Condo
5 Terrington Crt,"$1,858,000",Banbury Don Mills,Toronto,4,1,House
