Address,Price,N,City,Bedrooms,Bathrooms,Home Type
279 St. Helen's Ave S,"$1,100,000",Dufferin Grove,Toronto,4,3,Duplex
136 Regina Ave,"$1,649,900",Englemount Lawrence,Toronto,5,2,House
1102 - 100 Mornelle Crt,"$649,000",Morningside,Toronto,5,3,Townhouse
405 - 36 Forest Manor Rd,"$899,000",Henry Farm,Toronto,3,2,Apt/Condo
405 - 2221 Yonge St,"$559,000",Mount Pleasant West,Toronto,1,1,Apt/Condo
27 Alma Dr,"$999,000",Humber Heights,Toronto,3,2,House
34 Plymbridge Cres W,"$3,980,000",Bridle Path Sunnybrook York Mills,Toronto,4,5,House
817 - 210 Victoria St,"$399,000",Church Yonge Corridor,Toronto,0,1,Apt/Condo
Ph 3 - 850 Steeles Ave W,"$1,198,900",Westminister Branson,Toronto,2,2,Apt/Condo
159 Cortleigh Blvd,"$5,990,000",Lawrence Park South,Toronto,5,5,House
702 - 20 Forest Manor Rd,"$499,900",Henry Farm,Toronto,2,2,Apt/Condo
1607 - 40 Richview Road,"$725,000",Humber Heights,Toronto,2,2,Apt/Condo
1019 Greenwood Avenue,"$600,000",Danforth Village East York,Toronto,3,2,House
17 Wintergreen Rd,"$1,129,000",Downsview Roding Cfb,Toronto,4,3,House
1 & 3 Blithfield Ave,"$4,600,000",Bayview Village,Toronto,5,4,House
14 - 43 Wild Ginger Way,"$899,000",Bathurst Manor,Toronto,3,3,Townhouse
25 - 12 Dervock Cres,"$949,900",Bayview Village,Toronto,2,3,Townhouse
2709 - 210 Victoria St,"$532,000",Church Yonge Corridor,Toronto,1,1,Apt/Condo
1a Alder Rd,"$2,988,888",O'connor Parkview,Toronto,5,4,House
212 Alton Avenue,"$849,999",South Riverdale,Toronto,2,1,Townhouse
2006 - 238 Simcoe Street,"$598,000",Kensington Chinatown,Toronto,1,1,Apt/Condo
