Street address,City,State,Zip Code,Country,Latitude,Longitude,Postal code,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage
1281 Cordova St W #3402, Vancouver,BC,V6C3R5,Canada,49.290102,-123.123203,V6C,Waterfront / Coal Harbour / Canada Place,Vancouver,"C$6,499,000",3 bds,3 ba,"2,723 sqft"
455 SW Marine Dr #2006, Vancouver,BC,V5X2S9,Canada,49.211163,-123.115988,V5X,SE Oakridge / East Marpole / South Sunset,Vancouver,"C$599,000",1 bd,1 ba,505 sqft
1188 Quebec St #402, Vancouver,BC,V6A4B3,Canada,49.27411,-123.101233,V6A,Strathcona / Chinatown / Downtown Eastside,Vancouver,"C$999,900",2 bds,2 ba,"1,343 sqft"
1500 Howe St #2201, Vancouver,BC,V6Z2N1,Canada,49.274171,-123.132003,V6Z,SW Downtown,Vancouver,"C$1,358,000",2 bds,2 ba,"1,320 sqft"
4930 Dunbar St, Vancouver,BC,V6N1V3,Canada,49.241926,-123.184888,V6N,West Kerrisdale / South Dunbar- Southlands / Musqueam,Vancouver,"C$2,099,000",6 bds,3 ba,"2,480 sqft"
950 W 17th Ave, Vancouver,BC,V5Z1V4,Canada,49.255966,-123.126198,V5Z,East Fairview / South Cambie,Vancouver,"C$2,898,000",Studio,1ba,"2,315 sqft"
2550 Garden Dr #414, Vancouver,BC,V5N4X6,Canada,49.261596,-123.057753,V5N,South Grandview- Woodland / NE Kensington-Cedar Cottage,Vancouver,"C$1,149,900",2 bds,2 ba,914 sqft
1328 W Pender St #2201, Vancouver,BC,V6E4S9,Canada,49.289067,-123.126664,V6E,SE West End / Davie Village,Vancouver,"C$1,098,000",2 bds,2 ba,861 sqft
1788 Georgia St W #601, Vancouver,BC,V6G2V7,Canada,49.292156,-123.133845,V6G,NW West End / Stanley Park,Vancouver,"C$1,238,000",2 bds,2 ba,"1,344 sqft"
360 E 36th Ave #213, Vancouver,BC,V5W4B9,Canada,49.237636,-123.098596,V5W,SE Riley Park / SW Kensington-Cedar Cottage / NE Oakridge / North Sunset,Vancouver,"C$899,000",2 bds,2 ba,"1,124 sqft"
460 W 16th Ave #12, Vancouver,BC,V5Y1Z3,Canada,49.256561,-123.114012,V5Y,West Mount Pleasant / West Riley Park,Vancouver,"C$799,000",2 bds,1 ba,773 sqft
3803 W 26th Ave, Vancouver,BC,V6S1P3,Canada,49.249287,-123.18835,V6S,NW Dunbar- Southlands / Chaldecutt / South University Endowment Lands,Vancouver,"C$7,380,000",5 bds,7 ba,"4,602 sqft"
1415 Georgia St W #2203, Vancouver,BC,V6G3C8,Canada,49.289455,-123.128288,V6G,NW West End / Stanley Park,Vancouver,"C$1,998,000",2 bds,2 ba,"1,957 sqft"
1311 Beach Ave #1802, Vancouver,BC,V6E1V6,Canada,49.281167,-123.13834,V6E,SE West End / Davie Village,Vancouver,"C$2,598,000",2 bds,3 ba,"1,574 sqft"
108 Cordova St W #1401, Vancouver,BC,V6B0G5,Canada,49.282616,-123.107958,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$875,000",1 bd,1 ba,800 sqft
3615 Yale St, Vancouver,BC,V5K1B8,Canada,49.290383,-123.025333,V5K,North Hastings-Sunrise,Vancouver,"C$2,278,000",7 bds,5 ba,"2,930 sqft"
1333 Georgia St W #809, Vancouver,BC,V6E4V3,Canada,49.28899,-123.127532,V6E,SE West End / Davie Village,Vancouver,"C$989,900",2 bds,2 ba,968 sqft
209 E 20th Ave #103, Vancouver,BC,V5V1M2,Canada,49.253226,-123.100429,V5V,West Kensington-Cedar Cottage / NE Riley Park,Vancouver,"C$819,900",1 bd,2 ba,635 sqft
3731 W 6th Ave #203, Vancouver,BC,V6R1T8,Canada,49.26716,-123.18637,V6R,West Kitsilano / West Point Grey / Jericho,Vancouver,"C$438,800",Studio,1 ba,478 sqft
811 Helmcken St #1903, Vancouver,BC,V6Z1B1,Canada,49.279247,-123.125531,V6Z,SW Downtown,Vancouver,"C$799,800",2 bds,2 ba,846 sqft
1618 Grant St, Vancouver,BC,V5L2Y5,Canada,49.271659,-123.071011,V5L,North Grandview- Woodland,Vancouver,"C$1,499,000",3 bds,2 ba,"1,510 sqft"
2272 Dundas St #105, Vancouver,BC,V5L1J8,Canada,49.284558,-123.058355,V5L,North Grandview- Woodland,Vancouver,"C$639,900",2 bds,1 ba,678 sqft
5788 Vine St #206, Vancouver,BC,V6M4L8,Canada,49.233908,-123.159569,V6M,South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge,Vancouver,"C$718,000",2 bds,1 ba,816 sqft
1128 Quebec St #604, Vancouver,BC,V6A4E1,Canada,49.274651,-123.101142,V6A,Strathcona / Chinatown / Downtown Eastside,Vancouver,"C$1,249,000",2 bds,2 ba,"1,167 sqft"
3240 Napier St, Vancouver,BC,V5K2X1,Canada,49.274717,-123.035049,V5K,North Hastings-Sunrise,Vancouver,"C$2,250,000",6 bds,4 ba,"2,084 sqft"
555 Jervis St #2204, Vancouver,BC,V6E4N1,Canada,49.288547,-123.125844,V6E,SE West End / Davie Village,Vancouver,"C$928,000",1 bd,1 ba,590 sqft
3908 W 17th Ave, Vancouver,BC,V6S1A5,Canada,49.257166,-123.191147,V6S,NW Dunbar- Southlands / Chaldecutt / South University Endowment Lands,Vancouver,"C$4,198,000",5 bds,7 ba,"3,558 sqft"
2765 W 15th Ave, Vancouver,BC,V6K2Z7,Canada,49.258911,-123.167736,V6K,Central Kitsilano / Greektown,Vancouver,"C$4,250,000",4 bds,6 ba,"2,891 sqft"
1133 Hornby St #809, Vancouver,BC,V6Z1W1,Canada,49.279263,-123.127457,V6Z,SW Downtown,Vancouver,"C$660,000",2 bds,1 ba,610 sqft
4990 McGeer St #315, Vancouver,BC,V5R6C1,Canada,49.239521,-123.032816,V5R,South Renfrew- Collingwood,Vancouver,"C$515,000",1 bd,1 ba,627 sqft
1345 Comox St #204, Vancouver,BC,V6E4E4,Canada,49.284133,-123.132141,V6E,SE West End / Davie Village,Vancouver,"C$799,900",2 bds,2 ba,862 sqft
937 W 18th Ave, Vancouver,BC,V5Z1W4,Canada,49.255551,-123.125406,V5Z,East Fairview / South Cambie,Vancouver,"C$2,850,000",5 bds,3 ba,"2,469 sqft"
616 E 10th Ave, Vancouver,BC,V5T2A5,Canada,49.261269,-123.090603,V5T,East Mount Pleasant,Vancouver,"C$1,950,000",5 bds,3 ba,"2,823 sqft"
2699 Duke St, Vancouver,BC,V5R4S8,Canada,49.239447,-123.050058,V5R,South Renfrew- Collingwood,Vancouver,"C$999,999",3 bds,2 ba,"1,199 sqft"
3457 Oxford St, Vancouver,BC,V5K1N8,Canada,49.285941,-123.029585,V5K,North Hastings-Sunrise,Vancouver,"C$2,799,000",6 bds,5 ba,"3,196 sqft"
110 Switchmen St #1707, Vancouver,BC,V6A0C6,Canada,49.270809,-123.101516,V6A,Strathcona / Chinatown / Downtown Eastside,Vancouver,"C$1,098,000",2 bds,2 ba,865 sqft
2057 W 3rd Ave #PENTHOUSE 3, Vancouver,BC,V6J1L4,Canada,49.26924,-123.151753,V6J,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,"C$848,000",2 bds,1 ba,711 sqft
1869 Spyglass Pl #213, Vancouver,BC,V5Z4K7,Canada,49.268648,-123.115807,V5Z,East Fairview / South Cambie,Vancouver,"C$1,222,000",2 bds,2 ba,"1,106 sqft"
474 E 43rd Ave #204, Vancouver,BC,V5W1T4,Canada,49.230805,-123.094791,V5W,SE Riley Park / SW Kensington-Cedar Cottage / NE Oakridge / North Sunset,Vancouver,"C$429,000",1 bd,1 ba,603 sqft
438 Seymour St #1708, Vancouver,BC,V6B6H4,Canada,49.284416,-123.113932,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$739,900",2 bds,2 ba,710 sqft
2556 W 20th Ave, Vancouver,BC,V6L1G8,Canada,49.254284,-123.163295,V6L,NW Arbutus Ridge / NE Dunbar- Southlands,Vancouver,"C$4,290,000",6 bds,5 ba,"3,634 sqft"
66 Cordova St W #1108, Vancouver,BC,V6B0L2,Canada,49.282561,-123.106278,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$539,000",1 bd,1 ba,543 sqft
874 W 6th Ave #201, Vancouver,BC,V5Z1A6,Canada,49.265695,-123.123456,V5Z,East Fairview / South Cambie,Vancouver,"C$950,000",2 bds,2 ba,"1,025 sqft"
3126 E 17th Ave, Vancouver,BC,V5M2N7,Canada,49.254518,-123.038276,V5M,South Hastings-Sunrise / North Renfrew- Collingwood,Vancouver,"C$2,690,000",8 bds,6 ba,"2,627 sqft"
1596 W 14th Ave #1B, Vancouver,BC,V6J2H9,Canada,49.258663,-123.140522,V6J,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,"C$12,875,000",3 bds,6 ba,"4,175 sqft"
4166 Crown Cres, Vancouver,BC,V6R2A9,Canada,49.2643,-123.198901,V6R,West Kitsilano / West Point Grey / Jericho,Vancouver,"C$6,298,000",6 bds,6 ba,"5,048 sqft"
1155 Seymour St PENTHOUSE 2703, Vancouver,BC,V6B1K2,Canada,49.277451,-123.124318,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$2,099,000",2 bds,2 ba,"1,144 sqft"
3538 W 30th Ave, Vancouver,BC,V6S1W5,Canada,49.244942,-123.183169,V6S,NW Dunbar- Southlands / Chaldecutt / South University Endowment Lands,Vancouver,"C$5,498,000",5 bds,7 ba,"4,396 sqft"
2229 Oak St, Vancouver,BC,V6H3W6,Canada,49.265755,-123.127872,V6H,West Fairview / Granville Island / NE Shaughnessy,Vancouver,"C$1,499,900",2 bds,2 ba,"1,419 sqft"
2638 W 22nd Ave, Vancouver,BC,V6L1M2,Canada,49.252494,-123.16415,V6L,NW Arbutus Ridge / NE Dunbar- Southlands,Vancouver,"C$5,780,000",4 bds,5 ba,"4,183 sqft"
1550 Coal Harbour Cay #L302, Vancouver,BC,V6G3G1,Canada,49.291479,-123.128047,V6G,NW West End / Stanley Park,Vancouver,"C$3,599,000",4 bds,3 ba,"1,954 sqft"
3516 Georgia St E, Vancouver,BC,V5K2L8,Canada,49.278004,-123.027789,V5K,North Hastings-Sunrise,Vancouver,"C$1,868,000",7 bds,4 ba,"2,580 sqft"
2693 Duke St, Vancouver,BC,V5R4S8,Canada,49.239447,-123.050058,V5R,South Renfrew- Collingwood,Vancouver,"C$1,028,000",3 bds,2 ba,"1,316 sqft"
1987 W 35th Ave, Vancouver,BC,V6M1H8,Canada,49.240294,-123.151083,V6M,South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge,Vancouver,"C$6,888,000",6 bds,6 ba,"4,410 sqft"
1219 E 29th Ave, Vancouver,BC,V5V2T1,Canada,49.24482,-123.079651,V5V,West Kensington-Cedar Cottage / NE Riley Park,Vancouver,"C$2,598,000",6 bds,3 ba,"3,156 sqft"
717 Jervis St #3101, Vancouver,BC,V6E4L5,Canada,49.287872,-123.12823,V6E,SE West End / Davie Village,Vancouver,"C$14,999,900",5 bds,9 ba,"9,186 sqft"
33 Smithe St #802, Vancouver,BC,V6B0B5,Canada,49.274436,-123.11196,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$1,449,000",2 bds,2 ba,"1,109 sqft"
2636 McGill St, Vancouver,BC,V5K1H3,Canada,49.288372,-123.05073,V5K,North Hastings-Sunrise,Vancouver,"C$1,658,888",3 bds,1 ba,"2,174 sqft"
1283 Howe St #2009, Vancouver,BC,V6Z0E3,Canada,49.277218,-123.128625,V6Z,SW Downtown,Vancouver,"C$555,000",1 bd,1 ba,482 sqft
1196 W 48th Ave, Vancouver,BC,V6M2N7,Canada,49.227388,-123.133219,V6M,South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge,Vancouver,"C$6,990,000",6 bds,7 ba,"4,726 sqft"
1492 Hornby St, Vancouver,BC,V6Z1X3,Canada,49.275736,-123.131665,V6Z,SW Downtown,Vancouver,"C$1,659,000",3 bds,3 ba,"1,718 sqft"
788 Richards St #1108, Vancouver,BC,V6B0C7,Canada,49.280305,-123.117196,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$1,190,000",3 bds,2 ba,"1,095 sqft"
3221 Grant St, Vancouver,BC,V5K3J1,Canada,49.271608,-123.035912,V5K,North Hastings-Sunrise,Vancouver,"C$1,698,000",4 bds,4 ba,"1,495 sqft"
1180 Broughton St #1302, Vancouver,BC,V6G2B1,Canada,49.283567,-123.135527,V6G,NW West End / Stanley Park,Vancouver,"C$2,598,000",2 bds,3 ba,"1,330 sqft"
1210 W 8th Ave #207, Vancouver,BC,V6H3Y9,Canada,49.264145,-123.132201,V6H,West Fairview / Granville Island / NE Shaughnessy,Vancouver,"C$638,000",1 bd,1 ba,690 sqft
1165 Burnaby St #402, Vancouver,BC,V6E1P3,Canada,49.280878,-123.133641,V6E,SE West End / Davie Village,Vancouver,"C$919,000",2 bds,2 ba,"1,001 sqft"
7638 Cambie St #103, Vancouver,BC,V6P3H7,Canada,49.215572,-123.116344,V6P,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,"C$1,249,000",3 bds,2 ba,"1,075 sqft"
250 E 6th Ave #451, Vancouver,BC,V5T0B7,Canada,49.265226,-123.100379,V5T,East Mount Pleasant,Vancouver,"C$607,000",1 bd,1 ba,507 sqft
1408 Robson St #2901, Vancouver,BC,V6G1B9,Canada,49.28808,-123.13083,V6G,NW West End / Stanley Park,Vancouver,"C$9,680,000",4 bds,4 ba,"2,769 sqft"
128 Cordova St W #706, Vancouver,BC,V6B0E6,Canada,49.282525,-123.107958,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$899,900",2 bds,2 ba,"1,161 sqft"
4578 Puget Dr, Vancouver,BC,V6L2V8,Canada,49.246025,-123.164932,V6L,NW Arbutus Ridge / NE Dunbar- Southlands,Vancouver,"C$7,750,000",6 bds,7 ba,"4,473 sqft"
2549 E 16th Ave, Vancouver,BC,V5M2L5,Canada,49.25597,-123.054291,V5M,South Hastings-Sunrise / North Renfrew- Collingwood,Vancouver,"C$3,298,000",10 bds,6 ba,"3,960 sqft"
3661 E 27th Ave, Vancouver,BC,V5R1R3,Canada,49.246432,-123.024918,V5R,South Renfrew- Collingwood,Vancouver,"C$1,999,000",6 bds,4 ba,"2,168 sqft"
161 Georgia St W #110, Vancouver,BC,V6B0K9,Canada,49.278805,-123.111556,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$1,099,000",2 bds,2 ba,"1,017 sqft"
939 Homer St #3401, Vancouver,BC,V6B2W6,Canada,49.278115,-123.119485,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$2,499,000",3 bds,4 ba,"3,095 sqft"
1717 W 13th Ave #115, Vancouver,BC,V6J2H2,Canada,49.260182,-123.144071,V6J,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,"C$788,800",2 bds,1 ba,837 sqft
3668 W 28th Ave, Vancouver,BC,V6S1S4,Canada,49.246845,-123.186095,V6S,NW Dunbar- Southlands / Chaldecutt / South University Endowment Lands,Vancouver,"C$3,280,000",5 bds,3 ba,"2,803 sqft"
198 E 44th Ave, Vancouver,BC,V5W1V6,Canada,49.230136,-123.1019,V5W,SE Riley Park / SW Kensington-Cedar Cottage / NE Oakridge / North Sunset,Vancouver,"C$1,250,000",3 bds,3 ba,"1,050 sqft"
6384 Windsor St, Vancouver,BC,V5W3J5,Canada,49.226523,-123.084808,V5W,SE Riley Park / SW Kensington-Cedar Cottage / NE Oakridge / North Sunset,Vancouver,"C$1,980,000",6 bds,3 ba,"2,565 sqft"
2550 Garden Dr #203, Vancouver,BC,V5N4X6,Canada,49.261596,-123.057753,V5N,South Grandview- Woodland / NE Kensington-Cedar Cottage,Vancouver,"C$1,129,900",2 bds,2 ba,905 sqft
55 Cordova St E #315, Vancouver,BC,V6A0A5,Canada,49.282595,-123.102962,V6A,Strathcona / Chinatown / Downtown Eastside,Vancouver,"C$738,000",1 bd,1 ba,933 sqft
2848 W 17th Ave, Vancouver,BC,V6L1A2,Canada,49.256876,-123.168867,V6L,NW Arbutus Ridge / NE Dunbar- Southlands,Vancouver,"C$2,998,000",3 bds,4 ba,"1,879 sqft"
352 W 62nd Ave, Vancouver,BC,V5X2E3,Canada,49.214071,-123.099064,V5X,SE Oakridge / East Marpole / South Sunset,Vancouver,"C$1,249,900",2 bds,2 ba,"1,127 sqft"
2632 Nanaimo St, Vancouver,BC,V5N5E7,Canada,49.260614,-123.056207,V5N,South Grandview- Woodland / NE Kensington-Cedar Cottage,Vancouver,"C$1,599,000",3 bds,2 ba,"1,460 sqft"
1189 Melville St #2104, Vancouver,BC,V6E4T8,Canada,49.287784,-123.123458,V6E,SE West End / Davie Village,Vancouver,"C$827,000",1 bd,1 ba,710 sqft
6010 Granville St, Vancouver,BC,V6M3E1,Canada,49.231439,-123.139215,V6M,South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge,Vancouver,"C$3,198,000",4 bds,3 ba,"3,151 sqft"
477 W 59th Ave #202, Vancouver,BC,V5X1X4,Canada,49.217183,-123.115644,V5X,SE Oakridge / East Marpole / South Sunset,Vancouver,"C$1,350,000",3 bds,2 ba,"1,090 sqft"
195 W 12th Ave, Vancouver,BC,V5Y1T6,Canada,49.260583,-123.109316,V5Y,West Mount Pleasant / West Riley Park,Vancouver,"C$4,498,000",6 bds,5 ba,"2,917 sqft"
2068 E 49th Ave, Vancouver,BC,V5P1T7,Canada,49.22485,-123.064401,V5P,SE Kensington-Cedar Cottage / Victoria- Fraserview,Vancouver,"C$2,688,000",8 bds,6 ba,"4,132 sqft"
277 Thurlow St #2601, Vancouver,BC,V6C0C1,Canada,49.288884,-123.11914,V6C,Waterfront / Coal Harbour / Canada Place,Vancouver,"C$9,988,000",3 bds,4 ba,"3,322 sqft"
5595 Dumfries St, Vancouver,BC,V5P3A5,Canada,49.233783,-123.074635,V5P,SE Kensington-Cedar Cottage / Victoria- Fraserview,Vancouver,"C$1,899,999",8 bds,4 ba,"2,815 sqft"
603 E 57th Ave, Vancouver,BC,V5X1T1,Canada,49.218537,-123.092892,V5X,SE Oakridge / East Marpole / South Sunset,Vancouver,"C$2,998,000",7 bds,6 ba,"3,170 sqft"
1817 W 15th Ave, Vancouver,BC,V6J2K9,Canada,49.258381,-123.146445,V6J,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,"C$3,598,000",4 bds,4 ba,"2,422 sqft"
2025 Stephens St #201, Vancouver,BC,V6K3W2,Canada,49.268069,-123.16671,V6K,Central Kitsilano / Greektown,Vancouver,"C$545,000",1 bd,1 ba,497 sqft
2172 Wall St, Vancouver,BC,V5L1B5,Canada,49.287898,-123.060013,V5L,North Grandview- Woodland,Vancouver,"C$939,000",2 bds,2 ba,965 sqft
3220 W 4th Ave #303, Vancouver,BC,V6K1R9,Canada,49.268211,-123.176302,V6K,Central Kitsilano / Greektown,Vancouver,"C$1,099,000",2 bds,2 ba,"1,049 sqft"
3256 W 21st Ave, Vancouver,BC,V6L1L2,Canada,49.253472,-123.177205,V6L,NW Arbutus Ridge / NE Dunbar- Southlands,Vancouver,"C$5,580,000",4 bds,5 ba,"3,620 sqft"
1958 E 47th Ave #406, Vancouver,BC,V5P3X5,Canada,49.227335,-123.066077,V5P,SE Kensington-Cedar Cottage / Victoria- Fraserview,Vancouver,"C$608,000",2 bds,1 ba,863 sqft
2556 Hastings St E #L01, Vancouver,BC,V5K1Z3,Canada,49.280884,-123.053231,V5K,North Hastings-Sunrise,Vancouver,"C$549,000",1 bd,1 ba,761 sqft
2282 E 8th Ave #3, Vancouver,BC,V5N1V5,Canada,49.262927,-123.05849,V5N,South Grandview- Woodland / NE Kensington-Cedar Cottage,Vancouver,"C$1,799,900",3 bds,3 ba,"1,444 sqft"
7303 Granville St, Vancouver,BC,V6P4Y3,Canada,49.218971,-123.139713,V6P,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,"C$1,499,900",3 bds,3 ba,"1,475 sqft"
128 Cordova St W #4004, Vancouver,BC,V6B0E6,Canada,49.282525,-123.107958,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$699,000",1 bd,1 ba,646 sqft
4393 Puget Dr, Vancouver,BC,V6L2V7,Canada,49.246957,-123.167479,V6L,NW Arbutus Ridge / NE Dunbar- Southlands,Vancouver,"C$4,390,000",5 bds,4 ba,"3,573 sqft"
710 Chilco St #303, Vancouver,BC,V6G2P9,Canada,49.293438,-123.137924,V6G,NW West End / Stanley Park,Vancouver,"C$998,000",2 bds,1 ba,965 sqft
1468 W 14th Ave #703, Vancouver,BC,V6H0A2,Canada,49.258615,-123.137357,V6H,West Fairview / Granville Island / NE Shaughnessy,Vancouver,"C$1,188,000",2 bds,2 ba,900 sqft
1048 E 7th Ave #3A, Vancouver,BC,V5T1P7,Canada,49.264003,-123.082144,V5T,East Mount Pleasant,Vancouver,"C$699,000",2 bds,1 ba,698 sqft
33 W Pender St #504, Vancouver,BC,V6B0E5,Canada,49.281126,-123.106294,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$650,000",1 bd,1 ba,770 sqft
756 W 22nd Ave, Vancouver,BC,V5Z1Z7,Canada,49.251345,-123.121503,V5Z,East Fairview / South Cambie,Vancouver,"C$3,998,000",4 bds,4 ba,"2,773 sqft"
4573 Slocan St #201, Vancouver,BC,V5R1Z8,Canada,49.243776,-123.050776,V5R,South Renfrew- Collingwood,Vancouver,"C$829,999",2 bds,2 ba,820 sqft
3982 W 35th Ave, Vancouver,BC,V6N2P2,Canada,49.240226,-123.193184,V6N,West Kerrisdale / South Dunbar- Southlands / Musqueam,Vancouver,"C$5,600,000",5 bds,5 ba,"3,872 sqft"
1633 W 8th Ave #506, Vancouver,BC,V6J5H7,Canada,49.264789,-123.141695,V6J,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,"C$998,800",2 bds,2 ba,"1,032 sqft"
239 W 16th Ave, Vancouver,BC,V5Y1Y8,Canada,49.257072,-123.110548,V5Y,West Mount Pleasant / West Riley Park,Vancouver,"C$2,189,000",5 bds,3 ba,"2,306 sqft"
1510 W 33rd Ave, Vancouver,BC,V6M1A7,Canada,49.241565,-123.139727,V6M,South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge,Vancouver,"C$6,880,000",6 bds,10 ba,"7,748 sqft"
3018 Knight St, Vancouver,BC,V5N3K4,Canada,49.257463,-123.075921,V5N,South Grandview- Woodland / NE Kensington-Cedar Cottage,Vancouver,"C$2,599,000",6 bds,4 ba,"2,480 sqft"
730 Hawks Ave, Vancouver,BC,V6A3J3,Canada,49.277678,-123.08707,V6A,Strathcona / Chinatown / Downtown Eastside,Vancouver,"C$1,299,000",3 bds,3 ba,"1,361 sqft"
638 W 17th Ave, Vancouver,BC,V5Z1T8,Canada,49.255812,-123.118959,V5Z,East Fairview / South Cambie,Vancouver,"C$2,899,999",8 bds,4 ba,"3,047 sqft"
3491 E Pender St, Vancouver,BC,V5K2C9,Canada,49.280492,-123.028763,V5K,North Hastings-Sunrise,Vancouver,"C$1,960,000",4 bds,4 ba,"2,532 sqft"
885 Cambie St #2104, Vancouver,BC,V6B0R6,Canada,49.277518,-123.116547,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$2,438,000",3 bds,3 ba,"1,434 sqft"
1502 Island Park Walk #301, Vancouver,BC,V6H3Z8,Canada,49.270581,-123.139126,V6H,West Fairview / Granville Island / NE Shaughnessy,Vancouver,"C$1,249,000",2 bds,2 ba,"1,079 sqft"
1508 W 61st Ave, Vancouver,BC,V5P2J4,Canada,49.214369,-123.075481,V5P,SE Kensington-Cedar Cottage / Victoria- Fraserview,Vancouver,"C$1,250,000",3 bds,3 ba,"1,100 sqft"
1068 W 15th Ave, Vancouver,BC,V6H1R6,Canada,49.257605,-123.128894,V6H,West Fairview / Granville Island / NE Shaughnessy,Vancouver,"C$1,499,999",3 bds,3 ba,"1,115 sqft"
2618 W 15th Ave, Vancouver,BC,V6K2Z5,Canada,49.258348,-123.165387,V6K,Central Kitsilano / Greektown,Vancouver,"C$2,998,000",4 bds,3 ba,"2,571 sqft"
1534 Harwood St #702, Vancouver,BC,V6G1X9,Canada,49.283224,-123.1405,V6G,NW West End / Stanley Park,Vancouver,"C$327,000",1 bd,1 ba,550 sqft
1369 E 24th Ave, Vancouver,BC,V5V1Z4,Canada,49.249252,-123.07696,V5V,West Kensington-Cedar Cottage / NE Riley Park,Vancouver,"C$1,239,000",2 bds,2 ba,"1,173 sqft"
1777 Bayshore Dr #1101, Vancouver,BC,V6G3H2,Canada,49.292959,-123.132023,V6G,NW West End / Stanley Park,Vancouver,"C$2,899,900",3 bds,3 ba,"1,786 sqft"
4815 Eldorado Mews #2401, Vancouver,BC,V5R0B2,Canada,49.241221,-123.057581,V5R,South Renfrew- Collingwood,Vancouver,"C$868,000",2 bds,2 ba,871 sqft
431 Heatley Ave, Vancouver,BC,V6A3G6,Canada,49.280531,-123.089821,V6A,Strathcona / Chinatown / Downtown Eastside,Vancouver,"C$1,599,900",2 bds,3 ba,"1,469 sqft"
7418 Paulson St #903, Vancouver,BC,V6P0K2,Canada,49.217659,-123.119322,V6P,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,"C$1,400,000",2 bds,2 ba,"1,017 sqft"
49 Cordova St E, Vancouver,BC,V6A1K3,Canada,49.282152,-123.103059,V6A,Strathcona / Chinatown / Downtown Eastside,Vancouver,"C$1,049,000",1 bd,2 ba,"1,049 sqft"
1450 W 6th Ave #307, Vancouver,BC,V6H4H9,Canada,49.265704,-123.137742,V6H,West Fairview / Granville Island / NE Shaughnessy,Vancouver,"C$1,298,000",2 bds,2 ba,"1,158 sqft"
3707 Hudson St, Vancouver,BC,V6H3A6,Canada,49.252101,-123.134899,V6H,West Fairview / Granville Island / NE Shaughnessy,Vancouver,"C$7,980,000",5 bds,4 ba,"4,896 sqft"
1188 Richards St #402, Vancouver,BC,V6B3E6,Canada,49.27599,-123.123515,V6B,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown,Vancouver,"C$499,900",1 bd,1 ba,405 sqft
2275 W 40th Ave #204, Vancouver,BC,V6M1W7,Canada,49.235845,-123.159524,V6M,South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge,Vancouver,"C$949,000",2 bds,2 ba,"1,128 sqft"
45 W 15th Ave, Vancouver,BC,V5Y1X7,Canada,49.257827,-123.106234,V5Y,West Mount Pleasant / West Riley Park,Vancouver,"C$2,589,900",4 bds,4 ba,"2,077 sqft"
1188 Howe St #607, Vancouver,BC,V6Z2S8,Canada,49.278315,-123.12697,V6Z,SW Downtown,Vancouver,"C$789,000",2 bds,2 ba,821 sqft
371 E 16th Ave, Vancouver,BC,V5T2T7,Canada,49.256801,-123.096832,V5T,East Mount Pleasant,Vancouver,"C$1,575,000",3 bds,3 ba,"1,455 sqft"
1501 Atlas Ln, Vancouver,BC,V6P0C9,Canada,49.220484,-123.141817,V6P,SE Kerrisdale / SW Oakridge / West Marpole,Vancouver,"C$2,999,000",2 bds,3 ba,"2,951 sqft"
1735 W 16th Ave, Vancouver,BC,V6J2L9,Canada,49.25741,-123.144543,V6J,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,"C$2,388,000",2 bds,3 ba,"2,313 sqft"
