"Street address",Neighbourhood,City,State,Country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"708 1688 Pullman Porter Street","Mount Pleasant East",Vancouver,BC,Canada,49.234408,-123.025829,0.5,place,,,,,Vancouver,BC,,V5R,CA,"CanVec+ by Natural Resources Canada"
"503 53 W Hastings Street","Downtown West",Vancouver,BC,Canada,49.282116,-123.106307,0.9,nearest_rooftop_match,53,"W Hastings St",,,Vancouver,BC,,V6A,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2783 W 8th Avenue",Kitsilano,Vancouver,BC,Canada,49.265184,-123.168051,0.9,nearest_rooftop_match,2785,"W 8th Ave",,,Vancouver,BC,,V6K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2768 E 25th Avenue","Renfrew Heights",Vancouver,BC,Canada,49.247673,-123.047995,1,rooftop,2768,"E 25th Ave",,,Vancouver,BC,,V5R,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"115 1717 W 13th Avenue",Fairview,Vancouver,BC,Canada,49.260182,-123.144071,0.9,nearest_rooftop_match,1717,"W 13th Ave",,,Vancouver,BC,,V6J,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"301 345 Water Street","Coal Harbour",Vancouver,BC,Canada,49.284779,-123.109806,0.9,nearest_rooftop_match,345,"Water St",,,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"503 910 Beach Avenue",Yaletown,Vancouver,BC,Canada,49.275321,-123.133399,0.9,nearest_rooftop_match,910,"Beach Ave",,,Vancouver,BC,,V6Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"557 Rupert Street",Renfrew,Vancouver,BC,Canada,49.279434,-123.034049,1,rooftop,557,"Rupert St",,,Vancouver,BC,,V5K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"4042 W 34th Avenue",Dunbar,Vancouver,BC,Canada,49.241176,-123.195008,1,rooftop,4042,"W 34th Ave",,,Vancouver,BC,,V6N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"688 W 6th Avenue",Fairview,Vancouver,BC,Canada,49.265627,-123.120135,0.89,nearest_rooftop_match,700,"W 6th Ave",,,Vancouver,BC,,V5Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"7 5389 Vine Street",Kerrisdale,Vancouver,BC,Canada,49.237777,-123.16025,0.9,nearest_rooftop_match,5389,"Vine St",,,Vancouver,BC,,V6M,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"102 1860 W 6th Avenue",Kitsilano,Vancouver,BC,Canada,49.264776,-123.066519,0.7,nearest_rooftop_match,1860,"E 6th Ave",,,Vancouver,BC,,V5N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1802 1351 Continental Street","Downtown West",Vancouver,BC,Canada,49.276267,-123.128981,0.9,nearest_rooftop_match,1351,"Continental St",,,Vancouver,BC,,V6Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"213 1869 Spyglass Place","False Creek",Vancouver,BC,Canada,49.268942,-123.115296,0.6,street_center,,"Spyglass Pl",,,Vancouver,BC,,V5Z,CA,"CanVec+ by Natural Resources Canada"
"302 379 E Broadway","Mount Pleasant East",Vancouver,BC,Canada,49.262994,-123.096474,0.9,nearest_rooftop_match,379,"E Broadway",,,Vancouver,BC,,V5T,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"802 1688 Pullman Porter Street","Mount Pleasant East",Vancouver,BC,Canada,49.234408,-123.025829,0.5,place,,,,,Vancouver,BC,,V5R,CA,"CanVec+ by Natural Resources Canada"
"453 E 47th Avenue","Fraser East",Vancouver,BC,Canada,49.227715,-123.095493,1,rooftop,453,"E 47th Ave",,,Vancouver,BC,,V5W,CA,Province
"1 351 E 38th Avenue",Main,Vancouver,BC,Canada,49.23653,-123.098221,0.9,nearest_rooftop_match,351,"E 38th Ave",,,Vancouver,BC,,V5W,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"4266 W 10th Avenue","Point Grey",Vancouver,BC,Canada,49.263427,-123.201818,1,rooftop,4266,"W 10th Ave",,,Vancouver,BC,,V6R,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"703 1468 W 14th Avenue",Fairview,Vancouver,BC,Canada,49.258615,-123.137357,0.9,nearest_rooftop_match,1468,"W 14th Ave",,,Vancouver,BC,,V6H,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2402 939 Homer Street",Yaletown,Vancouver,BC,Canada,49.278115,-123.119485,0.9,nearest_rooftop_match,939,"Homer St",,,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"203 1177 Hornby Street","Downtown West",Vancouver,BC,Canada,49.278837,-123.128065,0.9,nearest_rooftop_match,1177,"Hornby St",,,Vancouver,BC,,V6Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"Ph1 979 E 19th Avenue","Fraser East",Vancouver,BC,Canada,49.253808,-123.084263,1,rooftop,979,"E 19th Ave",,,Vancouver,BC,,V5V,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1903 811 Helmcken Street","Downtown West",Vancouver,BC,Canada,49.279247,-123.125531,0.9,nearest_rooftop_match,811,"Helmcken St",,,Vancouver,BC,,V6Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1 1186 Kaslo Street",Renfrew,Vancouver,BC,Canada,49.27444,-123.046474,0.9,nearest_rooftop_match,1186,"Kaslo St",,,Vancouver,BC,,V5K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"206 528 W King Edward Avenue",Cambie,Vancouver,BC,Canada,49.248669,-123.11692,0.9,nearest_rooftop_match,528,"W King Edward Ave",,,Vancouver,BC,,V5Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"505 3228 Tupper Street",Cambie,Vancouver,BC,Canada,49.256398,-123.115578,0.9,nearest_rooftop_match,3228,"Tupper St",,,Vancouver,BC,,V5Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"6810 Arlington Street",Killarney,Vancouver,BC,Canada,49.221347,-123.030206,0.78,nearest_rooftop_match,6827,"Arlington St",,,Vancouver,BC,,V5S,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"217 678 W 7th Avenue",Fairview,Vancouver,BC,Canada,49.265018,-123.110122,0.89,nearest_rooftop_match,223,"W 7th Ave",,,Vancouver,BC,,V5Y,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"309 2277 E 30th Avenue","Victoria East",Vancouver,BC,Canada,49.24154,-123.059303,0.9,nearest_rooftop_match,2277,"E 30th Ave",,,Vancouver,BC,,V5N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1362 E 60th Avenue","South Vancouver",Vancouver,BC,Canada,49.215236,-123.078257,1,rooftop,1362,"E 60th Ave",,,Vancouver,BC,,V5X,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"540 E 11th Avenue","Mount Pleasant East",Vancouver,BC,Canada,49.260377,-123.091996,0.9,nearest_rooftop_match,542,"E 11th Ave",,,Vancouver,BC,,V5T,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"906 4815 Eldorado Mews",Collingwood,Vancouver,BC,Canada,49.241221,-123.057581,0.9,nearest_rooftop_match,4815,"Eldorado Mews",,,Vancouver,BC,,V5R,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1 1166 E 11th Avenue","Mount Pleasant East",Vancouver,BC,Canada,49.260284,-123.079823,0.9,nearest_rooftop_match,1166,"E 11th Ave",,,Vancouver,BC,,V5T,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1718 1618 Quebec Street","Mount Pleasant East",Vancouver,BC,Canada,49.271542,-123.1015,0.9,nearest_rooftop_match,1618,"Quebec St",,,Vancouver,BC,,V6A,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3529 Napier Street",Renfrew,Vancouver,BC,Canada,49.275177,-123.027651,1,rooftop,3529,"Napier St",,,Vancouver,BC,,V5K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2707 E 26th Avenue","Renfrew Heights",Vancouver,BC,Canada,49.247327,-123.048814,0.89,nearest_rooftop_match,2721,"E 26th Ave",,,Vancouver,BC,,V5R,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3163 E 1st Avenue",Renfrew,Vancouver,BC,Canada,49.26978,-123.037372,1,rooftop,3163,"E 1st Ave",,,Vancouver,BC,,V5M,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1102 455 Beach Crescent",Yaletown,Vancouver,BC,Canada,49.272668,-123.127769,0.9,nearest_rooftop_match,455,"Beach Cres",,,Vancouver,BC,,V6Z,CA,Province
"6485 Adera Street","South Granville",Vancouver,BC,Canada,49.227299,-123.143927,1,rooftop,6485,"Adera St",,,Vancouver,BC,,V6M,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"6789 Cambie Street","South Cambie",Vancouver,BC,Canada,49.223577,-123.117208,1,rooftop,6789,"Cambie St",,,Vancouver,BC,,V6P,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"208 788 W 8th Avenue",Fairview,Vancouver,BC,Canada,49.263975,-123.12148,0.9,nearest_rooftop_match,788,"W 8th Ave",,,Vancouver,BC,,V5Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"204 788 W 8th Avenue",Fairview,Vancouver,BC,Canada,49.263975,-123.12148,0.9,nearest_rooftop_match,788,"W 8th Ave",,,Vancouver,BC,,V5Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"205 788 W 8th Avenue",Fairview,Vancouver,BC,Canada,49.263975,-123.12148,0.9,nearest_rooftop_match,788,"W 8th Ave",,,Vancouver,BC,,V5Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"609 1288 Marinaside Crescent",Yaletown,Vancouver,BC,Canada,49.272079,-123.120377,0.9,nearest_rooftop_match,1288,"Marinaside Cres",,,Vancouver,BC,,V6Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1723 Alberni Street 1508","West End",Vancouver,BC,Canada,49.291713,-123.133091,1,rooftop,1723,"Alberni St",,1508,Vancouver,BC,,V6G,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"202 788 W 8th Avenue",Fairview,Vancouver,BC,Canada,49.263975,-123.12148,0.9,nearest_rooftop_match,788,"W 8th Ave",,,Vancouver,BC,,V5Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"201 788 W 8th Avenue",Fairview,Vancouver,BC,Canada,49.263975,-123.12148,0.9,nearest_rooftop_match,788,"W 8th Ave",,,Vancouver,BC,,V5Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"105 788 W 8th Avenue",Fairview,Vancouver,BC,Canada,49.263975,-123.12148,0.9,nearest_rooftop_match,788,"W 8th Ave",,,Vancouver,BC,,V5Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"L02 788 W 8th Avenue",Fairview,Vancouver,BC,Canada,49.263975,-123.12148,1,rooftop,788,"W 8th Ave",,,Vancouver,BC,,V5Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"101 788 W 8th Avenue",Fairview,Vancouver,BC,Canada,49.263975,-123.12148,0.9,nearest_rooftop_match,788,"W 8th Ave",,,Vancouver,BC,,V5Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2505 777 Richards Street","Downtown West",Vancouver,BC,Canada,49.280448,-123.118037,0.9,nearest_rooftop_match,777,"Richards St",,,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
