Unnamed: 0,Street address,Zip/Postal Code,Latitude,Longitude,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area,geometry,Neighbourhood,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year)
64,40 Homewood Ave #2803,M4Y2K2,43.664229,-79.375535,Downtown Toronto,465000.0,1 bd,1 ba,,0,0,9,3,15,1,8,4,0,6,0,0,0,0,1,POINT (-79.375535 43.664229),Cabbagetown-South St.James Town,2143.0,429.0,11.0,2.0,1522.0,304.0,610.0,122.0
65,1150 Briar Hill Ave #306,M6B0A9,43.703091,-79.452004,North York,599000.0,3 bds,2 ba,,0,0,0,0,9,0,4,2,0,2,0,0,0,0,0,POINT (-79.452004 43.703091),Yorkdale-Glen Park,2841.0,568.0,43.0,9.0,1198.0,240.0,1600.0,320.0
66,369 Albany Ave #5,M5R3E2,43.676334,-79.414275,Central Toronto,889000.0,2 bds,1 ba,,0,0,2,0,14,0,8,4,0,3,0,0,0,0,0,POINT (-79.414275 43.676334),Casa Loma,765.0,153.0,2.0,0.0,457.0,91.0,306.0,61.0
67,38 Joe Shuster Way #106,M6K0A5,43.640417,-79.424649,West Toronto,619900.0,2 bds,1 ba,,0,0,0,2,8,3,22,8,0,16,0,0,0,0,0,POINT (-79.424649 43.640417),South Parkdale,2255.0,451.0,15.0,3.0,1690.0,338.0,550.0,110.0
68,1926 Lake Shore Blvd W #1805,M6S1A1,43.635856,-79.467386,West Toronto,766900.0,2 bds,2 ba,,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,POINT (-79.467386 43.635856),South Parkdale,2255.0,451.0,15.0,3.0,1690.0,338.0,550.0,110.0
69,60 Town Centre Ct #306,M1P0B1,43.7734,-79.255862,Scarborough,448800.0,1 bd,1 ba,,0,0,0,0,28,0,4,9,0,37,0,0,0,0,2,POINT (-79.255862 43.7734),Bendale-Glen Andrew,1812.0,362.0,24.0,5.0,783.0,157.0,1005.0,201.0
70,190 Borough Dr #302,M1P0B6,43.772874,-79.253995,Scarborough,759900.0,3 bds,2 ba,,0,0,0,0,24,0,5,4,0,30,0,0,0,0,1,POINT (-79.253995 43.772874),Bendale-Glen Andrew,1812.0,362.0,24.0,5.0,783.0,157.0,1005.0,201.0
71,1400 Kingston Rd #501,M1N0C2,43.686959,-79.272431,Scarborough,679000.0,2 bds,2 ba,,0,0,0,0,9,2,4,0,0,0,0,0,0,0,0,POINT (-79.272431 43.686959),Birchcliffe-Cliffside,1577.0,315.0,5.0,1.0,942.0,188.0,630.0,126.0
72,102 George Henry Blvd #15,M2J1E7,43.77432,-79.348116,North York,499999.0,3 bds,2 ba,,0,1,1,1,23,0,1,2,0,0,0,0,0,0,0,POINT (-79.348116 43.77432),Henry Farm,1093.0,219.0,5.0,1.0,549.0,110.0,539.0,108.0
73,9 Valhalla Inn Rd #501,M9B0B2,43.639837,-79.559418,Etobicoke,549000.0,2 bds,1 ba,,0,0,1,0,10,0,0,1,0,0,0,0,0,0,0,POINT (-79.559418 43.639837),Islington,1548.0,310.0,3.0,1.0,725.0,145.0,820.0,164.0
74,31 Twyford Rd,M9A1W3,43.665533,-79.539719,Etobicoke,6285000.0,5 bds,7 ba,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-79.539719 43.665533),Princess-Rosethorn,684.0,137.0,5.0,1.0,240.0,48.0,439.0,88.0
75,861 Sheppard Ave W #15,M3H2T5,43.752102,-79.453675,North York,888000.0,2 bds,2 ba,,0,0,1,0,15,0,5,2,0,4,0,0,0,0,0,POINT (-79.453675 43.752102),Clanton Park,1698.0,340.0,9.0,2.0,709.0,142.0,980.0,196.0
76,125 Western Battery Rd #2207,M6K3R8,43.639868,-79.416734,West Toronto,895000.0,3 bds,2 ba,,0,1,0,3,14,2,11,9,0,7,0,0,0,0,0,POINT (-79.416734 43.639868),Fort York-Liberty Village,1224.0,245.0,13.0,3.0,854.0,171.0,357.0,71.0
77,3220 Sheppard Ave E #318,M1T0B7,43.777968,-79.312305,Scarborough,897880.0,2 bds,2 ba,,0,0,1,1,7,0,2,0,0,1,0,0,0,0,0,POINT (-79.312305 43.777968),Tam O'Shanter-Sullivan,1585.0,317.0,19.0,4.0,758.0,152.0,808.0,162.0
78,1 Oregon Trl,M9B1P4,43.639976,-79.552582,Etobicoke,3489000.0,6 bds,6 ba,,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,POINT (-79.552582 43.639976),Islington,1548.0,310.0,3.0,1.0,725.0,145.0,820.0,164.0
79,111 Newton Dr,M2M2N2,43.794606,-79.410102,North York,2268000.0,7 bds,4 ba,,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,POINT (-79.410102 43.794606),Newtonbrook East,2013.0,403.0,9.0,2.0,989.0,198.0,1015.0,203.0
80,278 Bloor St E #905,M4W3M4,43.672265,-79.380454,Downtown Toronto,1525000.0,3 bds,2 ba,,0,1,9,3,11,2,12,10,0,14,0,0,0,0,0,POINT (-79.380454 43.672265),Rosedale-Moore Park,2192.0,438.0,6.0,1.0,1343.0,269.0,843.0,169.0
81,30 Anglesey Blvd #G2,M9A3B5,43.663784,-79.522679,Etobicoke,1075000.0,2 bds,2 ba,,0,0,0,0,10,0,0,1,0,1,0,0,0,0,1,POINT (-79.522679 43.663784),Edenbridge-Humber Valley,791.0,158.0,7.0,1.0,346.0,69.0,438.0,88.0
82,55 Stewart St UNIT 625,M5V2V1,43.643237,-79.401278,Downtown Toronto,625000.0,1 bd,1 ba,,0,0,2,3,4,6,36,13,0,11,0,0,0,0,1,POINT (-79.401278 43.643237),Wellington Place,3743.0,749.0,33.0,7.0,2670.0,534.0,1040.0,208.0
83,2191 Yonge St #1708,M4S3H8,43.705666,-79.39739,Central Toronto,888000.0,3 bds,2 ba,,0,1,1,5,26,4,40,14,1,36,0,0,0,0,2,POINT (-79.39739 43.705666),South Eglinton-Davisville,1233.0,247.0,5.0,1.0,907.0,181.0,321.0,64.0
84,271 Park Home Ave,M2R1A1,43.764323,-79.434004,North York,1499000.0,4 bds,3 ba,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-79.434004 43.764323),Willowdale West,978.0,196.0,4.0,1.0,454.0,91.0,520.0,104.0
85,1 King St W #2402,M5H1A1,43.648987,-79.37807,Downtown Toronto,339900.0,1 bd,1 ba,,0,3,0,5,28,14,70,43,0,59,0,0,0,0,9,POINT (-79.37807 43.648987),Yonge-Bay Corridor,2998.0,600.0,6.0,1.0,2025.0,405.0,967.0,193.0
86,34 Greengate Rd,M3B1E8,43.739958,-79.364228,North York,7785000.0,7 bds,7 ba,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-79.364228 43.739958),Banbury-Don Mills,1627.0,325.0,17.0,3.0,805.0,161.0,805.0,161.0
87,10 Wilby Cres #1603,M9N0B6,43.697794,-79.512333,York,859000.0,3 bds,2 ba,,0,1,2,0,7,0,7,2,0,7,0,0,0,0,0,POINT (-79.512333 43.697794),Weston,2117.0,423.0,32.0,6.0,1187.0,237.0,898.0,180.0
88,85 Drewry Ave,M2M1C9,43.78598,-79.421249,North York,2745000.0,2 bds,1 ba,,0,0,2,0,12,0,6,1,0,0,0,0,0,0,0,POINT (-79.421249 43.78598),Newtonbrook West,1452.0,290.0,5.0,1.0,615.0,123.0,832.0,166.0
89,5 Whitehall Rd,M4W2C5,43.683971,-79.38242,Downtown Toronto,9488000.0,5 bds,8 ba,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,POINT (-79.38242 43.683971),Rosedale-Moore Park,2192.0,438.0,6.0,1.0,1343.0,269.0,843.0,169.0
90,66 Fontainbleau Dr,M2M1N9,43.793138,-79.432029,North York,999800.0,6 bds,4 ba,,0,0,2,2,13,1,5,0,0,1,0,0,0,0,0,POINT (-79.432029 43.793138),Newtonbrook West,1452.0,290.0,5.0,1.0,615.0,123.0,832.0,166.0
91,57 Saint Joseph St #523,M5S0C5,43.665388,-79.388021,Downtown Toronto,989000.0,3 bds,2 ba,,1,1,30,5,25,5,43,22,0,32,0,0,0,0,2,POINT (-79.388021 43.665388),Bay-Cloverhill,838.0,168.0,2.0,0.0,547.0,109.0,289.0,58.0
92,365 Beech Ave #219,M4E0C2,43.680037,-79.29045,East Toronto,999900.0,2 bds,2 ba,,0,0,5,0,1,1,5,3,0,1,0,0,0,0,0,POINT (-79.29045 43.680037),The Beaches,1316.0,263.0,3.0,1.0,765.0,153.0,548.0,110.0
93,80 Palace Pier Ct #101,M8V4C1,43.630714,-79.474027,Etobicoke,999000.0,2 bds,2 ba,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,POINT (-79.474027 43.630714),Humber Bay Shores,1174.0,235.0,7.0,1.0,708.0,142.0,459.0,92.0
94,100 Harrison Garden Blvd #L02,M2N0C2,43.756982,-79.4044,North York,599900.0,1 bd,1 ba,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,POINT (-79.4044 43.756982),Avondale,644.0,129.0,3.0,1.0,284.0,57.0,357.0,71.0
95,70 Forest Manor Rd #3410,M2J0A9,43.689144,-79.404683,North York,885000.0,2 bds,2 ba,,0,0,2,0,10,0,1,0,0,0,0,0,0,0,0,POINT (-79.404683 43.689144),Casa Loma,765.0,153.0,2.0,0.0,457.0,91.0,306.0,61.0
96,284 Ellis Ave,M6S2X2,43.645729,-79.472703,West Toronto,4250000.0,6 bds,7 ba,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,POINT (-79.472703 43.645729),High Park-Swansea,1307.0,261.0,14.0,3.0,711.0,142.0,582.0,116.0
97,86 17th St,M8V3K4,43.602095,-79.517563,Etobicoke,999999.0,4 bds,4 ba,,0,0,5,0,8,0,1,2,0,3,0,0,0,0,0,POINT (-79.517563 43.602095),New Toronto,1187.0,237.0,10.0,2.0,775.0,155.0,402.0,80.0
98,3 Dailing Gate,M1B1Z3,43.791382,-79.22969,Scarborough,699000.0,4 bds,3 ba,,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,POINT (-79.22969 43.791382),Malvern East,1416.0,283.0,29.0,6.0,770.0,154.0,617.0,123.0
99,120 Parliament St PENTHOUSE 2404,M5A0N6,43.653856,-79.363933,Downtown Toronto,1069000.0,3 bds,2 ba,,0,0,1,3,18,1,8,7,0,7,0,0,0,0,0,POINT (-79.363933 43.653856),Moss Park,5073.0,1015.0,35.0,7.0,3706.0,741.0,1332.0,266.0
100,218 Pleasant Ave,M2M1M5,43.790667,-79.430102,North York,3490000.0,5 bds,7 ba,,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,POINT (-79.430102 43.790667),Newtonbrook West,1452.0,290.0,5.0,1.0,615.0,123.0,832.0,166.0
101,210 Westmount Ave,M6E3M8,43.680554,-79.443098,York,899000.0,4 bds,3 ba,,0,0,3,0,6,1,18,7,0,7,0,0,0,0,0,POINT (-79.443098 43.680554),Oakwood Village,1558.0,312.0,31.0,6.0,921.0,184.0,606.0,121.0
102,11 Carisbrooke Sq,M1B4M2,43.81623,-79.214484,Scarborough,1325000.0,6 bds,5 ba,,0,0,1,2,11,0,0,0,0,0,0,0,0,0,0,POINT (-79.214484 43.81623),Malvern East,1416.0,283.0,29.0,6.0,770.0,154.0,617.0,123.0
103,2335 1/2 Gerrard St E,M4E2E6,43.685302,-79.293178,East Toronto,699900.0,3 bds,2 ba,,0,0,1,0,8,0,0,1,0,0,0,0,0,0,0,POINT (-79.293178 43.685302),East End-Danforth,1980.0,396.0,11.0,2.0,1215.0,243.0,754.0,151.0
104,160 Flemington Rd #512,M6A0A9,43.723077,-79.448251,North York,574900.0,2 bds,2 ba,,0,1,0,0,25,0,0,3,0,9,0,0,0,0,0,POINT (-79.448251 43.723077),Yorkdale-Glen Park,2841.0,568.0,43.0,9.0,1198.0,240.0,1600.0,320.0
105,39 Bushell Ave,M4M3B8,43.671322,-79.334877,East Toronto,1189000.0,4 bds,2 ba,,0,0,3,1,8,1,6,2,0,3,0,0,0,0,0,POINT (-79.334877 43.671322),South Riverdale,2889.0,578.0,21.0,4.0,1796.0,359.0,1072.0,214.0
106,133 Westminster Ave,M6R1N6,43.646774,-79.450533,West Toronto,3129999.0,5 bds,5 ba,,0,0,4,2,0,1,20,7,0,4,0,0,0,0,0,POINT (-79.450533 43.646774),High Park-Swansea,1307.0,261.0,14.0,3.0,711.0,142.0,582.0,116.0
107,11B Crawford St #11B,M6K3M3,43.640922,-79.413315,West Toronto,999900.0,3 bds,3 ba,,0,0,0,1,9,1,7,5,0,10,0,0,0,0,0,POINT (-79.413315 43.640922),West Queen West,1250.0,250.0,6.0,1.0,884.0,177.0,360.0,72.0
108,86 Sloping Sky Mews #TOWNHOUSE 6,M5V0B3,43.636887,-79.403026,Downtown Toronto,1550000.0,4 bds,3 ba,,0,0,0,4,6,0,1,5,0,1,0,0,0,0,1,POINT (-79.403026 43.636887),Fort York-Liberty Village,1224.0,245.0,13.0,3.0,854.0,171.0,357.0,71.0
109,993 Queen St W #223,M6J1H2,43.644646,-79.415649,West Toronto,999990.0,1 bd,1 ba,,0,0,1,2,10,0,22,16,0,4,0,0,0,0,1,POINT (-79.415649 43.644646),West Queen West,1250.0,250.0,6.0,1.0,884.0,177.0,360.0,72.0
