"Street address",City,State,"Zip/Postal Code",Country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1128 Georgia St W #4903"," Vancouver",BC,V6E0A8,Canada,49.285762,-123.123947,1,rooftop,1128,"W Georgia St",#,4903,Vancouver,BC,,V6E,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"138 Hastings St E #206"," Vancouver",BC,V6A0E6,Canada,49.281058,-123.101197,1,rooftop,138,"E Hastings St",#,206,Vancouver,BC,,V6A,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1720 Barclay St #503"," Vancouver",BC,V6G1K4,Canada,49.289164,-123.136778,1,rooftop,1720,"Barclay St",#,503,Vancouver,BC,,V6G,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1895 E 50th Ave"," Vancouver",BC,V5P1V1,Canada,49.224548,-123.067534,1,rooftop,1895,"E 50th Ave",,,Vancouver,BC,,V5P,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1510 W 1st Ave #305"," Vancouver",BC,V6J4S3,Canada,49.270682,-123.146084,0.6,street_center,,"W 1st Ave",#,305,Vancouver,BC,,V6J,CA,"CanVec+ by Natural Resources Canada"
"197 W King Edward Avenue St #8"," Vancouver",BC,V5Y4B4,Canada,49.248613,-123.109833,0.9,nearest_rooftop_match,198,"W King Edward Ave",#,8,Vancouver,BC,,V5Y,CA,Province
"1784 Drummond Dr"," Vancouver",BC,V6T1B6,Canada,49.271896,-123.220682,1,rooftop,1784,"Drummond Dr",,,Vancouver,BC,,V6T,CA,Province
"1188 Howe St #2403"," Vancouver",BC,V6Z2S8,Canada,49.278315,-123.12697,0.9,nearest_rooftop_match,1189,"Howe St",#,2403,Vancouver,BC,,V6Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1363 E 21st Ave"," Vancouver",BC,V5V1R7,Canada,49.251446,-123.077023,0.9,nearest_rooftop_match,1362,"E 21st Ave",,,Vancouver,BC,,V5V,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2795 W 37th Ave"," Vancouver",BC,V6N2T5,Canada,49.238765,-123.167839,1,rooftop,2795,"W 37th Ave",,,Vancouver,BC,,V6N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1626 Avondale Ave"," Vancouver",BC,V6M1S1,Canada,49.236718,-123.141853,1,rooftop,1626,"Avondale Ave",,,Vancouver,BC,,V6M,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3337 Flagstaff Pl"," Vancouver",BC,V5S4K9,Canada,49.211569,-123.031929,0.9,nearest_rooftop_match,3340,"Flagstaff Pl",,,Vancouver,BC,,V5S,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1325 Rolston St #1513"," Vancouver",BC,V6B0M2,Canada,49.275617,-123.127925,1,rooftop,1325,"Rolston St",#,1513,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"63 Keefer Pl #502"," Vancouver",BC,V6B6N6,Canada,49.279933,-123.10662,1,rooftop,63,"Keefer Pl",#,502,Vancouver,BC,,V6B,CA,Province
"1189 Melville St #3404"," Vancouver",BC,V6E4T8,Canada,49.287784,-123.123458,1,rooftop,1189,"Melville St",#,3404,Vancouver,BC,,V6E,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"86 Creelman Ave #2078"," Vancouver",BC,V6J1C3,Canada,49.274486,-123.14967,0.6,street_center,,"Creelman Ave",#,2078,Vancouver,BC,,V6J,CA,"CanVec+ by Natural Resources Canada"
"3635 W 14th Ave"," Vancouver",BC,V6R2W6,Canada,49.26001,-123.184653,1,rooftop,3635,"W 14th Ave",,,Vancouver,BC,,V6R,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2023 W 36th Ave"," Vancouver",BC,V6M1L1,Canada,49.23888,-123.152567,0.9,nearest_rooftop_match,2020,"W 36th Ave",,,Vancouver,BC,,V6M,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1925 SW Marine Dr"," Vancouver",BC,V6P6B3,Canada,49.211681,-123.15033,1,rooftop,1925,"SW Marine Dr",,,Vancouver,BC,,V6P,CA,Province
"8588 Cornish St #1105"," Vancouver",BC,V6P0C1,Canada,49.208948,-123.141934,1,rooftop,8588,"Cornish St",#,1105,Vancouver,BC,,V6P,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1499 W Pender St #1802"," Vancouver",BC,V6G2S3,Canada,49.289964,-123.128049,1,rooftop,1499,"W Pender St",#,1802,Vancouver,BC,,V6G,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1527 Angus Dr"," Vancouver",BC,V6J4H2,Canada,49.254874,-123.140051,0.89,nearest_rooftop_match,1517,"Angus Dr",,,Vancouver,BC,,V6J,CA,Province
"788 W 19th Ave"," Vancouver",BC,V5Z1X2,Canada,49.254059,-123.121662,1,rooftop,788,"W 19th Ave",,,Vancouver,BC,,V5Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2305 Turner St"," Vancouver",BC,V5L2A6,Canada,49.279356,-123.057661,1,rooftop,2305,"Turner St",,,Vancouver,BC,,V5L,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"53 Hastings St W #503"," Vancouver",BC,V6B1G4,Canada,49.282116,-123.106307,0.9,rooftop,53,"W Hastings St",#,503,Vancouver,BC,,V6A,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"250 E 6th Ave #809"," Vancouver",BC,V5T0B7,Canada,49.265226,-123.100379,0.87,nearest_rooftop_match,220,"E 6th Ave",#,809,Vancouver,BC,,V5T,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"7021 Prescott St"," Vancouver",BC,V6N1N2,Canada,49.222454,-123.177956,1,rooftop,7021,"Prescott St",,,Vancouver,BC,,V6N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"8083 Angus Dr"," Vancouver",BC,V6P5K9,Canada,49.212693,-123.14893,1,rooftop,8083,"Angus Dr",,,Vancouver,BC,,V6P,CA,Province
"4869 Lanark St"," Vancouver",BC,V5N3S1,Canada,49.240711,-123.075322,1,rooftop,4869,"Lanark St",,,Vancouver,BC,,V5N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1483 King Edward Ave E #1056"," Vancouver",BC,V5N5Z3,Canada,49.249844,-123.138278,0.79,nearest_rooftop_match,1475,"W King Edward Ave",#,1056,Vancouver,BC,,V6H,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1270 Robson St #507"," Vancouver",BC,V6E3Z6,Canada,49.286589,-123.128605,1,rooftop,1270,"Robson St",#,507,Vancouver,BC,,V6E,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3625 Monmouth Ave"," Vancouver",BC,V5R5S4,Canada,49.23952,-123.02554,1,rooftop,3625,"Monmouth Ave",,,Vancouver,BC,,V5R,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"560 Cardero St #603"," Vancouver",BC,V6G3E9,Canada,49.291362,-123.128679,1,rooftop,560,"Cardero St",#,603,Vancouver,BC,,V6G,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"939 Homer St #2402"," Vancouver",BC,V6B2W6,Canada,49.278115,-123.119485,1,rooftop,939,"Homer St",#,2402,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"488 Helmcken St UNIT 605"," Vancouver",BC,V6B6E4,Canada,49.276526,-123.122747,1,rooftop,488,"Helmcken St",Unit,605,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2612 Balaclava St"," Vancouver",BC,V6K4E2,Canada,49.263105,-123.173703,1,rooftop,2612,"Balaclava St",,,Vancouver,BC,,V6K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1425 Lameys Mill Rd #10"," Vancouver",BC,V6H3W2,Canada,49.268443,-123.135844,1,rooftop,1425,"Lamey's Mill Rd",#,10,Vancouver,BC,,V6H,CA,Province
"453 E 47th Ave"," Vancouver",BC,V5W2B3,Canada,49.227715,-123.095493,1,rooftop,453,"E 47th Ave",,,Vancouver,BC,,V5W,CA,Province
"583 Beach Cres #2903"," Vancouver",BC,V6Z3E6,Canada,49.273589,-123.129221,1,rooftop,583,"Beach Cres",#,2903,Vancouver,BC,,V6Z,CA,Province
"610 Granville St #811"," Vancouver",BC,V6C3T3,Canada,49.28312,-123.116554,1,rooftop,610,"Granville St",#,811,Vancouver,BC,,V6C,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"540 E 11th Ave"," Vancouver",BC,V5T2C4,Canada,49.260377,-123.091996,0.9,nearest_rooftop_match,542,"E 11th Ave",,,Vancouver,BC,,V5T,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1201 Marinaside Cres #1602"," Vancouver",BC,V6Z2V2,Canada,49.273129,-123.120638,1,rooftop,1201,"Marinaside Cres",#,1602,Vancouver,BC,,V6Z,CA,Province
"2850 Mackenzie St"," Vancouver",BC,V6K4A2,Canada,49.260838,-123.169951,1,rooftop,2850,"Mackenzie St",,,Vancouver,BC,,V6K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1332 W 51st Ave"," Vancouver",BC,V6P1C7,Canada,49.22465,-123.135958,1,rooftop,1332,"W 51st Ave",,,Vancouver,BC,,V6P,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"8988 Hudson St #116"," Vancouver",BC,V6P6Z1,Canada,49.20355,-123.134225,1,rooftop,8988,"Hudson St",#,116,Vancouver,BC,,V6P,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"445 E 57th Ave #2"," Vancouver",BC,V5X1S8,Canada,49.218602,-123.09638,1,rooftop,445,"E 57th Ave",#,2,Vancouver,BC,,V5X,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"8555 Granville St #2108"," Vancouver",BC,V6P0C3,Canada,49.209294,-123.141287,1,rooftop,8555,"Granville St",#,2108,Vancouver,BC,,V6P,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"555 Abbott St #312"," Vancouver",BC,V6B6B8,Canada,49.280181,-123.108684,1,rooftop,555,"Abbott St",#,312,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1465 Walnut St"," Vancouver",BC,V6J3R2,Canada,49.272706,-123.149237,0.88,nearest_rooftop_match,1485,"Walnut St",,,Vancouver,BC,,V6J,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"4422 Quesnel Dr"," Vancouver",BC,V6L2X6,Canada,49.247018,-123.168268,1,rooftop,4422,"Quesnel Dr",,,Vancouver,BC,,V6L,CA,Province
"7450 Balaclava St"," Vancouver",BC,V6N1M8,Canada,49.218032,-123.175623,0.87,nearest_rooftop_match,7420,"Balaclava St",,,Vancouver,BC,,V6N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"277 Thurlow St #3001"," Vancouver",BC,V6C0C1,Canada,49.288884,-123.11914,1,rooftop,277,"Thurlow St",#,3001,Vancouver,BC,,V6C,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"4053 W 32nd Ave"," Vancouver",BC,V6S1Z5,Canada,49.243624,-123.195417,1,rooftop,4053,"W 32nd Ave",,,Vancouver,BC,,V6S,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"168 Powell St #515"," Vancouver",BC,V6A0B2,Canada,49.282968,-123.100636,1,rooftop,168,"Powell St",#,515,Vancouver,BC,,V6A,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"209 E 7th Ave #501"," Vancouver",BC,V5T0H3,Canada,49.264857,-123.100405,1,rooftop,209,"E 7th Ave",#,501,Vancouver,BC,,V5T,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2453 W 10th Ave"," Vancouver",BC,V6K2K7,Canada,49.263248,-123.161373,0.9,nearest_rooftop_match,2455,"W 10th Ave",,,Vancouver,BC,,V6K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2600 E 49th Ave #112"," Vancouver",BC,V5S1J8,Canada,49.224313,-123.054098,1,rooftop,2600,"E 49th Ave",#,112,Vancouver,BC,,V5S,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1101 W 8th Ave #11"," Vancouver",BC,V6H1C5,Canada,49.264598,-123.129408,1,rooftop,1101,"W 8th Ave",#,11,Vancouver,BC,,V6H,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2419 Grant St #201"," Vancouver",BC,V6A2J6,Canada,49.271619,-123.055762,0.78,nearest_rooftop_match,2439,"Grant St",#,201,Vancouver,BC,,V5K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2236 E 34th Ave"," Vancouver",BC,V5P1B1,Canada,49.238649,-123.060743,1,rooftop,2236,"E 34th Ave",,,Vancouver,BC,,V5P,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1288 Marinaside Cres #609"," Vancouver",BC,V6Z2W5,Canada,49.272079,-123.120377,1,rooftop,1288,"Marinaside Cres",#,609,Vancouver,BC,,V6Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"888 Bute St #101"," Vancouver",BC,V6E1Y5,Canada,49.284652,-123.128638,1,rooftop,888,"Bute St",#,101,Vancouver,BC,,V6E,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1915 W 13th Ave"," Vancouver",BC,V6J2H5,Canada,49.259723,-123.148738,0.9,nearest_rooftop_match,1916,"W 13th Ave",,,Vancouver,BC,,V6J,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3623 Yale St"," Vancouver",BC,V5K1B8,Canada,49.290988,-123.025089,0.9,nearest_rooftop_match,3621,"Yale St",,,Vancouver,BC,,V5K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3437 E 49th Ave #80"," Vancouver",BC,V5S1M1,Canada,49.224224,-123.031028,0.9,nearest_rooftop_match,3436,"E 49th Ave",#,80,Vancouver,BC,,V5S,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"428 Beach Cres #2802"," Vancouver",BC,V6Z3G1,Canada,49.27233,-123.127311,0.9,nearest_rooftop_match,431,"Beach Cres",#,2802,Vancouver,BC,,V6Z,CA,Province
"1019 Gilford St #8"," Vancouver",BC,V6G2P1,Canada,49.2903,-123.140972,1,rooftop,1019,"Gilford St",#,8,Vancouver,BC,,V6G,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"7428 Alberta St #304"," Vancouver",BC,V5X0J5,Canada,49.217347,-123.112657,1,rooftop,7428,"Alberta St",#,304,Vancouver,BC,,V5X,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
