"Street address",City,State,"Zip/Postal Code",Country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1159 Main St #406"," Vancouver",BC,V6A4B6,Canada,49.274261,-123.100494,1,rooftop,1159,"Main St",#,406,Vancouver,BC,,V6A,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2731 Duke St"," Vancouver",BC,V5R4S8,Canada,49.239163,-123.049351,1,rooftop,2731,"Duke St",,,Vancouver,BC,,V5R,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"231 E Pender St #209"," Vancouver",BC,V6A0G3,Canada,49.280617,-123.098724,1,rooftop,231,"E Pender St",#,209,Vancouver,BC,,V6A,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1331 Homer St #B1201"," Vancouver",BC,V6B5M5,Canada,49.273879,-123.126066,0.89,nearest_rooftop_match,1323,"Homer St",#,B1201,Vancouver,BC,,V6B,CA,Province
"4101 Yew St #304"," Vancouver",BC,V6L3B7,Canada,49.248583,-123.155246,0.81,nearest_rooftop_match,4189,"Yew St",#,304,Vancouver,BC,,V6L,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3609 Turner St"," Vancouver",BC,V5K2J2,Canada,49.27936,-123.025311,1,rooftop,3609,"Turner St",,,Vancouver,BC,,V5K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1205 W 7th Ave"," Vancouver",BC,V6H1B7,Canada,49.265,-123.131574,0.9,nearest_rooftop_match,1202,"W 7th Ave",,,Vancouver,BC,,V6H,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2550 Garden Dr #605"," Vancouver",BC,V5N4X6,Canada,49.261596,-123.057753,1,rooftop,2550,"Garden Dr",#,605,Vancouver,BC,,V5N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1667 W 40th Ave"," Vancouver",BC,V6M1W1,Canada,49.236008,-123.143513,1,rooftop,1667,"W 40th Ave",,,Vancouver,BC,,V6M,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2025 W 2nd Ave #201"," Vancouver",BC,V6J1J6,Canada,49.270112,-123.151099,1,rooftop,2025,"W 2nd Ave",#,201,Vancouver,BC,,V6J,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1330 Harwood St #1202"," Vancouver",BC,V6E1S8,Canada,49.281647,-123.138072,1,rooftop,1330,"Harwood St",#,1202,Vancouver,BC,,V6E,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3070 W 44th Ave"," Vancouver",BC,V6N3K6,Canada,49.231635,-123.174173,1,rooftop,3070,"W 44th Ave",,,Vancouver,BC,,V6N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1372 Seymour St UNIT 2101"," Vancouver",BC,V6B0L1,Canada,49.27459,-123.127563,1,rooftop,1372,"Seymour St",Unit,2101,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"289 E 6th Ave #512"," Vancouver",BC,V5T0E9,Canada,49.265741,-123.099417,1,rooftop,289,"E 6th Ave",#,512,Vancouver,BC,,V5T,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1281 Cordova St W #3402"," Vancouver",BC,V6C3R5,Canada,49.290102,-123.123203,1,rooftop,1281,"W Cordova St",#,3402,Vancouver,BC,,V6C,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"455 SW Marine Dr #2006"," Vancouver",BC,V5X2S9,Canada,49.211163,-123.115988,1,rooftop,455,"SW Marine Dr",#,2006,Vancouver,BC,,V5X,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1188 Quebec St #402"," Vancouver",BC,V6A4B3,Canada,49.27411,-123.101233,0.89,nearest_rooftop_match,1182,"Quebec St",#,402,Vancouver,BC,,V6A,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1500 Howe St #2201"," Vancouver",BC,V6Z2N1,Canada,49.274171,-123.132003,1,rooftop,1500,"Howe St",#,2201,Vancouver,BC,,V6Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"4930 Dunbar St"," Vancouver",BC,V6N1V3,Canada,49.241926,-123.184888,1,rooftop,4930,"Dunbar St",,,Vancouver,BC,,V6N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"950 W 17th Ave"," Vancouver",BC,V5Z1V4,Canada,49.255966,-123.126198,1,rooftop,950,"W 17th Ave",,,Vancouver,BC,,V5Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2550 Garden Dr #414"," Vancouver",BC,V5N4X6,Canada,49.261596,-123.057753,1,rooftop,2550,"Garden Dr",#,414,Vancouver,BC,,V5N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1328 W Pender St #2201"," Vancouver",BC,V6E4S9,Canada,49.289067,-123.126664,1,rooftop,1328,"W Pender St",#,2201,Vancouver,BC,,V6E,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1788 Georgia St W #601"," Vancouver",BC,V6G2V7,Canada,49.292156,-123.133845,1,rooftop,1788,"W Georgia St",#,601,Vancouver,BC,,V6G,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"360 E 36th Ave #213"," Vancouver",BC,V5W4B9,Canada,49.237636,-123.098596,1,rooftop,360,"E 36th Ave",#,213,Vancouver,BC,,V5W,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"460 W 16th Ave #12"," Vancouver",BC,V5Y1Z3,Canada,49.256561,-123.114012,1,rooftop,460,"W 16th Ave",#,12,Vancouver,BC,,V5Y,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3803 W 26th Ave"," Vancouver",BC,V6S1P3,Canada,49.249287,-123.18835,1,rooftop,3803,"W 26th Ave",,,Vancouver,BC,,V6S,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1415 Georgia St W #2203"," Vancouver",BC,V6G3C8,Canada,49.289455,-123.128288,1,rooftop,1415,"W Georgia St",#,2203,Vancouver,BC,,V6G,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1311 Beach Ave #1802"," Vancouver",BC,V6E1V6,Canada,49.281167,-123.13834,1,rooftop,1311,"Beach Ave",#,1802,Vancouver,BC,,V6E,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"108 Cordova St W #1401"," Vancouver",BC,V6B0G5,Canada,49.282616,-123.107958,1,rooftop,108,"W Cordova St",#,1401,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3615 Yale St"," Vancouver",BC,V5K1B8,Canada,49.290383,-123.025333,0.9,nearest_rooftop_match,3618,"Yale St",,,Vancouver,BC,,V5K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1333 Georgia St W #809"," Vancouver",BC,V6E4V3,Canada,49.28899,-123.127532,1,rooftop,1333,"W Georgia St",#,809,Vancouver,BC,,V6E,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"209 E 20th Ave #103"," Vancouver",BC,V5V1M2,Canada,49.253226,-123.100429,1,rooftop,209,"E 20th Ave",#,103,Vancouver,BC,,V5V,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3731 W 6th Ave #203"," Vancouver",BC,V6R1T8,Canada,49.26716,-123.18637,1,rooftop,3731,"W 6th Ave",#,203,Vancouver,BC,,V6R,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"811 Helmcken St #1903"," Vancouver",BC,V6Z1B1,Canada,49.279247,-123.125531,1,rooftop,811,"Helmcken St",#,1903,Vancouver,BC,,V6Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1618 Grant St"," Vancouver",BC,V5L2Y5,Canada,49.271659,-123.071011,0.9,nearest_rooftop_match,1617,"Grant St",,,Vancouver,BC,,V5L,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2272 Dundas St #105"," Vancouver",BC,V5L1J8,Canada,49.284558,-123.058355,1,rooftop,2272,"Dundas St",#,105,Vancouver,BC,,V5L,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"5788 Vine St #206"," Vancouver",BC,V6M4L8,Canada,49.233908,-123.159569,1,rooftop,5788,"Vine St",#,206,Vancouver,BC,,V6M,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1128 Quebec St #604"," Vancouver",BC,V6A4E1,Canada,49.274651,-123.101142,1,rooftop,1128,"Quebec St",#,604,Vancouver,BC,,V6A,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3240 Napier St"," Vancouver",BC,V5K2X1,Canada,49.274717,-123.035049,1,rooftop,3240,"Napier St",,,Vancouver,BC,,V5K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"555 Jervis St #2204"," Vancouver",BC,V6E4N1,Canada,49.288547,-123.125844,0.75,nearest_rooftop_match,610,"Jervis St",#,2204,Vancouver,BC,,V6E,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3908 W 17th Ave"," Vancouver",BC,V6S1A5,Canada,49.257166,-123.191147,1,rooftop,3908,"W 17th Ave",,,Vancouver,BC,,V6S,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2765 W 15th Ave"," Vancouver",BC,V6K2Z7,Canada,49.258911,-123.167736,1,rooftop,2765,"W 15th Ave",,,Vancouver,BC,,V6K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1133 Hornby St #809"," Vancouver",BC,V6Z1W1,Canada,49.279263,-123.127457,1,rooftop,1133,"Hornby St",#,809,Vancouver,BC,,V6Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"4990 McGeer St #315"," Vancouver",BC,V5R6C1,Canada,49.239521,-123.032816,1,rooftop,4990,"McGeer St",#,315,Vancouver,BC,,V5R,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1345 Comox St #204"," Vancouver",BC,V6E4E4,Canada,49.284133,-123.132141,0.83,nearest_rooftop_match,1275,"Comox St",#,204,Vancouver,BC,,V6E,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"937 W 18th Ave"," Vancouver",BC,V5Z1W4,Canada,49.255551,-123.125406,1,rooftop,937,"W 18th Ave",,,Vancouver,BC,,V5Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"616 E 10th Ave"," Vancouver",BC,V5T2A5,Canada,49.261269,-123.090603,1,rooftop,616,"E 10th Ave",,,Vancouver,BC,,V5T,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2699 Duke St"," Vancouver",BC,V5R4S8,Canada,49.239447,-123.050058,0.89,nearest_rooftop_match,2693,"Duke St",,,Vancouver,BC,,V5R,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3457 Oxford St"," Vancouver",BC,V5K1N8,Canada,49.285941,-123.029585,1,rooftop,3457,"Oxford St",,,Vancouver,BC,,V5K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"110 Switchmen St #1707"," Vancouver",BC,V6A0C6,Canada,49.270809,-123.101516,1,rooftop,110,"Switchmen St",#,1707,Vancouver,BC,,V6A,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2057 W 3rd Ave #PENTHOUSE 3"," Vancouver",BC,V6J1L4,Canada,49.26924,-123.151753,1,rooftop,2057,"W 3rd Ave",#,PENTHOUSE,Vancouver,BC,,V6J,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1869 Spyglass Pl #213"," Vancouver",BC,V5Z4K7,Canada,49.268648,-123.115807,0.9,nearest_rooftop_match,1873,"Spyglass Pl",#,213,Vancouver,BC,,V5Z,CA,Province
"474 E 43rd Ave #204"," Vancouver",BC,V5W1T4,Canada,49.230805,-123.094791,1,rooftop,474,"E 43rd Ave",#,204,Vancouver,BC,,V5W,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"438 Seymour St #1708"," Vancouver",BC,V6B6H4,Canada,49.284416,-123.113932,0.8,nearest_rooftop_match,443,"Seymour St",#,1708,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2556 W 20th Ave"," Vancouver",BC,V6L1G8,Canada,49.254284,-123.163295,1,rooftop,2556,"W 20th Ave",,,Vancouver,BC,,V6L,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"66 Cordova St W #1108"," Vancouver",BC,V6B0L2,Canada,49.282561,-123.106278,1,rooftop,66,"W Cordova St",#,1108,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"874 W 6th Ave #201"," Vancouver",BC,V5Z1A6,Canada,49.265695,-123.123456,1,rooftop,874,"W 6th Ave",#,201,Vancouver,BC,,V5Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3126 E 17th Ave"," Vancouver",BC,V5M2N7,Canada,49.254518,-123.038276,1,rooftop,3126,"E 17th Ave",,,Vancouver,BC,,V5M,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1596 W 14th Ave #1B"," Vancouver",BC,V6J2H9,Canada,49.258663,-123.140522,1,rooftop,1596,"W 14th Ave",#,1B,Vancouver,BC,,V6J,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"4166 Crown Cres"," Vancouver",BC,V6R2A9,Canada,49.2643,-123.198901,1,rooftop,4166,"Crown Cres",,,Vancouver,BC,,V6R,CA,Province
"1155 Seymour St PENTHOUSE 2703"," Vancouver",BC,V6B1K2,Canada,49.277451,-123.124318,0.86,nearest_rooftop_match,1111,"Seymour St",,,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3538 W 30th Ave"," Vancouver",BC,V6S1W5,Canada,49.244942,-123.183169,1,rooftop,3538,"W 30th Ave",,,Vancouver,BC,,V6S,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2229 Oak St"," Vancouver",BC,V6H3W6,Canada,49.265755,-123.127872,0.87,nearest_rooftop_match,2201,"Oak St",,,Vancouver,BC,,V6H,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2638 W 22nd Ave"," Vancouver",BC,V6L1M2,Canada,49.252494,-123.16415,1,rooftop,2638,"W 22nd Ave",,,Vancouver,BC,,V6L,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1550 Coal Harbour Cay #L302"," Vancouver",BC,V6G3G1,Canada,49.291479,-123.128047,0.6,street_center,,"Coal Harbour Quay",#,L302,Vancouver,BC,,V6G,CA,"CanVec+ by Natural Resources Canada"
"3516 Georgia St E"," Vancouver",BC,V5K2L8,Canada,49.278004,-123.027789,1,rooftop,3516,"E Georgia St",,,Vancouver,BC,,V5K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2693 Duke St"," Vancouver",BC,V5R4S8,Canada,49.239447,-123.050058,1,rooftop,2693,"Duke St",,,Vancouver,BC,,V5R,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1987 W 35th Ave"," Vancouver",BC,V6M1H8,Canada,49.240294,-123.151083,1,rooftop,1987,"W 35th Ave",,,Vancouver,BC,,V6M,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1219 E 29th Ave"," Vancouver",BC,V5V2T1,Canada,49.24482,-123.079651,1,rooftop,1219,"E 29th Ave",,,Vancouver,BC,,V5V,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"717 Jervis St #3101"," Vancouver",BC,V6E4L5,Canada,49.287872,-123.12823,1,rooftop,717,"Jervis St",#,3101,Vancouver,BC,,V6E,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"33 Smithe St #802"," Vancouver",BC,V6B0B5,Canada,49.274436,-123.11196,1,rooftop,33,"Smithe St",#,802,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2636 McGill St"," Vancouver",BC,V5K1H3,Canada,49.288372,-123.05073,1,rooftop,2636,"McGill St",,,Vancouver,BC,,V5K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1283 Howe St #2009"," Vancouver",BC,V6Z0E3,Canada,49.277218,-123.128625,1,rooftop,1283,"Howe St",#,2009,Vancouver,BC,,V6Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1196 W 48th Ave"," Vancouver",BC,V6M2N7,Canada,49.227388,-123.133219,1,rooftop,1196,"W 48th Ave",,,Vancouver,BC,,V6M,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1492 Hornby St"," Vancouver",BC,V6Z1X3,Canada,49.275736,-123.131665,0.9,nearest_rooftop_match,1488,"Hornby St",,,Vancouver,BC,,V6Z,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"788 Richards St #1108"," Vancouver",BC,V6B0C7,Canada,49.280305,-123.117196,1,rooftop,788,"Richards St",#,1108,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3221 Grant St"," Vancouver",BC,V5K3J1,Canada,49.271608,-123.035912,1,rooftop,3221,"Grant St",,,Vancouver,BC,,V5K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1180 Broughton St #1302"," Vancouver",BC,V6G2B1,Canada,49.283567,-123.135527,1,rooftop,1180,"Broughton St",#,1302,Vancouver,BC,,V6G,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1210 W 8th Ave #207"," Vancouver",BC,V6H3Y9,Canada,49.264145,-123.132201,1,rooftop,1210,"W 8th Ave",#,207,Vancouver,BC,,V6H,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1165 Burnaby St #402"," Vancouver",BC,V6E1P3,Canada,49.280878,-123.133641,1,rooftop,1165,"Burnaby St",#,402,Vancouver,BC,,V6E,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"7638 Cambie St #103"," Vancouver",BC,V6P3H7,Canada,49.215572,-123.116344,0.9,rooftop,7638,"Cambie St",#,103,Vancouver,BC,,V5X,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"250 E 6th Ave #451"," Vancouver",BC,V5T0B7,Canada,49.265226,-123.100379,0.87,nearest_rooftop_match,220,"E 6th Ave",#,451,Vancouver,BC,,V5T,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1408 Robson St #2901"," Vancouver",BC,V6G1B9,Canada,49.28808,-123.13083,0.89,nearest_rooftop_match,1400,"Robson St",#,2901,Vancouver,BC,,V6G,CA,Province
"128 Cordova St W #706"," Vancouver",BC,V6B0E6,Canada,49.282525,-123.107958,1,rooftop,128,"W Cordova St",#,706,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"4578 Puget Dr"," Vancouver",BC,V6L2V8,Canada,49.246025,-123.164932,1,rooftop,4578,"Puget Dr",,,Vancouver,BC,,V6L,CA,Province
"2549 E 16th Ave"," Vancouver",BC,V5M2L5,Canada,49.25597,-123.054291,1,rooftop,2549,"E 16th Ave",,,Vancouver,BC,,V5M,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3661 E 27th Ave"," Vancouver",BC,V5R1R3,Canada,49.246432,-123.024918,1,rooftop,3661,"E 27th Ave",,,Vancouver,BC,,V5R,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"161 Georgia St W #110"," Vancouver",BC,V6B0K9,Canada,49.278805,-123.111556,1,rooftop,161,"W Georgia St",#,110,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"939 Homer St #3401"," Vancouver",BC,V6B2W6,Canada,49.278115,-123.119485,1,rooftop,939,"Homer St",#,3401,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1717 W 13th Ave #115"," Vancouver",BC,V6J2H2,Canada,49.260182,-123.144071,1,rooftop,1717,"W 13th Ave",#,115,Vancouver,BC,,V6J,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3668 W 28th Ave"," Vancouver",BC,V6S1S4,Canada,49.246845,-123.186095,1,rooftop,3668,"W 28th Ave",,,Vancouver,BC,,V6S,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"198 E 44th Ave"," Vancouver",BC,V5W1V6,Canada,49.230136,-123.1019,0.89,nearest_rooftop_match,192,"E 44th Ave",,,Vancouver,BC,,V5W,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"6384 Windsor St"," Vancouver",BC,V5W3J5,Canada,49.226523,-123.084808,1,rooftop,6384,"Windsor St",,,Vancouver,BC,,V5W,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2550 Garden Dr #203"," Vancouver",BC,V5N4X6,Canada,49.261596,-123.057753,1,rooftop,2550,"Garden Dr",#,203,Vancouver,BC,,V5N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"55 Cordova St E #315"," Vancouver",BC,V6A0A5,Canada,49.282595,-123.102962,1,rooftop,55,"E Cordova St",#,315,Vancouver,BC,,V6A,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2848 W 17th Ave"," Vancouver",BC,V6L1A2,Canada,49.256876,-123.168867,1,rooftop,2848,"W 17th Ave",,,Vancouver,BC,,V6L,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"352 W 62nd Ave"," Vancouver",BC,V5X2E3,Canada,49.214071,-123.099064,0.8,rooftop,352,"E 62nd Ave",,,Vancouver,BC,,V5X,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2632 Nanaimo St"," Vancouver",BC,V5N5E7,Canada,49.260614,-123.056207,1,rooftop,2632,"Nanaimo St",,,Vancouver,BC,,V5N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1189 Melville St #2104"," Vancouver",BC,V6E4T8,Canada,49.287784,-123.123458,1,rooftop,1189,"Melville St",#,2104,Vancouver,BC,,V6E,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"6010 Granville St"," Vancouver",BC,V6M3E1,Canada,49.231439,-123.139215,1,rooftop,6010,"Granville St",,,Vancouver,BC,,V6M,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"477 W 59th Ave #202"," Vancouver",BC,V5X1X4,Canada,49.217183,-123.115644,1,rooftop,477,"W 59th Ave",#,202,Vancouver,BC,,V5X,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"195 W 12th Ave"," Vancouver",BC,V5Y1T6,Canada,49.260583,-123.109316,1,rooftop,195,"W 12th Ave",,,Vancouver,BC,,V5Y,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2068 E 49th Ave"," Vancouver",BC,V5P1T7,Canada,49.22485,-123.064401,1,rooftop,2068,"E 49th Ave",,,Vancouver,BC,,V5P,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"277 Thurlow St #2601"," Vancouver",BC,V6C0C1,Canada,49.288884,-123.11914,1,rooftop,277,"Thurlow St",#,2601,Vancouver,BC,,V6C,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"5595 Dumfries St"," Vancouver",BC,V5P3A5,Canada,49.233783,-123.074635,1,rooftop,5595,"Dumfries St",,,Vancouver,BC,,V5P,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"603 E 57th Ave"," Vancouver",BC,V5X1T1,Canada,49.218537,-123.092892,1,rooftop,603,"E 57th Ave",,,Vancouver,BC,,V5X,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1817 W 15th Ave"," Vancouver",BC,V6J2K9,Canada,49.258381,-123.146445,0.9,nearest_rooftop_match,1815,"W 15th Ave",,,Vancouver,BC,,V6J,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2025 Stephens St #201"," Vancouver",BC,V6K3W2,Canada,49.268069,-123.16671,1,rooftop,2025,"Stephens St",#,201,Vancouver,BC,,V6K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2172 Wall St"," Vancouver",BC,V5L1B5,Canada,49.287898,-123.060013,0.9,nearest_rooftop_match,2170,"Wall St",,,Vancouver,BC,,V5L,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3220 W 4th Ave #303"," Vancouver",BC,V6K1R9,Canada,49.268211,-123.176302,1,rooftop,3220,"W 4th Ave",#,303,Vancouver,BC,,V6K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"3256 W 21st Ave"," Vancouver",BC,V6L1L2,Canada,49.253472,-123.177205,1,rooftop,3256,"W 21st Ave",,,Vancouver,BC,,V6L,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1958 E 47th Ave #406"," Vancouver",BC,V5P3X5,Canada,49.227335,-123.066077,1,rooftop,1958,"E 47th Ave",#,406,Vancouver,BC,,V5P,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2556 Hastings St E #L01"," Vancouver",BC,V5K1Z3,Canada,49.280884,-123.053231,1,rooftop,2556,"E Hastings St",#,L01,Vancouver,BC,,V5K,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"2282 E 8th Ave #3"," Vancouver",BC,V5N1V5,Canada,49.262927,-123.05849,1,rooftop,2282,"E 8th Ave",#,3,Vancouver,BC,,V5N,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"7303 Granville St"," Vancouver",BC,V6P4Y3,Canada,49.218971,-123.139713,0.9,nearest_rooftop_match,7302,"Granville St",,,Vancouver,BC,,V6P,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"128 Cordova St W #4004"," Vancouver",BC,V6B0E6,Canada,49.282525,-123.107958,1,rooftop,128,"W Cordova St",#,4004,Vancouver,BC,,V6B,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"4393 Puget Dr"," Vancouver",BC,V6L2V7,Canada,49.246957,-123.167479,1,rooftop,4393,"Puget Dr",,,Vancouver,BC,,V6L,CA,Province
"710 Chilco St #303"," Vancouver",BC,V6G2P9,Canada,49.293438,-123.137924,1,rooftop,710,"Chilco St",#,303,Vancouver,BC,,V6G,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
"1468 W 14th Ave #703"," Vancouver",BC,V6H0A2,Canada,49.258615,-123.137357,1,rooftop,1468,"W 14th Ave",#,703,Vancouver,BC,,V6H,CA,"City of Vancouver (City of Vancouver Open Government License - Vancouver 1.0)"
