Unnamed: 0,neighbourhood_left,unnamed: 0,street address,latitude,longitude,geometry,price,bedrooms,bathrooms,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,area,house_density,restruarent_counts,public_service_counts,public_transit_counts,other_counts,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
17,arbutus ridge,657,5350 balsam st #503,49.237701,-123.160889,POINT (-2502785.103040922 6366659.39041593),798000,2,2,1417,283,80,16,278,56,1059,212,3185,2670,1090,2455,855,870,4815,3750,1415,2575,1100,1100,14,arbutus ridge,4.581059416,5.457252947,27,1,47,5,23,74,122,5,15,0,3
18,arbutus ridge,707,2767 w 21st ave,49.253915,-123.166853,POINT (-2502048.233351608 6368586.166909593),3699000,4,4,1417,283,80,16,278,56,1059,212,3185,2670,1090,2455,855,870,4815,3750,1415,2575,1100,1100,14,arbutus ridge,4.581059416,5.457252947,27,1,47,5,16,36,119,9,6,0,1
19,arbutus ridge,748,7 5389 vine street,49.237777,-123.16025,POINT (-2502737.110859897 6366637.854694373),1898000,3,2,1417,283,80,16,278,56,1059,212,3185,2670,1090,2455,855,870,4815,3750,1415,2575,1100,1100,14,arbutus ridge,4.581059416,5.457252947,27,1,47,5,25,76,119,4,18,0,3
20,arbutus ridge,880,1 2403 w 37th avenue,49.238667,-123.161317,POINT (-2502746.068960608 6366777.524573945),2875000,3,4,1417,283,80,16,278,56,1059,212,3185,2670,1090,2455,855,870,4815,3750,1415,2575,1100,1100,14,arbutus ridge,4.581059416,5.457252947,27,1,47,5,13,68,121,3,8,0,2
21,arbutus ridge,947,5584 mackenzie street,49.235982,-123.169781,POINT (-2503499.246369073 6366891.67940012),2698000,5,3,1417,283,80,16,278,56,1059,212,3185,2670,1090,2455,855,870,4815,3750,1415,2575,1100,1100,14,arbutus ridge,4.581059416,5.457252947,27,1,47,5,10,23,62,10,0,0,0
22,arbutus ridge,976,303 4101 yew street,49.24766,-123.154731,POINT (-2501676.886439814 6367392.851128388),1468800,2,3,1417,283,80,16,278,56,1059,212,3185,2670,1090,2455,855,870,4815,3750,1415,2575,1100,1100,14,arbutus ridge,4.581059416,5.457252947,27,1,47,5,14,30,89,9,3,0,2
23,arbutus ridge,977,204 2275 w 40th avenue,49.235845,-123.159524,POINT (-2502823.852233529 6366407.540913383),949000,2,2,1417,283,80,16,278,56,1059,212,3185,2670,1090,2455,855,870,4815,3750,1415,2575,1100,1100,14,arbutus ridge,4.581059416,5.457252947,27,1,47,5,45,79,111,9,33,0,3
24,arbutus ridge,1207,2795 w 37th avenue,49.238765,-123.167839,POINT (-2503174.725616975 6367086.465147689),5750000,5,7,1417,283,80,16,278,56,1059,212,3185,2670,1090,2455,855,870,4815,3750,1415,2575,1100,1100,14,arbutus ridge,4.581059416,5.457252947,27,1,47,5,6,23,85,6,0,0,0
25,downtown,0,1525 coal harbour cay #b17,49.291479,-123.128047,POINT (-2496830.441306704 6370639.273897188),375000,1,1,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,35,221,565,10,24,0,1
26,downtown,13,838 hamilton st #1009,49.278326,-123.116209,POINT (-2496960.671853473 6368756.515910945),350000,2,1,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,133,561,908,23,96,8,6
27,downtown,16,1480 howe st #p5-502,49.274891,-123.131173,POINT (-2498199.289991543 6369090.952103601),89800,0,1,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,51,271,568,13,34,1,3
28,downtown,28,1159 main st #505,49.274261,-123.100494,POINT (-2496196.224628719 6367623.178956845),768000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,57,219,459,39,18,0,0
29,downtown,30,138 hastings st e #206,49.281058,-123.101197,POINT (-2495768.086323264 6368348.539808315),359000,1,1,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,107,292,455,26,77,0,4
30,downtown,36,1188 howe st #2403,49.278315,-123.12697,POINT (-2497679.381589819 6369247.749438821),748000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,165,457,790,28,125,5,7
31,downtown,41,1325 rolston st #1513,49.275617,-123.127925,POINT (-2497931.8037143 6369016.334806864),633000,0,1,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,109,348,703,26,75,1,7
32,downtown,42,63 keefer pl #502,49.279933,-123.10662,POINT (-2496208.546421458 6368481.797681301),970000,3,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,148,364,682,27,115,3,3
33,downtown,43,1189 melville st #3404,49.287784,-123.123458,POINT (-2496782.835907799 6370052.578930545),1650000,2,3,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,122,402,867,24,89,3,6
34,downtown,49,1499 w pender st #1802,49.289964,-123.128049,POINT (-2496936.548869003 6370484.900115178),2798000,2,3,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,73,255,675,12,58,0,3
35,downtown,53,53 hastings st w #503,49.282116,-123.106307,POINT (-2496035.064781174 6368690.108660465),499900,1,1,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,164,358,662,31,126,4,3
36,downtown,61,560 cardero st #603,49.291362,-123.128679,POINT (-2496880.772256832 6370656.261256999),1050000,1,1,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,47,221,545,11,34,0,2
37,downtown,62,939 homer st #2402,49.278115,-123.119485,POINT (-2497193.996636684 6368884.872208919),698000,2,1,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,182,543,937,21,149,6,6
38,downtown,63,488 helmcken st unit 605,49.276526,-123.122747,POINT (-2497522.754648242 6368872.082791873),775000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,177,454,865,22,147,1,7
39,downtown,67,583 beach cres #2903,49.273589,-123.129221,POINT (-2498160.122355049 6368868.846532755),2098000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,45,296,612,11,28,1,5
40,downtown,68,610 granville st #811,49.28312,-123.116554,POINT (-2496648.478045097 6369261.165375451),499000,0,1,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,242,595,897,50,171,13,8
41,downtown,70,1201 marinaside cres #1602,49.273129,-123.120638,POINT (-2497619.590326858 6368429.167513601),1398000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,80,324,778,14,63,0,3
42,downtown,76,555 abbott st #312,49.280181,-123.108684,POINT (-2496328.91924419 6368601.484766336),999000,3,1,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,151,413,736,32,111,4,4
43,downtown,80,277 thurlow st #3001,49.288884,-123.11914,POINT (-2496417.908658137 6369967.206212183),13800000,3,4,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,83,419,702,15,64,1,3
44,downtown,82,168 powell st #515,49.282968,-123.100636,POINT (-2495597.162215331 6368517.678133937),399888,1,1,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,95,249,421,23,68,0,4
45,downtown,89,1288 marinaside cres #609,49.272079,-123.120377,POINT (-2497675.598467083 6368310.146333172),1198000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,72,291,709,12,58,0,2
46,downtown,94,428 beach cres #2802,49.27233,-123.127311,POINT (-2498120.737281865 6368653.04792028),7598000,3,4,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,30,291,627,10,17,0,3
47,downtown,99,183 keefer pl #1004,49.280356,-123.10826,POINT (-2496288.396732258 6368599.939623599),1100000,3,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,163,415,719,34,121,4,4
48,downtown,101,1372 seymour st #2701,49.27459,-123.127563,POINT (-2497979.482654098 6368895.042516883),1688000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,92,334,692,20,64,1,7
49,downtown,102,53 hastings st w #306,49.282116,-123.106307,POINT (-2496035.064781174 6368690.108660465),499900,1,1,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,164,358,662,31,126,4,3
50,downtown,103,583 beach cres #3006,49.273589,-123.129221,POINT (-2498160.122355049 6368868.846532755),1599000,2,2,49367,9873,6539,1308,3466,693,39362,7872,12880,12295,6645,13025,5180,3405,17595,16255,8435,13600,4700,4700,0,downtown,5.782059821,40.988853,656,33,179,28,45,296,612,11,28,1,5
