Address,Price,Neighbourhood,City,Latitude,Longitude
206 - 5 Greystone Walk Dr,"$498,000",Kennedy Park,Toronto,43.645415,-79.387361
329 - 155 Merchants' Wharf Avenue,"$750,000",Waterfront Communities East,Toronto,43.646203,-79.361412
3007 - 181 Wynford Dr,"$759,900",Banbury Don Mills,Toronto,43.725064,-79.328704
3 Clayhall Cres,"$1,149,000",York University Heights,Toronto,43.751371,-79.499078
10 - 1321 Gerrard St E,"$750,000",Greenwood Coxwell,Toronto,43.67114,-79.326224
100 Rosethorn Ave,"$1,250,000",Weston Pellam Park,Toronto,43.679352,-79.463314
15 Braddock Road,"$959,900",West Humber Clairville,Toronto,43.719486,-79.584801
712 - 159 Dundas Street N,"$538,000",Church Yonge Corridor,Toronto,43.657124,-79.375394
51 - 5 William Jackson Way,"$806,000",New Toronto,Toronto,43.600769,-79.512121
818 - 323 Richmond St E,"$899,000",Moss Park,Toronto,43.653384,-79.368447
27 Cameo Cres,"$995,000",Rockcliffe Smythe,Toronto,43.677017,-79.491542
48 Shaftesbury Ave,"$3,445,000",Rosedale Moore Park,Toronto,43.682521,-79.38967
10 Dearbourne Ave,"$1,189,000",North Riverdale,Toronto,43.675665,-79.357432
212 - 5 Richgrove Dr,"$679,000",Willowridge Martingrove Richview,Toronto,43.676833,-79.564206
9 Joseph Salsberg Lane,"$1,300,000",Niagara,Toronto,43.644349,-79.404053
193 Brickworks Lane,"$914,900",Junction Area,Toronto,43.675683,-79.469543
709 - 2191 Yonge St,"$549,800",Mount Pleasant West,Toronto,43.705666,-79.39739
1201 - 195 Redpath Avenue,"$557,000",Mount Pleasant West,Toronto,43.7101,-79.393425
76 Highhill Drive,"$1,080,000",Tam O'shanter Sullivan,Toronto,43.776605,-79.311642
413 - 600 Fleet St W,"$449,000",Niagara,Toronto,43.636698,-79.400078
78 Ashridge Dr,"$998,000",Agincourt North,Toronto,43.815736,-79.268628
3632a St Clair Avenue E,"$699,900",Cliffcrest,Toronto,43.709125,-79.293489
3306 - 14 York St,"$699,000",Waterfront Communities West,Toronto,43.641931,-79.381365
681 Scarlett Rd,"$1,650,000",Humber Heights,Toronto,43.694225,-79.51913
