Street,City,Province,Zip,Latitude,Longitude,Price,Bedrooms,Bathrooms,Square Footage
37 Vine Ave, Toronto,ON,M6P1V6,43.66642,-79.466366,"C$1,199,000",4 bds,3 ba,
25 Janus Ct, Toronto,ON,M2H1S3,43.807397,-79.369761,"C$3,688,000",5 bds,7 ba,"5,300 sqft"
19 Hedgewood Rd, Toronto,ON,M2L1L4,43.743342,-79.397858,"C$5,380,000",5 bds,5 ba,
500 Donlands Ave, Toronto,ON,M4J3S7,43.696155,-79.346168,"C$799,900",3 bds,2 ba,
435 Meadowvale Rd, Toronto,ON,M1C1S6,43.78853,-79.161669,"C$969,900",3 bds,5 ba,
133 Cordella Ave, Toronto,ON,M6N2K1,43.679261,-79.4857,"C$899,000",6 bds,1 ba,
97 Post Rd, Toronto,ON,M3B1J3,43.738724,-79.367822,"C$8,888,000",7 bds,10 ba,
7 Wortham Dr, Toronto,ON,M1G1W5,43.762929,-79.224939,"C$1,149,000",6 bds,2 ba,
25 Lower Simcoe St #318, Toronto,ON,M5J3A1,43.641411,-79.383308,"C$969,000",3 bds,2 ba,
503 Beecroft Rd #905, Toronto,ON,M2N0A2,43.778232,-79.417772,"C$663,000",2 bds,2 ba,
52 Forest Manor Rd #521, Toronto,ON,M2J0E2,43.772384,-79.344395,"C$629,900",2 bds,2 ba,
30 Herons Hill Way #506, Toronto,ON,M2J0A7,43.774938,-79.335458,"C$668,000",2 bds,2 ba,
25 Bamburgh Cir #929, Toronto,ON,M1W3W2,43.815497,-79.325582,"C$460,000",2 bds,2 ba,
13 Riverlea Rd, Toronto,ON,M9P2B1,43.699382,-79.522934,"C$2,088,000",4 bds,4 ba,
70 Annie Craig Dr #807, Toronto,ON,M8V0G2,43.624739,-79.478962,"C$889,900",3 bds,2 ba,
50 Merchant Ln #105, Toronto,ON,M6P4J6,43.656875,-79.445518,"C$808,800",3 bds,2 ba,
2 Dailing Gate #19, Toronto,ON,M1B1Z8,43.791144,-79.229702,"C$599,000",4 bds,3 ba,
61 Fulbert Cres, Toronto,ON,M1S1C5,43.790312,-79.287079,"C$1,648,000",6 bds,4 ba,
435 Middlefield Rd #56, Toronto,ON,M1S5W1,43.808839,-79.256579,"C$848,800",4 bds,4 ba,
10 Edgecliff Golfway #317, Toronto,ON,M3C3A3,43.719222,-79.326516,"C$560,000",3 bds,2 ba,"1,100 sqft"
460 Adelaide St E #820, Toronto,ON,M5A0E7,43.652787,-79.3668,"C$675,000",1 bd,2 ba,
203 Medland St, Toronto,ON,M6P2N6,43.66441,-79.466577,"C$1,998,000",4 bds,6 ba,
21 Markbrook Ln #407, Toronto,ON,M9V5E4,43.758626,-79.587586,"C$569,999",2 bds,2 ba,
3 Marine Parade Dr #808, Toronto,ON,M8V3Z5,43.630233,-79.47622,"C$499,000",2 bds,2 ba,
4 Park Vis #1006, Toronto,ON,M4B3M8,43.697968,-79.299349,"C$565,000",2 bds,2 ba,
135 Village Green Sq #418, Toronto,ON,M1S0G4,43.777872,-79.280751,"C$549,000",2 bds,2 ba,
61 Markbrook Ln #509, Toronto,ON,M9V5E7,43.759225,-79.585149,"C$549,000",2 bds,2 ba,
67 Lake Promenade, Toronto,ON,M8W1A2,43.590523,-79.522767,"C$9,200,000",5 bds,9 ba,
296 Torresdale Ave #17, Toronto,ON,M2R3N3,43.7896,-79.45287,"C$699,000",4 bds,4 ba,
262 Senlac Rd, Toronto,ON,M2R1P8,43.770953,-79.428126,"C$3,149,995",6 bds,6 ba,
32 Forest Manor Rd #416, Toronto,ON,M2J0C2,43.771726,-79.344794,"C$688,888",2 bds,2 ba,809 sqft
423 Guildwood Pkwy, Toronto,ON,M1E1R3,43.750362,-79.185067,"C$2,999,990",5 bds,6 ba,
470 Front St W #1301, Toronto,ON,M5V0V6,43.642512,-79.395988,"C$724,900",1 bd,1 ba,
3237 Bayview Ave #510, Toronto,ON,M2K0G1,43.790112,-79.392793,"C$599,000",2 bds,2 ba,
25 Broadway Ave UNIT 1105, Toronto,ON,M4P1T7,43.709918,-79.395912,"C$688,000",2 bds,1 ba,
70 Thomas Mulholland Dr #8, Toronto,ON,M3K0A5,43.73587,-79.478063,"C$1,387,888",5 bds,4 ba,
15 B Medford Ave, Toronto,ON,M1L4G1,43.695692,-79.271575,"C$1,399,900",4 bds,4 ba,
106 Yardley Ave, Toronto,ON,M4B2B1,43.713354,-79.300924,"C$1,275,000",3 bds,3 ba,
129 McMahon Dr #TOWNHOUSE 03, Toronto,ON,M2K0C2,43.767654,-79.371136,"C$1,368,000",3 bds,4 ba,
73 Richmond St W #L02, Toronto,ON,M5H4E8,43.650733,-79.382286,"C$379,000",Studio,1 ba,
213 Macdonell Ave, Toronto,ON,M6R2A4,43.64631,-79.439954,"C$1,399,900",4 bds,2 ba,
38 Dan Leckie Way #1607, Toronto,ON,M5V2V6,43.637492,-79.398104,"C$628,000",2 bds,1 ba,
11 Charlotte St #402, Toronto,ON,M5V0M6,43.646378,-79.39367,"C$575,000",1 bd,1 ba,
9 Michael Power Pl E #615, Toronto,ON,M9A0A5,43.644663,-79.529405,"C$499,000",1 bd,1 ba,
3220 Sheppard Ave E #1506, Toronto,ON,M1T3K3,43.777968,-79.312305,"C$508,000",1 bd,1 ba,
8 Tippett Rd #801, Toronto,ON,M3H0E7,43.732384,-79.446637,"C$509,000",1 bd,1 ba,
3 Everson Dr #528, Toronto,ON,M2N7C2,43.756938,-79.406496,"C$559,000",1 bd,1 ba,
121 Ford St #109, Toronto,ON,M6N3A1,43.673343,-79.462184,"C$960,000",2 bds,3 ba,
20 Tubman Ave #2307, Toronto,ON,M5A0M8,43.660593,-79.359349,"C$559,999",2 bds,1 ba,
19 Western Battery Rd #2310, Toronto,ON,M6K3N9,43.63957,-79.411329,"C$599,999",3 bds,2 ba,
111 3rd St, Toronto,ON,M8V2Y1,43.603827,-79.501393,"C$999,988",3 bds,2 ba,
45 Strader Ave, Toronto,ON,M6C1R1,43.693481,-79.44039,"C$699,999",3 bds,2 ba,
224 Coronation Dr, Toronto,ON,M1E2J4,43.762523,-79.181993,"C$989,000",3 bds,2 ba,
8 Rosebank Dr #16H, Toronto,ON,M1B5Z3,43.791844,-79.237284,"C$539,000",2 bds,1 ba,
28 Empress Ave #1916, Toronto,ON,M2N6Z7,43.769982,-79.411745,"C$779,900",2 bds,2 ba,
319 Laird Dr, Toronto,ON,M4G3X7,43.716006,-79.365486,"C$1,499,999",3 bds,2 ba,
128 Hazelton Ave #801, Toronto,ON,M5R2E5,43.674903,-79.39488,"C$8,325,000",3 bds,4 ba,
18 Kipling Grove Ct, Toronto,ON,M9B0C6,43.662635,-79.551649,"C$1,299,999",3 bds,4 ba,
488 Roselawn Ave, Toronto,ON,M5N1J8,43.70797,-79.414299,"C$2,050,000",4 bds,2 ba,
3 Sutherland Ave, Toronto,ON,M4C1R8,43.691634,-79.289858,"C$899,000",5 bds,3 ba,
33 Edwin Ave, Toronto,ON,M6P3Z5,43.662925,-79.454429,"C$2,900,000",7 bds,10 ba,
21 Fusilier Dr, Toronto,ON,M1L0C2,43.717232,-79.279496,"C$899,900",3 bds,3 ba,
121 Valley Stream Dr, Toronto,ON,M1V2A4,43.821396,-79.262866,"C$799,800",5 bds,2 ba,
