OBJECTID,EVENT_UNIQUE_ID,OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
1169,GO-20231628239,2023,7/13/2023 5:00:00 AM,1308,2023,7/13/2023 5:00:00 AM,1308,D22,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,,,,,2SLGBTQ+,,NO,Mischief Under $5000,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),NO
1170,GO-20231644484,2023,7/15/2023 5:00:00 AM,1054,2023,7/15/2023 5:00:00 AM,1054,D14,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,,Gay,,NO,Mischief Under $5000,085,South Parkdale (85),085,South Parkdale (85),NO
1171,GO-20231731898,2023,7/18/2023 5:00:00 AM,0,2023,7/25/2023 5:00:00 AM,1715,D13,Public Transportation,NO,NO,,,,Jewish,,,NO,Mischief Under $5000,094,Wychwood (94),094,Wychwood (94),NO
1172,GO-20231681566,2023,7/19/2023 5:00:00 AM,1800,2023,7/19/2023 5:00:00 AM,1827,D32,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,NO,Mischief Under $5000,036,Newtonbrook West (36),036,Newtonbrook West (36),NO
1173,GO-20231677631,2023,7/19/2023 5:00:00 AM,1012,2023,7/19/2023 5:00:00 AM,1012,D11,"Open Area, Park or Parking Lot",NO,NO,,Russian,,,,,NO,Assault,088,High Park North (88),088,High Park North (88),NO
1174,GO-20231691189,2023,7/20/2023 5:00:00 AM,2023,2023,7/20/2023 5:00:00 AM,2023,D32,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,Muslim,,,NO,Aggravated Assault,036,Newtonbrook West (36),036,Newtonbrook West (36),YES
1175,GO-20231699935,2023,7/21/2023 5:00:00 AM,2001,2023,7/21/2023 5:00:00 AM,2001,D32,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,,,,Jewish,,,NO,Mischief Under $5000,105,Lawrence Park North (105),105,Lawrence Park North (105),NO
1176,GO-20231713322,2023,7/23/2023 5:00:00 AM,1300,2023,7/23/2023 5:00:00 AM,1529,D55,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,Black,,,,,,NO,Uttering Threats - Bodily Harm,062,East End-Danforth (62),062,East End-Danforth (62),YES
1177,GO-20231838398,2023,7/23/2023 5:00:00 AM,0,2023,8/7/2023 5:00:00 AM,1445,D33,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Jewish,,,NO,Mischief Under $5000,042,Banbury-Don Mills (42),042,Banbury-Don Mills (42),NO
1178,GO-20231741898,2023,7/25/2023 5:00:00 AM,1130,2023,7/26/2023 5:00:00 AM,2022,D11,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,Jewish,,,NO,Mischief Under $5000,084,Little Portugal (84),084,Little Portugal (84),NO
1179,GO-20231747804,2023,7/26/2023 5:00:00 AM,1735,2023,7/27/2023 5:00:00 AM,1509,D51,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,Jewish,,,NO,Uttering Threats - Bodily Harm,073,Moss Park (73),073,Moss Park (73),NO
1180,GO-20231734789,2023,7/26/2023 5:00:00 AM,150,2023,7/26/2023 5:00:00 AM,150,D11,Streets/Roadways/Highway,NO,NO,,,,,Gay,,NO,Mischief Under $5000,084,Little Portugal (84),084,Little Portugal (84),NO
1181,GO-20231749908,2023,7/27/2023 5:00:00 AM,1923,2023,7/27/2023 5:00:00 AM,2147,D13,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,,Gay,,NO,Uttering Threats - Bodily Harm,106,Humewood-Cedarvale (106),106,Humewood-Cedarvale (106),YES
1182,GO-20231766275,2023,7/29/2023 5:00:00 AM,1900,2023,7/29/2023 5:00:00 AM,1926,D32,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,Jewish,,,NO,Mischief Under $5000,036,Newtonbrook West (36),036,Newtonbrook West (36),NO
1183,GO-20231763931,2023,7/29/2023 5:00:00 AM,1346,2023,7/29/2023 5:00:00 AM,1346,D52,Streets/Roadways/Highway,NO,NO,,Chinese,,,,,NO,Assault,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),NO
1184,GO-20232050008,2023,8/1/2023 5:00:00 AM,1337,2023,9/2/2023 5:00:00 AM,1337,D55,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,,,,,Lesbian,,NO,Uttering Threats - Property,060,Woodbine-Lumsden (60),060,Woodbine-Lumsden (60),YES
1185,GO-20231810268,2023,8/3/2023 5:00:00 AM,1830,2023,8/3/2023 5:00:00 AM,2134,D41,Public Transportation,NO,NO,Black,,,,,,NO,Mischief Under $5000,124,Kennedy Park (124),124,Kennedy Park (124),NO
1186,GO-20231828872,2023,8/5/2023 5:00:00 AM,1000,2023,8/6/2023 5:00:00 AM,737,D13,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,NO,Mischief Under $5000,102,Forest Hill North (102),102,Forest Hill North (102),NO
1187,GO-20231843980,2023,8/8/2023 5:00:00 AM,945,2023,8/8/2023 5:00:00 AM,945,D32,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,NO,Mischief Under $5000,105,Lawrence Park North (105),105,Lawrence Park North (105),NO
1188,GO-20231851927,2023,8/8/2023 5:00:00 AM,0,2023,8/9/2023 5:00:00 AM,820,D32,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,NO,Mischief Under $5000,036,Newtonbrook West (36),036,Newtonbrook West (36),NO
1189,GO-20231886553,2023,8/10/2023 5:00:00 AM,1,2023,8/14/2023 5:00:00 AM,1500,D33,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,Black,,,,,,NO,Criminal Harassment,150,Fenside-Parkwoods (150),045,Parkwoods-Donalda (45),YES
1190,GO-20231871576,2023,8/11/2023 5:00:00 AM,1454,2023,8/11/2023 5:00:00 AM,1623,D55,Religious Place of Worship/Cultural Centre,NO,NO,,,,Muslim,,,NO,Uttering Threats - Bodily Harm,069,Blake-Jones (69),069,Blake-Jones (69),NO
1191,GO-20231892482,2023,8/12/2023 5:00:00 AM,125,2023,8/14/2023 5:00:00 AM,939,D11,Public Transportation,NO,NO,East/Southeast Asian,,,,,,NO,Assault,088,High Park North (88),088,High Park North (88),NO
1192,GO-20231896630,2023,8/14/2023 5:00:00 AM,1755,2023,8/14/2023 5:00:00 AM,1842,D42,"Open Area, Park or Parking Lot",NO,NO,,,,Muslim,,,NO,Assault,130,Milliken (130),130,Milliken (130),NO
1193,GO-20231908829,2023,8/16/2023 5:00:00 AM,914,2023,8/16/2023 5:00:00 AM,914,D32,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,,,,Jewish,,,NO,Harassing Communications,038,Lansing-Westgate (38),038,Lansing-Westgate (38),NO
1194,GO-20231954273,2023,8/21/2023 5:00:00 AM,2142,2023,8/21/2023 5:00:00 AM,2142,D32,Other Commercial / Corporate Places ,NO,NO,,,,,Gay,,NO,Mischief Under $5000,105,Lawrence Park North (105),105,Lawrence Park North (105),NO
1195,GO-20231991282,2023,8/26/2023 5:00:00 AM,1226,2023,8/26/2023 5:00:00 AM,1226,D42,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,,,,,Gay,,NO,Assault With a Weapon,148,East L'Amoreaux (148),117,L'Amoreaux (117),YES
1196,GO-20232090824,2023,8/26/2023 5:00:00 AM,117,2023,9/7/2023 5:00:00 AM,1136,D51,Streets/Roadways/Highway,NO,NO,,,,,,Transgender Woman (Identifies As Woman),NO,Assault,073,Moss Park (73),073,Moss Park (73),NO
