,Unnamed: 0,neighbourhood_left,unnamed: 0,street address,latitude,longitude,geometry,price,bedrooms,bathrooms,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,house_counts,area,house_density,restruarent_counts,public_service_counts,public_transit_counts,other_counts,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
17,17,annex,13,53 hazelton ave,43.672448,-79.393529,POINT (629504.7270049982 4836747.361426129),6880000,3,4,3265,653,4,1,2074,415,1187,237,5835,6375,3000,8645,2690,3840,6395,7315,3345,6615,1405,3245,62,annex,20,2.790294640001206,7.167701830940461,207,18,90,9,70,334,637,18,50,1,1
18,18,annex,111,535 brunswick ave,43.673818,-79.410137,POINT (628162.952997893 4836873.720936488),1729000,6,3,3265,653,4,1,2074,415,1187,237,5835,6375,3000,8645,2690,3840,6395,7315,3345,6615,1405,3245,62,annex,20,2.790294640001206,7.167701830940461,207,18,90,9,42,163,401,16,22,3,1
19,19,annex,140,50 yorkville ave #4403,43.671667,-79.389667,POINT (629817.7470338298 4836666.658156096),9975000,2,3,3265,653,4,1,2074,415,1187,237,5835,6375,3000,8645,2690,3840,6395,7315,3345,6615,1405,3245,62,annex,20,2.790294640001206,7.167701830940461,207,18,90,9,140,373,697,23,107,5,5
20,20,annex,164,104 albany ave,43.668716,-79.411569,POINT (628058.3657156181 4836304.863358355),2790000,5,4,3265,653,4,1,2074,415,1187,237,5835,6375,3000,8645,2690,3840,6395,7315,3345,6615,1405,3245,62,annex,20,2.790294640001206,7.167701830940461,207,18,90,9,69,249,438,10,51,6,2
21,21,annex,211,160 howland ave,43.670989,-79.411014,POINT (628098.2740906873 4836558.16753436),2999999,4,4,3265,653,4,1,2074,415,1187,237,5835,6375,3000,8645,2690,3840,6395,7315,3345,6615,1405,3245,62,annex,20,2.790294640001206,7.167701830940461,207,18,90,9,32,210,386,12,17,3,0
22,22,annex,250,483 dupont st #103,43.672797,-79.415295,POINT (627749.3157502182 4836752.367672838),849900,0,2,3265,653,4,1,2074,415,1187,237,5835,6375,3000,8645,2690,3840,6395,7315,3345,6615,1405,3245,62,annex,20,2.790294640001206,7.167701830940461,207,18,90,9,33,155,365,17,16,0,0
23,23,annex,371,200 cumberland st #3802,43.669867,-79.394244,POINT (629452.6363280019 4836459.590385003),17800000,3,4,3265,653,4,1,2074,415,1187,237,5835,6375,3000,8645,2690,3840,6395,7315,3345,6615,1405,3245,62,annex,20,2.790294640001206,7.167701830940461,207,18,90,9,90,364,724,20,55,14,1
24,24,annex,435,225 christie st,43.669398,-79.420453,POINT (627340.6936326938 4836366.931486889),1988000,4,4,3265,653,4,1,2074,415,1187,237,5835,6375,3000,8645,2690,3840,6395,7315,3345,6615,1405,3245,62,annex,20,2.790294640001206,7.167701830940461,207,18,90,9,15,167,372,8,5,1,1
25,25,annex,482,50 yorkville ave #5202,43.671667,-79.389667,POINT (629817.7470338298 4836666.658156096),18800000,4,4,3265,653,4,1,2074,415,1187,237,5835,6375,3000,8645,2690,3840,6395,7315,3345,6615,1405,3245,62,annex,20,2.790294640001206,7.167701830940461,207,18,90,9,140,373,697,23,107,5,5
26,26,annex,485,12 madison ave,43.667759,-79.403321,POINT (628725.3669983321 4836211.342334229),5450000,11,3,3265,653,4,1,2074,415,1187,237,5835,6375,3000,8645,2690,3840,6395,7315,3345,6615,1405,3245,62,annex,20,2.790294640001206,7.167701830940461,207,18,90,9,65,298,669,11,34,19,1
