,Unnamed: 0,neighbourhood_left,unnamed: 0,street address,latitude,longitude,geometry,price,bedrooms,bathrooms,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,index_right,neighbourhood_right,house_counts,area,house_density,restruarent_counts,public_service_counts,public_transit_counts,other_counts,Total Facilities 500,Total Facilities 1000,Total Facilities 1500,public_transit_best_buffer_area_0.5_values,restaurants_best_buffer_area_0.5_values,public_service_best_buffer_area_0.5_values,other_dailylife_facilities_best_buffer_area_0.5_values
269,269,downsview,1077,279 reiner rd,43.747795,-79.458169,POINT (624138.1036690649 4845016.808194053),1498000,3,2,1835,367,12,2,947,189,876,175,4355,5515,1690,1970,725,250,4825,6095,1535,1040,225,160,7,downsview,12,8.282822483291493,1.448781502224269,38,15,78,1,20,52,89,15,5,0,0
270,270,downsview,1088,3305 - 25 town centre crt,43.74069,-79.486601,POINT (621863.3431145202 4844185.476040535),690000,2,2,1835,367,12,2,947,189,876,175,4355,5515,1690,1970,725,250,4825,6095,1535,1040,225,160,7,downsview,12,8.282822483291493,1.448781502224269,38,15,78,1,16,43,77,11,5,0,0
271,271,downtown yonge east,15,7 carlton st #704,43.661094,-79.38259,POINT (630411.1637734878 4835503.485262816),628888,1,1,5634,1127,29,6,4059,812,1546,309,4040,3940,1900,4490,1760,1200,4395,4630,2295,3000,710,935,37,downtown yonge east,14,0.8085297979273506,17.315379143587176,192,37,18,10,200,625,1221,22,159,10,9
272,272,downtown yonge east,19,60 colborne st #1608,43.649288,-79.374406,POINT (631096.732849766 4834205.170228645),475000,1,1,5634,1127,29,6,4059,812,1546,309,4040,3940,1900,4490,1760,1200,4395,4630,2295,3000,710,935,37,downtown yonge east,14,0.8085297979273506,17.315379143587176,192,37,18,10,178,551,987,21,147,0,10
273,273,downtown yonge east,60,50 lombard st #1903,43.651856,-79.376003,POINT (630962.3588504167 4834487.858549998),549000,1,1,5634,1127,29,6,4059,812,1546,309,4040,3940,1900,4490,1760,1200,4395,4630,2295,3000,710,935,37,downtown yonge east,14,0.8085297979273506,17.315379143587176,192,37,18,10,169,629,1161,13,146,2,8
274,274,downtown yonge east,237,220 victoria st #806,43.654877,-79.379218,POINT (630696.5382458429 4834818.311046933),599000,3,2,5634,1127,29,6,4059,812,1546,309,4040,3940,1900,4490,1760,1200,4395,4630,2295,3000,710,935,37,downtown yonge east,14,0.8085297979273506,17.315379143587176,192,37,18,10,237,705,1287,20,183,26,8
275,275,downtown yonge east,331,8 colborne st #penthouse 2701,43.648745,-79.377021,POINT (630887.0223305804 4834140.734746635),3495000,5,4,5634,1127,29,6,4059,812,1546,309,4040,3940,1900,4490,1760,1200,4395,4630,2295,3000,710,935,37,downtown yonge east,14,0.8085297979273506,17.315379143587176,192,37,18,10,212,655,1113,32,168,0,12
276,276,downtown yonge east,379,65 mutual st #3004,43.655802,-79.374984,POINT (631035.9508590144 4834927.722953921),899000,3,2,5634,1127,29,6,4059,812,1546,309,4040,3940,1900,4490,1760,1200,4395,4630,2295,3000,710,935,37,downtown yonge east,14,0.8085297979273506,17.315379143587176,192,37,18,10,78,566,1111,4,55,17,2
277,277,downtown yonge east,463,127 queen st e #406,43.653471,-79.373755,POINT (631140.1285548114 4834670.776310503),484000,1,1,5634,1127,29,6,4059,812,1546,309,4040,3940,1900,4490,1760,1200,4395,4630,2295,3000,710,935,37,downtown yonge east,14,0.8085297979273506,17.315379143587176,192,37,18,10,89,519,1081,6,73,5,5
278,278,downtown yonge east,591,155 dalhousie st #1054,43.657615,-79.376789,POINT (630886.4607321981 4835126.231479546),2695000,5,4,5634,1127,29,6,4059,812,1546,309,4040,3940,1900,4490,1760,1200,4395,4630,2295,3000,710,935,37,downtown yonge east,14,0.8085297979273506,17.315379143587176,192,37,18,10,129,579,1136,5,87,33,4
279,279,downtown yonge east,741,712 - 159 dundas street n,43.657124,-79.375394,POINT (631000.0145278048 4835073.901145833),538000,1,1,5634,1127,29,6,4059,812,1546,309,4040,3940,1900,4490,1760,1200,4395,4630,2295,3000,710,935,37,downtown yonge east,14,0.8085297979273506,17.315379143587176,192,37,18,10,87,528,1086,5,52,27,3
280,280,downtown yonge east,952,503 - 75 dalhousie st,43.655627,-79.375858,POINT (630965.8540868072 4834906.906871425),629900,3,1,5634,1127,29,6,4059,812,1546,309,4040,3940,1900,4490,1760,1200,4395,4630,2295,3000,710,935,37,downtown yonge east,14,0.8085297979273506,17.315379143587176,192,37,18,10,109,594,1131,5,74,26,4
281,281,downtown yonge east,959,906 - 47 mutual st,43.654927,-79.374681,POINT (631062.2876848325 4834831.021196711),549900,2,1,5634,1127,29,6,4059,812,1546,309,4040,3940,1900,4490,1760,1200,4395,4630,2295,3000,710,935,37,downtown yonge east,14,0.8085297979273506,17.315379143587176,192,37,18,10,83,565,1101,4,66,9,4
282,282,downtown yonge east,1062,817 - 210 victoria st,43.654648,-79.379127,POINT (630704.3732180656 4834793.020917731),399000,0,1,5634,1127,29,6,4059,812,1546,309,4040,3940,1900,4490,1760,1200,4395,4630,2295,3000,710,935,37,downtown yonge east,14,0.8085297979273506,17.315379143587176,192,37,18,10,242,713,1286,20,188,25,9
283,283,downtown yonge east,1072,2709 - 210 victoria st,43.654648,-79.379127,POINT (630704.3732180656 4834793.020917731),532000,1,1,5634,1127,29,6,4059,812,1546,309,4040,3940,1900,4490,1760,1200,4395,4630,2295,3000,710,935,37,downtown yonge east,14,0.8085297979273506,17.315379143587176,192,37,18,10,242,713,1286,20,188,25,9
284,284,downtown yonge east,1149,1414 - 197 yonge st,43.653337,-79.37937,POINT (630687.6218173831 4834647.034244413),569000,2,1,5634,1127,29,6,4059,812,1546,309,4040,3940,1900,4490,1760,1200,4395,4630,2295,3000,710,935,37,downtown yonge east,14,0.8085297979273506,17.315379143587176,192,37,18,10,249,751,1312,20,207,13,9
285,285,dufferin grove,495,1244 college st,43.651641,-79.438166,POINT (625949.8109326852 4834367.741585854),1049900,4,5,1318,264,13,3,879,176,426,85,2785,3025,1195,1955,775,350,3030,3555,1175,1200,325,245,104,dufferin grove,4,1.3879269733563466,2.881996010443563,78,7,19,1,47,148,363,7,35,4,1
286,286,dufferin grove,520,262 saint helens ave #106,43.656487,-79.443717,POINT (625492.0668669485 4834897.542153795),799900,2,2,1318,264,13,3,879,176,426,85,2785,3025,1195,1955,775,350,3030,3555,1175,1200,325,245,104,dufferin grove,4,1.3879269733563466,2.881996010443563,78,7,19,1,43,144,320,18,24,0,1
287,287,dufferin grove,636,50 merchant ln #105,43.656875,-79.445518,POINT (625346.0331592096 4834937.912111548),808800,3,2,1318,264,13,3,879,176,426,85,2785,3025,1195,1955,775,350,3030,3555,1175,1200,325,245,104,dufferin grove,4,1.3879269733563466,2.881996010443563,78,7,19,1,40,140,315,17,21,0,2
288,288,dufferin grove,1056,279 st. helen's ave s,43.657023,-79.443242,POINT (625529.2522706669 4834957.790562986),1100000,4,3,1318,264,13,3,879,176,426,85,2785,3025,1195,1955,775,350,3030,3555,1175,1200,325,245,104,dufferin grove,4,1.3879269733563466,2.881996010443563,78,7,19,1,42,141,318,15,26,0,1
289,289,east end danforth,103,2335 1/2 gerrard st e,43.685302,-79.293178,POINT (637565.1751989906 4838336.560052898),699900,3,2,1980,396,11,2,1215,243,754,151,4575,4615,1935,4835,2100,1345,4945,5335,1965,3665,915,1020,93,east end-danforth,7,2.6389765188640486,2.652543495541658,41,8,55,2,10,111,203,8,1,1,0
290,290,east end danforth,137,6 newmarket ave,43.689384,-79.307654,POINT (636389.1831592517 4838766.009380728),999000,2,2,1980,396,11,2,1215,243,754,151,4575,4615,1935,4835,2100,1345,4945,5335,1965,3665,915,1020,93,east end-danforth,7,2.6389765188640486,2.652543495541658,41,8,55,2,10,90,167,4,5,1,0
291,291,east end danforth,181,140 brookside dr,43.680619,-79.306407,POINT (636509.5635506103 4837794.585776875),999888,4,3,1980,396,11,2,1215,243,754,151,4575,4615,1935,4835,2100,1345,4945,5335,1965,3665,915,1020,93,east end-danforth,7,2.6389765188640486,2.652543495541658,41,8,55,2,4,67,169,3,1,0,0
292,292,east end danforth,270,8 trent ave #1205,43.688207,-79.295862,POINT (637342.2190709753 4838654.751743953),749900,3,2,1980,396,11,2,1215,243,754,151,4575,4615,1935,4835,2100,1345,4945,5335,1965,3665,915,1020,93,east end-danforth,7,2.6389765188640486,2.652543495541658,41,8,55,2,30,104,194,14,13,2,1
293,293,east end danforth,272,198 lawlor ave,43.685388,-79.290756,POINT (637760.1871861013 4838350.13252828),1324900,4,2,1980,396,11,2,1215,243,754,151,4575,4615,1935,4835,2100,1345,4945,5335,1965,3665,915,1020,93,east end-danforth,7,2.6389765188640486,2.652543495541658,41,8,55,2,12,100,215,9,0,2,1
294,294,east end danforth,384,2053 gerrard st e,43.68208,-79.307469,POINT (636420.6499974157 4837955.102478682),999900,4,2,1980,396,11,2,1215,243,754,151,4575,4615,1935,4835,2100,1345,4945,5335,1965,3665,915,1020,93,east end-danforth,7,2.6389765188640486,2.652543495541658,41,8,55,2,4,62,162,3,1,0,0
295,295,east end danforth,810,6 balfour ave,43.69059,-79.300945,POINT (636927.1350868413 4838911.010431142),999000,3,3,1980,396,11,2,1215,243,754,151,4575,4615,1935,4835,2100,1345,4945,5335,1965,3665,915,1020,93,east end-danforth,7,2.6389765188640486,2.652543495541658,41,8,55,2,42,88,184,27,11,3,1
296,296,east willowdale,18,12 waring ct,43.776906,-79.401025,POINT (628676.5771876741 4848337.254141604),3998800,5,7,1159,232,7,1,471,94,681,136,3565,3110,1075,2960,1230,910,3770,3440,1315,2105,535,740,10,east willowdale,8,3.513788760923071,2.276744717544831,5,6,41,1,3,24,119,3,0,0,0
297,297,east willowdale,209,80 chiswell cres,43.780901,-79.391894,POINT (629402.7771840877 4848795.193712805),1678000,4,4,1159,232,7,1,471,94,681,136,3565,3110,1075,2960,1230,910,3770,3440,1315,2105,535,740,10,east willowdale,8,3.513788760923071,2.276744717544831,5,6,41,1,12,29,65,11,0,1,0
298,298,east willowdale,759,208 holmes ave,43.781146,-79.399927,POINT (628755.8372075068 4848809.878727909),3350000,7,7,1159,232,7,1,471,94,681,136,3565,3110,1075,2960,1230,910,3770,3440,1315,2105,535,740,10,east willowdale,8,3.513788760923071,2.276744717544831,5,6,41,1,3,26,79,3,0,0,0
299,299,east willowdale,905,258 byng ave e,43.780324,-79.398837,POINT (628845.3147309846 4848720.278913314),1598000,4,2,1159,232,7,1,471,94,681,136,3565,3110,1075,2960,1230,910,3770,3440,1315,2105,535,740,10,east willowdale,8,3.513788760923071,2.276744717544831,5,6,41,1,3,30,74,3,0,0,0
300,300,east willowdale,979,311 holmes avenue,43.782536,-79.392457,POINT (629353.9463653744 4848975.905821638),3388000,6,8,1159,232,7,1,471,94,681,136,3565,3110,1075,2960,1230,910,3770,3440,1315,2105,535,740,10,east willowdale,8,3.513788760923071,2.276744717544831,5,6,41,1,13,31,61,12,0,1,0
301,301,east willowdale,1032,136 church ave s,43.77592,-79.405591,POINT (628311.2365658161 4848220.656739928),2688000,4,5,1159,232,7,1,471,94,681,136,3565,3110,1075,2960,1230,910,3770,3440,1315,2105,535,740,10,east willowdale,8,3.513788760923071,2.276744717544831,5,6,41,1,6,65,249,6,0,0,0
302,302,east willowdale,1035,83 norton ave,43.772769,-79.408839,POINT (628056.5747213814 4847865.661033276),2988000,9,7,1159,232,7,1,471,94,681,136,3565,3110,1075,2960,1230,910,3770,3440,1315,2105,535,740,10,east willowdale,8,3.513788760923071,2.276744717544831,5,6,41,1,2,139,300,0,0,2,0
303,303,east willowdale,1112,ph704 - 399 spring garden ave,43.76867,-79.389623,POINT (629611.9466913708 4847440.305934167),1188000,3,2,1159,232,7,1,471,94,681,136,3565,3110,1075,2960,1230,910,3770,3440,1315,2105,535,740,10,east willowdale,8,3.513788760923071,2.276744717544831,5,6,41,1,23,42,87,12,8,2,1
304,304,edenbridge humber valley,27,25 finchley rd,43.657715,-79.526342,POINT (618827.0573395605 4834912.272211288),3450000,4,4,791,158,7,1,346,69,438,88,3105,3300,1470,3685,1170,1520,3375,3870,1440,2770,610,1245,145,edenbridge-humber valley,7,5.511634741242123,1.270040619277767,11,6,56,2,9,53,139,9,0,0,0
305,305,edenbridge humber valley,81,30 anglesey blvd #g2,43.663784,-79.522679,POINT (619110.42031295 4835591.566339187),1075000,2,2,791,158,7,1,346,69,438,88,3105,3300,1470,3685,1170,1520,3375,3870,1440,2770,610,1245,145,edenbridge-humber valley,7,5.511634741242123,1.270040619277767,11,6,56,2,13,32,78,10,2,0,1
306,306,edenbridge humber valley,138,7 ashley park rd,43.662619,-79.516617,POINT (619601.4926112493 4835470.899361584),9495000,7,7,791,158,7,1,346,69,438,88,3105,3300,1470,3685,1170,1520,3375,3870,1440,2770,610,1245,145,edenbridge-humber valley,7,5.511634741242123,1.270040619277767,11,6,56,2,14,33,57,7,5,0,2
307,307,edenbridge humber valley,223,17 strath humber ct,43.661667,-79.515797,POINT (619669.4992778308 4835366.349817023),2289000,6,5,791,158,7,1,346,69,438,88,3105,3300,1470,3685,1170,1520,3375,3870,1440,2770,610,1245,145,edenbridge-humber valley,7,5.511634741242123,1.270040619277767,11,6,56,2,16,37,57,8,6,0,2
308,308,edenbridge humber valley,327,15 edenbrook hl,43.671624,-79.524004,POINT (618988.097332386 4836460.399845462),7750000,5,7,791,158,7,1,346,69,438,88,3105,3300,1470,3685,1170,1520,3375,3870,1440,2770,610,1245,145,edenbridge-humber valley,7,5.511634741242123,1.270040619277767,11,6,56,2,5,19,58,5,0,0,0
309,309,edenbridge humber valley,446,43 edenvale cres,43.680741,-79.52895,POINT (618571.41130631 4837465.880688225),4745000,4,4,791,158,7,1,346,69,438,88,3105,3300,1470,3685,1170,1520,3375,3870,1440,2770,610,1245,145,edenbridge-humber valley,7,5.511634741242123,1.270040619277767,11,6,56,2,12,30,72,12,0,0,0
310,310,edenbridge humber valley,574,91 valecrest dr,43.675971,-79.520516,POINT (619260.6750694034 4836948.201302675),10499000,5,8,791,158,7,1,346,69,438,88,3105,3300,1470,3685,1170,1520,3375,3870,1440,2770,610,1245,145,edenbridge-humber valley,7,5.511634741242123,1.270040619277767,11,6,56,2,7,21,64,6,0,1,0
311,311,eglinton east,16,37 pringdale gardens cir,43.742145,-79.24373,POINT (641416.8187587748 4844733.029935772),899900,5,4,1988,398,43,9,1086,217,859,172,6055,6610,1750,1530,500,120,6685,6940,1580,715,160,90,24,eglinton east,5,3.2232702562293825,1.5512196007569827,18,7,52,2,9,61,106,8,0,1,0
312,312,eglinton east,201,1346 danforth rd #901,43.743558,-79.244826,POINT (641325.2413363069 4844888.09444868),475000,2,1,1988,398,43,9,1086,217,859,172,6055,6610,1750,1530,500,120,6685,6940,1580,715,160,90,24,eglinton east,5,3.2232702562293825,1.5512196007569827,18,7,52,2,9,56,114,9,0,0,0
313,313,eglinton east,784,1304 - 330 mccowan rd,43.737512,-79.238359,POINT (641860.2454062847 4844227.648820811),559000,3,2,1988,398,43,9,1086,217,859,172,6055,6610,1750,1530,500,120,6685,6940,1580,715,160,90,24,eglinton east,5,3.2232702562293825,1.5512196007569827,18,7,52,2,13,42,104,9,4,0,0
314,314,eglinton east,830,54-175 trudelle street,43.741138,-79.237028,POINT (641958.8582831586 4844632.650951996),800000,4,4,1988,398,43,9,1086,217,859,172,6055,6610,1750,1530,500,120,6685,6940,1580,715,160,90,24,eglinton east,5,3.2232702562293825,1.5512196007569827,18,7,52,2,13,39,89,7,3,2,1
315,315,eglinton east,1113,8 chipper cres,43.73989,-79.259144,POINT (640180.9143833168 4844456.378500566),998800,5,2,1988,398,43,9,1086,217,859,172,6055,6610,1750,1530,500,120,6685,6940,1580,715,160,90,24,eglinton east,5,3.2232702562293825,1.5512196007569827,18,7,52,2,7,49,143,6,1,0,0
316,316,elms old rexdale,11,3 chilcot ave,43.713267,-79.551602,POINT (616682.4648824015 4841046.199499071),798000,4,2,915,183,21,4,401,80,493,99,2465,2655,735,775,275,65,2690,2820,725,385,85,45,149,elms-old rexdale,5,2.931074834336193,1.705858868367092,7,7,29,1,13,42,81,5,6,1,1
317,317,elms old rexdale,34,56 grierson rd,43.715143,-79.545919,POINT (617136.6338828751 4841262.571455654),799000,3,2,915,183,21,4,401,80,493,99,2465,2655,735,775,275,65,2690,2820,725,385,85,45,149,elms-old rexdale,5,2.931074834336193,1.705858868367092,7,7,29,1,1,20,95,0,0,1,0
318,318,elms old rexdale,689,2476  islington ave,43.728461,-79.56107,POINT (615890.4206137486 4842720.421330063),1100000,6,4,915,183,21,4,401,80,493,99,2465,2655,735,775,275,65,2690,2820,725,385,85,45,149,elms-old rexdale,5,2.931074834336193,1.705858868367092,7,7,29,1,7,55,132,6,0,1,0
319,319,elms old rexdale,823,110 allenby ave,43.713629,-79.544542,POINT (617250.5146932966 4841096.367656306),1399000,6,5,915,183,21,4,401,80,493,99,2465,2655,735,775,275,65,2690,2820,725,385,85,45,149,elms-old rexdale,5,2.931074834336193,1.705858868367092,7,7,29,1,0,14,91,0,0,0,0
320,320,elms old rexdale,1090,36 boniface avenue,43.713563,-79.548718,POINT (616914.2251961074 4841083.138442287),879900,3,2,915,183,21,4,401,80,493,99,2465,2655,735,775,275,65,2690,2820,725,385,85,45,149,elms-old rexdale,5,2.931074834336193,1.705858868367092,7,7,29,1,1,35,79,0,0,1,0
321,321,englemount lawrence,192,88 turtle island rd #5,43.722474,-79.444115,POINT (625322.4610465649 4842225.701717722),899500,3,3,1112,222,29,6,567,113,516,103,4665,5070,1650,2995,1055,985,5090,5465,1545,2220,395,925,120,englemount-lawrence,5,3.4781206273845258,1.4375579618007372,11,20,82,3,20,112,216,19,0,1,0
322,322,englemount lawrence,245,55 lynnhaven rd,43.721312,-79.439612,POINT (625687.5991738861 4842103.464796701),3269999,6,2,1112,222,29,6,567,113,516,103,4665,5070,1650,2995,1055,985,5090,5465,1545,2220,395,925,120,englemount-lawrence,5,3.4781206273845258,1.4375579618007372,11,20,82,3,16,65,211,16,0,0,0
323,323,englemount lawrence,305,130 neptune dr #607,43.730295,-79.441115,POINT (625547.7643910463 4843098.877633311),539333,3,2,1112,222,29,6,567,113,516,103,4665,5070,1650,2995,1055,985,5090,5465,1545,2220,395,925,120,englemount-lawrence,5,3.4781206273845258,1.4375579618007372,11,20,82,3,17,68,197,15,0,2,0
324,324,englemount lawrence,505,106 varna dr #townhouse 10,43.723122,-79.445784,POINT (625186.6764933942 4842295.148695927),729000,2,3,1112,222,29,6,567,113,516,103,4665,5070,1650,2995,1055,985,5090,5465,1545,2220,395,925,120,englemount-lawrence,5,3.4781206273845258,1.4375579618007372,11,20,82,3,34,112,218,30,3,1,0
325,325,englemount lawrence,685,136 regina ave,43.725842,-79.442193,POINT (625470.2426588156 4842602.674905164),1649900,5,2,1112,222,29,6,567,113,516,103,4665,5070,1650,2995,1055,985,5090,5465,1545,2220,395,925,120,englemount-lawrence,5,3.4781206273845258,1.4375579618007372,11,20,82,3,20,65,221,18,0,2,0
326,326,eringate centennial west deane,47,43 millburn dr,43.663271,-79.56261,POINT (615891.9059582427 4835478.034354107),2699000,7,5,976,195,9,2,325,65,642,128,4035,4370,1990,3555,1540,570,4315,5110,2155,2305,550,405,143,eringate-centennial-west deane,5,8.645659560957586,0.5783248767484669,14,20,76,2,0,23,60,0,0,0,0
327,327,eringate centennial west deane,499,335 mill rd #703,43.639973,-79.584581,POINT (614164.5806400944 4832860.037522259),450000,2,2,976,195,9,2,325,65,642,128,4035,4370,1990,3555,1540,570,4315,5110,2155,2305,550,405,143,eringate-centennial-west deane,5,8.645659560957586,0.5783248767484669,14,20,76,2,7,30,70,7,0,0,0
328,328,eringate centennial west deane,611,76 dalegrove cres,43.672876,-79.566173,POINT (615586.1928415819 4836539.82385923),2249888,9,5,976,195,9,2,325,65,642,128,4035,4370,1990,3555,1540,570,4315,5110,2155,2305,550,405,143,eringate-centennial-west deane,5,8.645659560957586,0.5783248767484669,14,20,76,2,10,37,70,10,0,0,0
329,329,eringate centennial west deane,686,36 summerfield cres,43.660051,-79.572874,POINT (615070.4993580909 4835106.12467217),1100000,4,2,976,195,9,2,325,65,642,128,4035,4370,1990,3555,1540,570,4315,5110,2155,2305,550,405,143,eringate-centennial-west deane,5,8.645659560957586,0.5783248767484669,14,20,76,2,5,44,83,5,0,0,0
330,330,eringate centennial west deane,867,1009 - 714 the west mall w,43.655688,-79.57154,POINT (615186.404334555 4834623.4084943),573900,3,2,976,195,9,2,325,65,642,128,4035,4370,1990,3555,1540,570,4315,5110,2155,2305,550,405,143,eringate-centennial-west deane,5,8.645659560957586,0.5783248767484669,14,20,76,2,12,38,95,10,2,0,0
331,331,etobicoke city centre,167,17 zorra st #701,43.621292,-79.52083,POINT (619343.6092361558 4830874.946790387),469900,1,1,3158,632,18,4,1267,253,1873,375,4990,6220,2830,4640,1915,725,5435,7530,2960,2705,580,540,46,etobicoke city centre,14,10.134657600122027,1.381398420389795,122,34,185,12,22,63,121,6,15,0,1
332,332,etobicoke city centre,311,5 mabelle ave #2328,43.646719,-79.525449,POINT (618920.7659668173 4833692.304356069),749000,3,2,3158,632,18,4,1267,253,1873,375,4990,6220,2830,4640,1915,725,5435,7530,2960,2705,580,540,46,etobicoke city centre,14,10.134657600122027,1.381398420389795,122,34,185,12,58,116,181,30,25,1,2
333,333,etobicoke city centre,349,235 sherway gardens rd #2010,43.609301,-79.559016,POINT (616285.7397036303 4829489.018594653),650000,2,2,3158,632,18,4,1267,253,1873,375,4990,6220,2830,4640,1915,725,5435,7530,2960,2705,580,540,46,etobicoke city centre,14,10.134657600122027,1.381398420389795,122,34,185,12,47,73,111,16,30,1,0
334,334,etobicoke city centre,421,30 fieldway rd #98,43.642292,-79.528276,POINT (618701.4889989163 4833196.582414749),699900,2,2,3158,632,18,4,1267,253,1873,375,4990,6220,2830,4640,1915,725,5435,7530,2960,2705,580,540,46,etobicoke city centre,14,10.134657600122027,1.381398420389795,122,34,185,12,14,116,213,14,0,0,0
335,335,etobicoke city centre,457,1195 the queensway e #102,43.621626,-79.522481,POINT (619209.7405768933 4830909.66966141),399999,1,1,3158,632,18,4,1267,253,1873,375,4990,6220,2830,4640,1915,725,5435,7530,2960,2705,580,540,46,etobicoke city centre,14,10.134657600122027,1.381398420389795,122,34,185,12,25,62,116,10,14,0,1
336,336,etobicoke city centre,602,53 lynnford dr,43.633447,-79.553653,POINT (616671.8149739562 4832178.251129105),1179000,4,2,3158,632,18,4,1267,253,1873,375,4990,6220,2830,4640,1915,725,5435,7530,2960,2705,580,540,46,etobicoke city centre,14,10.134657600122027,1.381398420389795,122,34,185,12,20,54,105,7,9,2,2
337,337,etobicoke city centre,664,9 michael power pl e #615,43.644663,-79.529405,POINT (618605.7629222401 4833458.297886485),499000,1,1,3158,632,18,4,1267,253,1873,375,4990,6220,2830,4640,1915,725,5435,7530,2960,2705,580,540,46,etobicoke city centre,14,10.134657600122027,1.381398420389795,122,34,185,12,41,119,217,22,18,1,0
338,338,etobicoke city centre,688,1233 - 35 viking lane,43.639707,-79.535225,POINT (618146.0814155061 4832899.569965445),697800,2,2,3158,632,18,4,1267,253,1873,375,4990,6220,2830,4640,1915,725,5435,7530,2960,2705,580,540,46,etobicoke city centre,14,10.134657600122027,1.381398420389795,122,34,185,12,51,119,200,32,15,0,4
339,339,etobicoke city centre,708,8 - 275 van dusen boulevard,43.63981,-79.529475,POINT (618609.6672562514 4832919.210719948),1099000,3,2,3158,632,18,4,1267,253,1873,375,4990,6220,2830,4640,1915,725,5435,7530,2960,2705,580,540,46,etobicoke city centre,14,10.134657600122027,1.381398420389795,122,34,185,12,9,105,223,8,1,0,0
340,340,etobicoke city centre,789,1202 islington ave,43.643159,-79.523086,POINT (619118.3770923788 4833300.310017621),1199000,3,2,3158,632,18,4,1267,253,1873,375,4990,6220,2830,4640,1915,725,5435,7530,2960,2705,580,540,46,etobicoke city centre,14,10.134657600122027,1.381398420389795,122,34,185,12,38,95,186,19,18,0,1
341,341,etobicoke city centre,954,2405 - 36 zorra st,43.619778,-79.521779,POINT (619270.0342848753 4830705.434761332),600000,3,2,3158,632,18,4,1267,253,1873,375,4990,6220,2830,4640,1915,725,5435,7530,2960,2705,580,540,46,etobicoke city centre,14,10.134657600122027,1.381398420389795,122,34,185,12,23,61,124,8,14,0,1
342,342,etobicoke city centre,1008,412 - 17 zorra st,43.621925,-79.522357,POINT (619219.154266285 4830943.055347401),475000,1,1,3158,632,18,4,1267,253,1873,375,4990,6220,2830,4640,1915,725,5435,7530,2960,2705,580,540,46,etobicoke city centre,14,10.134657600122027,1.381398420389795,122,34,185,12,24,63,115,9,14,0,1
343,343,etobicoke city centre,1081,317 - 1 michael power pl,43.644648,-79.530789,POINT (618494.1697112592 4833454.654880302),479000,2,1,3158,632,18,4,1267,253,1873,375,4990,6220,2830,4640,1915,725,5435,7530,2960,2705,580,540,46,etobicoke city centre,14,10.134657600122027,1.381398420389795,122,34,185,12,32,123,223,14,17,1,0
344,344,etobicoke city centre,1095,209 - 17 zorra st,43.621925,-79.522357,POINT (619219.154266285 4830943.055347401),629000,2,2,3158,632,18,4,1267,253,1873,375,4990,6220,2830,4640,1915,725,5435,7530,2960,2705,580,540,46,etobicoke city centre,14,10.134657600122027,1.381398420389795,122,34,185,12,24,63,115,9,14,0,1
345,345,etobicoke west mall,268,21 groverdale rd,43.650171,-79.575026,POINT (614915.8246446472 4834005.84171547),1275000,3,2,790,158,12,2,374,75,404,81,2835,3315,1305,1355,605,185,3090,3740,1130,820,225,115,141,etobicoke west mall,3,1.7964048890979945,1.6700021349342635,6,2,32,0,9,49,113,6,2,1,0
346,346,etobicoke west mall,428,10 eva rd #601,43.641355,-79.562771,POINT (615921.083432948 4833043.757657346),680000,3,2,790,158,12,2,374,75,404,81,2835,3315,1305,1355,605,185,3090,3740,1130,820,225,115,141,etobicoke west mall,3,1.7964048890979945,1.6700021349342635,6,2,32,0,11,65,102,8,3,0,0
347,347,etobicoke west mall,947,1205 - 6 eva rd,43.639707,-79.563077,POINT (615899.5713013066 4832860.299200725),509000,1,1,790,158,12,2,374,75,404,81,2835,3315,1305,1355,605,185,3090,3740,1130,820,225,115,141,etobicoke west mall,3,1.7964048890979945,1.6700021349342635,6,2,32,0,14,65,114,10,3,1,0
348,348,fenside parkwoods,328,10 deerlick ct #518,43.759433,-79.332085,POINT (634263.6308011687 4846506.076129392),599990,2,2,1069,214,14,3,582,116,473,95,5150,5705,1820,2290,1000,270,5600,6275,1745,1325,290,210,12,fenside-parkwoods,4,3.315510775525804,1.206450610725475,5,10,51,1,8,46,102,8,0,0,0
349,349,fenside parkwoods,598,70 pynford cres,43.758039,-79.318002,POINT (635400.4392290849 4846374.181057225),1029888,6,2,1069,214,14,3,582,116,473,95,5150,5705,1820,2290,1000,270,5600,6275,1745,1325,290,210,12,fenside-parkwoods,4,3.315510775525804,1.206450610725475,5,10,51,1,16,73,105,12,2,2,0
350,350,fenside parkwoods,768,301 - 1350 york mills rd,43.763222,-79.319141,POINT (635297.0649795906 4846947.970643077),549900,2,1,1069,214,14,3,582,116,473,95,5150,5705,1820,2290,1000,270,5600,6275,1745,1325,290,210,12,fenside-parkwoods,4,3.315510775525804,1.206450610725475,5,10,51,1,15,55,134,11,0,4,0
