street address,neighbourhood,latitude,longitude,price,bedrooms,bathrooms,geometry,total_crimes (2020-2024),average_total_crime (per_year),total_severe_crimes (2020-2024),average_severe_crimes (per_year),total_moderate_crimes (2020-2024),average_moderate_crimes (per_year),total_minor_crimes (2020-2024),average_minor_crimes (per_year),class 6g,class 5g,class 4g,class 3g,class 2g,class 1g,class 6g_t,class 5g_t,class 4g_t,class 3g_t,class 2g_t,class 1g_t,hospital_best_buffer_area_0.5_values,railway station_best_buffer_area_1.5_values,school_best_buffer_area_1.5_values,supermarket_best_buffer_area_1.5_values,bus stop_best_buffer_area_1.5_values,pub_best_buffer_area_1.5_values,restaurant_best_buffer_area_1.5_values,cafe_best_buffer_area_1.5_values,dentist_best_buffer_area_0.5_values,fast food_best_buffer_area_1.5_values,kindergartens_best_buffer_area_0.5_values,malls_best_buffer_area_0.5_values,play ground_best_buffer_area_0.5_values,post office_best_buffer_area_1.5_values
33 smithe st #802,downtown,49.274436,-123.11196,1449000,2,2.0,point (-123.11196 49.274436),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,10,24,14,155,41,277,159,0,129,0,0,0,8
1283 howe st #2009,downtown,49.277218,-123.128625,555000,1,1.0,point (-123.128625 49.277218),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,3,14,19,124,21,281,127,0,108,0,0,0,12
1492 hornby st,downtown,49.275736,-123.131665,1659000,3,3.0,point (-123.131665 49.275736),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,1,8,13,103,18,238,100,0,80,0,0,0,8
788 richards st #1108,downtown,49.280305,-123.117196,1190000,3,2.0,point (-123.117196 49.280305),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,8,29,16,158,36,315,184,0,152,0,0,0,12
128 cordova st w #706,downtown,49.282525,-123.107958,899900,2,2.0,point (-123.107958 49.282525),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,9,22,12,138,33,204,136,0,112,0,0,0,8
161 georgia st w #110,downtown,49.278805,-123.111556,1099000,2,2.0,point (-123.111556 49.278805),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,10,24,15,155,43,281,168,0,134,0,0,0,9
939 homer st #3401,downtown,49.278115,-123.119485,2499000,3,4.0,point (-123.119485 49.278115),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,9,30,19,163,32,321,189,0,161,0,0,0,12
55 cordova st e #315,downtown,49.282595,-123.102962,738000,1,1.0,point (-123.102962 49.282595),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,7,18,8,138,30,138,95,0,84,0,0,0,6
1189 melville st #2104,downtown,49.287784,-123.123458,827000,1,1.0,point (-123.123458 49.287784),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,7,25,21,134,27,340,172,0,128,0,0,0,13
277 thurlow st #2601,downtown,49.288884,-123.11914,9988000,3,4.0,point (-123.11914 49.288884),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,6,29,10,120,25,245,154,0,104,0,0,0,9
128 cordova st w #4004,downtown,49.282525,-123.107958,699000,1,1.0,point (-123.107958 49.282525),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,9,22,12,138,33,204,136,0,112,0,0,0,8
33 w pender st #504,downtown,49.281126,-123.106294,650000,1,1.0,point (-123.106294 49.281126),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,8,21,11,165,33,193,127,0,102,0,0,0,7
885 cambie st #2104,downtown,49.277518,-123.116547,2438000,3,3.0,point (-123.116547 49.277518),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,9,29,18,164,38,309,185,0,148,0,0,0,11
1777 bayshore dr #1101,downtown,49.292959,-123.132023,2899900,3,3.0,point (-123.132023 49.292959),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,0,5,12,62,6,190,66,0,43,0,0,0,9
49 cordova st e,downtown,49.282152,-123.103059,1049000,1,2.0,point (-123.103059 49.282152),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,7,18,8,141,30,145,100,0,85,0,0,0,6
1188 richards st #402,downtown,49.27599,-123.123515,499900,1,1.0,point (-123.123515 49.27599),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,5,27,17,147,26,323,162,0,122,0,0,0,12
1188 howe st #607,downtown,49.278315,-123.12697,789000,2,2.0,point (-123.12697 49.278315),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,4,23,19,139,23,310,143,0,115,0,0,0,13
1111 richards st #2705,downtown,49.277007,-123.123204,2999000,3,3.0,point (-123.123204 49.277007),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,6,28,18,147,27,308,162,0,129,0,0,0,12
1239 georgia st w #2803,downtown,49.287732,-123.125626,2199000,4,4.0,point (-123.125626 49.287732),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,4,22,23,131,24,339,159,0,117,0,0,0,14
1000 beach ave #704,downtown,49.275624,-123.134213,1498000,2,2.0,point (-123.134213 49.275624),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,1,7,12,102,16,209,88,0,73,0,0,0,6
1283 howe st #3208,downtown,49.277218,-123.128625,1078000,2,2.0,point (-123.128625 49.277218),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,3,14,19,124,21,281,127,0,108,0,0,0,12
1499 w pender st #1303,downtown,49.289964,-123.128049,1638000,2,3.0,point (-123.128049 49.289964),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,2,9,18,111,18,289,126,0,90,0,0,0,12
499 broughton st #1703,downtown,49.29059,-123.127174,1688000,2,2.0,point (-123.127174 49.29059),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,3,10,17,109,18,271,123,0,87,0,0,0,12
910 beach ave #503,downtown,49.275321,-123.133399,525000,0,1.0,point (-123.133399 49.275321),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,1,7,13,100,17,210,91,0,74,0,0,0,8
1616 bayshore dr #202,downtown,49.291509,-123.13015,1688000,2,2.0,point (-123.13015 49.291509),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,1,7,14,81,10,225,90,0,55,0,0,0,10
1283 howe st #3405,downtown,49.277218,-123.128625,689000,1,1.0,point (-123.128625 49.277218),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,3,14,19,124,21,281,127,0,108,0,0,0,12
168 powell st #302,downtown,49.282968,-123.100636,468000,1,1.0,point (-123.100636 49.282968),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,6,7,7,124,25,111,71,0,67,0,0,0,3
289 drake st #1405,downtown,49.273825,-123.123708,1458000,3,2.0,point (-123.123708 49.273825),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,5,23,17,136,23,306,136,0,114,0,0,0,12
1189 howe st #2703,downtown,49.278315,-123.12697,1199000,3,2.0,point (-123.12697 49.278315),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,4,23,19,139,23,310,143,0,115,0,0,0,13
1289 hornby st #3610,downtown,49.277771,-123.129738,2560000,2,3.0,point (-123.129738 49.277771),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,3,11,17,124,20,272,118,0,101,0,0,0,11
1199 marinaside cres #3203,downtown,49.273129,-123.120638,1290000,2,2.0,point (-123.120638 49.273129),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,7,27,19,149,23,290,139,0,110,0,0,0,12
1487 homer st,downtown,49.272027,-123.126813,2790000,3,3.0,point (-123.126813 49.272027),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,3,14,12,119,18,257,105,0,91,0,0,0,8
689 abbott st #3703,downtown,49.278704,-123.106873,2338000,3,3.0,point (-123.106873 49.278704),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,8,22,11,165,37,202,131,0,104,0,0,0,7
1600 hornby st #203,downtown,49.273984,-123.134119,2688000,3,3.0,point (-123.134119 49.273984),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,1,7,12,97,14,179,77,0,66,0,0,0,6
168 powell st #501,downtown,49.282968,-123.100636,699000,2,1.0,point (-123.100636 49.282968),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,6,7,7,124,25,111,71,0,67,0,0,0,3
1330 burrard st #217,downtown,49.277302,-123.13129,470000,1,1.0,point (-123.13129 49.277302),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,2,9,17,114,19,259,110,0,86,0,0,0,10
1182 quebec st #11,downtown,49.27411,-123.101233,1689000,2,3.0,point (-123.101233 49.27411),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,3,5,10,140,30,148,77,0,54,0,0,0,4
601 jervis st,downtown,49.288547,-123.125844,1349000,2,3.0,point (-123.125844 49.288547),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,4,21,20,126,22,309,151,0,104,0,0,0,14
833 seymour st #607,downtown,49.280497,-123.119756,699900,1,1.0,point (-123.119756 49.280497),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,8,30,20,162,33,323,187,0,164,0,0,0,13
1480 howe st #5601,downtown,49.274891,-123.131173,7980000,3,4.0,point (-123.131173 49.274891),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,1,11,13,103,18,234,101,0,79,0,0,0,8
1372 seymour st #4102,downtown,49.27459,-123.127563,3399888,4,4.0,point (-123.127563 49.27459),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,2,16,13,123,19,279,126,0,103,0,0,0,9
1288 georgia st w penthouse 5,downtown,49.288097,-123.126151,1799000,2,1.0,point (-123.126151 49.288097),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,4,21,21,128,22,320,151,0,103,0,0,0,14
1283 howe st #2504,downtown,49.277218,-123.128625,999000,3,2.0,point (-123.128625 49.277218),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,3,14,19,124,21,281,127,0,108,0,0,0,12
1500 hornby st #1805,downtown,49.275736,-123.131665,1688000,2,2.0,point (-123.131665 49.275736),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,1,8,13,103,18,238,100,0,80,0,0,0,8
1211 melville st #2404,downtown,49.288385,-123.124397,1685000,3,3.0,point (-123.124397 49.288385),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,6,23,19,128,24,329,166,0,124,0,0,0,12
1199 marinaside cres unit 3002,downtown,49.273129,-123.120638,1999000,2,2.0,point (-123.120638 49.273129),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,7,27,19,149,23,290,139,0,110,0,0,0,12
667 howe st #4601,downtown,49.283705,-123.119032,8900000,4,5.0,point (-123.119032 49.283705),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595,0,8,30,18,159,32,321,187,0,160,0,0,0,13
