Street,City,Province,Zip,Price,Bedrooms,Bathrooms,Square Footage
1483 King Edward Ave E #1056, Vancouver,BC,V5N5Z3,"C$899,900",2 bds,2 ba,916 sqft
1270 Robson St #507, Vancouver,BC,V6E3Z6,"C$499,000",1 bd,1 ba,589 sqft
3625 Monmouth Ave, Vancouver,BC,V5R5S4,"C$1,698,000",4 bds,2 ba,"1,480 sqft"
560 Cardero St #603, Vancouver,BC,V6G3E9,"C$1,050,000",1 bd,1ba,710 sqft
939 Homer St #2402, Vancouver,BC,V6B2W6,"C$698,000",2 bds,1 ba,770 sqft
488 Helmcken St UNIT 605, Vancouver,BC,V6B6E4,"C$775,000",2 bds,2 ba,875 sqft
2612 Balaclava St, Vancouver,BC,V6K4E2,"C$3,298,000",3 bds,3 ba,"1,682 sqft"
1425 Lameys Mill Rd #10, Vancouver,BC,V6H3W2,"C$999,999",2 bds,2 ba,"1,340 sqft"
453 E 47th Ave, Vancouver,BC,V5W2B3,"C$1,828,000",2 bds,2 ba,"1,876 sqft"
583 Beach Cres #2903, Vancouver,BC,V6Z3E6,"C$2,098,000",2 bds,2 ba,"1,245 sqft"
610 Granville St #811, Vancouver,BC,V6C3T3,"C$499,000",Studio,1 ba,420 sqft
540 E 11th Ave, Vancouver,BC,V5T2C4,"C$1,198,000",2 bds,1 ba,871 sqft
1201 Marinaside Cres #1602, Vancouver,BC,V6Z2V2,"C$1,398,000",2 bds,2 ba,"1,018 sqft"
2850 Mackenzie St, Vancouver,BC,V6K4A2,"C$2,298,000",3 bds,4 ba,"1,555 sqft"
1332 W 51st Ave, Vancouver,BC,V6P1C7,"C$6,480,000",5 bds,7 ba,"4,883 sqft"
8988 Hudson St #116, Vancouver,BC,V6P6Z1,"C$465,000",1 bd,1 ba,465 sqft
445 E 57th Ave #2, Vancouver,BC,V5X1S8,"C$1,478,000",5 bds,4 ba,"1,599 sqft"
8555 Granville St #2108, Vancouver,BC,V6P0C3,"C$1,068,000",2 bds,2 ba,911 sqft
555 Abbott St #312, Vancouver,BC,V6B6B8,"C$999,000",3 bds,1 ba,986 sqft
1465 Walnut St, Vancouver,BC,V6J3R2,"C$1,580,000",2 bds,2 ba,"1,217 sqft"
4422 Quesnel Dr, Vancouver,BC,V6L2X6,"C$8,680,000",5 bds,6 ba,"4,409 sqft"
7450 Balaclava St, Vancouver,BC,V6N1M8,"C$3,875,000",3 bds,3 ba,"2,053 sqft"
277 Thurlow St #3001, Vancouver,BC,V6C0C1,"C$13,800,000",3 bds,4 ba,"3,327 sqft"
4053 W 32nd Ave, Vancouver,BC,V6S1Z5,"C$2,769,000",6 bds,4 ba,"2,408 sqft"
168 Powell St #515, Vancouver,BC,V6A0B2,"C$399,888",1 bd,1 ba,566 sqft
209 E 7th Ave #501, Vancouver,BC,V5T0H3,"C$1,425,000",3 bds,2 ba,"1,327 sqft"
2453 W 10th Ave, Vancouver,BC,V6K2K7,"C$3,498,000",5 bds,4 ba,"2,327 sqft"
2600 E 49th Ave #112, Vancouver,BC,V5S1J8,"C$529,999",2 bds,1 ba,882 sqft
1101 W 8th Ave #11, Vancouver,BC,V6H1C5,"C$599,000",1 bd,1 ba,607 sqft
2419 Grant St #201, Vancouver,BC,V6A2J6,"C$1,285,900",3 bds,2 ba,"1,167 sqft"
2236 E 34th Ave, Vancouver,BC,V5P1B1,"C$1,988,000",7 bds,4 ba,"2,663 sqft"
1288 Marinaside Cres #609, Vancouver,BC,V6Z2W5,"C$1,198,000",2 bds,2 ba,"1,069 sqft"
888 Bute St #101, Vancouver,BC,V6E1Y5,"C$988,000",2 bds,2 ba,"1,063 sqft"
1915 W 13th Ave, Vancouver,BC,V6J2H5,"C$2,399,000",3 bds,3 ba,"2,020 sqft"
3623 Yale St, Vancouver,BC,V5K1B8,"C$1,976,000",6 bds,5 ba,"2,175 sqft"
3437 E 49th Ave #80, Vancouver,BC,V5S1M1,"C$869,000",3 bds,1 ba,"1,380 sqft"
428 Beach Cres #2802, Vancouver,BC,V6Z3G1,"C$7,598,000",3 bds,4 ba,"2,948 sqft"
1019 Gilford St #8, Vancouver,BC,V6G2P1,"C$1,075,000",2 bds,2 ba,"1,177 sqft"
7428 Alberta St #304, Vancouver,BC,V5X0J5,"C$1,498,000",2 bds,2 ba,"1,069 sqft"
3542 W 16th Ave, Vancouver,BC,V6R3C1,"C$2,498,000",5 bds,2 ba,"2,037 sqft"
275 E 65th Ave, Vancouver,BC,V5X2P3,"C$1,999,900",4 bds,4 ba,"2,259 sqft"
183 Keefer Pl #1004, Vancouver,BC,V6B6B9,"C$1,100,000",3 bds,2 ba,"1,207 sqft"
2889 E 1st Ave #215, Vancouver,BC,V5M0G2,"C$729,000",2 bds,2 ba,825 sqft
1372 Seymour St #2701, Vancouver,BC,V6B0L1,"C$1,688,000",2 bds,2 ba,"1,196 sqft"
53 Hastings St W #306, Vancouver,BC,V6B1G4,"C$499,900",1 bd,1 ba,764 sqft
583 Beach Cres #3006, Vancouver,BC,V6Z3E6,"C$1,599,000",2 bds,2 ba,"1,065 sqft"
2768 E 25th Ave, Vancouver,BC,V5R1H7,"C$2,998,000",7 bds,7 ba,"3,191 sqft"
845 W 67th Ave, Vancouver,BC,V6P2S5,"C$1,499,000",3 bds,3 ba,"1,068 sqft"
3290 Cypress St, Vancouver,BC,V6J3N6,"C$5,498,000",4 bds,4 ba,"4,599 sqft"
885 Cambie St #2103, Vancouver,BC,V6B0R6,"C$1,838,000",2 bds,2 ba,"1,008 sqft"
4900 Cartier St #306, Vancouver,BC,V6M4H2,"C$3,298,000",2 bds,3 ba,"2,000 sqft"
1415 Walnut St, Vancouver,BC,V6J3R2,"C$2,198,000",3 bds,3 ba,"1,698 sqft"
4818 Knight St, Vancouver,BC,V5N3N4,"C$1,880,000",6 bds,3 ba,"2,492 sqft"
1350 W 6th Ave #17, Vancouver,BC,V6H1A7,"C$749,000",1 bd,1 ba,840 sqft
1422 Parker St, Vancouver,BC,V5L2K1,"C$1,849,000",5 bds,3 ba,"2,380 sqft"
3363 W 19th Ave, Vancouver,BC,V6S1C1,"C$4,680,000",4 bds,5 ba,"2,560 sqft"
128 Cordova St W #303, Vancouver,BC,V6B0E6,"C$785,000",2 bds,2 ba,"1,056 sqft"
1077 Marinaside Cres #1106, Vancouver,BC,V6Z2Z5,"C$1,130,000",2 bds,2 ba,925 sqft
3987 Rupert St, Vancouver,BC,V5R2G9,"C$1,888,888",5 bds,4 ba,"2,393 sqft"
1251 Cardero St #2001, Vancouver,BC,V6G2H9,"C$424,900",1 bd,1 ba,619 sqft
2737 Oxford St, Vancouver,BC,V5L1E8,"C$2,198,888",5 bds,5 ba,"2,319 sqft"
1238 Melville St #1205, Vancouver,BC,V6E4N2,"C$868,800",2 bds,2 ba,896 sqft
3449 E 4th Ave, Vancouver,BC,V5M1M1,"C$2,788,000",7 bds,5 ba,"3,582 sqft"
1159 Main St #406, Vancouver,BC,V6A4B6,"C$839,000",2 bds,2 ba,"1,106 sqft"
2731 Duke St, Vancouver,BC,V5R4S8,"C$1,540,000",4 bds,4 ba,"2,049 sqft"
231 E Pender St #209, Vancouver,BC,V6A0G3,"C$478,000",1 bd,1 ba,490 sqft
1331 Homer St #B1201, Vancouver,BC,V6B5M5,"C$799,999",1 bd,1 ba,788 sqft
4101 Yew St #304, Vancouver,BC,V6L3B7,"C$699,900",1 bd,1 ba,785 sqft
3609 Turner St, Vancouver,BC,V5K2J2,"C$2,428,000",6 bds,6 ba,"3,156 sqft"
1205 W 7th Ave, Vancouver,BC,V6H1B7,"C$2,298,000",3 bds,2 ba,"1,852 sqft"
2550 Garden Dr #605, Vancouver,BC,V5N4X6,"C$1,499,900",3 bds,2 ba,"1,532 sqft"
1667 W 40th Ave, Vancouver,BC,V6M1W1,"C$8,280,000",4 bds,5 ba,"4,596 sqft"
2025 W 2nd Ave #201, Vancouver,BC,V6J1J6,"C$589,000",1 bd,1 ba,567 sqft
1330 Harwood St #1202, Vancouver,BC,V6E1S8,"C$509,900",2 bds,2 ba,812 sqft
3070 W 44th Ave, Vancouver,BC,V6N3K6,"C$6,480,000",5 bds,6 ba,"4,157 sqft"
1372 Seymour St UNIT 2101, Vancouver,BC,V6B0L1,"C$1,328,000",2 bds,2 ba,"1,231 sqft"
289 E 6th Ave #512, Vancouver,BC,V5T0E9,"C$629,900",1 bd,1 ba,464 sqft
1281 Cordova St W #3402, Vancouver,BC,V6C3R5,"C$6,499,000",3 bds,3 ba,"2,723 sqft"
455 SW Marine Dr #2006, Vancouver,BC,V5X2S9,"C$599,000",1 bd,1 ba,505 sqft
1188 Quebec St #402, Vancouver,BC,V6A4B3,"C$999,900",2 bds,2 ba,"1,343 sqft"
1500 Howe St #2201, Vancouver,BC,V6Z2N1,"C$1,358,000",2 bds,2 ba,"1,320 sqft"
4930 Dunbar St, Vancouver,BC,V6N1V3,"C$2,099,000",6 bds,3 ba,"2,480 sqft"
950 W 17th Ave, Vancouver,BC,V5Z1V4,"C$2,898,000",Studio,1ba,"2,315 sqft"
2550 Garden Dr #414, Vancouver,BC,V5N4X6,"C$1,149,900",2 bds,2 ba,914 sqft
1328 W Pender St #2201, Vancouver,BC,V6E4S9,"C$1,098,000",2 bds,2 ba,861 sqft
1788 Georgia St W #601, Vancouver,BC,V6G2V7,"C$1,238,000",2 bds,2 ba,"1,344 sqft"
360 E 36th Ave #213, Vancouver,BC,V5W4B9,"C$899,000",2 bds,2 ba,"1,124 sqft"
460 W 16th Ave #12, Vancouver,BC,V5Y1Z3,"C$799,000",2 bds,1 ba,773 sqft
3803 W 26th Ave, Vancouver,BC,V6S1P3,"C$7,380,000",5 bds,7 ba,"4,602 sqft"
1415 Georgia St W #2203, Vancouver,BC,V6G3C8,"C$1,998,000",2 bds,2 ba,"1,957 sqft"
1311 Beach Ave #1802, Vancouver,BC,V6E1V6,"C$2,598,000",2 bds,3 ba,"1,574 sqft"
108 Cordova St W #1401, Vancouver,BC,V6B0G5,"C$875,000",1 bd,1 ba,800 sqft
3615 Yale St, Vancouver,BC,V5K1B8,"C$2,278,000",7 bds,5 ba,"2,930 sqft"
1333 Georgia St W #809, Vancouver,BC,V6E4V3,"C$989,900",2 bds,2 ba,968 sqft
209 E 20th Ave #103, Vancouver,BC,V5V1M2,"C$819,900",1 bd,2 ba,635 sqft
3731 W 6th Ave #203, Vancouver,BC,V6R1T8,"C$438,800",Studio,1 ba,478 sqft
