,Street address,Zip/Postal Code,Latitude,Longitude,Neighbourhood,Region,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area,Railway Station in area,School in area,Supermarket in area,Bus Stop in area,Pub in area,Restaurant in area,Cafe in area,Dentist in area,Fast Food in area,Kindergartens in area,Malls in area,Play Ground in area,Parks in area,Post Office in area
27,1675 Larch St,V6K3N7,49.271174,-123.162392,Central Kitsilano / Greektown,Vancouver,2128000.0,2 bds,2 ba,"1,068 sqft",0,0,0,0,7,0,2,3,0,1,0,0,0,0,0
28,1159 Main St #505,V6A4B6,49.274261,-123.100494,Strathcona / Chinatown / Downtown Eastside,Vancouver,768000.0,2 bds,2 ba,"1,061 sqft",0,2,0,0,37,4,6,5,0,3,0,0,0,0,0
29,1128 Georgia St W #4903,V6E0A8,49.285762,-123.123947,SE West End / Davie Village,Vancouver,19988000.0,4 bds,6 ba,"7,299 sqft",0,1,5,4,26,2,62,35,0,15,0,0,0,0,2
30,138 Hastings St E #206,V6A0E6,49.281058,-123.101197,Strathcona / Chinatown / Downtown Eastside,Vancouver,359000.0,1 bd,1 ba,452 sqft,0,0,0,3,26,9,51,13,0,4,0,0,0,0,1
31,1720 Barclay St #503,V6G1K4,49.289164,-123.136778,NW West End / Stanley Park,Vancouver,395000.0,1 bd,1 ba,615 sqft,0,0,0,7,10,0,72,18,0,12,0,0,0,0,4
32,1895 E 50th Ave,V5P1V1,49.224548,-123.067534,SE Kensington-Cedar Cottage / Victoria- Fraserview,Vancouver,2780000.0,8 bds,7 ba,"2,949 sqft",0,0,0,2,14,0,9,0,0,4,0,0,0,0,0
33,1510 W 1st Ave #305,V6J4S3,49.270682,-123.146084,NW Shaughnessy / East Kitsilano / Quilchena,Vancouver,749900.0,2 bds,2 ba,"1,006 sqft",0,0,0,1,6,0,20,13,1,8,0,0,0,0,0
34,197 W King Edward Avenue St #8,V5Y4B4,49.248613,-123.109833,West Mount Pleasant / West Riley Park,Vancouver,1999900.0,3 bds,3 ba,"1,239 sqft",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
35,1784 Drummond Dr,V6T1B6,49.271896,-123.220682,UBC,Vancouver,20800000.0,7 bds,2 ba,#NAME?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1188 Howe St #2403,V6Z2S8,49.278315,-123.12697,SW Downtown,Vancouver,748000.0,2 bds,2 ba,751 sqft,0,0,5,5,28,8,63,28,0,26,0,0,0,0,2
37,1363 E 21st Ave,V5V1R7,49.251446,-123.077023,West Kensington-Cedar Cottage / NE Riley Park,Vancouver,1399900.0,3 bds,3 ba,"1,456 sqft",0,0,0,2,16,0,17,2,0,2,0,0,0,0,1
38,2795 W 37th Ave,V6N2T5,49.238765,-123.167839,West Kerrisdale / South Dunbar- Southlands / Musqueam,Vancouver,5750000.0,5 bds,7 ba,"4,059 sqft",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
39,1626 Avondale Ave,V6M1S1,49.236718,-123.141853,South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge,Vancouver,14980000.0,5 bds,8 ba,"5,125 sqft",0,0,0,0,13,0,3,1,0,0,0,0,0,0,0
40,3337 Flagstaff Pl,V5S4K9,49.211569,-123.031929,Killarney,Vancouver,985000.0,4 bds,3 ba,"1,672 sqft",0,0,0,0,9,0,1,1,0,0,0,0,0,0,0
