Street address,Neighbourhood,Latitude,Longitude,Price,Bedrooms,Bathrooms,Square Footage,Hospital in area_0.5,Railway Station in area_0.5,School in area_0.5,Supermarket in area_0.5,Bus Stop in area_0.5,Pub in area_0.5,Restaurant in area_0.5,Cafe in area_0.5,Dentist in area_0.5,Fast Food in area_0.5,Kindergartens in area_0.5,Malls in area_0.5,Play Ground in area_0.5,Parks in area_0.5,Post Office in area_0.5,Hospital in area_1.0,Railway Station in area_1.0,School in area_1.0,Supermarket in area_1.0,Bus Stop in area_1.0,Pub in area_1.0,Restaurant in area_1.0,Cafe in area_1.0,Dentist in area_1.0,Fast Food in area_1.0,Kindergartens in area_1.0,Malls in area_1.0,Play Ground in area_1.0,Parks in area_1.0,Post Office in area_1.0,Hospital in area_1.5,Railway Station in area_1.5,School in area_1.5,Supermarket in area_1.5,Bus Stop in area_1.5,Pub in area_1.5,Restaurant in area_1.5,Cafe in area_1.5,Dentist in area_1.5,Fast Food in area_1.5,Kindergartens in area_1.5,Malls in area_1.5,Play Ground in area_1.5,Parks in area_1.5,Post Office in area_1.5,geometry,Total_crimes (2020-2024),Average_total_crime (per_year),Total_severe_crimes (2020-2024),Average_severe_crimes (per_year),Total_moderate_crimes (2020-2024),Average_moderate_crimes (per_year),Total_minor_crimes (2020-2024),Average_minor_crimes (per_year),Class 6G,Class 5G,Class 4G,Class 3G,Class 2G,Class 1G,Class 6G_T,Class 5G_T,Class 4G_T,Class 3G_T,Class 2G_T,Class 1G_T
560 Cardero St #603,downtown,49.291362,-123.128679,1050000,1 bd,1ba,710 sqft,0,0,0,1,11,1,24,7,0,2,0,0,0,0,1,0,0,3,7,28,2,116,44,0,16,0,0,0,0,5,0,2,8,14,89,13,246,99,0,64,0,0,0,0,10,POINT (-123.128679 49.291362),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
939 Homer St #2402,downtown,49.278115,-123.119485,698000,2 bds,1 ba,770 sqft,0,2,6,3,19,6,82,29,0,32,0,0,0,0,3,0,4,22,11,96,18,196,104,0,84,0,0,0,0,8,0,9,30,19,163,32,321,189,1,161,0,0,0,0,12,POINT (-123.119485 49.278115),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
488 Helmcken St UNIT 605,downtown,49.276526,-123.122747,775000,2 bds,2 ba,875 sqft,0,1,1,4,21,9,84,26,0,28,0,0,0,0,3,0,2,12,10,78,15,178,79,0,74,0,0,0,0,6,0,6,28,18,150,27,321,168,1,135,0,0,0,0,11,POINT (-123.122747 49.276526),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
583 Beach Cres #2903,downtown,49.273589,-123.129221,2098000,2 bds,2 ba,"1,245 sqft",0,0,1,3,11,2,14,7,0,5,0,0,0,0,2,0,1,4,7,51,12,120,43,0,53,0,0,0,0,5,1,2,11,13,110,19,252,107,1,89,0,0,0,0,7,POINT (-123.129221 49.273589),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
610 Granville St #811,downtown,49.28312,-123.116554,499000,0,1 ba,420 sqft,0,4,13,4,46,7,62,55,0,47,0,0,0,0,4,0,7,28,10,100,22,195,132,0,95,0,0,0,0,6,0,8,29,16,151,36,313,182,0,150,0,0,0,0,12,POINT (-123.116554 49.28312),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
1201 Marinaside Cres #1602,downtown,49.273129,-123.120638,1398000,2 bds,2 ba,"1,018 sqft",0,1,0,2,13,1,39,12,0,11,0,0,0,0,1,0,2,8,6,49,12,136,52,1,54,0,0,0,0,4,1,7,27,19,149,23,290,139,1,110,0,0,0,0,12,POINT (-123.120638 49.273129),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
555 Abbott St #312,downtown,49.280181,-123.108684,999000,3 bds,1 ba,986 sqft,0,1,4,3,31,10,34,31,0,36,0,0,0,0,1,0,5,21,7,76,20,118,82,0,80,0,0,0,0,4,0,9,22,14,157,38,225,145,0,117,0,0,0,0,9,POINT (-123.108684 49.280181),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
277 Thurlow St #3001,downtown,49.288884,-123.11914,13800000,3 bds,4 ba,"3,327 sqft",0,1,1,2,14,3,34,20,0,7,0,0,0,0,1,0,6,16,7,78,10,128,97,0,70,0,0,0,0,7,0,6,29,10,120,25,245,154,0,104,0,0,0,0,9,POINT (-123.11914 49.288884),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
168 Powell St #515,downtown,49.282968,-123.100636,399888,1 bd,1 ba,566 sqft,0,0,0,3,23,5,48,11,0,4,0,0,0,0,1,0,0,3,5,59,18,87,39,0,36,0,0,0,0,2,0,6,7,7,124,25,111,71,0,67,0,0,0,0,3,POINT (-123.100636 49.282968),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
1288 Marinaside Cres #609,downtown,49.272079,-123.120377,1198000,2 bds,2 ba,"1,069 sqft",0,1,0,1,11,2,37,9,0,10,0,0,0,0,1,0,2,7,6,47,10,127,43,1,44,0,0,0,0,4,1,6,26,16,137,21,274,120,1,98,0,0,0,0,9,POINT (-123.120377 49.272079),49367,9873,6539,1308,3925,785,38903,7781,16835,13425,7230,7550,5180,3405,17595,16255,8435,13600,4700,17595
