Address,Price,Neighbourhood,City,Bedrooms,Bathrooms,Home Type
609 1288 Marinaside Crescent,"$1,198,000",Yaletown,Vancouver,2 bd,2,Apt/Condo
1723 Alberni Street 1508,"$645,000",West End,Vancouver,1 bd,1,Apt/Condo
202 788 W 8th Avenue,"$2,316,000",Fairview,Vancouver,3 bd,2,Townhouse
201 788 W 8th Avenue,"$2,296,000",Fairview,Vancouver,3 bd,2,Townhouse
105 788 W 8th Avenue,"$2,720,000",Fairview,Vancouver,3 bd,3,Apt/Condo
L02 788 W 8th Avenue,"$3,128,000",Fairview,Vancouver,3 bd,4,Townhouse
101 788 W 8th Avenue,"$1,736,000",Fairview,Vancouver,2 bd,2,Townhouse
2505 777 Richards Street,"$738,000",Downtown West,Vancouver,1 bd,1,Apt/Condo
L01 788 W 8th Avenue,"$3,184,000",Fairview,Vancouver,3 bd,4,Townhouse
319 2377 E 11th Avenue,"$679,900",Grandview East,Vancouver,1 bd,1,Apt/Condo
210 3198 Riverwalk Avenue,"$975,000",South Marine,Vancouver,2 bd,2,Apt/Condo
1573 W 66th Avenue,"$2,688,000",Southwest Marine,Vancouver,5 bd,4,House
3290 Cypress Street,"$5,498,000",Shaughnessy,Vancouver,4 bd,4,House
402 1012 Beach Avenue,"$1,999,000",Yaletown,Vancouver,2 bd,2,Apt/Condo
404 1790 Bayshore Drive,"$1,998,000",Coal Harbour,Vancouver,2 bd,2,Apt/Condo
2 3260 Graveley Street,"$1,625,000",Renfrew,Vancouver,4 bd,4,Duplex
403 2377 E 11th Avenue,"$1,199,900",Grandview East,Vancouver,2 bd,3,Townhouse
106 2377 E 11th Avenue,"$1,319,900",Grandview East,Vancouver,2 bd,3,Townhouse
309 2377 E 11th Avenue,"$1,489,900",Grandview East,Vancouver,3 bd,3,Townhouse
210 3198 Riverwalk Avenue,"$975,000",South Marine,Vancouver,2 bd,2,Apt/Condo
1188 W 55th Avenue,"$28,880,000",South Granville,Vancouver,8 bd,12,House
1020 Wolfe Avenue,"$5,990,000",Shaughnessy,Vancouver,9 bd,6,House
607 833 Seymour Street,"$699,900",Downtown West,Vancouver,1 bd,1,Apt/Condo
250 E 54th Avenue,"$1,498,000",South Vancouver,Vancouver,4 bd,4,Duplex
2061 E 41st Avenue,"$1,898,000",Victoria East,Vancouver,5 bd,3,House
