Address,Price,Neighbourhood,City,Latitude,Longitude,Bedrooms,Bathrooms,Home Type
1362 E 60th Avenue,"$1,580,000",South Vancouver,Vancouver,49.215236,-123.078257,5 bd,2,House
540 E 11th Avenue,"$1,198,000",Mount Pleasant East,Vancouver,49.260377,-123.091996,2 bd,1,Townhouse
906 4815 Eldorado Mews,"$538,000",Collingwood,Vancouver,49.241221,-123.057581,1 bd,1,Apt/Condo
1 1166 E 11th Avenue,"$1,998,800",Mount Pleasant East,Vancouver,49.260284,-123.079823,4 bd,4,Duplex
1718 1618 Quebec Street,"$699,900",Mount Pleasant East,Vancouver,49.271542,-123.1015,1 bd,1,Apt/Condo
3529 Napier Street,"$1,688,000",Renfrew,Vancouver,49.275177,-123.027651,4 bd,4,House
2707 E 26th Avenue,"$1,399,000",Renfrew Heights,Vancouver,49.247327,-123.048814,3 bd,4,Duplex
3163 E 1st Avenue,"$1,799,888",Renfrew,Vancouver,49.26978,-123.037372,5 bd,2,House
1102 455 Beach Crescent,"$1,338,000",Yaletown,Vancouver,49.272668,-123.127769,2 bd,2,Apt/Condo
6485 Adera Street,"$5,280,000",South Granville,Vancouver,49.227299,-123.143927,4 bd,3,Townhouse
6789 Cambie Street,"$5,888,000",South Cambie,Vancouver,49.223577,-123.117208,4 bd,3,House
208 788 W 8th Avenue,"$2,260,000",Fairview,Vancouver,49.263975,-123.12148,3 bd,2,Townhouse
204 788 W 8th Avenue,"$2,440,000",Fairview,Vancouver,49.263975,-123.12148,3 bd,2,Townhouse
205 788 W 8th Avenue,"$2,320,000",Fairview,Vancouver,49.263975,-123.12148,3 bd,2,Townhouse
609 1288 Marinaside Crescent,"$1,198,000",Yaletown,Vancouver,49.272079,-123.120377,2 bd,2,Apt/Condo
1723 Alberni Street 1508,"$645,000",West End,Vancouver,49.291713,-123.133091,1 bd,1,Apt/Condo
202 788 W 8th Avenue,"$2,316,000",Fairview,Vancouver,49.263975,-123.12148,3 bd,2,Townhouse
201 788 W 8th Avenue,"$2,296,000",Fairview,Vancouver,49.263975,-123.12148,3 bd,2,Townhouse
105 788 W 8th Avenue,"$2,720,000",Fairview,Vancouver,49.263975,-123.12148,3 bd,3,Apt/Condo
L02 788 W 8th Avenue,"$3,128,000",Fairview,Vancouver,49.263975,-123.12148,3 bd,4,Townhouse
101 788 W 8th Avenue,"$1,736,000",Fairview,Vancouver,49.263975,-123.12148,2 bd,2,Townhouse
2505 777 Richards Street,"$738,000",Downtown West,Vancouver,49.280448,-123.118037,1 bd,1,Apt/Condo
L01 788 W 8th Avenue,"$3,184,000",Fairview,Vancouver,49.263975,-123.12148,3 bd,4,Townhouse
319 2377 E 11th Avenue,"$679,900",Grandview East,Vancouver,49.26103,-123.111724,1 bd,1,Apt/Condo
210 3198 Riverwalk Avenue,"$975,000",South Marine,Vancouver,49.205405,-123.03914,2 bd,2,Apt/Condo
1573 W 66th Avenue,"$2,688,000",Southwest Marine,Vancouver,49.211654,-123.142838,5 bd,4,House
3290 Cypress Street,"$5,498,000",Shaughnessy,Vancouver,49.256513,-123.148065,4 bd,4,House
402 1012 Beach Avenue,"$1,999,000",Yaletown,Vancouver,49.271591,-123.12802,2 bd,2,Apt/Condo
404 1790 Bayshore Drive,"$1,998,000",Coal Harbour,Vancouver,49.292046,-123.13078,2 bd,2,Apt/Condo
2 3260 Graveley Street,"$1,625,000",Renfrew,Vancouver,49.270161,-123.034966,4 bd,4,Duplex
403 2377 E 11th Avenue,"$1,199,900",Grandview East,Vancouver,49.260926,-123.095549,2 bd,3,Townhouse
106 2377 E 11th Avenue,"$1,319,900",Grandview East,Vancouver,49.260868,-123.103296,2 bd,3,Townhouse
309 2377 E 11th Avenue,"$1,489,900",Grandview East,Vancouver,49.260799,-123.09801,3 bd,3,Townhouse
1188 W 55th Avenue,"$28,880,000",South Granville,Vancouver,49.220119,-123.132186,8 bd,12,House
1020 Wolfe Avenue,"$5,990,000",Shaughnessy,Vancouver,49.25248,-123.128293,9 bd,6,House
607 833 Seymour Street,"$699,900",Downtown West,Vancouver,49.280497,-123.119756,1 bd,1,Apt/Condo
250 E 54th Avenue,"$1,498,000",South Vancouver,Vancouver,49.220757,-123.100626,4 bd,4,Duplex
2061 E 41st Avenue,"$1,898,000",Victoria East,Vancouver,49.233173,-123.064297,5 bd,3,House
1728 Cypress Street,"$1,489,500",Kitsilano,Vancouver,49.270202,-123.148145,2 bd,2,Townhouse
2026 W 14th Avenue,"$2,698,000",Kitsilano,Vancouver,49.258839,-123.151437,3 bd,3,Duplex
2453 W 10th Avenue,"$3,498,000",Kitsilano,Vancouver,49.263248,-123.161373,5 bd,4,Duplex
1107 1068 Hornby Street,"$629,000",Downtown West,Vancouver,49.279642,-123.125742,1 bd,1,Apt/Condo
24 7565 Oak Street,"$1,559,000",South Granville,Vancouver,50.57918,-126.921088,3 bd,3,Townhouse
1290 E 48th Avenue,"$2,198,000",Knight,Vancouver,49.225929,-123.080296,7 bd,4,House
6926 Tisdall Street,"$3,290,000",South Cambie,Vancouver,49.222376,-123.120409,11 bd,4,House
208 633 W 16th Avenue,"$875,000",Fairview,Vancouver,49.257235,-123.119081,2 bd,1,Apt/Condo
3812 W 15th Avenue,"$1,880,000",Point Grey,Vancouver,49.258707,-123.188484,3 bd,3,Duplex
3814 W 15th Avenue,"$1,880,000",Point Grey,Vancouver,49.258712,-123.1885,3 bd,3,Duplex
302 1080 Pacific Street,"$509,000",West End,Vancouver,49.277822,-123.134387,1 bd,1,Apt/Condo
1110 W 15th Avenue,"$2,225,000",Fairview,Vancouver,49.257618,-123.129723,3 bd,2,Duplex
1 3165 W 14th Avenue,"$3,099,000",Kitsilano,Vancouver,49.259926,-123.175365,3 bd,4,Duplex
950 W 43rd Avenue,"$1,699,000",Oakridge,Vancouver,49.230825,-123.130458,3 bd,4,Townhouse
4569 W 2nd Avenue,"$3,798,000",Point Grey,Vancouver,49.271603,-123.210982,2 bd,2,House
2248 E 3rd Avenue,"$1,625,000",Grandview East,Vancouver,49.267491,-123.058959,3 bd,3,House
1987 W 35th Avenue,"$6,888,000",Quilchena,Vancouver,49.240294,-123.151083,6 bd,6,House
802 1565 W 6th Avenue,"$699,000",False Creek,Vancouver,49.266491,-123.140068,1 bd,1,Apt/Condo
300 1055 Homer Street,"$1,538,000",Yaletown,Vancouver,49.276978,-123.121219,2 bd,2,Apt/Condo
3404 1335 Howe Street,"$2,439,900",Downtown West,Vancouver,49.276569,-123.129609,2 bd,2,Apt/Condo
268 W 1st Avenue,"$774,900",False Creek,Vancouver,49.268485,-123.098107,1 bd,1,Apt/Condo
1501 1483 Homer Street,"$1,789,000",Yaletown,Vancouver,49.272027,-123.126813,2 bd,2,Apt/Condo
1555 E 21st Avenue,"$1,538,000",Knight,Vancouver,49.251893,-123.072681,3 bd,3,Duplex
1 2623 Triumph Street,"$1,638,000",Hastings Sunrise,Vancouver,49.284139,-123.051262,3 bd,4,Duplex
2 2623 Triumph Street,"$1,698,000",Hastings Sunrise,Vancouver,49.284139,-123.051262,3 bd,4,Duplex
1 3830 W 23rd Avenue,"$2,578,000",Dunbar,Vancouver,49.25172,-123.188969,3 bd,4,Duplex
1801 1155 Seymour Street,"$657,000",Downtown West,Vancouver,49.280507,-123.119571,1 bd,1,Apt/Condo
402 1188 Quebec Street,"$999,900",Downtown East,Vancouver,49.25025,-123.102902,2 bd,2,Apt/Condo
811 1325 Rolston Street,"$578,000",Downtown West,Vancouver,49.275617,-123.127925,1 bd,1,Apt/Condo
1638 Marpole Avenue,"$12,990,000",Shaughnessy,Vancouver,49.255328,-123.141728,5 bd,8,House
201 2025 Stephens Street,"$545,000",Kitsilano,Vancouver,49.268069,-123.16671,1 bd,1,Apt/Condo
1204 1188 Howe Street,"$550,000",Downtown West,Vancouver,49.277764,-123.12779,1 bd,1,Apt/Condo
1071 Semlin Drive,"$1,699,000",Grandview East,Vancouver,49.274492,-123.063966,3 bd,3,Townhouse
311 2520 Guelph Street,"$699,900",Mount Pleasant East,Vancouver,49.262215,-123.094458,0 bd,1,Apt/Condo
808 8570 Rivergrass Drive,"$879,000",South Marine,Vancouver,49.205371,-123.029248,2 bd,2,Apt/Condo
701 919 Station Street,"$629,000",Strathcona,Vancouver,48.446587,-123.496882,1 bd,1,Apt/Condo
521 3438 Sawmill Crescent,"$600,000",South Marine,Vancouver,49.205784,-123.032766,1 bd,1,Apt/Condo
501 209 E 7th Avenue,"$1,398,000",Mount Pleasant East,Vancouver,49.264857,-123.100405,3 bd,2,Apt/Condo
4102 777 Richards Street,"$1,849,000",Downtown West,Vancouver,49.280448,-123.118037,2 bd,2,Apt/Condo
1161 E 11th Avenue,"$1,999,999",Mount Pleasant East,Vancouver,49.260807,-123.080088,4 bd,4,Duplex
2 3772 W 20th Avenue,"$2,648,000",Dunbar,Vancouver,49.254414,-123.187582,3 bd,4,Duplex
1 3772 W 20th Avenue,"$2,598,000",Dunbar,Vancouver,49.254414,-123.187582,3 bd,4,Duplex
6011 Macdonald Street,"$3,798,000",Kerrisdale,Vancouver,49.231692,-123.167833,6 bd,5,House
205 3161 W 4th Avenue,"$849,900",Kitsilano,Vancouver,49.268705,-123.174915,2 bd,2,Apt/Condo
Ph 3401 1255 Seymour Street,"$2,349,000",Downtown West,Vancouver,49.276039,-123.126471,2 bd,3,Apt/Condo
2309 233 Robson Street,"$648,000",Downtown West,Vancouver,49.283545,-123.123071,1 bd,1,Apt/Condo
2293 E 37th Avenue,"$1,199,900",Victoria East,Vancouver,49.23706,-123.059199,3 bd,3,Townhouse
901 1575 Beach Avenue,"$1,449,000",West End,Vancouver,49.283096,-123.141367,2 bd,2,Apt/Condo
2301 89 Nelson Street,"$1,499,000",Yaletown,Vancouver,49.274967,-123.115376,2 bd,2,Apt/Condo
506 55 E Cordova Street,"$899,000",Downtown East,Vancouver,49.282595,-123.102962,1 bd,2,Apt/Condo
1389 E 39th Avenue,"$1,680,000",Knight,Vancouver,49.23492,-123.077373,2 bd,2,House
17 1350 W 6th Avenue,"$749,000",Fairview,Vancouver,49.265879,-123.135055,1 bd,1,Townhouse
209 2102 W 48th Avenue,"$3,199,000",Kerrisdale,Vancouver,49.227453,-123.155893,4 bd,3,Apt/Condo
206 688 E 19th Avenue,"$829,800",Fraser East,Vancouver,49.253479,-123.090447,2 bd,2,Apt/Condo
410 215 E 33rd Avenue,"$1,145,500",Main,Vancouver,49.24077,-123.101062,2 bd,2,Apt/Condo
2 3320 E 44th Avenue,"$1,588,000",Killarney,Vancouver,49.229808,-123.034038,5 bd,5,Duplex
301 1502 Island Park Walk,"$1,249,000",False Creek,Vancouver,49.270581,-123.139126,2 bd,2,Apt/Condo
105 2272 Dundas Street,"$639,900",Hastings,Vancouver,49.284558,-123.058355,2 bd,1,Apt/Condo
4557 Reid Street,"$2,599,888",Collingwood,Vancouver,49.243613,-123.036811,7 bd,7,House
402 1188 Richards Street,"$499,900",Yaletown,Vancouver,49.27599,-123.123515,1 bd,1,Apt/Condo
2216 E 38th Avenue,"$1,759,000",Victoria East,Vancouver,49.235629,-123.061358,5 bd,4,Duplex
3224 Marmion Avenue,"$1,625,000",Killarney,Vancouver,49.231313,-123.036689,4 bd,3,Duplex
313 2250 E 1st Avenue,"$985,900",Grandview East,Vancouver,49.269251,-123.059164,2 bd,2,Apt/Condo
153 2230 E 1st Avenue,"$1,526,900",Grandview East,Vancouver,49.270484,-123.102109,3 bd,3,Townhouse
920 3557 Sawmill Crescent,"$918,000",South Marine,Vancouver,49.205837,-123.028152,2 bd,2,Apt/Condo
2727 W 7th Avenue,"$2,690,000",Kitsilano,Vancouver,49.26552,-123.167185,3 bd,3,Duplex
1219 1768 Cook Street,"$618,000",False Creek,Vancouver,49.269664,-123.109934,1 bd,1,Apt/Condo
2721 W 7th Avenue,"$2,425,000",Kitsilano,Vancouver,49.266019,-123.167095,3 bd,3,Duplex
706 1725 Pendrell Street,"$739,000",West End,Vancouver,49.287374,-123.139378,1 bd,1,Apt/Condo
1 1322 13th Avenue,"$1,929,999",Grandview East,Vancouver,49.258966,-123.076979,4 bd,4,Duplex
2335 W 8th Avenue,"$4,500,000",Kitsilano,Vancouver,49.265074,-123.158514,12 bd,5,House
2325 W 8th Avenue,"$3,990,000",Kitsilano,Vancouver,49.26507,-123.158304,4 bd,2,House
2325/35 W 8th Avenue,"$8,500,000",Kitsilano,Vancouver,49.26507,-123.158304,16 bd,8,House
3702 833 Seymour Street,"$1,699,999",Downtown West,Vancouver,49.280497,-123.119756,2 bd,2,Apt/Condo
1 2403 W 37th Avenue,"$2,875,000",Quilchena,Vancouver,49.238667,-123.161317,3 bd,4,Duplex
201 1318 W 6th Avenue,"$888,000",Fairview,Vancouver,49.26586,-123.134113,2 bd,2,Apt/Condo
409 289 Alexander Street,"$825,000",Strathcona,Vancouver,49.284431,-123.09843,1 bd,2,Apt/Condo
411 2366 Wall Street,"$545,000",Hastings,Vancouver,49.290158,-123.057169,1 bd,1,Apt/Condo
