Address,Price,Bedrooms,Bathrooms,Size,Home Type
2506 - 33 Mill St,"$679,800",Waterfront Communities East,Toronto,1 + 1 bd,Apt/Condo
2310 - 40 Homewood Ave,"$439,900",Cabbagetown South St. Jamestown,Toronto,1 bd,Apt/Condo
1504 - 56 Annie Craig Dr,"$760,000",Mimico,Toronto,2 + 1 bd,Apt/Condo
908 - 65 Annie Craig Drive,"$1,650,000",Mimico,Toronto,3 bd,Apt/Condo
110 Allenby Ave,"$1,399,000",Elms Old Rexdale,Toronto,4 + 2 bd,House
162 Abbeywood Tr,"$2,680,000",Banbury Don Mills,Toronto,4 bd,House
71 Riverwood Pkwy,"$2,399,000",Stonegate Queensway,Toronto,3 + 2 bd,House
48 Gondola Cres,"$888,000",Woburn,Toronto,4 bd,House
108 - 37 Four Winds Dr,"$625,000",York University Heights,Toronto,2 + 1 bd,Townhouse
3606 - 575 Bloor St E,"$578,000",Rosedale Moore Park,Toronto,1 bd,Apt/Condo
1105 - 2067 Lake Shore Boulevard W,"$750,000",Mimico,Toronto,2 bd,Apt/Condo
54-175 Trudelle Street,"$800,000",Eglinton East,Toronto,4 bd,Townhouse
521 The Kingsway,"$2,438,000",Princess Rosethorn,Toronto,3 + 1 bd,House
302 - 99 Foxbar Rd,"$1,479,000",Yonge St. Clair,Toronto,2 bd,Apt/Condo
44 Ladysbridge Drive,"$795,900",Morningside,Toronto,3 bd,House
3036 - 68 Corporate Drive,"$639,900",Woburn,Toronto,3 bd,Apt/Condo
36 Ridge Road,"$779,000",Downsview Roding Cfb,Toronto,1 bd,House
48 Dubray Ave,"$1,298,000",Downsview Roding Cfb,Toronto,3 bd,House
512 - 55 East Liberty,"$799,000",Niagara,Toronto,1 + 1 bd,Townhouse
Th1 - 220 George St,"$1,500,000",Moss Park,Toronto,3 bd,Townhouse
1 - 130 Clinton St,"$998,000",Palmerston Little Italy,Toronto,3 bd,Townhouse
