Address,Price,Bedrooms,Bathrooms,Size,Home Type
L06 - 73 Richmond St W,"$599,900",Bay Street Corridor,Toronto,0 bd,Apt/Condo
2310 - 40 Homewood Ave,"$439,900",Cabbagetown South St. Jamestown,Toronto,1 bd,Apt/Condo
604 - 188 Cumberland St,"$1,200,000",Yorkville,Toronto,2 + 1 bd,Apt/Condo
504 - 1103 Leslie Street,"$795,000",Banbury Don Mills,Toronto,3 bd,Apt/Condo
129 Brookhaven Dr,"$999,000",Brookhaven Amesbury,Toronto,4 + 1 bd,House
46 - 2012 Martin Grove Rd,"$709,000",West Humber Clairville,Toronto,3 + 1 bd,Townhouse
Ph16 - 80 Vanauley St,"$679,000",Kensington Chinatown,Toronto,1 + 1 bd,Apt/Condo
1504 - 56 Annie Craig Dr,"$760,000",Mimico,Toronto,2 + 1 bd,Apt/Condo
6 Balfour Ave,"$999,000",East End Danforth,Toronto,3 bd,House
23 Radwell Cres,"$1,180,000",Milliken,Toronto,3 + 2 bd,House
58b Tecumseth St,"$1,288,800",Niagara,Toronto,3 bd,Townhouse
1205 - 5795 Yonge St,"$799,000",Newtonbrook East,Toronto,2 bd,Apt/Condo
2506 - 33 Mill St,"$679,800",Waterfront Communities East,Toronto,1 + 1 bd,Apt/Condo
26 Breadner Dr,"$1,149,000",Willowridge Martingrove Richview,Toronto,3 + 1 bd,House
203 Medland St,"$1,998,000",Junction Area,Toronto,3 + 1 bd,House
908 - 65 Annie Craig Drive,"$1,650,000",Mimico,Toronto,3 bd,Apt/Condo
25 Windhill Cres,"$799,000",Humbermede,Toronto,3 + 1 bd,House
1108 - 10 Torresdale Ave,"$918,000",Westminister Branson,Toronto,3 bd,Apt/Condo
1171 Roselawn Ave,"$2,699,000",Briar Hill Belgravia,Toronto,3 bd,House
801 - 8 Tippett Road,"$459,000",Clanton Park,Toronto,1 bd,Apt/Condo
404 Horner Ave,"$1,499,900",Alderwood,Toronto,3 bd,House
