Address,Price,Bedrooms,Bathrooms,Size,Home Type
4610 - 138 Downes Street,"$579,000",Waterfront Communities East,Toronto,0 bd,Apt/Condo
43 Snowshoe Millway,"$1,399,900",St. Andrew Windfields,Toronto,4 bd,Townhouse
903 - 1103 Leslie St,"$698,000",Banbury Don Mills,Toronto,2 bd,Apt/Condo
811 - 33 Shore Breeze Drive,"$699,000",Mimico,Toronto,2 bd,Apt/Condo
21 Cambridge Avenue,"$1,850,000",Playter Estates Danforth,Toronto,4 bd,House
48d Crawford St,"$979,000",Niagara,Toronto,2 bd,Townhouse
905 - 10 Dean Park Road,"$529,888",Rouge,Toronto,2 bd,Apt/Condo
15 Wantanopa Crescent,"$1,338,800",Woburn,Toronto,5 bd,House
28 Wuthering Heights Road,"$899,900",West Rouge,Toronto,3 bd,Townhouse
503 - 75 Dalhousie St,"$629,900",Church Yonge Corridor,Toronto,2 + 1 bd,Apt/Condo
458 Donlands Ave,"$899,900",Old East York,Toronto,3 bd,House
601 - 115 Antibes Dr,"$770,000",Westminister Branson,Toronto,2 bd,Apt/Condo
1310 - 55 Ontario St,"$565,000",Moss Park,Toronto,1 bd,Apt/Condo
1104 - 270 Dufferin St,"$699,000",South Parkdale,Toronto,1 + 1 bd,Apt/Condo
Lph14 - 270 Dufferin St,"$999,000",South Parkdale,Toronto,3 + 1 bd,Apt/Condo
206 Brandon Ave,"$1,198,000",Dovercourt Wallace Emerson Junction,Toronto,3 + 1 bd,Townhouse
1103 - 123 Portland Street,"$1,189,900",Waterfront Communities West,Toronto,2 bd,Apt/Condo
105 Gilroy Dr,"$999,999",Dorset Park,Toronto,3 + 2 bd,House
311 Holmes Avenue,"$3,388,000",Willowdale East,Toronto,6 bd,House
608 - 68 Merton St,"$579,000",Mount Pleasant West,Toronto,1 bd,Apt/Condo
74 Natal Ave,"$1,049,000",Birchcliffe Cliffside,Toronto,3 + 2 bd,House
