Address,Price,Bedrooms,Bathrooms,Size,Home Type
48 Shaftesbury Ave,"$3,445,000",Rosedale Moore Park,Toronto,3 + 1 bd,House
96 King High Ave,"$1,599,900",Clanton Park,Toronto,4 + 3 bd,House
10 Dearbourne Ave,"$1,189,000",North Riverdale,Toronto,4 + 1 bd,House
212 - 5 Richgrove Dr,"$679,000",Willowridge Martingrove Richview,Toronto,2 bd,Townhouse
9 Joseph Salsberg Lane,"$1,300,000",Niagara,Toronto,3 bd,Townhouse
193 Brickworks Lane,"$914,900",Junction Area,Toronto,2 + 1 bd,Townhouse
709 - 2191 Yonge St,"$549,800",Mount Pleasant West,Toronto,1 + 1 bd,Apt/Condo
1201 - 195 Redpath Avenue,"$557,000",Mount Pleasant West,Toronto,2 bd,Apt/Condo
76 Highhill Drive,"$1,080,000",Tam O'shanter Sullivan,Toronto,4 bd,House
413 - 600 Fleet St W,"$449,000",Niagara,Toronto,1 bd,Apt/Condo
78 Ashridge Dr,"$998,000",Agincourt North,Toronto,4 + 1 bd,House
3632a St Clair Avenue E,"$699,900",Cliffcrest,Toronto,4 bd,Townhouse
3306 - 14 York St,"$699,000",Waterfront Communities West,Toronto,2 bd,Apt/Condo
681 Scarlett Rd,"$1,650,000",Humber Heights,Toronto,5 + 1 bd,House
208 Holmes Ave,"$3,350,000",Willowdale East,Toronto,4 + 3 bd,House
718 - 30 Meadowglen Pl,"$599,000",Woburn,Toronto,2 bd,Apt/Condo
Th5 - 118 Finch Avenue,"$899,000",Newtonbrook West,Toronto,3 bd,Townhouse
824 - 231 Fort York Blvd,"$619,000",Niagara,Toronto,1 + 1 bd,Apt/Condo
195 Brookdale Ave,"$1,995,000",Lawrence Park North,Toronto,3 bd,House
671a - 671 Browns Line,"$1,298,000",Alderwood,Toronto,4 bd,House
1517 - 87 Peter St,"$635,000",Waterfront Communities West,Toronto,1 + 1 bd,Apt/Condo
