Address,Price,Bedrooms,Bathrooms,Size,Home Type
301 - 200 Manitoba Street,"$879,999",Mimico,Toronto,2 bd,Apt/Condo
608 - 801 Sheppard Ave W,"$589,900",Clanton Park,Toronto,2 bd,Apt/Condo
1220 - 460 Adelaide Street E,"$499,900",Moss Park,Toronto,1 bd,Apt/Condo
301 - 1350 York Mills Rd,"$549,900",Parkwoods Donalda,Toronto,2 bd,Apt/Condo
501 Palmerston Boulevard,"$3,199,000",Palmerston Little Italy,Toronto,7 bd,House
3905 - 117 Mcmahon Drive,"$650,000",Bayview Village,Toronto,1 bd,House
Ph120 - 460 Adelaide St E,"$1,038,888",Moss Park,Toronto,2 + 1 bd,Apt/Condo
2107 - 1 Palace Pier Crt,"$665,000",Mimico,Toronto,1 + 1 bd,Apt/Condo
2014 - 1001 Bay St,"$1,050,000",Bay Street Corridor,Toronto,2 bd,Apt/Condo
Th05 - 101 Erskine Ave,"$2,100,000",Mount Pleasant West,Toronto,3 + 1 bd,Townhouse
428 - 12 Douro Street,"$899,000",Niagara,Toronto,3 bd,Townhouse
2201 - 70 Forest Manor Rd,"$599,000",Henry Farm,Toronto,1 + 1 bd,Apt/Condo
121 - 7 Kenaston Gardens,"$598,999",Bayview Village,Toronto,2 bd,Apt/Condo
205 - 2550 Lawrence Ave E,"$589,000",Dorset Park,Toronto,2 + 1 bd,Apt/Condo
1604 - 20 Edward St,"$568,800",Bay Street Corridor,Toronto,1 bd,Apt/Condo
229 Craven Rd,"$989,000",Greenwood Coxwell,Toronto,2 + 2 bd,House
11 Ashton Manr,"$2,190,000",Stonegate Queensway,Toronto,3 + 1 bd,House
703 - 55 De Boers Dr,"$539,000",York University Heights,Toronto,1 bd,Apt/Condo
137 Benleigh Drive,"$1,299,975",Woburn,Toronto,7 bd,House
1304 - 330 Mccowan Rd,"$559,000",Eglinton East,Toronto,2 + 1 bd,Apt/Condo
129 Brookhaven Dr,"$999,000",Brookhaven Amesbury,Toronto,4 + 1 bd,House
