Address,Price,Bedrooms,Bathrooms,Bedrooms,Bathrooms,Home Type
2006 - 238 Simcoe Street,"$598,000",Kensington Chinatown,Toronto,1 bd,1,Apt/Condo
759 Wilson Heights Blvd,"$949,990",Bathurst Manor,Toronto,3 bd,3,House
Ph206 - 138 Downes Street,"$2,199,999",Waterfront Communities East,Toronto,6 bd,6,Apt/Condo
279 Reiner Rd,"$1,498,000",Downsview Roding Cfb,Toronto,2 + 1 bd,2,House
406 - 3303 Don Mills Rd,"$1,130,000",Don Valley Village,Toronto,2 bd,2,Apt/Condo
202 - 32 Forest Manor Rd,"$509,999",Henry Farm,Toronto,1 bd,1,Apt/Condo
1008 - 327 King St W,"$587,900",Waterfront Communities West,Toronto,1 bd,1,Apt/Condo
317 - 1 Michael Power Pl,"$479,000",Islington City Centre West,Toronto,1 + 1 bd,1,Apt/Condo
119 - 5235 Finch Ave E,"$560,000",Agincourt North,Toronto,2 + 1 bd,2,Apt/Condo
604 - 1888 Bayview Ave,"$1,275,000",Bridle Path Sunnybrook York Mills,Toronto,2 bd,2,Apt/Condo
812 - 10 Dean Park Rd,"$609,000",Rouge,Toronto,2 bd,2,Apt/Condo
10 Lloyd Manor Rd,"$1,174,800",Princess Rosethorn,Toronto,3 + 1 bd,3,House
741 - 38 Iannuzzi St,"$715,000",Niagara,Toronto,2 + 1 bd,2,Apt/Condo
606 - 219 Fort York Blvd,"$639,000",Niagara,Toronto,1 bd,1,Apt/Condo
3305 - 25 Town Centre Crt,"$690,000",Bendale,Toronto,2 bd,2,Apt/Condo
307 - 1100 Briar Hill Ave,"$999,900",Briar Hill Belgravia,Toronto,3 bd,3,Townhouse
36 Boniface Avenue,"$879,900",Elms Old Rexdale,Toronto,3 bd,2,House
824 - 10 Guildwood Pkwy S,"$1,200,000",Guildwood,Toronto,2 bd,3,Apt/Condo
200 Snowdon Ave,"$3,950,000",Lawrence Park North,Toronto,4 + 1 bd,5,House
3 Blithfield Ave,"$1,588,000",Bayview Village,Toronto,3 bd,3,House
112 Stapleton Dr,"$1,150,000",Kingsview Village The Westway,Toronto,3 + 1 bd,3,House
