Address,Price,Bedrooms,Bathrooms,Bedrooms,Bathrooms,Home Type
209 - 17 Zorra St,"$629,000",Islington City Centre West,Toronto,2 bd,2,Apt/Condo
136 Regina Ave,"$1,649,900",Englemount Lawrence,Toronto,3 + 2 bd,2,House
Ph63 - 60 Ann O'reilly Rd,"$1,249,900",Henry Farm,Toronto,3 bd,3,Apt/Condo
1116 - 88 Blue Jays Way,"$399,000",Waterfront Communities West,Toronto,0 bd,1,Apt/Condo
1404 - 25 Sunrise Ave,"$529,999",Victoria Village,Toronto,3 bd,2,Apt/Condo
527 - 7 Smith Cres,"$545,000",Stonegate Queensway,Toronto,1 bd,1,Apt/Condo
323 Douglas Ave,"$3,399,000",Bedford Park Nortown,Toronto,4 + 1 bd,3,House
2117 - 5 Sheppard Ave E,"$919,000",Willowdale East,Toronto,2 bd,2,Apt/Condo
32 Sabrina Dr,"$999,888",Willowridge Martingrove Richview,Toronto,3 + 1 bd,2,House
4108 - 5 St. Joseph St S,"$900,000",Bay Street Corridor,Toronto,1 + 1 bd,1,Apt/Condo
511 - 10 Old York Mills Rd,"$979,900",Bridle Path Sunnybrook York Mills,Toronto,1 + 1 bd,1,Apt/Condo
49 Orpington Cres,"$849,000",Mount Olive Silverstone Jamestown,Toronto,4 + 1 bd,2,House
2206 - 90 Park Lawn Road,"$860,000",Mimico,Toronto,2 bd,2,Apt/Condo
2402 - 10 Bellair St,"$9,888,000",Yorkville,Toronto,2 + 1 bd,3,Apt/Condo
130 Broadlands Blvd,"$1,458,000",Parkwoods Donalda,Toronto,3 + 1 bd,2,House
228 Donlands Avenue,"$1,899,000",Danforth Village East York,Toronto,4 bd,4,House
308 - 625 Queen Street E,"$715,000",South Riverdale,Toronto,2 bd,1,Apt/Condo
2208 - 1900 Sheppard Ave E,"$549,000",Pleasant View,Toronto,2 bd,2,Apt/Condo
Ph704 - 399 Spring Garden Ave,"$1,188,000",Willowdale East,Toronto,2 + 1 bd,2,Apt/Condo
8 Chipper Cres,"$998,800",Eglinton East,Toronto,3 + 2 bd,2,House
878 - 1 Greystone Walk Drive,"$609,900",Kennedy Park,Toronto,2 bd,2,Apt/Condo
