Address,Price,Bedrooms,Bathrooms,Size,Home Type
5 - 369 Albany Avenue,"$989,000",Casa Loma,Toronto,2 bd,Townhouse
28 Joel Swirsky Blvd,"$2,599,900",Clanton Park,Toronto,4 + 1 bd,House
24 Masseygrove Cres,"$1,049,000",Mount Olive Silverstone Jamestown,Toronto,4 + 2 bd,House
70 Don River Boulevard,"$3,545,000",Lansing Westgate,Toronto,4 bd,House
204 - 123 Portland Street,"$599,900",Waterfront Communities West,Toronto,1 bd,Apt/Condo
1811 - 100 Quebec Ave,"$1,049,950",High Park North,Toronto,3 bd,Apt/Condo
1803 - 100 Harrison Garden Blvd,"$799,000",Willowdale East,Toronto,2 + 1 bd,Apt/Condo
3503 - 290 Adelaide St W,"$448,888",Waterfront Communities West,Toronto,0 bd,Apt/Condo
322 - 500 Richmond St W,"$649,900",Waterfront Communities West,Toronto,1 bd,Apt/Condo
219 - 365 Beech Ave,"$1,199,999",The Beaches,Toronto,2 bd,Apt/Condo
10 Yonge St 1001,"$759,000",Waterfront Communities West,Toronto,1 bd,Apt/Condo
5 - 40 Mendelssohn Street W,"$759,000",Clairlea Birchmount,Toronto,2 bd,Townhouse
59 Covewood St,"$1,750,000",Bayview Woods Steeles,Toronto,3 + 1 bd,House
704 - 25 Neighbourhood Lane,"$1,178,900",Stonegate Queensway,Toronto,3 + 1 bd,Apt/Condo
804 - 2045 Lake Shore Blvd W,"$1,198,000",Mimico,Toronto,2 + 1 bd,Apt/Condo
48 - 651f Warden Avenue,"$799,000",Clairlea Birchmount,Toronto,4 bd,Townhouse
94 Meighen Ave,"$998,000",O'connor Parkview,Toronto,3 bd,House
61 Dane Ave,"$3,299,000",Yorkdale Glen Park,Toronto,5 + 4 bd,House
600 Queens Quay W Sph22,"$629,500",Waterfront Communities West,Toronto,1 bd,Apt/Condo
1101 - 100 Hayden St,"$685,000",Church Yonge Corridor,Toronto,1 bd,Apt/Condo
305 - 125 Redpath Ave,"$575,000",Mount Pleasant West,Toronto,1 + 1 bd,Apt/Condo
